NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.4;69.0;126.0;917.0;8.8;18.2;62.3;1.2903;1745.0;946.0;931.0;884.0
-200.0;1.3;72.0;203.0;706.0;8.8;21.5;67.5;1.708;1565.0;1088.0;932.0;1034.0
-200.0;1.0;55.0;185.0;770.0;6.5;19.8;69.2;1.5808;1435.0;982.0;834.0;911.0
-200.0;1.1;57.0;132.0;792.0;6.0;19.9;67.5;1.5544;1413.0;993.0;813.0;946.0
-200.0;2.1;95.0;239.0;691.0;9.8;21.0;57.4;1.4098;1506.0;1076.0;972.0;1192.0
-200.0;1.0;65.0;119.0;925.0;4.3;19.9;64.9;1.4905;1326.0;926.0;727.0;729.0
-200.0;1.2;72.0;281.0;932.0;5.3;16.5;49.9;0.9289;1222.0;882.0;776.0;760.0
-200.0;1.5;78.0;286.0;882.0;5.9;15.4;53.2;0.9246;1257.0;896.0;809.0;788.0
-200.0;1.8;94.0;259.0;782.0;6.9;16.9;80.6;1.5372;1413.0;1023.0;851.0;881.0
-200.0;1.5;84.0;214.0;786.0;6.5;16.9;81.4;1.551;1400.0;1015.0;833.0;868.0
-200.0;-200.0;72.0;173.0;826.0;5.4;16.9;79.8;1.5238;1372.0;931.0;784.0;833.0
-200.0;1.0;76.0;192.0;857.0;5.4;16.7;79.7;1.503;1367.0;922.0;783.0;825.0
-200.0;1.5;131.0;202.0;736.0;4.3;13.4;64.8;0.988;1192.0;1086.0;726.0;848.0
-200.0;1.9;149.0;276.0;669.0;5.9;13.6;63.5;0.9857;1243.0;1150.0;807.0;1042.0
-200.0;1.1;53.0;164.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0
-200.0;1.1;51.0;150.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0
-200.0;1.3;56.0;187.0;705.0;7.7;21.3;68.2;1.7127;1574.0;1095.0;886.0;1001.0
-200.0;1.9;151.0;273.0;636.0;6.8;13.6;63.4;0.9794;1297.0;1200.0;847.0;1132.0
-200.0;1.2;59.0;163.0;753.0;6.3;21.3;69.1;1.7275;1526.0;1082.0;825.0;930.0
-200.0;1.4;52.0;107.0;732.0;8.1;23.8;60.2;1.7515;1560.0;1096.0;903.0;857.0
-200.0;2.0;74.0;223.0;621.0;11.9;23.9;59.2;1.7327;1664.0;1203.0;1046.0;1103.0
-200.0;1.4;82.0;237.0;762.0;7.8;16.8;79.0;1.4978;1453.0;989.0;891.0;901.0
-200.0;1.5;62.0;158.0;701.0;8.9;24.9;56.0;1.7367;1565.0;1181.0;935.0;960.0
-200.0;2.2;83.0;266.0;630.0;11.2;24.8;56.4;1.7447;1641.0;1242.0;1022.0;1139.0
-200.0;1.5;64.0;174.0;747.0;6.5;23.1;70.8;1.98;1562.0;1082.0;834.0;991.0
-200.0;2.0;72.0;216.0;664.0;9.4;23.9;66.3;1.9361;1636.0;1188.0;954.0;1148.0
