NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.3;72.0;203.0;706.0;8.8;21.5;67.5;1.708;1565.0;1088.0;932.0;1034.0
-200.0;1.0;97.0;140.0;778.0;3.9;14.0;59.7;0.9491;1178.0;1041.0;706.0;756.0
164.0;2.9;128.0;207.0;983.0;11.5;8.0;81.1;0.8736;1730.0;1371.0;1034.0;1037.0
79.0;2.2;126.0;184.0;1082.0;8.8;8.3;79.8;0.8778;1647.0;1310.0;933.0;946.0
95.0;2.2;131.0;193.0;1103.0;8.3;9.7;71.2;0.8569;1591.0;1292.0;912.0;957.0
150.0;2.9;135.0;243.0;1008.0;11.2;9.8;67.6;0.8185;1719.0;1383.0;1020.0;1104.0
-200.0;0.7;84.0;112.0;888.0;2.5;13.3;62.4;0.946;1095.0;970.0;618.0;611.0
-200.0;0.7;78.0;113.0;859.0;2.7;12.4;66.2;0.95;1120.0;977.0;631.0;659.0
61.0;1.5;85.0;94.0;1325.0;4.7;8.2;63.4;0.6905;1333.0;965.0;749.0;821.0
-200.0;0.8;69.0;87.0;851.0;2.4;12.6;65.9;0.9583;1101.0;985.0;610.0;604.0
-200.0;-200.0;61.0;79.0;928.0;2.0;12.3;55.9;0.7966;1004.0;971.0;585.0;394.0
-200.0;1.1;94.0;132.0;788.0;3.5;13.2;64.8;0.9801;1149.0;1027.0;684.0;666.0
-200.0;1.5;131.0;202.0;736.0;4.3;13.4;64.8;0.988;1192.0;1086.0;726.0;848.0
-200.0;1.9;149.0;276.0;669.0;5.9;13.6;63.5;0.9857;1243.0;1150.0;807.0;1042.0
154.0;2.8;124.0;153.0;987.0;12.3;19.4;31.3;0.695;1600.0;1328.0;1059.0;1101.0
108.0;2.0;116.0;119.0;1049.0;9.2;18.4;33.6;0.7042;1532.0;1240.0;947.0;947.0
111.0;2.5;124.0;138.0;1004.0;10.2;17.6;35.1;0.7012;1554.0;1306.0;987.0;1078.0
-200.0;1.9;151.0;273.0;636.0;6.8;13.6;63.4;0.9794;1297.0;1200.0;847.0;1132.0
-200.0;1.9;154.0;257.0;589.0;8.5;13.5;63.8;0.9797;1336.0;1217.0;921.0;1261.0
145.0;2.5;142.0;210.0;905.0;12.5;24.3;28.3;0.8471;1654.0;1393.0;1067.0;1490.0
66.0;1.8;99.0;104.0;985.0;7.4;14.8;54.7;0.9164;1547.0;1239.0;872.0;1250.0
73.0;1.8;93.0;106.0;1010.0;6.9;14.0;57.0;0.9094;1543.0;1239.0;853.0;1174.0
66.0;1.8;88.0;108.0;998.0;7.0;13.4;61.3;0.9361;1566.0;1224.0;855.0;1149.0
44.0;1.1;-200.0;-200.0;1128.0;4.4;12.6;63.5;0.923;1487.0;1078.0;734.0;1021.0
44.0;-200.0;71.0;66.0;1150.0;4.0;12.3;65.4;0.9351;1468.0;1078.0;711.0;1013.0
39.0;1.0;74.0;88.0;1156.0;3.9;11.9;67.4;0.9375;1464.0;1075.0;703.0;1010.0
51.0;1.4;80.0;138.0;1030.0;6.4;11.4;70.5;0.9475;1584.0;1157.0;830.0;1083.0
107.0;2.2;89.0;228.0;897.0;9.7;11.3;70.2;0.9401;1710.0;1314.0;966.0;1235.0
-200.0;2.3;163.0;325.0;618.0;7.3;13.2;65.6;0.9882;1306.0;1199.0;869.0;1160.0
-200.0;3.3;200.0;484.0;552.0;10.5;14.1;60.8;0.9716;1402.0;1305.0;995.0;1341.0
67.0;1.4;101.0;89.0;1008.0;6.9;15.3;61.4;1.058;1547.0;1142.0;852.0;1164.0
-200.0;2.7;183.0;387.0;507.0;12.4;16.2;53.0;0.9722;1483.0;1360.0;1063.0;1420.0
-200.0;1.9;156.0;266.0;614.0;7.6;18.2;45.9;0.9488;1289.0;1223.0;883.0;968.0
-200.0;1.7;139.0;222.0;696.0;5.8;20.5;38.4;0.9161;1191.0;1177.0;800.0;748.0
84.0;1.6;84.0;160.0;1038.0;7.5;9.9;65.2;0.7956;1556.0;1173.0;878.0;1052.0
-200.0;3.7;212.0;494.0;525.0;15.8;25.1;21.8;0.6854;1366.0;1321.0;1175.0;1279.0
-200.0;3.4;219.0;479.0;525.0;15.1;25.6;21.7;0.7039;1343.0;1301.0;1152.0;1151.0
-200.0;0.9;103.0;153.0;843.0;2.8;8.2;65.9;0.7168;1033.0;966.0;639.0;903.0
-200.0;0.9;117.0;168.0;824.0;3.2;8.9;63.5;0.7268;1048.0;989.0;667.0;943.0
-200.0;1.1;132.0;209.0;740.0;4.5;10.4;58.4;0.7367;1099.0;1040.0;736.0;1050.0
