NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
150.0;2.6;113.0;166.0;?;11.9;13.6;48.9;0.7578;1692.0;1360.0;1046.0;1268.0
112.0;2.0;92.0;103.0;?;9.4;13.3;47.7;0.7255;1559.0;1292.0;955.0;972.0
88.0;2.2;114.0;131.0;?;9.0;11.9;54.0;0.7502;1555.0;1402.0;939.0;1074.0
80.0;2.2;122.0;172.0;?;9.2;11.0;60.0;0.7867;1584.0;1376.0;948.0;1203.0
51.0;1.6;116.0;131.0;?;6.5;11.2;59.6;0.7888;1490.0;1272.0;836.0;1110.0
38.0;1.2;96.0;89.0;?;4.7;11.2;59.2;0.7848;1393.0;1197.0;750.0;949.0
31.0;1.2;77.0;62.0;?;3.6;11.3;56.8;0.7603;1333.0;1185.0;690.0;733.0
31.0;1.0;76.0;62.0;?;3.3;10.7;60.0;0.7702;1333.0;1136.0;672.0;730.0
24.0;0.9;60.0;45.0;?;2.3;10.7;59.7;0.7648;1276.0;1094.0;609.0;620.0
19.0;0.6;-200.0;-200.0;?;1.7;10.3;60.2;0.7517;1235.0;1010.0;561.0;501.0
14.0;-200.0;34.0;21.0;?;1.3;10.1;60.5;0.7465;1197.0;1011.0;527.0;445.0
8.0;0.7;28.0;16.0;?;1.1;11.0;56.2;0.7366;1182.0;1066.0;512.0;422.0
16.0;0.7;48.0;34.0;?;1.6;?;58.1;0.7353;1221.0;1052.0;553.0;472.0
29.0;1.1;82.0;98.0;?;3.2;?;59.6;0.7417;1339.0;1144.0;667.0;730.0
64.0;2.0;112.0;174.0;?;8.0;?;57.4;0.7408;1517.0;1333.0;900.0;1102.0
87.0;2.2;101.0;129.0;?;9.5;?;60.6;0.7691;1583.0;1351.0;960.0;1028.0
77.0;1.7;98.0;112.0;?;6.3;?;58.4;0.7552;1446.0;1233.0;827.0;860.0
43.0;1.5;92.0;95.0;?;5.0;10.5;57.9;0.7352;1362.0;1179.0;762.0;671.0
61.0;1.6;95.0;104.0;1301.0;5.2;9.5;66.8;0.7951;1401.0;1236.0;774.0;664.0
63.0;1.9;112.0;146.0;1162.0;7.3;8.3;76.4;0.8393;1537.0;1286.0;869.0;799.0
164.0;2.9;128.0;207.0;983.0;11.5;8.0;81.1;0.8736;1730.0;1371.0;1034.0;1037.0
79.0;2.2;126.0;184.0;1082.0;8.8;8.3;79.8;0.8778;1647.0;1310.0;933.0;946.0
95.0;2.2;131.0;193.0;1103.0;8.3;9.7;71.2;0.8569;1591.0;1292.0;912.0;957.0
150.0;2.9;135.0;243.0;1008.0;11.2;9.8;67.6;0.8185;1719.0;1383.0;1020.0;1104.0
307.0;4.8;151.0;281.0;799.0;20.8;10.3;64.2;0.8065;2083.0;1581.0;1319.0;1409.0
461.0;6.9;172.0;383.0;702.0;27.4;9.7;69.3;0.8319;2333.0;1776.0;1488.0;1704.0
401.0;6.1;165.0;351.0;743.0;24.0;9.6;67.8;?;2191.0;1640.0;1404.0;1654.0
197.0;3.9;136.0;240.0;957.0;12.8;9.1;64.0;?;1707.0;1313.0;1076.0;1285.0
61.0;1.5;85.0;94.0;1325.0;4.7;8.2;63.4;0.6905;1333.0;965.0;749.0;821.0
26.0;1.0;53.0;47.0;1565.0;2.6;8.2;60.8;0.6657;?;913.0;629.0;552.0
55.0;1.7;97.0;122.0;1254.0;5.9;8.3;58.5;0.6438;?;1080.0;805.0;816.0
53.0;1.9;110.0;133.0;1247.0;6.4;7.7;59.7;0.6308;?;1044.0;829.0;832.0
40.0;1.4;91.0;82.0;1396.0;4.1;7.1;61.8;0.6276;?;988.0;718.0;692.0
21.0;0.8;-200.0;-200.0;1680.0;1.9;7.0;62.3;0.6261;?;889.0;574.0;512.0
10.0;-200.0;32.0;21.0;1893.0;1.1;6.1;65.9;0.6248;?;831.0;506.0;384.0
7.0;0.6;44.0;30.0;1895.0;1.0;6.3;65.0;0.6233;?;847.0;501.0;394.0
17.0;0.8;71.0;56.0;1685.0;1.8;6.8;62.9;0.6234;1223.0;927.0;571.0;487.0
33.0;1.4;104.0;109.0;1387.0;4.4;6.4;65.1;0.6316;1361.0;1091.0;730.0;748.0
202.0;4.4;141.0;307.0;897.0;17.9;7.3;63.1;0.6499;1900.0;1587.0;1236.0;1400.0
-200.0;-200.0;-200.0;-200.0;767.0;22.1;9.2;56.2;0.6561;2058.0;1545.0;1353.0;1588.0
208.0;3.1;122.0;?;912.0;14.0;13.2;41.7;0.632;1712.0;1350.0;1118.0;1237.0
166.0;2.7;143.0;?;969.0;11.6;14.3;38.4;0.6243;1598.0;1263.0;1037.0;1167.0
114.0;2.1;113.0;?;1035.0;10.2;15.0;36.5;0.6195;1537.0;1206.0;986.0;959.0
140.0;2.5;116.0;?;1008.0;11.0;16.1;34.5;0.6262;1593.0;1252.0;1016.0;983.0
169.0;2.7;123.0;?;949.0;12.8;16.3;35.7;0.656;1660.0;1287.0;1078.0;1061.0
185.0;?;126.0;?;922.0;14.2;15.8;37.0;0.661;1740.0;1353.0;1122.0;1139.0
165.0;?;120.0;?;954.0;12.7;15.9;37.2;0.6657;1657.0;1309.0;1073.0;1112.0
133.0;?;119.0;?;1006.0;11.7;16.9;34.3;0.6549;1610.0;1274.0;1041.0;994.0
233.0;?;149.0;?;812.0;19.3;15.1;39.6;0.6766;1910.0;1510.0;1277.0;1410.0
242.0;?;145.0;?;821.0;18.2;14.4;43.4;0.7084;1847.0;1525.0;1246.0;1448.0
488.0;?;170.0;?;624.0;32.6;12.9;50.5;0.7478;2390.0;1843.0;1610.0;1887.0
333.0;?;149.0;?;752.0;20.1;12.1;53.3;0.7536;1941.0;1598.0;1299.0;1627.0
215.0;?;139.0;?;839.0;14.3;11.0;59.1;0.774;1723.0;1484.0;1127.0;1491.0
367.0;?;134.0;?;741.0;21.8;9.7;64.6;0.7771;2062.0;1677.0;1346.0;1657.0
122.0;?;113.0;?;963.0;9.6;9.5;64.1;0.7597;1544.0;1280.0;964.0;1285.0
67.0;?;97.0;139.0;1071.0;7.4;?;63.9;0.7423;1463.0;1196.0;873.0;1144.0
43.0;?;82.0;83.0;1176.0;5.4;?;63.9;0.7256;1365.0;1184.0;782.0;1043.0
46.0;?;-200.0;-200.0;1179.0;5.4;?;67.5;0.7173;1380.0;1172.0;783.0;996.0
56.0;?;83.0;109.0;1132.0;6.2;?;71.1;0.7158;1412.0;1147.0;821.0;992.0
30.0;?;65.0;62.0;1420.0;2.6;?;63.6;0.6982;1274.0;978.0;625.0;819.0
27.0;?;60.0;53.0;1406.0;2.9;7.2;67.5;0.6887;1268.0;1100.0;646.0;835.0
47.0;?;77.0;139.0;1228.0;5.1;6.3;71.9;0.6932;1409.0;1112.0;770.0;940.0
132.0;?;96.0;256.0;935.0;11.8;6.5;71.6;0.6945;1678.0;1336.0;1043.0;1192.0
239.0;?;119.0;295.0;830.0;15.1;9.6;59.7;0.7124;1777.0;1408.0;1153.0;1411.0
160.0;?;126.0;250.0;869.0;12.9;12.4;51.2;?;1667.0;1447.0;1081.0;1465.0
283.0;4.1;158.0;296.0;808.0;16.1;15.6;42.2;?;1780.0;1542.0;1184.0;1583.0
210.0;3.6;161.0;239.0;875.0;14.0;18.4;33.8;0.709;1679.0;1451.0;1117.0;1387.0
154.0;2.8;124.0;153.0;987.0;12.3;19.4;31.3;0.695;1600.0;1328.0;1059.0;1101.0
112.0;2.0;102.0;118.0;1088.0;8.6;18.0;34.8;0.7127;1488.0;1207.0;924.0;?
108.0;2.0;116.0;119.0;1049.0;9.2;18.4;33.6;0.7042;1532.0;1240.0;947.0;947.0
111.0;2.5;124.0;138.0;1004.0;10.2;17.6;35.1;0.7012;1554.0;1306.0;987.0;1078.0
97.0;2.3;?;148.0;976.0;10.6;16.7;37.8;0.7117;1602.0;1326.0;1000.0;1084.0
191.0;3.2;?;227.0;831.0;15.5;16.1;41.0;0.7451;1779.0;1473.0;1163.0;1395.0
258.0;4.2;?;277.0;758.0;19.6;15.8;42.4;0.7569;1922.0;1609.0;1286.0;1612.0
284.0;4.2;?;279.0;754.0;19.2;15.7;44.1;0.7786;1915.0;1611.0;1274.0;1697.0
269.0;4.2;?;283.0;762.0;18.3;15.3;46.8;0.8091;1860.0;1621.0;1247.0;1886.0
