NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;2.2;91.0;342.0;854.0;9.7;19.7;57.8;1.3112;1544.0;1036.0;965.0;987.0
184.0;2.1;93.0;129.0;942.0;9.7;15.5;36.1;0.6313;1520.0;1167.0;966.0;1016.0
-200.0;1.0;55.0;185.0;770.0;6.5;19.8;69.2;1.5808;1435.0;982.0;834.0;911.0
-200.0;1.1;57.0;132.0;792.0;6.0;19.9;67.5;1.5544;1413.0;993.0;813.0;946.0
-200.0;0.9;74.0;92.0;886.0;5.9;22.0;51.0;1.3296;1551.0;958.0;805.0;835.0
114.0;2.1;89.0;115.0;971.0;7.5;18.0;38.4;0.7862;1481.0;1063.0;877.0;811.0
247.0;2.3;102.0;127.0;886.0;11.2;14.2;43.3;0.6982;1588.0;1180.0;1023.0;966.0
-200.0;1.5;107.0;177.0;907.0;6.8;23.4;39.4;1.1172;1496.0;942.0;849.0;894.0
-200.0;1.8;94.0;259.0;782.0;6.9;16.9;80.6;1.5372;1413.0;1023.0;851.0;881.0
-200.0;1.5;84.0;214.0;786.0;6.5;16.9;81.4;1.551;1400.0;1015.0;833.0;868.0
-200.0;1.6;102.0;172.0;891.0;7.4;25.7;33.0;1.0763;1525.0;957.0;875.0;871.0
-200.0;1.0;76.0;192.0;857.0;5.4;16.7;79.7;1.503;1367.0;922.0;783.0;825.0
-200.0;2.1;96.0;164.0;835.0;9.6;27.0;27.9;0.9812;1592.0;962.0;963.0;843.0
-200.0;1.6;106.0;144.0;842.0;8.3;24.8;33.1;1.0222;1551.0;942.0;912.0;814.0
-200.0;1.1;53.0;164.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0
-200.0;1.1;51.0;150.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0
-200.0;1.3;56.0;187.0;705.0;7.7;21.3;68.2;1.7127;1574.0;1095.0;886.0;1001.0
-200.0;0.9;78.0;77.0;961.0;6.0;14.2;64.1;1.0346;1518.0;959.0;812.0;910.0
-200.0;1.2;59.0;163.0;753.0;6.3;21.3;69.1;1.7275;1526.0;1082.0;825.0;930.0
-200.0;1.4;52.0;107.0;732.0;8.1;23.8;60.2;1.7515;1560.0;1096.0;903.0;857.0
-200.0;1.4;89.0;108.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0
-200.0;1.4;82.0;237.0;762.0;7.8;16.8;79.0;1.4978;1453.0;989.0;891.0;901.0
-200.0;1.5;62.0;158.0;701.0;8.9;24.9;56.0;1.7367;1565.0;1181.0;935.0;960.0
-200.0;2.0;106.0;162.0;829.0;11.9;34.1;16.0;0.8408;1525.0;944.0;1045.0;884.0
-200.0;1.5;64.0;174.0;747.0;6.5;23.1;70.8;1.98;1562.0;1082.0;834.0;991.0
-200.0;2.1;113.0;176.0;848.0;12.4;35.3;13.8;0.7767;1539.0;940.0;1063.0;929.0
-200.0;2.1;136.0;203.0;865.0;11.7;32.3;16.7;0.7946;1496.0;934.0;1041.0;936.0
-200.0;1.9;123.0;134.0;787.0;11.2;26.3;27.3;0.9238;1552.0;970.0;1023.0;1074.0
-200.0;1.4;101.0;96.0;849.0;9.0;25.3;30.0;0.9508;1488.0;951.0;939.0;868.0
-200.0;0.9;47.0;147.0;817.0;5.5;18.2;70.1;1.4552;1390.0;981.0;790.0;898.0
-200.0;1.5;56.0;309.0;747.0;8.7;16.1;76.3;1.3902;1497.0;1014.0;927.0;951.0
-200.0;1.6;65.0;195.0;699.0;8.8;18.5;69.5;1.4657;1481.0;1061.0;931.0;1015.0
-200.0;1.9;100.0;102.0;779.0;10.8;24.5;35.7;1.0807;1589.0;1010.0;1006.0;1000.0
-200.0;1.8;62.0;213.0;698.0;9.2;18.4;68.5;1.439;1467.0;1091.0;945.0;1014.0
-200.0;1.7;97.0;99.0;779.0;10.2;24.3;36.3;1.0852;1572.0;981.0;985.0;1020.0
-200.0;1.5;59.0;216.0;719.0;7.6;16.8;73.3;1.3915;1430.0;1010.0;884.0;938.0
