InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accZ;Accelerometer BACK accX
-111.0;-117.0;-267.0;-172.0;369.0;12.0;509.0;151;341.0;112;2;220.0;393.0
368.0;48.0;-126.0;-123.0;664.0;77.0;381.0;-112;279.0;49;-16;-188.0;126.0
-163.0;18.0;-61.0;-581.0;765.0;-56.0;296.0;-175;144.0;117;-96;1.0;74.0
-175.0;-460.0;-199.0;-573.0;763.0;-642.0;475.0;-38;254.0;-22;-141;-11.0;240.0
-5.0;20.0;-149.0;-227.0;296.0;20.0;334.0;16;187.0;74;-7;132.0;156.0
-34.0;78.0;-345.0;-8.0;753.0;6.0;515.0;41;603.0;-15;-71;396.0;409.0
198.0;-374.0;-100.0;23.0;390.0;-543.0;307.0;106;218.0;114;0;254.0;76.0
-52.0;-296.0;-26.0;263.0;550.0;-281.0;395.0;14;214.0;35;-18;231.0;-65.0
-50.0;48.0;-156.0;22.0;771.0;16.0;413.0;38;290.0;-15;-70;384.0;175.0
-19.0;-336.0;-178.0;302.0;-80.0;-294.0;364.0;141;211.0;88;-6;3.0;143.0
-5.0;100.0;-262.0;425.0;52.0;109.0;456.0;113;344.0;62;-8;-3.0;310.0
469.0;-100.0;-53.0;407.0;414.0;-100.0;296.0;-11;208.0;91;-12;52.0;220.0
146.0;-30.0;-51.0;390.0;-140.0;-93.0;237.0;166;102.0;57;-8;282.0;144.0
4.0;39.0;-163.0;399.0;-474.0;25.0;389.0;81;229.0;63;-5;180.0;155.0
183.0;-55.0;1.0;-491.0;583.0;-229.0;182.0;-150;68.0;100;-20;252.0;194.0
18.0;14.0;-119.0;-227.0;290.0;1.0;325.0;16;187.0;74;-7;120.0;115.0
167.0;56.0;-306.0;-355.0;839.0;105.0;418.0;23;429.0;-94;-98;561.0;320.0
-222.0;-80.0;-212.0;327.0;61.0;9.0;270.0;113;165.0;109;-11;6.0;28.0
72.0;106.0;-290.0;72.0;64.0;97.0;479.0;113;359.0;62;-7;16.0;305.0
-299.0;-653.0;20.0;-177.0;306.0;-399.0;243.0;45;-46.0;101;-15;171.0;204.0
15.0;12.0;-155.0;-323.0;289.0;32.0;352.0;16;204.0;74;-7;111.0;162.0
57.0;-5.0;-102.0;-743.0;427.0;-27.0;296.0;168;181.0;150;-16;65.0;134.0
-82.0;1.0;-113.0;69.0;322.0;-23.0;294.0;14;112.0;74;-8;198.0;112.0
-869.0;68.0;-180.0;-9.0;385.0;96.0;472.0;37;227.0;17;-17;277.0;385.0
-229.0;23.0;-107.0;139.0;634.0;-27.0;465.0;-32;289.0;81;-53;-278.0;128.0
302.0;-286.0;-197.0;-428.0;627.0;-420.0;341.0;6;286.0;49;-15;224.0;260.0
-564.0;69.0;-281.0;-110.0;958.0;32.0;351.0;54;283.0;115;-10;-380.0;330.0
-721.0;-40.0;-281.0;-638.0;656.0;-21.0;430.0;-94;317.0;-112;55;202.0;276.0
-67.0;-186.0;-7.0;-89.0;296.0;-89.0;523.0;151;204.0;158;0;413.0;389.0
-192.0;15.0;-232.0;-295.0;966.0;36.0;338.0;191;253.0;78;-27;1403.0;245.0
8.0;12.0;-141.0;-225.0;292.0;24.0;318.0;16;172.0;74;-7;86.0;184.0
2.0;-107.0;-137.0;464.0;-77.0;31.0;383.0;135;115.0;80;19;888.0;60.0
56.0;7.0;-122.0;25.0;275.0;34.0;341.0;16;174.0;75;-7;207.0;169.0
-113.0;28.0;-103.0;-178.0;309.0;10.0;331.0;16;181.0;74;-7;111.0;67.0
-14.0;-3.0;-115.0;-169.0;301.0;15.0;312.0;16;177.0;74;-7;139.0;169.0
-16.0;3.0;-124.0;-166.0;298.0;19.0;307.0;16;185.0;74;-7;149.0;156.0
69.0;386.0;-133.0;86.0;258.0;241.0;372.0;16;-205.0;75;-7;178.0;282.0
-10.0;-1.0;-121.0;-161.0;297.0;9.0;311.0;16;176.0;74;-7;144.0;127.0
-101.0;31.0;-87.0;-106.0;277.0;45.0;321.0;16;164.0;75;-7;179.0;197.0
12.0;33.0;-136.0;-160.0;300.0;0.0;318.0;16;178.0;74;-7;164.0;136.0
41.0;-304.0;-283.0;-282.0;473.0;-353.0;276.0;64;327.0;39;-70;-27.0;48.0
131.0;74.0;35.0;-323.0;723.0;-179.0;228.0;-17;97.0;34;-137;-30.0;137.0
-98.0;-294.0;134.0;-388.0;622.0;-259.0;285.0;-128;107.0;-26;-154;361.0;135.0
-12.0;-199.0;24.0;-374.0;552.0;-229.0;341.0;-108;92.0;-18;-89;-16.0;-44.0
29.0;30.0;-149.0;-232.0;300.0;18.0;340.0;16;184.0;74;-7;117.0;168.0
9.0;3.0;-134.0;-176.0;301.0;5.0;325.0;16;186.0;74;-7;137.0;133.0
83.0;79.0;-288.0;-223.0;251.0;76.0;398.0;99;253.0;145;-3;-56.0;139.0
-4.0;10.0;-138.0;-184.0;304.0;15.0;347.0;16;167.0;74;-7;153.0;133.0
137.0;203.0;-391.0;-273.0;511.0;57.0;283.0;-139;426.0;23;-127;245.0;26.0
399.0;93.0;-461.0;-507.0;443.0;222.0;538.0;153;445.0;118;-10;71.0;-108.0
17.0;10.0;-143.0;-172.0;299.0;27.0;331.0;16;184.0;74;-7;170.0;162.0
2.0;8.0;-143.0;-174.0;302.0;22.0;332.0;16;184.0;74;-8;158.0;169.0
57.0;7.0;-146.0;-169.0;304.0;12.0;337.0;16;181.0;74;-7;137.0;147.0
25.0;-11.0;-206.0;-215.0;221.0;-68.0;450.0;141;310.0;88;-6;43.0;250.0
410.0;-95.0;-78.0;-228.0;841.0;-14.0;261.0;82;228.0;-141;-9;-14.0;15.0
833.0;-133.0;-22.0;-403.0;953.0;-10.0;417.0;-50;297.0;99;-64;43.0;-15.0
713.0;-131.0;-206.0;-90.0;690.0;-190.0;437.0;-55;120.0;-82;-160;452.0;88.0
7.0;18.0;-147.0;-164.0;300.0;16.0;330.0;16;177.0;74;-7;156.0;161.0
-56.0;2.0;-150.0;-171.0;297.0;18.0;334.0;16;177.0;74;-7;123.0;173.0
32.0;178.0;-49.0;-486.0;1317.0;-36.0;254.0;143;93.0;148;-90;262.0;248.0
-293.0;-260.0;-257.0;-283.0;720.0;-344.0;420.0;22;391.0;-14;-84;427.0;368.0
-757.0;-198.0;-200.0;-260.0;484.0;-447.0;340.0;25;359.0;-13;-81;279.0;363.0
-111.0;23.0;-141.0;-306.0;292.0;23.0;325.0;16;206.0;74;-7;145.0;191.0
-526.0;91.0;-298.0;-216.0;235.0;-19.0;452.0;84;265.0;47;-12;-97.0;156.0
-26.0;2.0;-135.0;-176.0;290.0;32.0;298.0;16;176.0;74;-7;179.0;163.0
-98.0;23.0;-135.0;-262.0;117.0;-4.0;363.0;108;225.0;158;-3;661.0;213.0
13.0;38.0;-130.0;-170.0;280.0;15.0;312.0;16;171.0;74;-8;184.0;146.0
164.0;-45.0;-93.0;-285.0;149.0;-18.0;256.0;-16;236.0;30;-11;383.0;127.0
88.0;-27.0;-133.0;-345.0;171.0;-31.0;296.0;111;185.0;158;-3;419.0;77.0
178.0;-10.0;-7.0;-19.0;89.0;-55.0;283.0;0;122.0;71;-13;61.0;182.0
-202.0;0.0;-144.0;40.0;311.0;3.0;352.0;15;186.0;74;-8;194.0;165.0
115.0;-31.0;-235.0;-72.0;74.0;-42.0;261.0;166;295.0;71;-2;120.0;-1.0
8.0;177.0;-340.0;-109.0;305.0;76.0;454.0;96;376.0;113;-11;158.0;272.0
120.0;19.0;-69.0;49.0;439.0;-63.0;604.0;77;142.0;-42;-4;52.0;375.0
-10.0;28.0;-147.0;-142.0;292.0;7.0;282.0;16;180.0;75;-7;159.0;157.0
-8.0;-1.0;-113.0;-141.0;293.0;-7.0;336.0;16;172.0;75;-7;129.0;166.0
-119.0;4.0;-19.0;-139.0;273.0;3.0;226.0;97;145.0;141;-3;131.0;71.0
-21.0;140.0;-293.0;315.0;280.0;30.0;475.0;132;211.0;39;-16;289.0;288.0
-53.0;-9.0;-144.0;-94.0;287.0;64.0;306.0;16;172.0;75;-7;150.0;182.0
-35.0;25.0;-122.0;-94.0;285.0;61.0;322.0;16;182.0;75;-7;171.0;165.0
-10.0;-13.0;-103.0;-149.0;291.0;13.0;326.0;16;173.0;75;-7;122.0;171.0
0.0;0.0;-114.0;-148.0;291.0;11.0;323.0;16;172.0;75;-7;96.0;115.0
-159.0;-134.0;-72.0;25.0;387.0;-249.0;487.0;106;166.0;93;0;187.0;170.0
-25.0;85.0;14.0;-123.0;909.0;-47.0;183.0;29;20.0;120;-24;131.0;130.0
85.0;112.0;-29.0;-114.0;911.0;-66.0;219.0;45;11.0;123;-23;21.0;450.0
12.0;1.0;-125.0;-142.0;291.0;14.0;332.0;16;178.0;75;-7;132.0;137.0
-17.0;48.0;-165.0;-11.0;275.0;31.0;418.0;16;210.0;74;-7;28.0;202.0
37.0;24.0;-135.0;-144.0;290.0;15.0;319.0;16;176.0;75;-7;131.0;154.0
58.0;17.0;-126.0;-170.0;306.0;16.0;332.0;16;183.0;74;-7;112.0;150.0
13.0;19.0;-145.0;-101.0;306.0;18.0;313.0;16;158.0;75;-7;140.0;176.0
222.0;22.0;-63.0;60.0;307.0;-32.0;300.0;15;171.0;73;-8;128.0;65.0
67.0;33.0;-154.0;-140.0;302.0;13.0;335.0;16;171.0;75;-7;134.0;182.0
1005.0;-88.0;-39.0;-112.0;264.0;-31.0;298.0;37;262.0;141;-5;142.0;56.0
24.0;-12.0;-121.0;-142.0;292.0;11.0;332.0;16;179.0;75;-7;132.0;129.0
-14.0;26.0;-131.0;-128.0;305.0;30.0;319.0;16;175.0;75;-7;140.0;182.0
-340.0;109.0;-229.0;248.0;303.0;15.0;341.0;16;262.0;61;-9;70.0;368.0
14.0;253.0;-114.0;158.0;556.0;414.0;596.0;-17;425.0;28;-135;-70.0;190.0
-55.0;167.0;-270.0;-287.0;874.0;-16.0;523.0;16;359.0;1;-31;104.0;266.0
49.0;-201.0;-217.0;-866.0;899.0;-251.0;497.0;-146;307.0;-59;-143;-12.0;231.0
-115.0;241.0;-495.0;-497.0;103.0;176.0;581.0;-2;537.0;48;-8;268.0;523.0
