InertialMeasurementUnit R-SHOE EuZ;Accelerometer RKN_ accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE EuY
-164;6.0;-28.0;783;181.0;76;415;-28
-162;-21.0;-11.0;796;222.0;72;385;-23
-162;-21.0;-11.0;795;229.0;71;388;-23
-162;-18.0;7.0;794;215.0;70;390;-23
-162;6.0;53.0;795;213.0;70;390;-23
-162;-20.0;57.0;793;225.0;71;391;-23
-162;-8.0;52.0;797;241.0;69;387;-23
-162;4.0;45.0;799;241.0;70;386;-23
-162;6.0;35.0;793;241.0;73;391;-23
-162;-3.0;49.0;794;252.0;74;386;-23
-162;-23.0;47.0;797;234.0;73;380;-23
-162;11.0;6.0;796;224.0;74;383;-23
-162;-7.0;52.0;797;225.0;73;382;-23
-162;-7.0;36.0;797;236.0;71;388;-23
-162;-10.0;-23.0;796;237.0;71;388;-23
-162;-35.0;-2.0;786;232.0;79;387;-23
-162;-2.0;-4.0;795;230.0;69;394;-23
-162;-17.0;66.0;798;232.0;68;393;-23
-162;-10.0;18.0;800;231.0;69;384;-23
-162;18.0;25.0;800;212.0;70;387;-23
-162;-26.0;34.0;800;243.0;71;385;-23
-162;-5.0;24.0;795;254.0;72;386;-23
-162;-10.0;-6.0;795;223.0;74;386;-23
-162;12.0;42.0;799;213.0;68;389;-23
-162;-21.0;74.0;793;251.0;73;392;-23
-162;-35.0;50.0;792;251.0;73;388;-23
-162;-37.0;5.0;795;250.0;72;384;-23
-162;14.0;-6.0;799;229.0;72;384;-23
-162;2.0;-4.0;800;242.0;68;388;-23
-162;-9.0;-3.0;801;263.0;64;397;-23
-162;-19.0;-6.0;799;267.0;68;391;-23
-162;-19.0;28.0;796;259.0;72;386;-23
-162;-10.0;16.0;800;203.0;68;390;-23
-162;-11.0;48.0;790;209.0;77;385;-23
-162;-7.0;35.0;793;230.0;75;386;-23
-162;-21.0;26.0;798;241.0;68;392;-23
-162;-18.0;8.0;795;240.0;72;387;-23
-162;-29.0;47.0;794;258.0;72;389;-23
-162;3.0;39.0;797;254.0;70;390;-23
-162;-10.0;-2.0;796;246.0;72;387;-23
-162;-11.0;28.0;797;228.0;73;388;-23
-162;5.0;-7.0;797;241.0;71;386;-23
-162;10.0;3.0;794;246.0;73;388;-23
-162;-12.0;51.0;797;240.0;71;386;-23
-162;-11.0;67.0;795;238.0;72;385;-23
-162;5.0;47.0;794;234.0;75;381;-23
-162;22.0;25.0;795;230.0;70;390;-23
-162;18.0;51.0;796;231.0;70;387;-23
-162;32.0;5.0;795;231.0;71;386;-23
-162;12.0;23.0;792;232.0;73;386;-23
-163;28.0;43.0;798;225.0;71;388;-23
-163;14.0;62.0;799;224.0;70;390;-23
-163;15.0;37.0;798;249.0;71;390;-23
-163;-6.0;62.0;793;243.0;74;390;-23
-163;-47.0;46.0;799;231.0;68;390;-23
-163;-26.0;15.0;796;232.0;70;394;-23
-163;-32.0;-19.0;793;226.0;76;388;-23
-162;-1.0;-17.0;795;241.0;72;386;-23
-162;-16.0;-15.0;792;241.0;72;387;-23
-162;8.0;-1.0;793;244.0;72;387;-23
-162;-27.0;32.0;797;240.0;72;385;-23
-162;-40.0;45.0;791;250.0;75;389;-23
-158;-1.0;7.0;796;266.0;70;384;-26
-158;28.0;27.0;793;259.0;73;388;-26
-158;10.0;-6.0;796;241.0;72;380;-26
-158;-3.0;42.0;802;252.0;66;383;-26
-160;-10.0;-55.0;789;246.0;68;407;-27
-160;-20.0;-28.0;778;243.0;72;407;-27
-160;-25.0;-1.0;777;247.0;70;414;-27
-160;-42.0;-30.0;777;255.0;70;414;-27
-160;-14.0;24.0;775;240.0;71;414;-27
-160;-12.0;-46.0;774;222.0;73;414;-27
-160;-29.0;26.0;775;241.0;72;414;-27
-160;-23.0;44.0;774;250.0;73;414;-27
-160;-45.0;41.0;772;235.0;78;406;-27
-160;-47.0;41.0;773;254.0;79;404;-27
-160;-41.0;-46.0;778;243.0;76;402;-28
-160;-49.0;-9.0;777;239.0;72;412;-28
-160;-56.0;19.0;771;242.0;75;416;-28
-160;-36.0;13.0;770;249.0;72;421;-28
-160;-3.0;36.0;772;260.0;70;424;-28
-160;-42.0;43.0;764;231.0;79;418;-28
-159;-28.0;-28.0;760;235.0;75;432;-28
-160;-30.0;73.0;763;224.0;74;435;-28
-160;-60.0;28.0;762;247.0;75;434;-28
-160;-28.0;3.0;762;232.0;75;434;-28
-160;6.0;-30.0;756;207.0;76;437;-28
-160;-14.0;-3.0;755;239.0;77;434;-28
-160;11.0;12.0;757;250.0;79;423;-28
-160;-13.0;-17.0;759;242.0;75;429;-28
-160;-10.0;95.0;756;251.0;78;431;-28
-162;-20.0;32.0;794;235.0;73;383;-23
-162;-11.0;39.0;791;224.0;73;388;-23
-162;-18.0;59.0;799;243.0;68;384;-23
-162;-8.0;54.0;801;233.0;68;384;-23
-162;-7.0;32.0;801;231.0;68;384;-23
-162;-15.0;25.0;800;231.0;68;384;-23
-162;10.0;16.0;800;222.0;68;384;-23
-162;-14.0;13.0;799;239.0;67;384;-23
-162;-10.0;18.0;800;245.0;63;388;-23
