InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-545.0;-653.0;690.0;-647.0;-889.0;-96.0;39.0;452.0;206.0;230.0;-33.0
-682.0;-273.0;612.0;-780.0;-675.0;2.0;-41.0;-150.0;-285.0;664.0;-373.0
-233.0;-781.0;423.0;-351.0;-873.0;-20.0;-148.0;393.0;248.0;87.0;-46.0
-475.0;-798.0;594.0;-554.0;-804.0;-248.0;15.0;396.0;215.0;-251.0;613.0
-83.0;-523.0;238.0;-858.0;-993.0;-20.0;209.0;10.0;114.0;31.0;268.0
217.0;299.0;-345.0;408.0;186.0;-393.0;899.0;-533.0;-445.0;-825.0;-454.0
-376.0;-723.0;519.0;-575.0;-881.0;-243.0;-46.0;425.0;173.0;13.0;218.0
-444.0;-593.0;552.0;-566.0;-875.0;-171.0;-78.0;450.0;185.0;100.0;-31.0
-462.0;-572.0;557.0;-562.0;-872.0;-156.0;-86.0;452.0;187.0;113.0;-58.0
-475.0;-554.0;554.0;-557.0;-869.0;-143.0;-93.0;455.0;189.0;123.0;-85.0
-483.0;-538.0;548.0;-554.0;-868.0;-132.0;-100.0;461.0;191.0;134.0;-106.0
-489.0;-496.0;525.0;-553.0;-865.0;-98.0;-121.0;475.0;212.0;171.0;-135.0
-258.0;-772.0;442.0;-381.0;-881.0;-31.0;-159.0;285.0;173.0;112.0;-114.0
-566.0;-714.0;709.0;-745.0;-889.0;-171.0;130.0;471.0;328.0;274.0;87.0
-532.0;-674.0;647.0;-596.0;-912.0;-99.0;-47.0;385.0;248.0;90.0;85.0
-208.0;-713.0;411.0;-696.0;-934.0;43.0;156.0;352.0;273.0;8.0;366.0
-314.0;-731.0;454.0;-391.0;-889.0;-52.0;-172.0;159.0;57.0;145.0;-190.0
-567.0;-614.0;604.0;-618.0;-894.0;-67.0;-52.0;58.0;-156.0;167.0;-207.0
-557.0;-675.0;691.0;-539.0;-864.0;-82.0;-49.0;409.0;405.0;6.0;447.0
-610.0;-436.0;545.0;-703.0;-394.0;393.0;-254.0;389.0;-238.0;717.0;-291.0
-619.0;-729.0;655.0;-756.0;-489.0;-217.0;89.0;32.0;-180.0;762.0;573.0
