InertialMeasurementUnit L-SHOE EuX;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;Accelerometer LWR accY;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;Accelerometer LH accZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
-84;705.0;641.0;326.0;102.0;364.0;427.0;634.0;909.0;-599.0;-578.0;147.0
-143;1001.0;-134.0;-343.0;-315.0;-688.0;-365.0;-391.0;334.0;73.0;-995.0;787.0
99;399.0;933.0;850.0;325.0;512.0;990.0;59.0;1018.0;-938.0;-345.0;422.0
-154;786.0;578.0;210.0;-376.0;347.0;124.0;-253.0;1021.0;-466.0;-841.0;642.0
102;442.0;1006.0;813.0;392.0;562.0;801.0;87.0;1010.0;-983.0;-309.0;389.0
-151;369.0;931.0;877.0;263.0;487.0;997.0;39.0;1006.0;-956.0;-333.0;413.0
105;428.0;908.0;821.0;416.0;557.0;915.0;125.0;929.0;-933.0;-372.0;414.0
11;515.0;822.0;652.0;331.0;742.0;770.0;168.0;981.0;-725.0;-499.0;326.0
-38;339.0;873.0;867.0;577.0;729.0;993.0;-184.0;867.0;-900.0;-217.0;479.0
105;278.0;970.0;909.0;834.0;305.0;989.0;103.0;1015.0;-961.0;-138.0;315.0
1;361.0;784.0;584.0;517.0;282.0;738.0;-29.0;901.0;-1190.0;-229.0;238.0
-40;405.0;744.0;739.0;842.0;773.0;800.0;64.0;1775.0;-1048.0;-270.0;412.0
95;285.0;1020.0;943.0;929.0;1021.0;1101.0;93.0;1048.0;-971.0;-215.0;368.0
99;365.0;924.0;855.0;358.0;549.0;999.0;52.0;1015.0;-956.0;-312.0;417.0
162;406.0;839.0;813.0;314.0;509.0;1090.0;-126.0;951.0;-1054.0;-175.0;476.0
158;375.0;902.0;1070.0;223.0;382.0;1127.0;84.0;999.0;-894.0;-313.0;370.0
98;425.0;955.0;860.0;363.0;548.0;1004.0;108.0;1138.0;-960.0;-333.0;386.0
-31;366.0;629.0;704.0;928.0;816.0;814.0;11.0;1037.0;-1269.0;-192.0;196.0
94;370.0;1010.0;993.0;483.0;524.0;1265.0;132.0;1019.0;-1026.0;-479.0;471.0
103;440.0;741.0;993.0;490.0;391.0;1505.0;114.0;950.0;-1049.0;-96.0;329.0
99;375.0;946.0;848.0;356.0;542.0;988.0;70.0;1007.0;-952.0;-356.0;405.0
-24;407.0;920.0;819.0;996.0;793.0;862.0;207.0;1030.0;-911.0;-414.0;387.0
104;360.0;936.0;915.0;128.0;388.0;1074.0;42.0;891.0;-994.0;-209.0;377.0
107;454.0;914.0;813.0;271.0;556.0;945.0;56.0;1049.0;-939.0;-230.0;309.0
97;393.0;904.0;953.0;392.0;635.0;1078.0;-7.0;1023.0;-1001.0;-523.0;438.0
155;328.0;997.0;876.0;128.0;373.0;922.0;124.0;950.0;-1011.0;-426.0;291.0
97;520.0;938.0;916.0;451.0;607.0;1109.0;-176.0;1013.0;-989.0;-264.0;572.0
104;370.0;948.0;848.0;456.0;566.0;955.0;52.0;987.0;-908.0;-405.0;424.0
99;369.0;946.0;877.0;331.0;513.0;999.0;58.0;1016.0;-947.0;-288.0;411.0
92;546.0;808.0;548.0;-13.0;498.0;522.0;588.0;1015.0;-707.0;-587.0;186.0
1;598.0;791.0;677.0;878.0;342.0;602.0;693.0;985.0;-744.0;-349.0;141.0
99;339.0;953.0;867.0;323.0;506.0;985.0;82.0;1000.0;-977.0;-288.0;401.0
99;360.0;930.0;888.0;376.0;540.0;987.0;69.0;1001.0;-941.0;-369.0;385.0
61;351.0;947.0;898.0;858.0;594.0;1021.0;95.0;1006.0;-961.0;-283.0;379.0
102;271.0;854.0;801.0;494.0;584.0;1017.0;238.0;1030.0;-1136.0;-242.0;177.0
106;303.0;945.0;871.0;289.0;486.0;1033.0;109.0;1003.0;-974.0;-230.0;309.0
40;272.0;848.0;883.0;419.0;357.0;961.0;250.0;881.0;-953.0;-631.0;369.0
99;385.0;964.0;849.0;359.0;547.0;975.0;44.0;1015.0;-946.0;-308.0;405.0
99;368.0;944.0;886.0;324.0;512.0;1034.0;27.0;1009.0;-928.0;-297.0;401.0
99;373.0;961.0;873.0;337.0;520.0;1004.0;51.0;1023.0;-943.0;-335.0;409.0
99;398.0;944.0;855.0;367.0;547.0;1003.0;39.0;1028.0;-931.0;-345.0;392.0
97;337.0;895.0;812.0;418.0;615.0;934.0;54.0;1002.0;-960.0;-242.0;397.0
99;384.0;960.0;865.0;367.0;548.0;968.0;57.0;1033.0;-948.0;-331.0;387.0
103;349.0;1000.0;869.0;441.0;567.0;1056.0;31.0;1011.0;-917.0;-347.0;391.0
99;339.0;951.0;891.0;363.0;537.0;999.0;73.0;1008.0;-952.0;-313.0;347.0
133;309.0;865.0;875.0;186.0;353.0;926.0;20.0;1571.0;-1083.0;-489.0;336.0
99;381.0;941.0;858.0;349.0;528.0;985.0;94.0;1027.0;-950.0;-330.0;365.0
113;299.0;1016.0;943.0;306.0;477.0;999.0;137.0;1020.0;-964.0;-318.0;302.0
152;94.0;971.0;992.0;385.0;569.0;1038.0;-7.0;969.0;-964.0;-26.0;288.0
21;291.0;1174.0;1040.0;403.0;528.0;1148.0;214.0;562.0;-859.0;-400.0;351.0
164;373.0;1032.0;960.0;342.0;553.0;1159.0;51.0;1346.0;-867.0;-363.0;440.0
105;291.0;953.0;880.0;237.0;453.0;1001.0;103.0;971.0;-947.0;-287.0;305.0
154;370.0;897.0;915.0;361.0;559.0;1096.0;67.0;897.0;-942.0;-236.0;430.0
104;412.0;932.0;853.0;397.0;550.0;1012.0;20.0;1038.0;-975.0;-297.0;412.0
99;361.0;948.0;843.0;365.0;534.0;1005.0;11.0;1038.0;-958.0;-311.0;406.0
99;362.0;959.0;848.0;339.0;519.0;968.0;61.0;1010.0;-941.0;-382.0;402.0
-155;573.0;839.0;690.0;-71.0;252.0;811.0;395.0;1006.0;-867.0;-510.0;497.0
99;350.0;952.0;885.0;356.0;534.0;987.0;81.0;1027.0;-957.0;-332.0;376.0
99;376.0;936.0;852.0;360.0;533.0;979.0;49.0;1016.0;-928.0;-352.0;442.0
-14;544.0;813.0;639.0;782.0;378.0;512.0;-497.0;946.0;-655.0;-573.0;661.0
