InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
20;16.0;3;70.0;27;-17;17;20
26;24.0;1;42.0;28;2;-2;26
-42;106.0;-5;16.0;8;49;-49;-42
9;134.0;4;129.0;31;-27;27;9
19;35.0;-2;50.0;24;2;-2;19
-5;18.0;-1;51.0;26;-18;18;-5
-22;34.0;-2;69.0;26;-18;18;-22
54;-49.0;-598;442.0;292;-45;45;54
-25;255.0;-2;69.0;-7;-54;54;-25
-12;29.0;0;60.0;23;0;0;-12
0;45.0;1;27.0;24;-8;8;0
15;-24.0;-2;23.0;23;-6;6;15
19;-16.0;-2;43.0;24;8;-8;19
-34;35.0;-3;35.0;31;4;-4;-34
-13;4.0;5;42.0;29;8;-8;-13
-26;6.0;1;70.0;23;13;-13;-26
-19;31.0;3;68.0;24;7;-7;-19
-9;10.0;1;58.0;24;-17;17;-9
18;-13.0;3;34.0;27;-36;36;18
7;11.0;3;27.0;28;15;-15;7
23;47.0;-1;47.0;22;-12;12;23
28;24.0;0;37.0;22;-3;3;28
3;1201.0;-56;-269.0;41;-8;8;3
12;26.0;7;29.0;29;-23;23;12
5;17.0;-1;46.0;24;-25;25;5
-33;41.0;1;64.0;26;2;-2;-33
-30;52.0;1;36.0;14;14;-14;-30
34;57.0;3;8.0;22;-13;13;34
-5;6.0;3;42.0;25;-5;5;-5
-4;-1.0;-2;32.0;19;12;-12;-4
-3;-5.0;2;63.0;23;28;-28;-3
-17;8.0;-1;80.0;22;-19;19;-17
5;21.0;-2;48.0;21;-9;9;5
22;34.0;3;48.0;25;-3;3;22
-9;34.0;1;44.0;23;-17;17;-9
-35;30.0;-4;50.0;21;2;-2;-35
-6;-15.0;-3;19.0;17;-36;36;-6
-12;22.0;1;41.0;21;-17;17;-12
