Accelerometer LWR accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE EuY;Accelerometer LH accX
-361.0;-138.0;-35;394.0
-340.0;-125.0;-41;411.0
-349.0;-112.0;-41;381.0
-342.0;-109.0;-41;366.0
-330.0;-129.0;-41;379.0
-336.0;-118.0;-41;360.0
-340.0;-111.0;-41;394.0
-338.0;-108.0;-41;383.0
-334.0;-105.0;-41;380.0
-435.0;-129.0;-41;426.0
-371.0;-50.0;-39;370.0
-392.0;-105.0;-40;413.0
-341.0;-126.0;-41;399.0
-360.0;-131.0;-41;389.0
-333.0;-123.0;-41;370.0
-355.0;-111.0;-24;377.0
-359.0;-129.0;-41;364.0
-326.0;-119.0;-41;383.0
-357.0;-105.0;-42;377.0
-332.0;-136.0;-41;384.0
-345.0;-130.0;-42;426.0
-355.0;-118.0;-41;371.0
-347.0;-139.0;-41;400.0
-379.0;-114.0;-41;377.0
-370.0;-132.0;-54;401.0
-378.0;-112.0;-40;423.0
-339.0;-117.0;-41;345.0
-599.0;-362.0;-44;335.0
-357.0;-149.0;-41;405.0
-368.0;-148.0;-40;392.0
-285.0;-109.0;-41;465.0
-356.0;-111.0;-41;392.0
-347.0;-119.0;-41;403.0
-337.0;-127.0;-40;387.0
-350.0;-135.0;-40;362.0
-348.0;-135.0;-41;365.0
-337.0;-100.0;-41;380.0
-362.0;-53.0;-40;414.0
-346.0;-118.0;-41;360.0
-346.0;-114.0;-41;371.0
-336.0;-125.0;-41;391.0
-371.0;-112.0;-55;387.0
-340.0;-124.0;-41;398.0
-331.0;-106.0;-41;379.0
-337.0;-109.0;-41;380.0
-344.0;-128.0;-40;376.0
-358.0;-90.0;-32;371.0
-337.0;-107.0;-41;368.0
-361.0;-110.0;-40;379.0
-363.0;-114.0;-40;380.0
-349.0;-100.0;-41;378.0
-325.0;-118.0;-41;383.0
-337.0;-122.0;-41;368.0
-356.0;-148.0;-43;399.0
-337.0;-118.0;-41;373.0
-524.0;-52.0;-44;399.0
-350.0;-129.0;-41;377.0
-350.0;-122.0;-41;418.0
-349.0;-108.0;-41;405.0
-344.0;-118.0;-41;386.0
-665.0;-89.0;-38;434.0
-434.0;-262.0;-43;441.0
-342.0;-154.0;-41;397.0
-346.0;-144.0;-41;392.0
-339.0;-136.0;-41;378.0
-350.0;-136.0;-41;370.0
-328.0;-131.0;-41;382.0
-360.0;-144.0;-41;388.0
-347.0;-137.0;-41;388.0
-329.0;-122.0;-41;367.0
-341.0;-131.0;-41;384.0
-323.0;-267.0;-35;444.0
-335.0;-131.0;-41;375.0
-359.0;-126.0;-54;431.0
-351.0;-110.0;-41;364.0
-331.0;-122.0;-41;392.0
-405.0;-82.0;-31;440.0
-379.0;-111.0;-39;398.0
-652.0;0.0;-40;294.0
-373.0;-106.0;-40;376.0
-450.0;-60.0;-43;465.0
-357.0;-110.0;-41;356.0
-350.0;-122.0;-41;339.0
-358.0;-163.0;-37;361.0
-366.0;-98.0;-41;418.0
-378.0;-139.0;-41;370.0
-348.0;-100.0;-49;389.0
-370.0;-97.0;-49;379.0
-342.0;-168.0;-44;375.0
-368.0;-139.0;-41;389.0
-362.0;-134.0;-11;420.0
-344.0;-136.0;-41;400.0
-296.0;-176.0;-39;441.0
-335.0;-111.0;-41;366.0
-484.0;-126.0;-42;287.0
-407.0;-122.0;-45;505.0
-332.0;-107.0;-41;375.0
-353.0;-119.0;-41;388.0
-355.0;-128.0;-41;392.0
-369.0;-109.0;-40;369.0
-348.0;-135.0;-41;365.0
-339.0;-122.0;-41;368.0
-554.0;-129.0;-44;622.0
-424.0;9.0;-48;523.0
-348.0;-117.0;-41;380.0
-359.0;-174.0;-32;324.0
-402.0;-160.0;-36;471.0
-366.0;-122.0;-41;387.0
-514.0;-193.0;-54;409.0
-356.0;-166.0;-35;412.0
-333.0;-137.0;-41;370.0
-307.0;-172.0;-35;362.0
-348.0;-117.0;-35;411.0
-335.0;-136.0;-41;375.0
-349.0;-110.0;-41;411.0
-345.0;-118.0;-41;366.0
-328.0;-132.0;-41;400.0
-330.0;-112.0;-41;371.0
-333.0;-115.0;-41;377.0
-351.0;-136.0;-41;351.0
-319.0;-185.0;-40;512.0
-371.0;-127.0;-17;433.0
-348.0;-135.0;-40;399.0
-355.0;-114.0;-41;461.0
-337.0;-120.0;-41;376.0
-354.0;-88.0;-43;382.0
-360.0;-117.0;-41;379.0
-403.0;-114.0;-40;388.0
-351.0;-118.0;-41;383.0
-389.0;-114.0;-46;430.0
-333.0;-140.0;-15;361.0
-368.0;-118.0;-41;383.0
-370.0;-106.0;-41;403.0
-342.0;-105.0;-41;388.0
-352.0;-115.0;-41;368.0
-360.0;-141.0;-15;398.0
-354.0;-218.0;-37;418.0
-393.0;-55.0;-38;464.0
-506.0;-162.0;-54;505.0
-360.0;-115.0;-44;359.0
-344.0;-116.0;-25;411.0
-320.0;-233.0;-30;303.0
-333.0;-137.0;-16;370.0
-369.0;-106.0;-41;382.0
-354.0;-126.0;-32;367.0
-359.0;-122.0;-45;363.0
-366.0;-126.0;-43;405.0
-252.0;-251.0;-43;362.0
-370.0;-145.0;-45;386.0
-333.0;-233.0;-41;360.0
-377.0;-117.0;-42;365.0
-484.0;-363.0;-50;530.0
-345.0;-158.0;-43;392.0
-360.0;-117.0;-44;367.0
-452.0;-60.0;-52;370.0
-352.0;-199.0;-43;380.0
-367.0;-115.0;-39;388.0
-403.0;-157.0;-59;398.0
-880.0;-25.0;-44;418.0
-368.0;-124.0;-43;394.0
-350.0;-143.0;-36;366.0
-386.0;-120.0;-43;410.0
-324.0;-139.0;-41;421.0
-341.0;-106.0;-36;368.0
-363.0;-109.0;-43;362.0
-390.0;-143.0;-43;341.0
-375.0;-120.0;-36;429.0
-584.0;-344.0;-51;669.0
-332.0;-106.0;-41;375.0
-311.0;-109.0;-40;282.0
-322.0;-111.0;-41;375.0
-293.0;-1059.0;-36;300.0
-344.0;-97.0;-41;368.0
-144.0;-427.0;-43;128.0
-672.0;-8.0;-32;788.0
-572.0;-674.0;-40;593.0
-318.0;-108.0;-41;358.0
-329.0;-136.0;-41;362.0
-392.0;-211.0;-39;323.0
-278.0;-105.0;-41;380.0
-368.0;-116.0;-40;351.0
-309.0;-146.0;-41;347.0
-343.0;-97.0;-40;359.0
-367.0;-305.0;-41;336.0
-324.0;-111.0;-41;380.0
-328.0;-107.0;-41;360.0
-244.0;-349.0;-45;66.0
-362.0;-113.0;-48;354.0
-330.0;-107.0;-41;378.0
-364.0;-112.0;39;432.0
-362.0;-127.0;-26;350.0
-342.0;-111.0;-41;350.0
-331.0;-104.0;-41;376.0
-320.0;-73.0;-47;398.0
-344.0;-163.0;-32;265.0
-327.0;-119.0;-41;350.0
-259.0;-244.0;-41;704.0
-313.0;-141.0;-41;380.0
-388.0;-108.0;-40;359.0
-312.0;-329.0;-52;557.0
-311.0;-9.0;-43;402.0
-528.0;18.0;-45;493.0
-330.0;-105.0;-41;380.0
-361.0;-99.0;-40;330.0
-408.0;-72.0;-32;398.0
-342.0;43.0;-37;478.0
-309.0;-126.0;-41;357.0
-364.0;-131.0;-44;339.0
-217.0;-333.0;-42;334.0
-328.0;-139.0;-43;328.0
-315.0;-114.0;-41;389.0
-317.0;-102.0;-41;369.0
-263.0;-293.0;-40;228.0
-326.0;-38.0;-36;473.0
-336.0;-370.0;-43;444.0
-354.0;-154.0;-32;336.0
-466.0;-73.0;-39;755.0
-778.0;-146.0;-41;238.0
-397.0;-124.0;-41;320.0
-343.0;-102.0;-41;296.0
-320.0;-566.0;-42;408.0
-451.0;-126.0;-38;358.0
-325.0;-155.0;-15;336.0
-323.0;-110.0;-41;326.0
-610.0;521.0;-30;573.0
-350.0;26.0;-45;313.0
-374.0;-86.0;-32;365.0
-301.0;-116.0;-41;340.0
-319.0;-127.0;-41;367.0
-308.0;243.0;-45;299.0
-396.0;145.0;-38;498.0
-283.0;-468.0;-39;245.0
-326.0;-135.0;-41;364.0
-322.0;-18.0;-42;342.0
-336.0;-112.0;-41;352.0
-457.0;-365.0;-50;151.0
-338.0;-188.0;-43;246.0
-341.0;-81.0;-38;376.0
-760.0;-9.0;-40;596.0
-428.0;-151.0;-46;564.0
-332.0;-101.0;-41;379.0
-292.0;-153.0;-39;309.0
-333.0;-139.0;-41;357.0
-396.0;-11.0;-39;416.0
-303.0;-90.0;-43;360.0
-316.0;-118.0;-41;377.0
-365.0;-54.0;-37;327.0
-370.0;-46.0;-37;243.0
-863.0;-377.0;-44;511.0
-330.0;-100.0;-41;397.0
-321.0;-97.0;-39;406.0
61.0;-310.0;-52;500.0
-927.0;-52.0;-44;791.0
-336.0;-95.0;-41;337.0
-313.0;-99.0;-43;345.0
-427.0;25.0;-47;340.0
-289.0;22.0;-42;298.0
-48.0;-172.0;-38;87.0
-324.0;-86.0;-38;355.0
-136.0;-127.0;-39;613.0
-499.0;29.0;-37;663.0
-187.0;32.0;-36;508.0
-291.0;-77.0;-43;331.0
-286.0;-113.0;-41;301.0
-166.0;-478.0;-48;-86.0
-144.0;-45.0;-36;363.0
-325.0;-100.0;-41;381.0
-224.0;-135.0;-40;354.0
-237.0;-53.0;-43;450.0
-375.0;-65.0;-42;570.0
-173.0;-355.0;-50;590.0
-315.0;978.0;-36;228.0
-308.0;-199.0;-50;140.0
-249.0;37.0;-42;742.0
-512.0;12.0;-50;174.0
-284.0;-23.0;-47;272.0
-196.0;-109.0;-43;68.0
-206.0;-26.0;-39;279.0
-193.0;-117.0;-40;245.0
-264.0;-84.0;-37;253.0
-215.0;-686.0;-39;199.0
-217.0;26.0;-40;215.0
-252.0;26.0;-42;344.0
-624.0;-134.0;-44;266.0
-330.0;-108.0;-38;201.0
-859.0;-36.0;-44;1030.0
-216.0;495.0;-42;185.0
-730.0;-360.0;-50;973.0
-315.0;46.0;-39;379.0
-248.0;-79.0;-38;169.0
-501.0;-357.0;-50;867.0
15.0;-26.0;-32;255.0
-52.0;69.0;-33;393.0
197.0;-82.0;-47;-136.0
-78.0;4.0;-35;99.0
-297.0;34.0;-41;181.0
-468.0;-23.0;-39;998.0
-132.0;-58.0;-45;-59.0
-356.0;-354.0;-50;689.0
-220.0;44.0;-45;40.0
