InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
128.0;292.0;-68.0;451.0;-467.0;344.0;-439.0
43.0;-364.0;87.0;581.0;-579.0;666.0;27.0
-202.0;-144.0;193.0;449.0;-691.0;71.0;-54.0
99.0;-281.0;137.0;595.0;-607.0;621.0;-229.0
101.0;-280.0;65.0;582.0;-762.0;599.0;-301.0
302.0;4.0;266.0;453.0;-768.0;-161.0;-180.0
-74.0;200.0;241.0;585.0;-826.0;125.0;-360.0
151.0;165.0;74.0;430.0;-655.0;166.0;-269.0
170.0;181.0;44.0;434.0;-650.0;181.0;-290.0
204.0;212.0;-27.0;446.0;-634.0;210.0;-337.0
241.0;244.0;-86.0;457.0;-624.0;239.0;-376.0
451.0;378.0;-281.0;492.0;-524.0;450.0;-520.0
72.0;257.0;-15.0;640.0;-480.0;367.0;-438.0
116.0;315.0;-17.0;590.0;-405.0;409.0;-315.0
256.0;357.0;-255.0;502.0;-400.0;516.0;-575.0
228.0;240.0;60.0;525.0;-855.0;-242.0;-518.0
603.0;356.0;231.0;504.0;-490.0;589.0;-437.0
616.0;394.0;191.0;479.0;-367.0;548.0;-486.0
745.0;397.0;263.0;400.0;-157.0;447.0;-400.0
560.0;435.0;-194.0;482.0;-169.0;626.0;-530.0
217.0;-63.0;79.0;319.0;83.0;-2.0;-14.0
634.0;316.0;-5.0;537.0;20.0;648.0;-352.0
636.0;378.0;-82.0;453.0;257.0;672.0;-539.0
582.0;128.0;334.0;323.0;93.0;386.0;-266.0
563.0;-114.0;431.0;197.0;231.0;598.0;36.0
573.0;164.0;530.0;515.0;-252.0;511.0;-249.0
431.0;55.0;369.0;307.0;-21.0;229.0;-105.0
404.0;105.0;488.0;392.0;52.0;127.0;-156.0
415.0;-106.0;654.0;469.0;-120.0;185.0;-194.0
299.0;-284.0;944.0;503.0;-27.0;3.0;108.0
191.0;-3.0;621.0;975.0;-730.0;291.0;-416.0
437.0;133.0;550.0;831.0;-594.0;478.0;-425.0
352.0;-71.0;608.0;839.0;-471.0;388.0;-353.0
297.0;-14.0;422.0;839.0;-566.0;402.0;-313.0
491.0;47.0;158.0;667.0;-347.0;466.0;-385.0
321.0;-24.0;311.0;762.0;-437.0;423.0;-247.0
226.0;-45.0;271.0;670.0;-355.0;242.0;-220.0
160.0;-367.0;896.0;927.0;-322.0;196.0;-4.0
284.0;-229.0;689.0;794.0;-223.0;152.0;-114.0
156.0;-30.0;270.0;589.0;-283.0;63.0;-145.0
127.0;-63.0;326.0;566.0;-235.0;25.0;-81.0
283.0;-162.0;398.0;643.0;-197.0;194.0;-150.0
75.0;-97.0;386.0;518.0;-139.0;-31.0;-11.0
-88.0;-213.0;468.0;465.0;-119.0;-239.0;93.0
-230.0;-453.0;774.0;602.0;-265.0;-253.0;244.0
-25.0;-470.0;874.0;805.0;-86.0;-54.0;171.0
-330.0;-508.0;181.0;176.0;21.0;82.0;172.0
-31.0;86.0;183.0;446.0;-181.0;-82.0;-177.0
-290.0;-83.0;218.0;334.0;-331.0;-176.0;-61.0
361.0;-81.0;888.0;967.0;-560.0;461.0;-206.0
76.0;-234.0;959.0;1090.0;-721.0;262.0;-141.0
-1.0;-97.0;883.0;1117.0;-799.0;52.0;-334.0
-177.0;-382.0;921.0;1008.0;-713.0;-131.0;-35.0
-244.0;-553.0;805.0;336.0;2.0;-81.0;385.0
22.0;73.0;484.0;571.0;-500.0;93.0;-197.0
