Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
757.0;117.0;-29.0;-230.0;41.0;-854.0
914.0;-131.0;359.0;-156.0;311.0;-926.0
958.0;120.0;-49.0;-187.0;-25.0;-958.0
778.0;125.0;-200.0;-69.0;2.0;-781.0
950.0;-80.0;-51.0;-115.0;678.0;-959.0
931.0;173.0;-405.0;56.0;-75.0;-1109.0
968.0;-263.0;102.0;-308.0;733.0;-891.0
888.0;129.0;-142.0;-188.0;-121.0;-1089.0
937.0;372.0;-620.0;114.0;71.0;-867.0
1140.0;335.0;-619.0;-8.0;-326.0;-1206.0
880.0;372.0;-101.0;175.0;69.0;-1026.0
945.0;140.0;-67.0;-169.0;-49.0;-985.0
879.0;308.0;2.0;220.0;-228.0;-928.0
967.0;154.0;-68.0;-154.0;-49.0;-956.0
721.0;235.0;28.0;140.0;191.0;-650.0
700.0;165.0;-61.0;-88.0;-59.0;-841.0
664.0;223.0;-226.0;-76.0;88.0;-627.0
784.0;121.0;-15.0;-181.0;10.0;-849.0
1074.0;161.0;-81.0;-157.0;-53.0;-1004.0
603.0;477.0;-596.0;235.0;-258.0;-532.0
1014.0;5.0;-345.0;-242.0;103.0;-1149.0
813.0;407.0;-621.0;57.0;-262.0;-840.0
852.0;154.0;-124.0;-64.0;19.0;-967.0
949.0;157.0;-69.0;-132.0;-30.0;-969.0
1061.0;107.0;103.0;-71.0;51.0;-829.0
689.0;-189.0;203.0;-217.0;453.0;-685.0
948.0;156.0;-68.0;-134.0;-28.0;-970.0
911.0;181.0;-437.0;-111.0;9.0;-954.0
1322.0;135.0;-137.0;-230.0;40.0;-1454.0
950.0;156.0;-68.0;-132.0;-32.0;-980.0
959.0;160.0;-65.0;-129.0;-29.0;-965.0
938.0;165.0;57.0;35.0;-77.0;-1098.0
1016.0;8.0;-3.0;-300.0;122.0;-886.0
838.0;-6.0;48.0;-293.0;133.0;-1060.0
1177.0;-67.0;-1.0;-349.0;170.0;-1181.0
1090.0;-184.0;-196.0;-523.0;211.0;-878.0
1185.0;268.0;-23.0;220.0;-267.0;-833.0
890.0;187.0;-212.0;-154.0;-29.0;-959.0
942.0;162.0;-66.0;-132.0;-35.0;-963.0
1097.0;231.0;-255.0;-93.0;-217.0;-1138.0
900.0;-96.0;-253.0;-435.0;488.0;-960.0
891.0;193.0;-546.0;-453.0;-209.0;-922.0
869.0;118.0;-565.0;-125.0;-241.0;-932.0
823.0;175.0;146.0;135.0;124.0;-858.0
760.0;117.0;-33.0;-206.0;104.0;-1296.0
1015.0;164.0;-68.0;-134.0;-53.0;-961.0
723.0;103.0;208.0;20.0;-628.0;-772.0
883.0;152.0;-20.0;-70.0;-511.0;-904.0
855.0;60.0;58.0;-24.0;-188.0;-918.0
922.0;-131.0;318.0;-277.0;-169.0;-971.0
920.0;123.0;-35.0;-187.0;-12.0;-893.0
921.0;-65.0;137.0;-573.0;173.0;-997.0
908.0;9.0;-3.0;-273.0;54.0;-1050.0
916.0;103.0;-20.0;-317.0;9.0;-871.0
271.0;-495.0;695.0;-499.0;-25.0;-381.0
920.0;54.0;252.0;-153.0;-38.0;-969.0
798.0;143.0;-83.0;-207.0;-100.0;-967.0
978.0;82.0;-6.0;-278.0;13.0;-1003.0
735.0;96.0;226.0;-105.0;-622.0;-788.0
996.0;113.0;60.0;-1.0;-121.0;-839.0
866.0;120.0;-19.0;-160.0;-38.0;-917.0
828.0;139.0;37.0;-125.0;32.0;-754.0
812.0;27.0;-140.0;-310.0;45.0;-831.0
803.0;57.0;-15.0;-231.0;101.0;-838.0
850.0;63.0;-449.0;-362.0;-85.0;-1242.0
846.0;160.0;-173.0;-292.0;-64.0;-800.0
966.0;-16.0;-394.0;-328.0;-64.0;-992.0
969.0;-150.0;-180.0;-482.0;127.0;-1123.0
947.0;67.0;-62.0;-201.0;42.0;-680.0
828.0;-174.0;103.0;-1.0;-283.0;-848.0
728.0;69.0;-162.0;-326.0;91.0;-908.0
916.0;-147.0;304.0;-286.0;127.0;-935.0
826.0;18.0;68.0;-144.0;69.0;-886.0
873.0;13.0;211.0;-92.0;79.0;-771.0
894.0;-151.0;445.0;9.0;354.0;-934.0
1221.0;-32.0;-155.0;-325.0;-24.0;-1138.0
905.0;-281.0;439.0;-340.0;439.0;-950.0
492.0;90.0;191.0;147.0;-626.0;-580.0
847.0;-1.0;-286.0;-80.0;303.0;-1077.0
790.0;127.0;-22.0;-218.0;40.0;-926.0
715.0;105.0;-251.0;33.0;662.0;-567.0
979.0;149.0;-375.0;72.0;309.0;-959.0
794.0;74.0;-102.0;-66.0;81.0;-871.0
987.0;539.0;-617.0;230.0;-535.0;-1017.0
861.0;38.0;263.0;6.0;229.0;-915.0
954.0;549.0;-285.0;504.0;-509.0;-981.0
810.0;377.0;-271.0;-9.0;-419.0;-747.0
957.0;-357.0;172.0;-622.0;503.0;-1013.0
747.0;-75.0;28.0;-344.0;196.0;-766.0
805.0;-267.0;-6.0;-567.0;476.0;-811.0
709.0;90.0;-56.0;-261.0;50.0;-728.0
1126.0;180.0;-561.0;-74.0;-227.0;-945.0
906.0;-447.0;502.0;-505.0;565.0;-961.0
693.0;74.0;89.0;56.0;95.0;-661.0
757.0;116.0;-38.0;-252.0;132.0;-779.0
476.0;-15.0;198.0;-87.0;-619.0;-564.0
840.0;-140.0;-92.0;-472.0;213.0;-875.0
732.0;19.0;-200.0;-388.0;130.0;-684.0
806.0;37.0;-318.0;-210.0;112.0;-793.0
793.0;593.0;-640.0;430.0;-612.0;-826.0
