Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
964.0;35.0;4;16;669;722;-4;-2
957.0;-59.0;3;21;663;720;-3;5
967.0;45.0;4;21;685;698;-4;-10
998.0;164.0;-127;23;714;665;127;-10
960.0;27.0;19;18;660;728;-19;4
976.0;5.0;13;27;656;719;-13;4
995.0;23.0;-6;20;661;722;6;-4
973.0;2.0;5;24;655;724;-5;7
988.0;81.0;-4;18;659;728;4;-1
902.0;-98.0;-167;55;196;919;167;52
955.0;18.0;5;17;663;725;-5;-2
956.0;16.0;13;22;652;729;-13;-1
962.0;226.0;-3;64;172;919;3;-18
987.0;32.0;3;16;685;705;-3;0
979.0;32.0;-9;21;656;728;9;-1
960.0;-2.0;10;13;660;733;-10;-2
978.0;17.0;21;20;660;725;-21;-1
980.0;-139.0;112;15;671;720;-112;12
975.0;26.0;7;12;689;707;-7;-3
994.0;-56.0;-5;17;700;687;5;-4
972.0;11.0;14;14;667;726;-14;-1
970.0;-35.0;7;18;658;729;-7;-2
961.0;40.0;9;17;656;732;-9;-4
978.0;-106.0;25;19;664;723;-25;-1
980.0;11.0;-8;15;658;733;8;0
985.0;23.0;3;21;659;724;-3;3
965.0;-990.0;13;14;659;733;-13;8
972.0;55.0;34;22;656;732;-34;90
986.0;29.0;21;16;658;732;-21;0
978.0;2.0;3;13;662;731;-3;1
1014.0;371.0;-162;12;711;686;162;16
981.0;51.0;1;20;658;728;-1;2
944.0;1383.0;12;12;664;732;-12;-3
991.0;-615.0;177;29;659;708;-177;-3
980.0;13.0;6;20;657;727;-6;2
858.0;188.0;226;68;1012;406;-226;384
973.0;53.0;11;19;663;723;-11;2
977.0;14.0;-1;17;659;730;1;0
