Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
960.0;613.0;-367.0;556.0;-559.0;-986.0
956.0;123.0;-56.0;-184.0;-34.0;-964.0
944.0;130.0;-60.0;-178.0;-46.0;-976.0
788.0;16.0;-37.0;-227.0;100.0;-779.0
799.0;27.0;-40.0;-218.0;117.0;-819.0
752.0;39.0;-41.0;-214.0;131.0;-833.0
889.0;49.0;-43.0;-209.0;135.0;-836.0
937.0;134.0;-66.0;-175.0;-50.0;-986.0
786.0;100.0;-25.0;-229.0;128.0;-821.0
945.0;140.0;-67.0;-169.0;-49.0;-985.0
779.0;93.0;-23.0;-233.0;127.0;-834.0
947.0;145.0;-68.0;-159.0;-52.0;-978.0
795.0;18.0;-82.0;-306.0;109.0;-791.0
960.0;146.0;-71.0;-152.0;-49.0;-960.0
788.0;83.0;-16.0;-229.0;128.0;-838.0
759.0;48.0;-69.0;-235.0;50.0;-750.0
715.0;105.0;-251.0;33.0;662.0;-567.0
794.0;100.0;-35.0;-170.0;32.0;-866.0
964.0;147.0;-70.0;-146.0;-48.0;-964.0
968.0;-70.0;-262.0;-92.0;29.0;-1033.0
854.0;110.0;-170.0;-197.0;36.0;-924.0
707.0;18.0;-301.0;-241.0;154.0;-803.0
925.0;153.0;-66.0;-138.0;-35.0;-965.0
949.0;157.0;-69.0;-132.0;-30.0;-969.0
963.0;73.0;42.0;-155.0;47.0;-886.0
789.0;67.0;52.0;-158.0;65.0;-835.0
948.0;156.0;-68.0;-134.0;-28.0;-970.0
769.0;55.0;64.0;-175.0;79.0;-774.0
941.0;123.0;-116.0;-84.0;7.0;-1089.0
943.0;159.0;-68.0;-129.0;-33.0;-975.0
949.0;159.0;-65.0;-126.0;-33.0;-966.0
959.0;160.0;-65.0;-129.0;-29.0;-965.0
874.0;6.0;28.0;-266.0;120.0;-886.0
821.0;-9.0;27.0;-193.0;62.0;-915.0
945.0;11.0;22.0;-187.0;68.0;-957.0
899.0;-1.0;-17.0;-263.0;29.0;-797.0
963.0;160.0;-65.0;-129.0;-32.0;-955.0
902.0;-21.0;-38.0;-326.0;21.0;-951.0
942.0;162.0;-66.0;-132.0;-35.0;-963.0
947.0;162.0;-66.0;-133.0;-43.0;-980.0
961.0;167.0;-65.0;-134.0;-46.0;-977.0
989.0;162.0;-66.0;-134.0;-53.0;-982.0
1087.0;238.0;-56.0;-199.0;-335.0;-830.0
1016.0;8.0;-3.0;-300.0;122.0;-886.0
978.0;159.0;-71.0;-145.0;-54.0;-965.0
967.0;154.0;-68.0;-154.0;-49.0;-956.0
1148.0;205.0;-231.0;-116.0;-153.0;-1129.0
965.0;153.0;-75.0;-175.0;-44.0;-958.0
881.0;1.0;-28.0;-295.0;-7.0;-908.0
845.0;22.0;3.0;-268.0;-28.0;-909.0
802.0;37.0;-24.0;-251.0;137.0;-1017.0
913.0;34.0;12.0;-254.0;-12.0;-942.0
907.0;41.0;26.0;-232.0;9.0;-961.0
949.0;28.0;102.0;-62.0;-31.0;-908.0
763.0;65.0;44.0;-197.0;47.0;-814.0
880.0;73.0;56.0;-171.0;58.0;-921.0
819.0;-188.0;111.0;-170.0;-289.0;-880.0
958.0;120.0;-49.0;-187.0;-25.0;-958.0
784.0;152.0;142.0;-153.0;-54.0;-671.0
918.0;139.0;15.0;-137.0;25.0;-790.0
864.0;130.0;-8.0;-158.0;10.0;-928.0
784.0;121.0;-15.0;-181.0;10.0;-849.0
751.0;105.0;-8.0;-205.0;29.0;-779.0
825.0;60.0;2.0;-257.0;110.0;-830.0
769.0;88.0;-7.0;-225.0;58.0;-771.0
776.0;74.0;5.0;-235.0;88.0;-797.0
852.0;20.0;-5.0;-271.0;181.0;-769.0
943.0;185.0;42.0;192.0;23.0;-730.0
873.0;246.0;41.0;90.0;-83.0;-975.0
804.0;34.0;100.0;-111.0;0.0;-972.0
