Accelerometer LUA^ accZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
835.0;254.0;?;-1270.0;-1092.0;?;?;-35.0;855.0
848.0;458.0;-25.0;-1200.0;-901.0;-362.0;339.0;-43.0;932.0
931.0;188.0;204.0;-1072.0;-758.0;?;347.0;-10.0;985.0
1017.0;206.0;37.0;-932.0;-896.0;-310.0;286.0;3.0;955.0
1144.0;195.0;93.0;-1011.0;-946.0;-305.0;316.0;-9.0;991.0
1219.0;169.0;84.0;-1014.0;-1018.0;-370.0;288.0;-4.0;1018.0
1210.0;?;46.0;-980.0;-976.0;-387.0;291.0;3.0;921.0
1068.0;79.0;63.0;-921.0;-973.0;-429.0;294.0;-42.0;?
1072.0;44.0;93.0;-913.0;-1017.0;-337.0;303.0;-105.0;869.0
1033.0;-79.0;?;-1018.0;-983.0;?;402.0;58.0;953.0
893.0;-47.0;-31.0;-1013.0;?;-130.0;416.0;63.0;997.0
1007.0;-39.0;-12.0;-1070.0;-961.0;-132.0;390.0;76.0;969.0
967.0;-74.0;-31.0;-1091.0;-957.0;-159.0;386.0;66.0;973.0
1005.0;-46.0;-50.0;-1093.0;?;-124.0;384.0;29.0;989.0
972.0;-14.0;-39.0;-1026.0;?;-130.0;428.0;44.0;992.0
941.0;77.0;-52.0;?;-958.0;-204.0;419.0;?;1059.0
892.0;-8.0;-60.0;-929.0;-995.0;-106.0;430.0;77.0;1012.0
850.0;-44.0;-50.0;-925.0;-964.0;-42.0;411.0;61.0;1069.0
746.0;-107.0;-64.0;-914.0;-996.0;-3.0;364.0;68.0;1025.0
805.0;-188.0;-22.0;?;-1028.0;-64.0;396.0;58.0;1018.0
817.0;-214.0;-100.0;-1024.0;-1059.0;-185.0;425.0;?;986.0
863.0;-221.0;?;-991.0;-1011.0;-219.0;399.0;19.0;970.0
918.0;-267.0;-54.0;-960.0;-999.0;-276.0;402.0;25.0;987.0
909.0;-349.0;15.0;-849.0;-967.0;-329.0;372.0;53.0;?
841.0;-305.0;44.0;-804.0;-966.0;-220.0;344.0;?;1000.0
874.0;-323.0;67.0;-713.0;-985.0;-176.0;351.0;-19.0;969.0
911.0;-201.0;108.0;-652.0;-1016.0;-423.0;374.0;-39.0;?
867.0;-162.0;47.0;-691.0;-1006.0;-410.0;346.0;-47.0;893.0
824.0;-250.0;71.0;-740.0;-967.0;-281.0;299.0;-40.0;823.0
782.0;?;131.0;-825.0;-935.0;-420.0;329.0;-48.0;887.0
776.0;129.0;105.0;-1159.0;-970.0;-391.0;340.0;11.0;?
750.0;128.0;145.0;-1420.0;-878.0;-411.0;307.0;?;950.0
772.0;100.0;72.0;-1308.0;-923.0;-337.0;314.0;-29.0;959.0
902.0;81.0;108.0;-1185.0;-907.0;-346.0;334.0;-10.0;989.0
1059.0;57.0;76.0;-1039.0;-965.0;-341.0;371.0;8.0;967.0
1297.0;45.0;44.0;-1005.0;-1006.0;-355.0;375.0;10.0;960.0
1374.0;16.0;11.0;-1051.0;-996.0;-353.0;302.0;31.0;931.0
1247.0;-96.0;59.0;-999.0;-1000.0;-366.0;321.0;34.0;886.0
1068.0;-215.0;73.0;-916.0;-992.0;-409.0;338.0;-5.0;894.0
989.0;?;58.0;-857.0;-961.0;-389.0;316.0;-40.0;924.0
871.0;-122.0;94.0;-791.0;-948.0;-369.0;336.0;?;919.0
?;-71.0;3.0;-1062.0;-976.0;-163.0;418.0;65.0;953.0
718.0;-49.0;4.0;-1028.0;-977.0;-126.0;406.0;25.0;954.0
995.0;-21.0;9.0;-1021.0;-977.0;-117.0;413.0;10.0;976.0
896.0;-34.0;4.0;-1065.0;-970.0;-150.0;425.0;37.0;980.0
1007.0;-15.0;-1.0;-1083.0;-963.0;-181.0;425.0;59.0;972.0
989.0;24.0;-12.0;-1098.0;-980.0;-124.0;422.0;?;951.0
970.0;103.0;-20.0;-991.0;-977.0;-70.0;409.0;39.0;1008.0
944.0;163.0;-14.0;-974.0;-967.0;-26.0;?;56.0;1074.0
944.0;230.0;-37.0;-993.0;-966.0;39.0;428.0;79.0;1074.0
871.0;160.0;-59.0;-992.0;-985.0;58.0;426.0;48.0;1053.0
782.0;127.0;-72.0;-1005.0;-1021.0;-91.0;405.0;39.0;1017.0
780.0;2.0;-73.0;-1002.0;-1010.0;-125.0;416.0;38.0;1037.0
875.0;-272.0;-137.0;-926.0;-1010.0;-116.0;413.0;40.0;1004.0
855.0;-356.0;-84.0;-900.0;-1008.0;-183.0;388.0;?;994.0
890.0;-472.0;-62.0;-826.0;-1025.0;-270.0;396.0;27.0;992.0
861.0;-471.0;-17.0;-756.0;-989.0;-289.0;356.0;31.0;1018.0
843.0;-560.0;23.0;-715.0;-973.0;-284.0;377.0;3.0;977.0
857.0;-596.0;89.0;-695.0;-985.0;-308.0;379.0;-53.0;961.0
813.0;-534.0;115.0;-660.0;-1032.0;-499.0;?;-52.0;838.0
?;-367.0;?;-700.0;-972.0;-334.0;378.0;-39.0;836.0
800.0;-221.0;127.0;-851.0;-1041.0;-439.0;334.0;-49.0;907.0
795.0;115.0;206.0;-1186.0;-948.0;-425.0;385.0;3.0;813.0
751.0;160.0;153.0;-1407.0;-898.0;-411.0;338.0;1.0;859.0
817.0;111.0;125.0;-1236.0;-922.0;-408.0;339.0;-60.0;906.0
872.0;118.0;74.0;-1210.0;-906.0;-408.0;355.0;-16.0;934.0
1044.0;77.0;105.0;-1048.0;-927.0;-362.0;368.0;-5.0;915.0
1197.0;99.0;89.0;-1034.0;-970.0;-383.0;354.0;-44.0;906.0
1300.0;44.0;77.0;-1049.0;?;?;347.0;-55.0;893.0
1200.0;33.0;62.0;-940.0;-955.0;-402.0;348.0;-32.0;882.0
1084.0;-1.0;87.0;-850.0;-942.0;-403.0;327.0;-50.0;931.0
981.0;5.0;120.0;-814.0;-955.0;-373.0;349.0;-38.0;901.0
1037.0;-68.0;50.0;-940.0;-976.0;-290.0;395.0;0.0;961.0
726.0;40.0;48.0;-852.0;-980.0;-190.0;428.0;11.0;894.0
972.0;142.0;47.0;-764.0;-973.0;-102.0;431.0;21.0;983.0
874.0;246.0;10.0;-592.0;-986.0;-244.0;415.0;15.0;1085.0
?;196.0;?;?;-921.0;-216.0;410.0;?;994.0
678.0;80.0;-39.0;-534.0;-950.0;?;411.0;7.0;1018.0
595.0;-206.0;15.0;-638.0;-1043.0;-219.0;420.0;13.0;995.0
488.0;-183.0;25.0;-721.0;-1026.0;-207.0;404.0;41.0;1033.0
494.0;-182.0;41.0;-853.0;-1008.0;-209.0;417.0;22.0;1020.0
541.0;-201.0;27.0;-860.0;-1015.0;-199.0;391.0;14.0;1001.0
630.0;-230.0;32.0;-751.0;-1035.0;-322.0;418.0;?;980.0
940.0;-257.0;29.0;-789.0;-1027.0;?;407.0;80.0;915.0
998.0;-399.0;7.0;-711.0;-1021.0;-353.0;395.0;29.0;921.0
863.0;-409.0;59.0;-479.0;-989.0;-405.0;426.0;-10.0;923.0
?;-386.0;105.0;-604.0;?;-476.0;389.0;-26.0;907.0
694.0;-426.0;97.0;-518.0;-970.0;-497.0;365.0;-39.0;860.0
546.0;-447.0;121.0;-406.0;-975.0;-580.0;375.0;-49.0;810.0
389.0;-438.0;167.0;?;-974.0;-559.0;413.0;?;819.0
?;-407.0;186.0;?;-966.0;-570.0;390.0;-166.0;796.0
306.0;-395.0;194.0;-377.0;-951.0;?;450.0;-234.0;814.0
210.0;-356.0;216.0;-352.0;-948.0;-595.0;463.0;-223.0;874.0
344.0;-300.0;222.0;-338.0;-947.0;-566.0;499.0;-165.0;875.0
386.0;-176.0;228.0;-349.0;-946.0;-544.0;487.0;-134.0;868.0
397.0;-86.0;216.0;-330.0;-998.0;-517.0;532.0;?;837.0
386.0;-4.0;209.0;-260.0;-1013.0;-514.0;493.0;-96.0;?
358.0;-4.0;193.0;-170.0;-1003.0;-525.0;433.0;-78.0;851.0
?;13.0;177.0;-139.0;-979.0;-534.0;466.0;-99.0;865.0
?;57.0;171.0;-107.0;-958.0;-512.0;489.0;-148.0;870.0
232.0;11.0;176.0;-54.0;-960.0;-512.0;447.0;-160.0;886.0
164.0;47.0;174.0;-50.0;-975.0;-483.0;462.0;-135.0;874.0
192.0;47.0;175.0;-50.0;-992.0;-497.0;459.0;-93.0;911.0
142.0;?;165.0;-88.0;-987.0;-481.0;428.0;-61.0;887.0
147.0;17.0;?;-113.0;-989.0;?;?;-68.0;906.0
134.0;-39.0;166.0;-142.0;-992.0;?;?;-140.0;937.0
168.0;-52.0;151.0;-169.0;-989.0;-513.0;411.0;-188.0;882.0
150.0;?;154.0;-163.0;?;-507.0;397.0;-196.0;882.0
161.0;-189.0;162.0;-160.0;-1031.0;-548.0;401.0;-164.0;832.0
230.0;-195.0;174.0;-193.0;-1017.0;-562.0;365.0;-107.0;810.0
225.0;-219.0;180.0;-218.0;-993.0;-554.0;?;-107.0;843.0
245.0;-193.0;198.0;-217.0;-967.0;-554.0;369.0;-205.0;832.0
