InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
-1;-304.0;307.0;54.0;-176;302.0;631.0
-11;-300.0;293.0;66.0;-176;296.0;614.0
-109;-107.0;668.0;131.0;-175;366.0;520.0
9;-263.0;324.0;9.0;-176;209.0;615.0
-153;-399.0;234.0;20.0;-173;537.0;555.0
-10;-119.0;258.0;169.0;-114;342.0;633.0
79;-245.0;326.0;74.0;-170;379.0;559.0
736;-131.0;152.0;142.0;-175;312.0;552.0
0;-410.0;285.0;86.0;-174;389.0;581.0
-3;-193.0;231.0;-5.0;-174;532.0;611.0
145;-456.0;440.0;51.0;-190;584.0;593.0
27;-226.0;177.0;100.0;-179;387.0;567.0
-11;-90.0;197.0;80.0;-175;376.0;538.0
3;-126.0;298.0;101.0;-214;565.0;698.0
240;-542.0;339.0;-183.0;-174;239.0;753.0
-17;-360.0;297.0;27.0;-174;421.0;536.0
-167;-35.0;341.0;-120.0;-156;211.0;783.0
-22;-320.0;293.0;80.0;-160;347.0;610.0
1;-265.0;253.0;21.0;-177;326.0;509.0
-80;-372.0;301.0;34.0;-172;301.0;663.0
-464;-283.0;229.0;117.0;-172;244.0;719.0
8;-230.0;232.0;66.0;-179;245.0;535.0
100;-230.0;354.0;-23.0;-6;411.0;685.0
529;-260.0;433.0;20.0;-164;629.0;657.0
82;-289.0;326.0;20.0;-165;477.0;742.0
174;-189.0;476.0;-5.0;-173;658.0;764.0
177;-255.0;694.0;132.0;-174;480.0;984.0
-65;-117.0;504.0;86.0;174;621.0;594.0
5;-311.0;774.0;160.0;-176;147.0;531.0
3;-697.0;629.0;-337.0;-176;106.0;718.0
-16;-372.0;341.0;-120.0;-176;286.0;655.0
26;-425.0;794.0;71.0;-176;322.0;597.0
66;-218.0;251.0;141.0;178;383.0;598.0
-12;-252.0;344.0;11.0;171;398.0;625.0
-77;-211.0;174.0;-55.0;162;430.0;580.0
-60;-265.0;349.0;17.0;171;433.0;672.0
-78;-197.0;372.0;17.0;171;457.0;679.0
-14;-265.0;421.0;77.0;-179;511.0;782.0
-7;-283.0;387.0;102.0;-179;441.0;697.0
-11;-254.0;324.0;89.0;-179;496.0;624.0
