InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
-284;-614.0;476.0;-115.0;-141;319.0;673.0
-1;-304.0;307.0;54.0;-176;302.0;631.0
-2;-294.0;300.0;20.0;-176;320.0;603.0
-3;-321.0;301.0;20.0;-176;313.0;649.0
2;-289.0;319.0;15.0;-176;338.0;615.0
3;-295.0;292.0;25.0;-176;321.0;607.0
-7;-298.0;320.0;44.0;-176;322.0;641.0
-9;-282.0;322.0;48.0;-176;305.0;603.0
-2;-323.0;302.0;28.0;-176;316.0;638.0
-4;-293.0;314.0;27.0;-176;329.0;588.0
4;-271.0;293.0;23.0;-176;313.0;608.0
-10;-201.0;281.0;19.0;-176;347.0;609.0
5;-322.0;310.0;48.0;-176;308.0;601.0
-1;-258.0;301.0;56.0;-176;317.0;603.0
-4;-272.0;317.0;48.0;-176;328.0;629.0
3;-324.0;312.0;60.0;-176;327.0;609.0
-1;-292.0;310.0;66.0;-176;324.0;591.0
-325;-238.0;164.0;172.0;-171;331.0;462.0
0;-272.0;310.0;67.0;-176;334.0;599.0
-3;-313.0;309.0;60.0;-176;334.0;630.0
-3;-262.0;320.0;48.0;-176;325.0;618.0
6;-333.0;321.0;48.0;-176;321.0;601.0
2437;-322.0;172.0;96.0;-163;242.0;519.0
0;-295.0;296.0;64.0;-176;313.0;624.0
-9;-289.0;303.0;61.0;-176;326.0;630.0
-4;-288.0;304.0;46.0;-176;323.0;646.0
0;-306.0;297.0;58.0;-176;324.0;626.0
-1;-319.0;307.0;64.0;-176;323.0;620.0
2;-270.0;328.0;37.0;-176;327.0;601.0
-1;-313.0;320.0;37.0;-176;303.0;612.0
-2;-299.0;306.0;47.0;-176;328.0;606.0
6;-265.0;319.0;58.0;-176;331.0;611.0
-7;-298.0;309.0;57.0;-176;312.0;602.0
-2;-276.0;293.0;16.0;-177;303.0;616.0
0;-207.0;302.0;16.0;-177;359.0;591.0
1;-290.0;310.0;49.0;-177;329.0;593.0
0;-185.0;266.0;98.0;-167;321.0;642.0
0;-281.0;310.0;50.0;-177;318.0;670.0
-8;-87.0;520.0;267.0;-178;528.0;858.0
0;-313.0;309.0;69.0;-177;308.0;642.0
9;-278.0;308.0;30.0;-177;343.0;621.0
0;-279.0;350.0;49.0;-177;358.0;622.0
-4;-266.0;300.0;55.0;-177;342.0;613.0
-29;-285.0;287.0;53.0;-163;450.0;540.0
2;-298.0;315.0;20.0;-177;343.0;626.0
2;-316.0;300.0;45.0;-177;335.0;607.0
1;-288.0;295.0;47.0;-177;319.0;663.0
-3;-286.0;291.0;26.0;-177;312.0;611.0
0;-306.0;310.0;10.0;-177;311.0;591.0
5;-248.0;302.0;10.0;-177;310.0;607.0
4;-300.0;304.0;23.0;-177;314.0;595.0
3;-305.0;310.0;62.0;-177;314.0;618.0
0;-264.0;310.0;21.0;-177;317.0;585.0
4;-280.0;295.0;26.0;-177;310.0;624.0
4;-285.0;299.0;52.0;-177;324.0;617.0
-2;-268.0;300.0;49.0;-177;319.0;610.0
4;-253.0;311.0;36.0;-177;317.0;597.0
6;-296.0;309.0;40.0;-177;330.0;584.0
-2;-303.0;309.0;28.0;-177;323.0;608.0
-6;-258.0;316.0;47.0;-177;326.0;629.0
-4;-326.0;311.0;41.0;-177;316.0;630.0
0;-380.0;924.0;39.0;-179;354.0;808.0
3;-378.0;782.0;33.0;-179;386.0;417.0
-20;329.0;779.0;202.0;-150;455.0;938.0
0;-324.0;320.0;67.0;-177;320.0;621.0
-4;-41.0;741.0;345.0;-179;483.0;533.0
5;-300.0;307.0;55.0;-177;318.0;630.0
2;-308.0;308.0;39.0;-177;332.0;593.0
1;-264.0;318.0;36.0;-177;316.0;612.0
7;-292.0;300.0;29.0;-177;300.0;622.0
7;-319.0;309.0;-10.0;-177;306.0;612.0
1;-300.0;303.0;13.0;-177;318.0;592.0
2;-292.0;310.0;-28.0;-178;304.0;597.0
-2;-162.0;661.0;160.0;-173;655.0;541.0
3;-280.0;300.0;36.0;-176;299.0;611.0
3;-300.0;291.0;5.0;-176;310.0;630.0
-46;-78.0;336.0;-134.0;-164;591.0;776.0
-2;-305.0;347.0;6.0;-176;322.0;620.0
-1;-221.0;376.0;-47.0;-175;398.0;724.0
-60;-201.0;362.0;48.0;-168;274.0;694.0
-3;-211.0;310.0;18.0;-175;409.0;687.0
-30;-386.0;227.0;69.0;-169;265.0;697.0
-8;-473.0;559.0;57.0;-179;92.0;360.0
1;-332.0;416.0;57.0;-177;321.0;650.0
2;-394.0;617.0;38.0;-179;215.0;466.0
-83;-480.0;310.0;10.0;-172;159.0;866.0
