InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-207.0;-708.0;230.0;-636.0;-863.0;367.0;-296.0;-58.0;-422.0;86.0;393.0
-195.0;-718.0;222.0;-637.0;-871.0;376.0;-301.0;-52.0;-403.0;76.0;421.0
-184.0;-722.0;211.0;-637.0;-875.0;378.0;-296.0;-51.0;-394.0;68.0;447.0
-177.0;-718.0;?;-636.0;-875.0;380.0;-294.0;-53.0;-394.0;66.0;460.0
-176.0;-709.0;192.0;-634.0;-870.0;382.0;-294.0;-53.0;-398.0;72.0;455.0
?;-701.0;?;-635.0;-864.0;383.0;-294.0;-52.0;-405.0;81.0;441.0
-191.0;-693.0;194.0;-639.0;-856.0;384.0;-294.0;-50.0;-412.0;?;427.0
-201.0;-684.0;192.0;-642.0;-847.0;385.0;-292.0;-47.0;-420.0;110.0;414.0
?;-674.0;196.0;-645.0;-836.0;383.0;-287.0;-44.0;-430.0;127.0;396.0
-658.0;-397.0;582.0;-646.0;-329.0;390.0;-249.0;458.0;-218.0;700.0;-357.0
-658.0;-397.0;581.0;-650.0;-331.0;390.0;-251.0;455.0;-216.0;702.0;-353.0
-654.0;-400.0;580.0;-656.0;-338.0;391.0;-252.0;448.0;-215.0;705.0;-345.0
-645.0;-406.0;573.0;-667.0;-350.0;391.0;-254.0;434.0;-220.0;710.0;?
-631.0;-417.0;561.0;-684.0;-370.0;392.0;-254.0;412.0;-228.0;715.0;-315.0
-610.0;-436.0;545.0;-703.0;-394.0;393.0;-254.0;389.0;-238.0;717.0;-291.0
-588.0;-459.0;525.0;-720.0;-425.0;394.0;-253.0;362.0;-250.0;711.0;-260.0
?;-484.0;503.0;-734.0;-463.0;392.0;-250.0;?;-268.0;696.0;-220.0
-544.0;-510.0;475.0;-746.0;-506.0;393.0;-250.0;?;-288.0;674.0;-170.0
-520.0;-535.0;445.0;-753.0;-555.0;396.0;-252.0;264.0;-307.0;641.0;-112.0
-496.0;-559.0;421.0;-757.0;-604.0;?;-255.0;227.0;-327.0;600.0;-53.0
-465.0;-583.0;404.0;-759.0;-653.0;398.0;-256.0;187.0;-342.0;554.0;0.0
-431.0;-606.0;381.0;?;-698.0;401.0;-261.0;150.0;?;503.0;51.0
-394.0;-631.0;349.0;-754.0;-740.0;402.0;-267.0;112.0;-365.0;451.0;107.0
-357.0;?;?;-748.0;-776.0;403.0;?;77.0;-376.0;400.0;164.0
-322.0;?;283.0;-739.0;-806.0;403.0;-279.0;44.0;-387.0;349.0;219.0
-291.0;-696.0;?;-727.0;-830.0;402.0;-283.0;14.0;-401.0;296.0;273.0
-266.0;-710.0;234.0;-710.0;-847.0;400.0;?;-12.0;-415.0;243.0;318.0
