InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-56.0;-3;0;-44;20.0;-39.0;-61.0;296;-44;-3;-25.0;-16.0
-51.0;5;8;-9;53.0;16.0;-13.0;268;-9;5;50.0;-61.0
421.0;1994;201;-555;-126.0;-75.0;35.0;28;-555;1994;304.0;-367.0
-48.0;35;-3;2;8.0;8.0;-10.0;270;2;35;-94.0;-61.0
98.0;-385;1302;-554;-151.0;449.0;75.0;1794;-554;-385;443.0;-6.0
-54.0;-11;-4;-19;27.0;12.0;-3.0;265;-19;-11;-76.0;-25.0
219.0;-27;26;10;-1479.0;371.0;264.0;251;10;-27;1239.0;-27.0
-90.0;13;2;-20;-127.0;-60.0;144.0;295;-20;13;79.0;-48.0
-82.0;-12;1;41;-6.0;-43.0;-57.0;304;41;-12;-12.0;-10.0
-57.0;12;5;-26;-5.0;24.0;52.0;270;-26;12;15.0;-13.0
46.0;-26;1;-33;-28.0;6.0;58.0;256;-33;-26;-147.0;-74.0
-56.0;7;-7;31;18.0;-77.0;-35.0;301;31;7;35.0;-13.0
-97.0;29;2;10;76.0;-16.0;-54.0;289;10;29;31.0;0.0
-224.0;23;18;-41;247.0;-190.0;-145.0;258;-41;23;-449.0;182.0
-88.0;-7;3;12;92.0;-42.0;-37.0;288;12;-7;14.0;11.0
-72.0;45;5;-15;5.0;-27.0;-47.0;288;-15;45;29.0;-9.0
-52.0;-8;5;23;54.0;-1.0;-37.0;291;23;-8;46.0;-39.0
1884.0;-2311;-2;1855;-428.0;355.0;1776.0;251;1855;-2311;1115.0;-112.0
-93.0;10;6;0;45.0;-40.0;-36.0;291;0;10;47.0;-10.0
-86.0;-28;-1;-14;53.0;-18.0;16.0;219;-14;-28;-12.0;-13.0
-65.0;10;4;3;72.0;-27.0;-47.0;285;3;10;85.0;0.0
-9.0;-29;-4;-1;14.0;3.0;-68.0;226;-1;-29;78.0;-19.0
-102.0;-15;3;-26;-5.0;-46.0;-72.0;222;-26;-15;13.0;11.0
-48.0;-9;3;-6;44.0;23.0;-28.0;295;-6;-9;61.0;-27.0
-67.0;-20;4;-20;68.0;19.0;-15.0;289;-20;-20;51.0;4.0
-70.0;-1;-1;25;15.0;-19.0;-77.0;223;25;-1;-12.0;13.0
-64.0;20;1;6;22.0;18.0;-32.0;222;6;20;16.0;13.0
-125.0;-14;-3;6;36.0;41.0;324.0;209;6;-14;-16.0;-66.0
-60.0;-21;-1;-23;33.0;-23.0;-26.0;286;-23;-21;43.0;8.0
81.0;-10;2;7;19.0;20.0;20.0;219;7;-10;21.0;-42.0
-42.0;-17;5;3;38.0;-33.0;-41.0;281;3;-17;36.0;-1.0
-57.0;-30;-5;10;34.0;4.0;-20.0;220;10;-30;0.0;-24.0
-65.0;18;-3;-9;49.0;28.0;4.0;292;-9;18;1.0;-36.0
-55.0;11;2;12;25.0;10.0;-5.0;286;12;11;10.0;6.0
-44.0;-4;-4;-14;-12.0;42.0;59.0;307;-14;-4;83.0;0.0
-83.0;-5;1;-27;35.0;-1.0;0.0;283;-27;-5;51.0;-11.0
-67.0;-28;-4;-6;71.0;-12.0;-66.0;218;-6;-28;55.0;-9.0
-21.0;39;-4;-29;15.0;6.0;-7.0;285;-29;39;21.0;10.0
75.0;22;1;-21;-101.0;12.0;-38.0;213;-21;22;-90.0;62.0
-153.0;16;-2;6;33.0;-38.0;-36.0;219;6;16;-16.0;17.0
362.0;40;1;-38;30.0;15.0;164.0;263;-38;40;-389.0;56.0
-48.0;-27;1;-11;53.0;-23.0;4.0;295;-11;-27;-17.0;-7.0
-27.0;-18;-4;12;51.0;-47.0;-111.0;216;12;-18;-55.0;28.0
-159.0;332;0;324;176.0;-24.0;57.0;263;324;332;20.0;22.0
-34.0;9;0;-10;14.0;-13.0;-26.0;284;-10;9;35.0;32.0
-142.0;-12;-2;-7;-15.0;-30.0;-24.0;219;-7;-12;3.0;-22.0
-178.0;27;1;7;-144.0;111.0;576.0;233;7;27;224.0;-47.0
-8.0;20;-2;3;33.0;-17.0;-5.0;221;3;20;10.0;21.0
-96.0;24;2;1;16.0;-15.0;-26.0;217;1;24;-16.0;-16.0
-92.0;-12;-2;0;38.0;-33.0;-60.0;216;0;-12;11.0;0.0
-58.0;17;-1;-5;29.0;-36.0;-75.0;212;-5;17;20.0;-4.0
-129.0;11;0;1;67.0;-21.0;-71.0;287;1;11;44.0;12.0
-32.0;8;-2;15;12.0;-22.0;-30.0;222;15;8;4.0;-11.0
-1956.0;-20;-11;-39;1300.0;-1003.0;-1889.0;631;-39;-20;-847.0;393.0
-1127.0;409;-103;3233;851.0;-1112.0;-1017.0;186;3233;409;-641.0;404.0
-124.0;21;-1;-14;14.0;-7.0;-20.0;214;-14;21;37.0;-22.0
-69.0;-5;-3;6;6.0;-10.0;-47.0;216;6;-5;44.0;-28.0
-45.0;-12;0;-8;23.0;-5.0;-38.0;219;-8;-12;7.0;-45.0
-71.0;2;1;-10;19.0;-3.0;-25.0;220;-10;2;25.0;-7.0
-79.0;-12;1;-25;7.0;-28.0;-30.0;222;-25;-12;59.0;-13.0
-80.0;-12;1;-7;27.0;-23.0;-81.0;224;-7;-12;-13.0;-9.0
-54.0;7;4;15;-11.0;6.0;-11.0;222;15;7;27.0;32.0
-75.0;-14;-3;-10;75.0;-3.0;-39.0;222;-10;-14;14.0;-9.0
-41.0;-3;-2;-11;35.0;-23.0;-51.0;222;-11;-3;-10.0;-13.0
-67.0;-32;2;5;20.0;-15.0;-2.0;223;5;-32;20.0;-2.0
-90.0;0;1;1;18.0;16.0;-37.0;221;1;0;-1.0;-14.0
-51.0;21;1;0;-23.0;24.0;-26.0;220;0;21;-33.0;0.0
-54.0;-8;7;19;-27.0;15.0;-39.0;220;19;-8;-42.0;20.0
-75.0;-11;5;7;-6.0;20.0;-24.0;216;7;-11;-25.0;-9.0
-87.0;0;3;-4;18.0;24.0;-6.0;217;-4;0;-21.0;0.0
-47.0;1;6;-31;1.0;2.0;-51.0;221;-31;1;12.0;-5.0
-86.0;-21;0;-23;-300.0;-12.0;-51.0;219;-23;-21;-113.0;17.0
-41.0;-6;3;-7;33.0;15.0;-48.0;214;-7;-6;16.0;-28.0
-55.0;-41;1;-31;27.0;33.0;-26.0;213;-31;-41;7.0;-13.0
-74.0;-42;1;19;31.0;-34.0;-28.0;213;19;-42;10.0;6.0
-47.0;-38;-3;38;51.0;-9.0;-23.0;218;38;-38;27.0;-26.0
-1215.0;52;-356;-47;-1218.0;-1206.0;-973.0;567;-47;52;-1587.0;148.0
2430.0;-981;-158;1767;-242.0;67.0;1915.0;258;1767;-981;450.0;-111.0
-71.0;-30;1;5;45.0;-5.0;-43.0;214;5;-30;10.0;-7.0
-68.0;-44;2;-2;42.0;-10.0;-56.0;219;-2;-44;0.0;8.0
-157.0;-25;1;-4;1050.0;-237.0;-117.0;293;-4;-25;-607.0;82.0
-40.0;-30;2;-24;5.0;23.0;-43.0;223;-24;-30;4.0;-15.0
-84.0;-31;6;6;15.0;-16.0;-49.0;220;6;-31;3.0;0.0
-41.0;-28;6;-3;11.0;3.0;-47.0;220;-3;-28;25.0;9.0
-54.0;-20;-1;7;29.0;-15.0;-2.0;221;7;-20;30.0;-11.0
-69.0;28;-2;17;57.0;-18.0;-47.0;217;17;28;21.0;-19.0
-14.0;-33;5;-17;28.0;5.0;-34.0;217;-17;-33;20.0;-10.0
-40.0;-452;8;-33;-43.0;8.0;-176.0;279;-33;-452;73.0;111.0
-62.0;22;4;-5;44.0;-70.0;-47.0;219;-5;22;31.0;-26.0
-153.0;13;0;3;299.0;-134.0;-147.0;275;3;13;60.0;51.0
171.0;28;3;-24;85.0;-255.0;-79.0;213;-24;28;-698.0;-20.0
-37.0;27;2;9;70.0;-43.0;-4.0;218;9;27;27.0;-13.0
-147.0;-67;-26;5;-392.0;-91.0;-219.0;355;5;-67;-359.0;175.0
-73.0;14;0;7;-5.0;-18.0;-35.0;218;7;14;-14.0;-15.0
