Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
964.0;35.0;4;16;669;722;-4;-2
961.0;-49.0;-2;22;664;718;2;1
967.0;45.0;4;21;685;698;-4;-10
993.0;95.0;68;2;807;585;-68;18
960.0;27.0;19;18;660;728;-19;4
976.0;5.0;13;27;656;719;-13;4
989.0;22.0;-1;16;665;724;1;2
973.0;2.0;5;24;655;724;-5;7
983.0;59.0;2;17;666;721;-2;-3
960.0;4.0;-3;16;653;737;3;1
955.0;18.0;5;17;663;725;-5;-2
956.0;16.0;13;22;652;729;-13;-1
959.0;44.0;3;22;649;731;-3;3
987.0;32.0;3;16;685;705;-3;0
977.0;26.0;-7;21;660;724;7;-5
960.0;-2.0;10;13;660;733;-10;-2
978.0;17.0;21;20;660;725;-21;-1
960.0;-27.0;31;15;665;726;-31;0
975.0;26.0;7;12;689;707;-7;-3
994.0;-56.0;-5;17;700;687;5;-4
972.0;11.0;14;14;667;726;-14;-1
968.0;-12.0;15;15;662;730;-15;1
961.0;40.0;9;17;656;732;-9;-4
974.0;-52.0;23;19;668;718;-23;0
976.0;17.0;-7;16;658;730;7;-1
985.0;23.0;3;21;659;724;-3;3
907.0;-125.0;111;87;651;665;-111;-92
969.0;47.0;1;16;660;730;-1;8
979.0;25.0;22;19;660;725;-22;0
978.0;2.0;3;13;662;731;-3;1
979.0;112.0;-12;22;698;684;12;-1
973.0;44.0;2;17;660;730;-2;6
969.0;535.0;4;15;670;722;-4;8
953.0;-32.0;34;19;665;720;-34;3
980.0;13.0;6;20;657;727;-6;2
858.0;188.0;226;68;1012;406;-226;384
970.0;46.0;13;18;667;721;-13;-1
977.0;14.0;-1;17;659;730;1;0
983.0;24.0;1;23;658;721;-1;-1
980.0;22.0;2;21;654;729;-2;1
925.0;33.0;-56;26;666;710;56;7
978.0;26.0;-5;21;655;728;5;6
969.0;11.0;12;16;661;729;-12;5
978.0;9.0;22;20;657;726;-22;0
974.0;36.0;14;17;666;721;-14;-1
979.0;15.0;21;16;660;730;-21;5
979.0;27.0;8;16;659;730;-8;3
980.0;11.0;-3;16;662;727;3;2
980.0;21.0;21;24;657;722;-21;5
971.0;8.0;16;21;673;710;-16;3
975.0;32.0;12;15;656;735;-12;-4
957.0;10.0;9;20;651;733;-9;1
980.0;0.0;-9;12;668;728;9;0
979.0;-4.0;10;23;661;719;-10;5
972.0;2.0;12;21;652;731;-12;-1
978.0;5.0;1;13;662;732;-1;4
973.0;4.0;1;19;654;731;-1;-3
973.0;5.0;7;20;669;715;-7;3
893.0;73.0;-33;36;647;711;33;-11
979.0;-2.0;4;24;663;716;-4;-4
970.0;40.0;12;17;655;732;-12;-3
963.0;17.0;3;22;656;725;-3;4
982.0;30.0;13;21;658;726;-13;3
978.0;11.0;4;21;653;729;-4;-4
953.0;5.0;-13;18;656;731;13;-1
960.0;-11.0;2;25;658;719;-2;-9
978.0;-4.0;9;18;659;727;-9;4
962.0;48.0;12;12;673;723;-12;2
963.0;32.0;22;14;659;733;-22;-3
991.0;30.0;12;14;670;724;-12;-1
974.0;32.0;-1;22;666;716;1;-3
962.0;-6.0;9;20;658;727;-9;10
954.0;3.0;-2;10;664;733;2;-11
986.0;3.0;44;22;669;723;-44;-110
969.0;26.0;2;21;656;727;-2;11
570.0;-81.0;16;16;679;712;-16;-4
864.0;-126.0;-23;18;657;729;23;1
990.0;-11.0;201;12;683;710;-201;-3
970.0;-15.0;27;24;655;723;-27;4
950.0;17.0;6;20;651;733;-6;-2
988.0;14.0;-11;18;682;703;11;-1
983.0;8.0;-13;20;669;715;13;0
965.0;34.0;22;15;682;710;-22;12
988.0;26.0;9;18;669;717;-9;-1
975.0;-20.0;2;17;667;721;-2;-1
962.0;36.0;1;16;662;728;-1;0
1296.0;462.0;26;66;682;692;-26;101
962.0;1.0;4;21;666;717;-4;0
968.0;33.0;16;18;658;729;-16;4
989.0;26.0;5;21;659;723;-5;-3
979.0;-14.0;3;25;662;715;-3;-1
971.0;27.0;1;17;671;719;-1;0
959.0;-9.0;-11;13;674;722;11;0
970.0;7.0;4;18;654;734;-4;1
979.0;45.0;0;22;670;713;0;0
980.0;3.0;-6;19;658;728;6;0
931.0;-33.0;12;23;660;721;-12;9
981.0;15.0;19;20;663;721;-19;0
925.0;15.0;9;12;666;729;-9;-7
958.0;20.0;-2;17;659;729;2;6
959.0;5.0;3;16;652;736;-3;-2
975.0;27.0;2;22;652;730;-2;2
987.0;-9.0;8;16;682;708;-8;-5
970.0;10.0;-5;13;661;734;5;-10
977.0;27.0;-10;10;685;715;10;1
969.0;2.0;8;21;657;726;-8;2
970.0;17.0;-7;20;652;732;7;2
772.0;76.0;13;21;659;723;-13;-2
