Accelerometer LWR accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE EuY;Accelerometer LH accX
-361.0;-138.0;-35;394.0
-340.0;-125.0;-41;411.0
-349.0;-112.0;-41;381.0
-342.0;-109.0;-41;366.0
-330.0;-129.0;-41;379.0
-332.0;-118.0;-41;366.0
-340.0;-111.0;-41;394.0
-338.0;-108.0;-41;383.0
-334.0;-105.0;-41;380.0
-434.0;-142.0;-43;428.0
-341.0;-96.0;-41;382.0
-379.0;-112.0;-40;414.0
-341.0;-126.0;-41;399.0
-360.0;-131.0;-41;389.0
-333.0;-123.0;-41;370.0
-355.0;-111.0;-24;377.0
-359.0;-129.0;-41;364.0
-326.0;-119.0;-41;383.0
-357.0;-105.0;-42;377.0
-332.0;-136.0;-41;384.0
-345.0;-130.0;-42;426.0
-355.0;-118.0;-41;371.0
-347.0;-139.0;-41;400.0
-379.0;-114.0;-41;377.0
-370.0;-132.0;-54;401.0
-378.0;-112.0;-40;423.0
-336.0;-118.0;-41;360.0
-400.0;-152.0;-40;401.0
-357.0;-149.0;-41;405.0
-368.0;-148.0;-40;392.0
-356.0;-125.0;-40;441.0
-356.0;-111.0;-41;392.0
-347.0;-119.0;-41;403.0
-337.0;-127.0;-40;387.0
-350.0;-135.0;-40;362.0
-348.0;-135.0;-41;365.0
-337.0;-100.0;-41;380.0
-366.0;-98.0;-41;418.0
-346.0;-118.0;-41;360.0
-346.0;-114.0;-41;371.0
-336.0;-125.0;-41;391.0
-371.0;-112.0;-55;387.0
-340.0;-124.0;-41;398.0
-331.0;-106.0;-41;379.0
-337.0;-109.0;-41;380.0
-344.0;-128.0;-40;376.0
-361.0;-97.0;-41;371.0
-337.0;-107.0;-41;368.0
-361.0;-110.0;-40;379.0
-363.0;-114.0;-40;380.0
-349.0;-100.0;-41;378.0
-325.0;-118.0;-41;383.0
-337.0;-122.0;-41;368.0
-356.0;-148.0;-43;399.0
-337.0;-118.0;-41;373.0
-401.0;-81.0;-38;371.0
-350.0;-129.0;-41;377.0
-350.0;-122.0;-41;418.0
-349.0;-108.0;-41;405.0
-344.0;-118.0;-41;386.0
-506.0;-162.0;-54;505.0
-356.0;-166.0;-35;412.0
-342.0;-154.0;-41;397.0
-346.0;-144.0;-41;392.0
-339.0;-136.0;-41;378.0
-350.0;-136.0;-41;370.0
-328.0;-131.0;-41;382.0
-360.0;-144.0;-41;388.0
-347.0;-137.0;-41;388.0
-329.0;-122.0;-41;367.0
-341.0;-131.0;-41;384.0
-328.0;-132.0;-41;400.0
-335.0;-131.0;-41;375.0
-359.0;-126.0;-54;431.0
-351.0;-110.0;-41;364.0
-331.0;-122.0;-41;392.0
-392.0;-105.0;-40;413.0
-379.0;-111.0;-39;398.0
-403.0;-114.0;-40;388.0
-373.0;-106.0;-40;376.0
-449.0;-93.0;-40;445.0
-357.0;-110.0;-41;356.0
-351.0;-119.0;-41;354.0
-363.0;-154.0;-40;369.0
-363.0;-109.0;-38;418.0
-378.0;-139.0;-41;370.0
-348.0;-100.0;-49;389.0
-370.0;-97.0;-49;379.0
-336.0;-156.0;-49;378.0
-368.0;-139.0;-41;389.0
-362.0;-134.0;-11;420.0
-344.0;-136.0;-41;400.0
-337.0;-150.0;-41;427.0
-335.0;-111.0;-41;366.0
-397.0;-118.0;-52;383.0
-377.0;-112.0;-41;430.0
-332.0;-107.0;-41;375.0
-353.0;-119.0;-41;388.0
-355.0;-128.0;-41;392.0
-369.0;-109.0;-40;369.0
-348.0;-135.0;-41;365.0
-339.0;-122.0;-41;368.0
-398.0;-144.0;-40;441.0
-390.0;-91.0;-40;439.0
-348.0;-117.0;-41;380.0
-353.0;-150.0;-41;357.0
-370.0;-137.0;-41;422.0
-366.0;-122.0;-41;387.0
-401.0;-144.0;-67;400.0
-366.0;-155.0;-41;383.0
-333.0;-137.0;-41;370.0
-340.0;-160.0;-41;379.0
-348.0;-117.0;-35;411.0
-335.0;-136.0;-41;375.0
-349.0;-110.0;-41;411.0
-345.0;-118.0;-41;366.0
-331.0;-127.0;-41;392.0
-330.0;-112.0;-41;371.0
-333.0;-115.0;-41;377.0
-355.0;-129.0;-41;354.0
-338.0;-297.0;-45;517.0
-371.0;-127.0;-17;433.0
-348.0;-135.0;-40;399.0
-355.0;-111.0;-39;456.0
-337.0;-120.0;-41;376.0
-349.0;-99.0;-40;381.0
-360.0;-117.0;-41;379.0
-384.0;-112.0;-48;395.0
-351.0;-118.0;-41;383.0
-399.0;-122.0;-40;427.0
-340.0;-135.0;-32;358.0
-368.0;-118.0;-41;383.0
-370.0;-106.0;-41;403.0
-342.0;-105.0;-41;388.0
-352.0;-115.0;-41;368.0
-360.0;-141.0;-15;398.0
-373.0;-164.0;-14;407.0
-384.0;-109.0;-43;431.0
-402.0;-147.0;-28;417.0
-360.0;-115.0;-44;359.0
-344.0;-116.0;-25;411.0
-361.0;-162.0;-18;385.0
-340.0;-122.0;-17;377.0
-369.0;-106.0;-41;382.0
-354.0;-126.0;-32;367.0
-359.0;-122.0;-45;363.0
-366.0;-126.0;-43;405.0
-333.0;-152.0;-40;384.0
-370.0;-145.0;-45;386.0
-357.0;-165.0;-43;394.0
-377.0;-117.0;-42;365.0
-378.0;-168.0;-45;433.0
-345.0;-158.0;-43;392.0
-360.0;-117.0;-44;367.0
-380.0;-100.0;-44;396.0
-361.0;-163.0;-40;396.0
-367.0;-115.0;-39;388.0
-387.0;-151.0;-39;382.0
-446.0;-99.0;-43;419.0
-368.0;-124.0;-43;394.0
-350.0;-143.0;-36;366.0
-386.0;-120.0;-43;410.0
-347.0;-137.0;-43;420.0
-341.0;-106.0;-36;368.0
-363.0;-109.0;-43;362.0
-375.0;-143.0;-43;367.0
-375.0;-120.0;-36;429.0
-456.0;-230.0;-45;424.0
-332.0;-106.0;-41;375.0
-322.0;-103.0;-41;358.0
-313.0;-116.0;-41;356.0
-419.0;-269.0;-46;370.0
-211.0;-238.0;-40;350.0
-341.0;-166.0;-32;367.0
-320.0;-108.0;-41;394.0
-272.0;-179.0;-36;285.0
-389.0;-128.0;-43;335.0
-359.0;-174.0;-32;324.0
-333.0;-140.0;-15;361.0
-321.0;-118.0;-41;380.0
-325.0;-100.0;-41;381.0
-418.0;15.0;-49;414.0
-319.0;-105.0;-41;351.0
-358.0;-170.0;-38;271.0
-319.0;-111.0;-41;351.0
-344.0;-270.0;-41;291.0
-342.0;-111.0;-41;350.0
-319.0;-127.0;-41;367.0
-330.0;-107.0;-41;378.0
-418.0;-126.0;-45;338.0
-362.0;-127.0;-26;350.0
-319.0;-135.0;-35;410.0
-331.0;-104.0;-41;376.0
-669.0;-45.0;-40;271.0
-331.0;-124.0;-41;341.0
-321.0;-101.0;-41;360.0
-329.0;-98.0;-41;370.0
-317.0;-102.0;-41;369.0
-308.0;-173.0;-13;305.0
-338.0;-100.0;-26;363.0
-345.0;-90.0;-28;397.0
-381.0;-66.0;1;388.0
-374.0;-73.0;-28;381.0
-730.0;-360.0;-50;973.0
-397.0;-86.0;-29;406.0
-584.0;-344.0;-51;669.0
-424.0;-130.0;-42;519.0
-336.0;-95.0;-41;337.0
-358.0;30.0;-47;312.0
-313.0;-474.0;-39;186.0
-863.0;-377.0;-44;511.0
-252.0;-223.0;-43;393.0
-325.0;-98.0;-41;377.0
-548.0;11.0;-45;570.0
-221.0;-46.0;-41;474.0
-354.0;-134.0;-32;349.0
-331.0;-92.0;-42;411.0
-462.0;-159.0;-42;366.0
-418.0;-126.0;-12;453.0
-320.0;-102.0;-41;388.0
-339.0;-209.0;-45;409.0
-364.0;-131.0;-44;339.0
-456.0;-190.0;-45;562.0
-336.0;-113.0;-40;342.0
-350.0;-12.0;-36;358.0
-316.0;-102.0;-41;370.0
-784.0;-103.0;-40;393.0
-327.0;-121.0;-41;359.0
-309.0;-126.0;-41;357.0
-346.0;-74.0;-43;405.0
-338.0;-280.0;-44;420.0
-369.0;-209.0;-43;358.0
-320.0;-102.0;-40;268.0
-357.0;18.0;-36;446.0
-326.0;-101.0;-46;400.0
-458.0;-299.0;-44;118.0
-641.0;-171.0;-44;600.0
53.0;-126.0;-42;394.0
-581.0;-81.0;-50;391.0
-387.0;-166.0;-46;496.0
-360.0;118.0;-43;362.0
-409.0;-45.0;-46;332.0
-310.0;-121.0;-41;372.0
-294.0;-426.0;-45;312.0
-323.0;-106.0;-41;378.0
-321.0;-120.0;-43;379.0
-322.0;-104.0;-41;367.0
-314.0;-54.0;-39;479.0
-311.0;-86.0;-43;447.0
-339.0;-117.0;-52;346.0
-330.0;-100.0;-41;397.0
-340.0;-362.0;-50;660.0
-263.0;-293.0;-40;228.0
-320.0;-78.0;-43;404.0
-321.0;-99.0;-41;338.0
-298.0;8.0;-42;391.0
-384.0;-127.0;-40;329.0
-469.0;-41.0;-43;487.0
-328.0;-106.0;-41;404.0
-157.0;29.0;-39;699.0
-468.0;-23.0;-39;998.0
-589.0;-264.0;-43;332.0
-371.0;-100.0;-41;362.0
-580.0;562.0;-78;630.0
-336.0;-109.0;-41;322.0
-690.0;2.0;-39;822.0
-335.0;-17.0;-39;419.0
-310.0;45.0;-42;379.0
-336.0;-113.0;-41;359.0
-317.0;-105.0;-41;390.0
-365.0;-60.0;-38;419.0
-859.0;-46.0;-44;1043.0
-339.0;-135.0;-49;336.0
-323.0;-118.0;-41;370.0
-173.0;-352.0;-50;566.0
-335.0;-157.0;-15;367.0
-294.0;-141.0;-41;361.0
-333.0;-137.0;-16;370.0
-324.0;-110.0;-41;362.0
-321.0;-113.0;-34;349.0
-348.0;-93.0;-37;355.0
-475.0;-369.0;-50;337.0
-318.0;59.0;-42;484.0
-336.0;-370.0;-43;444.0
-399.0;-19.0;-38;676.0
-510.0;-91.0;-41;753.0
-385.0;-196.0;-24;438.0
-324.0;-119.0;-41;339.0
-334.0;-97.0;-41;396.0
-319.0;-113.0;-41;353.0
-347.0;-93.0;-41;356.0
-370.0;-140.0;-45;341.0
-340.0;-145.0;-13;360.0
-298.0;25.0;-46;298.0
-358.0;-163.0;-37;361.0
-267.0;-328.0;-41;334.0
-326.0;-107.0;-40;361.0
-320.0;-126.0;-41;368.0
-452.0;-60.0;-52;370.0
-331.0;-118.0;-41;348.0
-365.0;-54.0;-37;327.0
-340.0;-100.0;-41;351.0
-295.0;-114.0;-34;564.0
-309.0;-144.0;-41;350.0
-405.0;-50.0;-38;492.0
-331.0;-113.0;-40;345.0
-295.0;-145.0;-41;310.0
-342.0;-129.0;-45;339.0
-414.0;18.0;-43;527.0
-379.0;-84.0;-41;359.0
-343.0;-97.0;-40;359.0
-347.0;-108.0;-40;358.0
-359.0;-101.0;-14;388.0
-362.0;-113.0;-48;354.0
-368.0;-67.0;39;458.0
-320.0;-92.0;-41;402.0
-334.0;-127.0;-37;347.0
-361.0;-101.0;-43;486.0
-330.0;-114.0;-41;351.0
