InertialMeasurementUnit R-SHOE EuZ;Accelerometer RKN_ accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE EuY
-159;47.0;-809.0;799;171.0;?;370;-24
-159;27.0;?;797;173.0;?;375;-24
-160;19.0;-134.0;?;180.0;63;378;-24
-159;-18.0;-309.0;797;171.0;69;371;-24
-159;-11.0;-176.0;791;188.0;71;369;-24
-159;28.0;62.0;797;211.0;?;374;-24
-159;-15.0;302.0;800;215.0;65;372;-24
-159;-5.0;455.0;796;186.0;68;372;-24
-160;19.0;574.0;797;181.0;69;374;-24
-159;30.0;-99.0;797;149.0;66;377;-24
-159;29.0;-187.0;795;153.0;64;379;-24
-159;34.0;-249.0;793;161.0;68;373;-24
-159;8.0;-200.0;792;161.0;71;371;-24
-159;-20.0;-276.0;793;167.0;69;374;-24
-160;-31.0;-463.0;797;225.0;67;374;-24
-159;-46.0;-881.0;798;226.0;67;375;-24
-159;-6.0;-1519.0;792;195.0;68;379;-24
-159;10.0;-2177.0;796;201.0;64;378;-24
-159;10.0;-2750.0;797;177.0;66;373;-24
-159;20.0;-3016.0;795;199.0;69;372;-24
?;30.0;-2774.0;797;180.0;67;372;-24
-159;32.0;-2655.0;793;153.0;70;370;-24
-159;50.0;-2536.0;795;141.0;67;377;-24
-159;20.0;-2431.0;794;160.0;70;373;-24
-159;-4.0;-2343.0;793;171.0;72;371;-24
-159;-9.0;-2434.0;797;172.0;68;376;-24
-160;8.0;-2431.0;793;194.0;72;374;?
-159;6.0;-2237.0;795;185.0;67;377;-24
?;24.0;-2101.0;797;193.0;68;373;-24
-159;22.0;-1919.0;795;214.0;71;369;-24
-159;29.0;-1496.0;794;151.0;70;372;-24
-159;2.0;-425.0;795;?;69;?;-24
-160;-15.0;-67.0;797;?;66;376;-24
