InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
3.0;-233.0;68.0;-240.0;75.0;-12.0;-117.0
-170.0;-390.0;-23.0;-372.0;185.0;175.0;-304.0
-9.0;-228.0;78.0;-189.0;17.0;32.0;-161.0
2.0;-230.0;63.0;-226.0;52.0;46.0;-173.0
5.0;-236.0;56.0;-255.0;79.0;50.0;-191.0
-1.0;-242.0;55.0;-279.0;100.0;43.0;-210.0
-11.0;-256.0;55.0;-326.0;142.0;23.0;-237.0
-5.0;-266.0;52.0;-370.0;180.0;13.0;-251.0
27.0;-267.0;-9.0;-375.0;220.0;100.0;-255.0
30.0;-264.0;-18.0;-361.0;205.0;112.0;-243.0
46.0;-216.0;82.0;-315.0;124.0;26.0;-130.0
52.0;-211.0;67.0;-292.0;114.0;56.0;-129.0
48.0;-209.0;58.0;-289.0;104.0;85.0;-130.0
45.0;-206.0;51.0;-293.0;96.0;110.0;-122.0
41.0;-192.0;63.0;-262.0;51.0;106.0;-92.0
33.0;-255.0;-14.0;-349.0;192.0;115.0;-224.0
56.0;-231.0;-15.0;-345.0;187.0;125.0;-161.0
62.0;-221.0;-5.0;-337.0;172.0;118.0;-134.0
51.0;-217.0;20.0;-310.0;141.0;89.0;-90.0
39.0;-219.0;29.0;-296.0;128.0;76.0;-73.0
25.0;-234.0;77.0;-206.0;19.0;41.0;-83.0
26.0;-236.0;62.0;-224.0;38.0;54.0;-100.0
-230.0;-186.0;191.0;-422.0;149.0;-238.0;125.0
28.0;-241.0;46.0;-242.0;61.0;69.0;-119.0
26.0;-264.0;15.0;-283.0;112.0;106.0;-168.0
8.0;-296.0;-5.0;-322.0;162.0;120.0;-225.0
-36.0;-310.0;495.0;-728.0;283.0;-301.0;-222.0
-64.0;-261.0;110.0;-338.0;141.0;-26.0;-218.0
-2.0;-312.0;-2.0;-331.0;175.0;110.0;-254.0
80.0;-232.0;62.0;-216.0;51.0;42.0;-132.0
81.0;-240.0;51.0;-236.0;74.0;49.0;-152.0
75.0;-249.0;44.0;-249.0;95.0;44.0;-171.0
63.0;-259.0;43.0;-256.0;109.0;32.0;-194.0
52.0;-266.0;46.0;-268.0;119.0;22.0;-216.0
47.0;-270.0;39.0;-289.0;144.0;19.0;-227.0
45.0;-267.0;45.0;-315.0;165.0;11.0;-229.0
1.0;-255.0;71.0;-347.0;181.0;-27.0;-208.0
-1.0;-251.0;75.0;-333.0;164.0;-33.0;-195.0
-13.0;-232.0;77.0;-204.0;-10.0;85.0;-131.0
-30.0;-247.0;64.0;-211.0;19.0;89.0;-143.0
-43.0;-261.0;69.0;-216.0;31.0;81.0;-155.0
0.0;-246.0;81.0;-312.0;142.0;-37.0;-187.0
2.0;-239.0;85.0;-287.0;117.0;-38.0;-181.0
6.0;-230.0;88.0;-257.0;92.0;-38.0;-174.0
15.0;-220.0;90.0;-225.0;64.0;-36.0;-164.0
29.0;-208.0;93.0;-191.0;36.0;-34.0;-147.0
-28.0;-266.0;112.0;-49.0;-50.0;-76.0;-116.0
-44.0;-275.0;70.0;-247.0;52.0;86.0;-164.0
-37.0;-284.0;62.0;-312.0;88.0;91.0;-166.0
26.0;-223.0;42.0;-284.0;114.0;68.0;-56.0
4.0;-235.0;49.0;-265.0;100.0;72.0;-30.0
