InertialMeasurementUnit R-SHOE EuZ;Accelerometer RKN_ accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE EuY
-156;-10.0;99.0;793;240.0;69;388;-26
-157;145.0;16.0;806;147.0;69;378;-27
-140;-20.0;-336.0;1303;381.0;-1221;1837;-55
-160;-15.0;-115.0;798;432.0;72;387;-23
-145;-1.0;-723.0;1051;29.0;-566;1028;-45
-154;-632.0;310.0;800;378.0;73;398;-6
-160;-504.0;-151.0;803;296.0;71;394;-31
-165;-99.0;-40.0;814;284.0;17;313;-20
-159;133.0;87.0;798;200.0;69;365;-24
-160;-25.0;16.0;783;242.0;70;397;-29
-160;-61.0;-9.0;788;247.0;72;402;-29
-160;-47.0;41.0;773;254.0;79;404;-27
-171;-200.0;-186.0;807;301.0;71;393;-21
-168;411.0;-284.0;2843;319.0;-1925;502;-1
-166;-246.0;46.0;1215;375.0;-312;613;-17
-155;-3.0;51.0;780;303.0;28;495;-27
-159;126.0;-54.0;805;191.0;63;370;-24
-150;-324.0;134.0;761;412.0;81;394;-37
-162;-41.0;36.0;799;253.0;68;393;-25
-162;-10.0;-23.0;796;237.0;71;388;-23
-160;-54.0;20.0;785;229.0;73;406;-29
-160;-54.0;18.0;794;254.0;62;406;-29
-171;-574.0;918.0;767;371.0;102;437;-38
-164;-212.0;420.0;809;351.0;75;383;-31
-157;-25.0;189.0;793;257.0;72;390;-26
-179;-265.0;222.0;804;-44.0;110;388;-12
-156;-49.0;185.0;809;157.0;72;377;-31
-152;-782.0;147.0;837;-345.0;63;371;-27
-156;10.0;0.0;795;251.0;69;385;-26
-163;80.0;-69.0;801;277.0;82;380;-25
-160;-11.0;-25.0;782;224.0;73;408;-29
-160;-30.0;22.0;785;236.0;71;406;-29
-166;36.0;-94.0;487;9.0;130;797;-25
-134;-372.0;21.0;48;442.0;131;838;-73
-161;111.0;77.0;847;205.0;99;76;-14
-162;-26.0;34.0;800;243.0;71;385;-23
-115;66.0;-530.0;507;281.0;1145;-34;-62
-163;-21.0;14.0;799;349.0;76;378;-26
-162;69.0;103.0;802;374.0;69;398;-29
-156;94.0;42.0;805;278.0;71;391;-25
-161;258.0;108.0;801;348.0;68;384;-22
-157;-10.0;-107.0;799;239.0;66;388;-26
-163;-26.0;15.0;796;232.0;70;394;-23
-157;30.0;321.0;804;133.0;74;383;-27
176;39.0;37.0;809;101.0;66;391;-25
-160;30.0;-38.0;810;161.0;73;380;-28
-160;-1.0;1.0;790;247.0;67;403;-29
-156;-15.0;9.0;790;237.0;74;393;-27
-162;42.0;556.0;802;221.0;72;384;-26
-159;112.0;25.0;802;209.0;66;371;-24
-162;-31.0;51.0;799;269.0;69;389;-25
-151;-49.0;76.0;537;251.0;474;338;-23
-162;-7.0;52.0;797;225.0;73;382;-23
-167;222.0;-289.0;2210;133.0;-941;-1888;-12
-162;4.0;45.0;799;241.0;70;386;-23
-160;-170.0;27.0;787;127.0;70;408;-29
-157;-21.0;-4.0;801;251.0;68;384;-26
-157;-10.0;22.0;797;240.0;68;386;-26
-175;165.0;-63.0;800;-140.0;105;391;-35
-151;-1.0;-657.0;377;97.0;67;777;-49
-157;583.0;794.0;807;459.0;88;410;-14
-161;-13.0;1759.0;792;221.0;76;402;-27
-165;48.0;563.0;720;-144.0;99;431;-27
-164;214.0;2.0;814;262.0;67;380;-31
-145;39.0;-1009.0;815;283.0;120;389;-33
-164;220.0;-193.0;800;487.0;68;390;-39
-160;322.0;286.0;685;220.0;91;505;-29
-161;1.0;-231.0;803;232.0;70;392;-22
-158;-40.0;-46.0;798;271.0;73;377;-26
-160;-318.0;-654.0;795;320.0;85;411;-12
-160;-3.0;36.0;772;260.0;70;424;-28
-157;71.0;-437.0;811;236.0;77;395;-28
-160;-29.0;26.0;775;241.0;72;414;-27
-163;24.0;132.0;742;274.0;81;451;-28
-160;-45.0;41.0;772;235.0;78;406;-27
-155;-114.0;78.0;816;358.0;61;383;-43
-156;769.0;-16.0;816;369.0;63;392;-22
-161;12.0;-468.0;801;-55.0;86;390;-36
-162;-200.0;46.0;801;299.0;71;391;-29
-160;-36.0;13.0;770;249.0;72;421;-28
-169;3.0;77.0;649;367.0;110;589;-37
-158;-58.0;127.0;600;-20.0;97;585;-38
-159;1.0;-123.0;814;282.0;53;523;-37
-141;-623.0;693.0;809;-333.0;138;355;-33
-155;-776.0;195.0;607;46.0;86;605;-41
-160;-50.0;76.0;950;246.0;-98;694;-25
-164;203.0;-214.0;806;180.0;68;389;-38
-163;3.0;-17.0;738;239.0;78;458;-27
-172;172.0;0.0;584;293.0;109;638;-38
-145;56.0;-177.0;618;300.0;122;555;-48
-159;13.0;968.0;791;218.0;77;395;-28
-156;51.0;-2082.0;713;270.0;60;463;-28
-160;99.0;182.0;813;186.0;74;381;-28
-164;-51.0;33.0;896;261.0;572;-134;-25
-159;-25.0;-8.0;775;-46.0;74;393;-26
-156;-29.0;13.0;807;269.0;124;302;-28
-74;-132.0;395.0;673;51.0;908;196;-68
-24;-227.0;132.0;1100;305.0;-216;1385;-83
-160;27.0;302.0;794;994.0;72;392;-35
-158;18.0;302.0;804;270.0;77;384;-28
