InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-44;687.0;6;1544.0;18;-22;22;?
5;532.0;-4;1513.0;11;-8;8;5
15;352.0;?;1276.0;5;6;-6;15
-21;216.0;2;520.0;7;?;14;-21
?;99.0;-1;-52.0;15;2;-2;-17
2;54.0;-1;-319.0;12;-5;5;2
?;-4.0;1;-401.0;10;?;6;-12
0;-30.0;3;-487.0;16;28;-28;0
25;110.0;2;-435.0;13;7;-7;25
-7;0.0;-2;134.0;16;23;-23;-7
-19;21.0;-5;135.0;22;40;-40;-19
-29;-90.0;-1;220.0;18;18;-18;?
-22;-256.0;-2;368.0;13;4;-4;-22
4;-351.0;-9;552.0;11;-10;10;4
25;-404.0;-3;670.0;11;-23;23;25
-10;-349.0;1;765.0;14;?;-4;-10
-10;-343.0;-3;907.0;18;-6;6;-10
22;-294.0;-2;1062.0;?;-15;15;22
-2;-261.0;-1;1251.0;13;-22;22;-2
-41;-176.0;-6;1382.0;11;-46;46;-41
-45;-212.0;-6;1338.0;7;-34;34;-45
-22;-248.0;?;1193.0;5;-26;26;-22
8;?;1;1318.0;16;-4;4;8
19;-124.0;-2;1454.0;10;12;-12;19
26;111.0;-2;1581.0;6;-1;1;26
-5;396.0;0;1624.0;16;-30;30;-5
-25;797.0;?;1616.0;?;-35;?;-25
?;1123.0;-3;1634.0;10;2;-2;21
-4;1363.0;1;1522.0;12;-2;2;-4
-33;1557.0;4;1504.0;10;4;?;-33
-5;1560.0;2;1711.0;19;-4;4;-5
6;1122.0;3;1864.0;23;-7;7;6
4;749.0;2;1726.0;13;64;-64;4
-15;407.0;-2;1123.0;7;62;-62;-15
8;182.0;-1;387.0;6;1;-1;8
27;75.0;-2;-308.0;8;-19;19;27
-4;-74.0;-2;-555.0;9;-9;9;-4
23;-184.0;2;-589.0;9;?;-6;23
57;-208.0;-1;-449.0;11;-3;3;57
1;-193.0;-2;-411.0;9;-13;13;1
-28;-65.0;3;-583.0;13;-17;17;-28
-32;88.0;3;101.0;8;7;-7;-32
21;70.0;1;?;8;18;-18;21
-23;59.0;?;91.0;8;?;-4;-23
?;-121.0;-1;197.0;5;6;-6;-67
?;-281.0;-3;335.0;13;-1;1;-31
-18;-429.0;4;503.0;15;-15;15;-18
33;-448.0;2;569.0;7;-44;44;33
?;-465.0;-3;700.0;11;-50;50;45
-23;-495.0;-1;946.0;12;-35;35;-23
-6;-496.0;-5;1171.0;11;-64;64;-6
12;-481.0;?;?;15;-48;48;12
-9;-472.0;2;1663.0;10;3;-3;-9
34;-380.0;2;1812.0;8;-7;7;?
14;-254.0;?;1883.0;15;-10;10;14
-36;-61.0;2;1769.0;12;-7;7;-36
3;232.0;0;1741.0;9;-34;34;3
16;443.0;-3;?;9;9;-9;16
?;786.0;3;1574.0;10;35;-35;25
34;1123.0;-3;1562.0;11;-36;36;34
8;1426.0;-3;1483.0;?;-29;29;8
6;1573.0;4;1460.0;11;?;8;6
15;1600.0;-3;1578.0;11;-25;25;?
12;1040.0;-2;1734.0;15;36;-36;?
-19;750.0;-5;1620.0;13;22;-22;-19
-19;434.0;-5;1128.0;?;-5;5;-19
-4;220.0;?;418.0;7;17;-17;-4
8;84.0;-4;-185.0;5;-28;28;8
43;-124.0;0;-385.0;11;-19;19;43
34;-223.0;1;-394.0;9;10;-10;34
15;-258.0;-5;-458.0;6;-9;9;15
11;-64.0;1;-585.0;11;-14;14;11
43;121.0;-3;515.0;12;8;-8;43
33;231.0;0;834.0;8;-29;29;33
19;478.0;1;1348.0;8;16;-16;19
45;888.0;-1;1942.0;15;36;-36;45
-5;1348.0;-3;2513.0;11;26;-26;-5
-13;1932.0;1;3152.0;8;28;-28;-13
-6;2437.0;-2;4040.0;9;19;-19;-6
21;2892.0;-7;5050.0;6;1;-1;21
27;3069.0;?;5857.0;12;-3;3;27
-34;3251.0;2;6278.0;13;6;-6;-34
-44;3286.0;0;6430.0;9;43;?;-44
-117;3115.0;-2;6524.0;?;59;-59;-117
?;2530.0;2;6268.0;10;-53;53;-47
68;2714.0;-1;5497.0;-4;-77;77;68
-27;2646.0;1;4893.0;9;?;-22;-27
-40;2336.0;5;4013.0;-2;1;-1;-40
-26;2096.0;4;2848.0;-8;17;-17;-26
-41;1664.0;30;1815.0;61;83;?;-41
43;1255.0;28;1093.0;-32;-22;22;?
53;?;112;614.0;155;-48;48;53
-19;697.0;342;342.0;423;26;-26;?
-9;506.0;440;123.0;93;-35;?;-9
6;180.0;335;-136.0;-127;-35;?;?
14;-183.0;143;-424.0;-114;3;-3;?
28;-513.0;-24;-694.0;-81;-33;33;28
9;-644.0;-246;-948.0;8;-28;28;9
-6;-720.0;-361;-1257.0;-75;-26;26;-6
-40;?;-463;-1423.0;-132;-35;35;-40
-75;-766.0;-637;-1526.0;?;-15;15;-75
-66;-796.0;-177;-1561.0;-183;-24;24;-66
-57;-738.0;156;-1482.0;-125;-32;32;-57
?;-690.0;-38;-1296.0;-38;-20;20;-70
-56;-535.0;-13;-1092.0;-35;-1;1;-56
-29;?;5;-884.0;24;26;-26;-29
-31;-296.0;34;-534.0;57;-3;3;-31
-34;-171.0;29;-218.0;-21;-11;11;-34
4;14.0;19;95.0;-57;9;-9;4
40;176.0;75;431.0;-45;-10;10;40
46;389.0;-38;690.0;-120;-25;25;46
30;507.0;-46;932.0;-139;-35;35;30
21;497.0;81;1135.0;51;-13;13;21
71;463.0;92;1278.0;156;28;-28;71
76;481.0;73;1259.0;115;30;?;76
30;525.0;57;1152.0;86;27;-27;30
25;457.0;35;1057.0;24;54;-54;25
24;348.0;27;856.0;-17;46;-46;?
47;231.0;-69;629.0;-22;2;-2;47
55;158.0;140;369.0;-12;30;-30;55
44;70.0;-41;145.0;44;?;-43;44
44;-12.0;166;-49.0;9;49;-49;44
26;-105.0;227;-210.0;-60;29;-29;26
4;-186.0;198;?;-67;-34;34;4
-21;-257.0;2048;-264.0;-30;54;-54;-21
33;-424.0;195;-269.0;300;-2;2;33
40;-338.0;-2067;-431.0;345;-117;117;40
-41;-313.0;-114;-447.0;37;-23;23;-41
-1;-276.0;39;-586.0;64;-30;30;-1
78;-605.0;-240;-466.0;51;-30;30;78
82;-396.0;-2;-115.0;4;53;-53;82
41;81.0;-162;-76.0;24;28;-28;41
9;382.0;58;-244.0;-24;-8;8;?
4;516.0;-28;-259.0;-10;-18;18;4
-4;151.0;-26;-418.0;-20;-61;?;-4
-5;-5.0;-9;-689.0;-25;-36;36;-5
-12;-116.0;?;-434.0;-15;19;?;-12
-12;-137.0;-11;-103.0;?;0;0;-12
9;-49.0;-6;?;-11;-12;12;9
-10;-147.0;-9;?;-16;19;?;-10
?;-209.0;-16;167.0;-16;29;-29;-54
-36;-127.0;-12;197.0;-19;2;?;-36
11;-54.0;-19;297.0;-24;-2;2;11
-19;0.0;6;352.0;-4;13;-13;-19
-47;48.0;-91;410.0;-20;14;-14;-47
-36;76.0;-189;443.0;-30;-16;?;-36
-21;67.0;-74;516.0;35;-44;44;-21
30;170.0;-58;588.0;72;-28;28;30
11;177.0;-60;605.0;89;-33;33;11
-14;212.0;?;591.0;73;-40;40;-14
19;245.0;56;546.0;-15;9;-9;19
?;292.0;?;494.0;-37;36;-36;-18
-49;322.0;108;430.0;-13;10;-10;-49
-22;280.0;7;339.0;-31;13;-13;-22
-15;217.0;233;227.0;25;43;-43;-15
10;109.0;?;85.0;126;22;-22;10
?;64.0;-34;9.0;124;10;-10;50
35;38.0;21;-85.0;64;46;-46;35
6;-32.0;27;-153.0;36;27;-27;6
16;-57.0;-28;-238.0;42;-9;9;16
34;-106.0;3;-283.0;7;20;-20;34
26;-138.0;?;-244.0;-53;32;-32;26
-25;-190.0;-28;-176.0;-60;-13;13;-25
-36;-179.0;12;-125.0;-17;-44;44;-36
3;-109.0;53;-114.0;51;-31;31;3
-9;-79.0;64;-138.0;92;1;-1;-9
28;-3.0;47;-113.0;96;30;-30;28
66;38.0;47;-95.0;69;35;-35;66
19;-1.0;32;-30.0;78;?;-38;19
23;31.0;47;40.0;71;37;-37;23
40;29.0;60;94.0;29;24;-24;40
5;33.0;12;159.0;88;38;-38;5
-31;0.0;151;191.0;-14;23;-23;?
-17;-5.0;7;201.0;77;18;-18;-17
-8;-7.0;657;133.0;-132;-25;25;-8
-17;-81.0;1568;79.0;-54;-66;66;-17
35;-90.0;335;7.0;1088;-25;25;35
30;-104.0;-512;-65.0;556;-159;159;30
-24;-92.0;-130;-104.0;-353;-203;203;-24
-2;-52.0;-118;-240.0;0;-131;131;-2
-10;-172.0;-29;-289.0;-21;-44;44;-10
-40;-232.0;-10;192.0;-14;189;-189;-40
23;193.0;-32;276.0;27;178;?;23
41;241.0;-9;70.0;?;51;-51;41
-26;129.0;-21;-121.0;16;28;-28;?
5;-141.0;-5;-437.0;-5;3;-3;5
55;-141.0;-17;-642.0;-3;27;-27;55
28;-77.0;-15;-556.0;-3;13;-13;28
40;96.0;-11;?;-2;-26;26;40
30;-24.0;-10;-417.0;-10;-6;6;30
-4;-146.0;-8;-288.0;-2;8;-8;-4
24;-209.0;-3;-50.0;-2;7;-7;24
22;?;-10;123.0;-7;6;-6;22
-29;-104.0;-16;242.0;-9;-3;3;-29
-35;-79.0;?;364.0;-27;-7;7;-35
16;-28.0;-40;393.0;0;-19;19;16
-10;14.0;-99;403.0;-115;44;-44;-10
-48;63.0;-269;423.0;-378;65;-65;-48
-26;118.0;-315;405.0;-273;-24;24;-26
-19;142.0;-46;420.0;69;-13;13;-19
16;203.0;31;400.0;40;6;-6;16
3;?;-49;441.0;-74;-10;10;3
-71;314.0;11;502.0;2;17;-17;-71
-58;362.0;88;532.0;24;-2;2;-58
-37;387.0;112;529.0;-10;-33;33;-37
-58;358.0;80;458.0;-29;-16;16;-58
-25;332.0;80;437.0;-14;-23;23;-25
-1;279.0;89;400.0;21;-43;43;-1
-22;215.0;77;368.0;59;-44;44;-22
2;149.0;72;259.0;59;-43;43;2
35;110.0;56;94.0;41;-25;25;35
35;79.0;51;-47.0;74;-23;23;35
51;55.0;41;-89.0;?;-11;11;51
79;15.0;36;-141.0;8;?;-62;79
63;-6.0;48;-186.0;3;110;?;63
20;-17.0;35;-186.0;13;68;-68;20
23;-44.0;16;-208.0;33;55;-55;23
54;-93.0;33;-175.0;72;74;-74;54
36;-100.0;66;-198.0;97;?;-22;36
-1;-132.0;31;-197.0;80;20;-20;-1
-5;-143.0;86;-174.0;67;66;-66;-5
-7;-123.0;40;-152.0;68;53;-53;-7
-7;-108.0;19;-58.0;68;11;-11;-7
12;-100.0;115;0.0;43;-47;47;12
8;-70.0;-112;97.0;-35;-37;37;8
-22;-74.0;430;173.0;-77;-5;5;-22
-36;-113.0;572;172.0;-206;-16;16;-36
-14;-107.0;756;164.0;-132;21;-21;-14
-12;-112.0;1668;48.0;186;24;-24;-12
-89;-101.0;339;-46.0;73;-95;95;-89
?;-95.0;-543;-166.0;-87;-159;159;-135
-64;-130.0;-129;-314.0;-13;-78;78;-64
-9;-303.0;-389;-8.0;-21;-28;28;-9
17;108.0;-274;166.0;-8;33;-33;17
?;281.0;-249;182.0;2;108;-108;53
18;287.0;-268;?;-4;12;-12;18
7;14.0;-178;-2.0;7;-27;27;7
36;-22.0;-183;-400.0;-3;43;-43;?
46;-134.0;-138;-407.0;-21;41;-41;?
33;-87.0;-145;-347.0;-17;36;-36;33
-4;-12.0;-115;-412.0;-7;13;-13;-4
12;-134.0;-86;-446.0;-13;-5;5;12
-9;?;-72;-422.0;-3;26;-26;?
?;-235.0;-75;-272.0;-27;-6;?;-41
-21;-172.0;-60;-79.0;-12;-15;15;-21
4;-120.0;-52;68.0;-4;57;-57;4
26;-50.0;-56;147.0;-40;23;-23;26
-2;-17.0;-22;248.0;-7;-17;17;?
18;30.0;-66;318.0;-74;47;-47;18
?;92.0;-7;?;59;5;-5;38
-41;128.0;-86;418.0;-11;-12;12;-41
-58;193.0;?;458.0;-290;47;-47;-58
-26;252.0;-34;530.0;223;-35;35;-26
-43;321.0;108;523.0;511;-44;44;-43
-40;346.0;-35;510.0;131;7;-7;-40
-42;352.0;37;533.0;11;-14;14;-42
-54;352.0;51;552.0;-13;-27;27;-54
-27;408.0;-40;585.0;-97;-54;54;-27
