InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
0;-77.0;752.0;497.0;-178;375.0;540.0
-3;-9.0;755.0;408.0;-178;380.0;538.0
-4;-41.0;741.0;345.0;-179;483.0;533.0
0;-105.0;791.0;307.0;-178;486.0;471.0
10;-147.0;772.0;257.0;-178;511.0;427.0
1;-87.0;817.0;200.0;-178;446.0;344.0
-3;-63.0;759.0;239.0;-178;394.0;335.0
3;121.0;734.0;327.0;-178;344.0;351.0
-4;232.0;702.0;444.0;-179;309.0;496.0
-4;-520.0;607.0;243.0;-178;-14.0;406.0
4;-622.0;591.0;68.0;-178;-7.0;513.0
6;-932.0;596.0;-112.0;-178;3.0;536.0
2;-869.0;663.0;-146.0;-178;39.0;590.0
3;-784.0;777.0;-184.0;-178;38.0;497.0
0;-695.0;754.0;-186.0;-179;-175.0;472.0
-2;-570.0;732.0;-108.0;-178;-45.0;511.0
3;-413.0;789.0;26.0;-178;-75.0;492.0
2;-373.0;747.0;125.0;-178;-39.0;543.0
0;-232.0;738.0;222.0;-178;93.0;664.0
-1;-148.0;781.0;331.0;-178;222.0;683.0
1;-164.0;865.0;368.0;?;322.0;?
4;-128.0;930.0;370.0;-178;500.0;757.0
-3;-209.0;984.0;375.0;-178;586.0;750.0
-3;-164.0;980.0;367.0;-178;593.0;709.0
-2;-94.0;979.0;352.0;-178;606.0;606.0
-7;138.0;944.0;335.0;-178;523.0;465.0
-3;305.0;889.0;273.0;-179;519.0;358.0
-2;443.0;845.0;245.0;?;489.0;298.0
-2;140.0;714.0;327.0;-178;525.0;324.0
-1;-72.0;668.0;405.0;-178;549.0;356.0
2;-160.0;684.0;554.0;-178;584.0;384.0
3;-166.0;712.0;470.0;-178;407.0;465.0
1;-152.0;723.0;418.0;-179;336.0;463.0
2;-228.0;691.0;312.0;-178;308.0;479.0
-2;-293.0;739.0;104.0;-178;339.0;515.0
-1;-270.0;792.0;1.0;-178;357.0;489.0
8;-291.0;770.0;42.0;-178;316.0;383.0
4;-222.0;696.0;-33.0;-178;275.0;322.0
-3;-32.0;678.0;132.0;-178;226.0;343.0
-1;85.0;651.0;301.0;-178;178.0;436.0
-2;157.0;649.0;437.0;-178;?;562.0
1;-435.0;641.0;178.0;-178;11.0;267.0
0;-492.0;608.0;145.0;-178;-27.0;353.0
?;-616.0;573.0;99.0;-178;-18.0;426.0
-4;-839.0;590.0;-16.0;-179;-33.0;501.0
2;-879.0;627.0;-174.0;-178;-1.0;519.0
4;-834.0;698.0;?;-178;-14.0;486.0
?;-764.0;683.0;-228.0;-178;?;463.0
1;-702.0;686.0;-205.0;-178;-120.0;470.0
0;-586.0;727.0;-110.0;-178;-139.0;491.0
-6;-542.0;726.0;8.0;-179;-109.0;561.0
0;-420.0;732.0;82.0;-178;-20.0;627.0
3;-320.0;770.0;162.0;-178;43.0;650.0
4;-207.0;796.0;222.0;-178;180.0;703.0
-2;-100.0;860.0;289.0;-178;287.0;710.0
-8;25.0;870.0;357.0;-178;394.0;649.0
1;37.0;902.0;383.0;-178;480.0;635.0
4;193.0;912.0;387.0;-178;561.0;577.0
1;?;?;402.0;-178;596.0;540.0
0;187.0;846.0;408.0;-178;623.0;493.0
2;187.0;808.0;387.0;-178;657.0;474.0
5;163.0;799.0;427.0;-178;613.0;471.0
-3;?;?;473.0;?;568.0;557.0
-7;-144.0;761.0;439.0;-178;581.0;627.0
0;-166.0;839.0;343.0;-178;?;626.0
0;-192.0;872.0;265.0;-178;495.0;591.0
-3;-199.0;821.0;141.0;-178;482.0;?
3;-187.0;805.0;78.0;-178;459.0;433.0
2;-15.0;798.0;73.0;-178;409.0;348.0
-2;-39.0;751.0;161.0;-178;?;367.0
3;75.0;690.0;306.0;-178;290.0;457.0
1;131.0;681.0;434.0;-178;305.0;?
-6;-500.0;681.0;25.0;?;118.0;392.0
14;-378.0;662.0;?;-178;76.0;360.0
-2;-280.0;614.0;-55.0;-178;53.0;344.0
-7;-292.0;572.0;12.0;-179;-15.0;270.0
-3;-244.0;534.0;?;-178;28.0;459.0
-2;-74.0;605.0;277.0;-178;11.0;545.0
-6;195.0;683.0;387.0;-178;51.0;654.0
?;284.0;699.0;494.0;-178;267.0;974.0
-2;284.0;870.0;397.0;-179;441.0;1349.0
-7;236.0;921.0;477.0;-179;731.0;1282.0
8;30.0;950.0;415.0;-178;1140.0;1306.0
?;-8.0;1109.0;276.0;-181;1275.0;1299.0
25;?;1149.0;169.0;-175;1178.0;1203.0
36;-32.0;1002.0;104.0;-183;1095.0;1097.0
-2;-50.0;985.0;45.0;-176;1113.0;1161.0
19;-137.0;953.0;?;-176;1026.0;1154.0
28;-163.0;806.0;-2.0;-190;937.0;994.0
17;-190.0;777.0;-26.0;-156;943.0;1010.0
5;-257.0;739.0;?;-218;858.0;972.0
-11;-284.0;688.0;-32.0;-104;?;893.0
3;?;657.0;-50.0;192;721.0;?
1;-389.0;602.0;-152.0;188;653.0;?
-2;-420.0;?;-209.0;152;571.0;684.0
8;-450.0;452.0;-228.0;204;478.0;721.0
-3;-379.0;334.0;-230.0;148;387.0;582.0
-8;-348.0;314.0;-195.0;?;345.0;579.0
4;-325.0;272.0;?;162;302.0;563.0
0;-311.0;265.0;-114.0;-144;257.0;518.0
-3;-274.0;278.0;-101.0;-209;231.0;529.0
6;-277.0;317.0;-60.0;-157;240.0;536.0
?;-281.0;335.0;-81.0;-192;228.0;543.0
7;-328.0;360.0;?;-173;235.0;497.0
29;-316.0;371.0;-132.0;-180;207.0;523.0
8;-302.0;343.0;-131.0;-181;221.0;552.0
1;-300.0;320.0;-106.0;-177;?;582.0
7;-349.0;320.0;-71.0;-182;185.0;607.0
-1;-351.0;312.0;-84.0;-179;209.0;606.0
8;-372.0;351.0;-128.0;-180;249.0;579.0
8;-363.0;332.0;-156.0;-180;260.0;620.0
-15;-391.0;290.0;-144.0;-179;255.0;?
-17;-328.0;288.0;-144.0;-179;240.0;597.0
3;-306.0;293.0;-130.0;-179;264.0;576.0
3;?;286.0;-120.0;-179;278.0;637.0
-2;-405.0;299.0;-135.0;-179;283.0;609.0
7;-369.0;288.0;-159.0;-179;291.0;582.0
2;-347.0;287.0;-137.0;-179;285.0;576.0
-9;-325.0;273.0;?;-179;253.0;610.0
-1;-261.0;270.0;-86.0;-179;249.0;580.0
-11;-338.0;286.0;-57.0;-179;265.0;575.0
-1;-246.0;316.0;-58.0;?;260.0;571.0
11;-316.0;348.0;?;-179;255.0;?
-3;-350.0;339.0;-51.0;-179;276.0;582.0
46;-348.0;338.0;-95.0;-179;284.0;571.0
-1;-388.0;328.0;-87.0;-178;267.0;483.0
-121;-314.0;264.0;-167.0;-177;253.0;606.0
-29;-391.0;278.0;-187.0;-178;227.0;793.0
60;-342.0;119.0;230.0;-178;167.0;612.0
-19;-365.0;289.0;-64.0;-178;258.0;428.0
-12;-331.0;529.0;-260.0;-178;?;488.0
11;-246.0;191.0;-100.0;-178;237.0;469.0
-11;-223.0;148.0;-77.0;-178;130.0;477.0
17;-273.0;115.0;-14.0;-178;210.0;?
7;-222.0;185.0;57.0;-178;205.0;558.0
-3;-275.0;245.0;?;-178;220.0;555.0
7;-287.0;332.0;-58.0;-178;266.0;581.0
2;?;349.0;-72.0;-178;278.0;571.0
5;-375.0;331.0;-36.0;-178;279.0;582.0
3;-398.0;310.0;-26.0;-178;251.0;617.0
2;-322.0;320.0;-20.0;-178;219.0;613.0
4;-383.0;310.0;-30.0;-178;224.0;628.0
-2;-413.0;323.0;-49.0;-178;250.0;662.0
-4;-362.0;345.0;-66.0;?;267.0;652.0
-9;-352.0;342.0;-51.0;-178;294.0;638.0
-14;-329.0;334.0;-37.0;-178;289.0;637.0
2;?;348.0;-16.0;-177;290.0;659.0
1;-334.0;339.0;-5.0;-177;292.0;656.0
-7;-318.0;359.0;-14.0;-177;281.0;629.0
5;-340.0;351.0;11.0;-177;305.0;?
15;-271.0;354.0;-33.0;-177;310.0;588.0
?;-291.0;356.0;-29.0;-177;298.0;579.0
3;-319.0;316.0;-38.0;?;287.0;608.0
1;-316.0;309.0;-8.0;-177;285.0;595.0
-9;-327.0;320.0;?;-177;?;599.0
