InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
239.0;19;-4.0;946.0;369.0;46.0;30.0;19
182.0;533;529.0;1107.0;260.0;-194.0;-167.0;533
236.0;-25;18.0;950.0;366.0;3.0;-22.0;-25
596.0;-559;386.0;1126.0;404.0;-19.0;40.0;-559
-765.0;0;513.0;1013.0;-582.0;-18.0;-389.0;0
236.0;-17;-4.0;939.0;367.0;-1.0;-4.0;-17
236.0;-22;6.0;954.0;367.0;-1.0;-7.0;-22
236.0;-24;9.0;948.0;367.0;-34.0;-18.0;-24
288.0;10;-25.0;922.0;383.0;19.0;-64.0;10
-289.0;-26;-34.0;862.0;-247.0;44.0;-66.0;-26
299.0;-15;54.0;923.0;376.0;96.0;143.0;-15
237.0;9;-19.0;943.0;367.0;3.0;18.0;9
237.0;10;-10.0;938.0;367.0;-13.0;24.0;10
237.0;-5;21.0;944.0;367.0;6.0;-24.0;-5
213.0;17;-10.0;937.0;236.0;-334.0;-325.0;17
413.0;-56;-51.0;892.0;316.0;47.0;-199.0;-56
587.0;1565;260.0;958.0;332.0;-175.0;-279.0;1565
289.0;0;-27.0;918.0;382.0;-83.0;-353.0;0
237.0;-4;38.0;940.0;367.0;-25.0;-42.0;-4
237.0;0;23.0;942.0;367.0;-29.0;-27.0;0
237.0;0;2.0;925.0;367.0;-13.0;7.0;0
236.0;18;1.0;945.0;368.0;-22.0;16.0;18
286.0;15;108.0;919.0;387.0;-197.0;-85.0;15
435.0;626;-67.0;831.0;413.0;222.0;-350.0;626
320.0;9;356.0;892.0;266.0;-118.0;-694.0;9
237.0;-12;31.0;954.0;367.0;-7.0;-23.0;-12
-272.0;-1009;-20.0;1058.0;-143.0;81.0;87.0;-1009
-37.0;31;-240.0;921.0;-184.0;-161.0;-98.0;31
441.0;-1535;-378.0;1172.0;404.0;41.0;314.0;-1535
289.0;-111;-33.0;615.0;313.0;-160.0;119.0;-111
56.0;4;23.0;1005.0;239.0;35.0;26.0;4
194.0;-29;-134.0;1017.0;279.0;-50.0;24.0;-29
237.0;-6;-21.0;930.0;369.0;-23.0;-10.0;-6
632.0;852;564.0;950.0;408.0;114.0;-1112.0;852
-53.0;849;-13.0;998.0;-105.0;31.0;75.0;849
467.0;20;-168.0;824.0;282.0;-70.0;34.0;20
277.0;9;-83.0;850.0;259.0;134.0;-35.0;9
238.0;7;0.0;933.0;369.0;6.0;31.0;7
238.0;-6;-14.0;919.0;369.0;20.0;13.0;-6
238.0;2;1.0;926.0;370.0;-16.0;13.0;2
