Accelerometer LUA^ accZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
311.0;-42.0;158.0;-267.0;-959.0;-521.0;412.0;23.0;798.0
233.0;-86.0;348.0;-163.0;-941.0;-515.0;471.0;11.0;869.0
215.0;34.0;84.0;-302.0;-911.0;-514.0;377.0;6.0;801.0
251.0;-74.0;97.0;-328.0;-1011.0;-500.0;431.0;-42.0;858.0
88.0;130.0;427.0;-284.0;-1022.0;-444.0;268.0;-80.0;743.0
235.0;558.0;271.0;-119.0;-957.0;-483.0;334.0;19.0;847.0
124.0;183.0;270.0;17.0;-917.0;-559.0;415.0;-88.0;929.0
181.0;57.0;207.0;-86.0;-984.0;-581.0;452.0;-100.0;840.0
99.0;69.0;327.0;-44.0;-1071.0;-381.0;250.0;-81.0;743.0
184.0;88.0;120.0;-307.0;-920.0;-488.0;386.0;11.0;890.0
45.0;3.0;103.0;-175.0;-1098.0;-435.0;316.0;-40.0;743.0
235.0;-37.0;91.0;-239.0;-977.0;-400.0;354.0;57.0;914.0
280.0;313.0;215.0;-213.0;-965.0;-598.0;399.0;41.0;803.0
225.0;64.0;337.0;-168.0;-1240.0;-589.0;278.0;-89.0;687.0
420.0;-68.0;147.0;-93.0;-917.0;-476.0;351.0;-43.0;956.0
184.0;115.0;284.0;-198.0;-910.0;-592.0;433.0;-17.0;781.0
144.0;106.0;270.0;-201.0;-938.0;-561.0;400.0;-13.0;772.0
210.0;-43.0;193.0;-183.0;-977.0;-500.0;386.0;-59.0;867.0
173.0;47.0;240.0;-177.0;-875.0;-558.0;332.0;-49.0;800.0
192.0;6.0;254.0;-185.0;-936.0;-566.0;385.0;-39.0;769.0
121.0;47.0;262.0;-103.0;-932.0;-580.0;323.0;-31.0;791.0
313.0;16.0;97.0;-262.0;-957.0;-640.0;359.0;-199.0;746.0
129.0;-74.0;246.0;-13.0;-924.0;-542.0;528.0;-43.0;825.0
181.0;16.0;270.0;-146.0;-961.0;-626.0;327.0;-48.0;831.0
226.0;-27.0;187.0;-253.0;-959.0;-552.0;365.0;1.0;810.0
201.0;26.0;253.0;-184.0;-935.0;-570.0;368.0;-40.0;772.0
112.0;28.0;315.0;-170.0;-904.0;-637.0;354.0;-39.0;698.0
165.0;33.0;182.0;-175.0;-971.0;-539.0;376.0;9.0;861.0
212.0;11.0;203.0;-201.0;-945.0;-517.0;412.0;8.0;821.0
-41.0;238.0;534.0;7.0;-786.0;-759.0;172.0;-238.0;576.0
362.0;-260.0;83.0;-261.0;-968.0;-460.0;405.0;77.0;871.0
164.0;9.0;267.0;-206.0;-923.0;-572.0;376.0;-10.0;783.0
183.0;-40.0;260.0;-158.0;-937.0;-594.0;406.0;-25.0;783.0
204.0;-408.0;156.0;-182.0;-1001.0;-531.0;323.0;-4.0;808.0
102.0;-264.0;187.0;-288.0;-1026.0;-458.0;290.0;-41.0;806.0
178.0;-78.0;196.0;-209.0;-993.0;-500.0;303.0;94.0;785.0
192.0;-34.0;262.0;-192.0;-933.0;-579.0;360.0;-36.0;773.0
113.0;-83.0;26.0;-309.0;-837.0;-579.0;92.0;-175.0;770.0
199.0;-180.0;201.0;-196.0;-903.0;-585.0;228.0;36.0;839.0
186.0;26.0;212.0;-163.0;-943.0;-557.0;312.0;91.0;801.0
191.0;-53.0;198.0;-235.0;-938.0;-560.0;304.0;-7.0;801.0
92.0;-107.0;127.0;-155.0;-928.0;-554.0;197.0;-3.0;741.0
246.0;-70.0;129.0;-145.0;-915.0;-521.0;205.0;-44.0;761.0
