InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-266.0;-625.0;?;-673.0;-38.0;-583.0;-448.0
-271.0;-610.0;666.0;-659.0;-58.0;-583.0;-469.0
-272.0;-604.0;663.0;-649.0;-72.0;-578.0;-477.0
-273.0;-605.0;669.0;-640.0;-81.0;-582.0;-477.0
-281.0;-611.0;678.0;-633.0;-82.0;-596.0;-470.0
-288.0;-619.0;686.0;-629.0;-76.0;-611.0;-459.0
-297.0;-626.0;692.0;-629.0;-67.0;-620.0;-445.0
-306.0;-635.0;699.0;-632.0;-56.0;-627.0;-427.0
-317.0;-648.0;704.0;?;-45.0;-635.0;-402.0
?;-556.0;302.0;-688.0;565.0;-246.0;251.0
-592.0;-555.0;304.0;-691.0;562.0;-246.0;251.0
-585.0;-553.0;307.0;-696.0;?;-246.0;251.0
-570.0;-553.0;313.0;-708.0;566.0;-245.0;247.0
-547.0;?;322.0;-726.0;569.0;-244.0;238.0
-524.0;-552.0;?;-747.0;571.0;-245.0;222.0
-502.0;-559.0;355.0;-770.0;563.0;?;195.0
-479.0;-571.0;382.0;-792.0;547.0;-268.0;161.0
-455.0;-584.0;415.0;-812.0;522.0;-292.0;117.0
-432.0;-598.0;449.0;-828.0;491.0;-322.0;67.0
-410.0;-613.0;483.0;-833.0;456.0;-355.0;14.0
-388.0;-623.0;518.0;-831.0;420.0;-382.0;-41.0
-366.0;-629.0;547.0;-828.0;384.0;-408.0;-96.0
-341.0;-630.0;570.0;-826.0;349.0;-430.0;-148.0
-312.0;-629.0;589.0;-820.0;309.0;-449.0;-199.0
-280.0;-626.0;607.0;-810.0;265.0;-465.0;-246.0
-250.0;-623.0;619.0;-793.0;219.0;-482.0;-288.0
-224.0;-623.0;630.0;-769.0;168.0;-502.0;-329.0
-210.0;-622.0;639.0;-742.0;114.0;-521.0;-370.0
-213.0;-620.0;648.0;-715.0;59.0;-539.0;-410.0
-222.0;-613.0;653.0;-685.0;3.0;-557.0;-445.0
-223.0;-601.0;656.0;-655.0;-46.0;-573.0;-472.0
-218.0;-589.0;649.0;?;-77.0;-583.0;-492.0
-214.0;-583.0;641.0;-613.0;-94.0;-586.0;-500.0
-220.0;-588.0;637.0;-603.0;-99.0;-587.0;-496.0
?;-598.0;640.0;-598.0;-100.0;-592.0;-486.0
-242.0;-607.0;648.0;-599.0;-95.0;-599.0;-472.0
-256.0;-610.0;653.0;-602.0;-86.0;-606.0;-461.0
-264.0;-612.0;655.0;-606.0;-76.0;-613.0;-450.0
-264.0;-613.0;657.0;-611.0;-67.0;-618.0;-442.0
-267.0;-616.0;664.0;-616.0;-58.0;-621.0;-434.0
-276.0;?;674.0;-619.0;?;-630.0;-421.0
-571.0;-541.0;271.0;-623.0;579.0;-262.0;243.0
-566.0;-540.0;273.0;-628.0;575.0;-263.0;243.0
-562.0;-539.0;276.0;-633.0;573.0;-262.0;243.0
-555.0;-537.0;281.0;-643.0;572.0;-263.0;243.0
