InertialMeasurementUnit L-SHOE EuX;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;Accelerometer LWR accY;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;Accelerometer LH accZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
99;340.0;971.0;886.0;371.0;542.0;1009.0;72.0;1011.0;-953.0;-328.0;355.0
-151;382.0;921.0;835.0;251.0;463.0;955.0;129.0;1009.0;-949.0;-336.0;413.0
-151;398.0;924.0;854.0;258.0;464.0;991.0;36.0;1022.0;-937.0;-344.0;399.0
-151;378.0;961.0;850.0;258.0;463.0;978.0;72.0;1010.0;-929.0;-329.0;443.0
-151;357.0;942.0;848.0;255.0;458.0;968.0;70.0;1027.0;-966.0;-373.0;445.0
-151;394.0;893.0;843.0;246.0;455.0;964.0;42.0;1005.0;-960.0;-362.0;373.0
-151;375.0;938.0;847.0;241.0;455.0;959.0;76.0;1029.0;-939.0;-357.0;432.0
-151;405.0;905.0;863.0;239.0;452.0;999.0;37.0;1026.0;-948.0;-333.0;452.0
-151;386.0;903.0;833.0;240.0;454.0;1004.0;48.0;1027.0;-945.0;-349.0;439.0
-151;391.0;914.0;852.0;243.0;455.0;987.0;8.0;1015.0;-937.0;-355.0;452.0
-151;365.0;937.0;868.0;251.0;458.0;991.0;27.0;1012.0;-961.0;-380.0;443.0
-151;394.0;923.0;871.0;253.0;460.0;980.0;130.0;998.0;-957.0;-341.0;452.0
-151;393.0;900.0;823.0;255.0;480.0;1004.0;29.0;1028.0;-934.0;-323.0;483.0
-151;405.0;898.0;828.0;255.0;483.0;993.0;22.0;1012.0;-933.0;-318.0;436.0
-151;399.0;919.0;830.0;255.0;482.0;999.0;21.0;1011.0;-930.0;-313.0;460.0
-151;393.0;935.0;858.0;258.0;483.0;995.0;10.0;1039.0;-935.0;-316.0;425.0
-151;365.0;925.0;856.0;260.0;485.0;989.0;9.0;1024.0;-938.0;-317.0;467.0
-151;357.0;928.0;851.0;260.0;486.0;978.0;39.0;1020.0;-939.0;-318.0;466.0
-151;369.0;931.0;877.0;263.0;487.0;997.0;39.0;1006.0;-956.0;-333.0;413.0
-151;385.0;935.0;854.0;286.0;492.0;1006.0;1.0;1012.0;-960.0;-372.0;466.0
-151;365.0;937.0;858.0;265.0;484.0;977.0;21.0;998.0;-872.0;-342.0;512.0
-151;367.0;904.0;857.0;258.0;478.0;1009.0;25.0;993.0;-876.0;-337.0;491.0
-151;393.0;853.0;825.0;248.0;466.0;979.0;29.0;994.0;-950.0;-370.0;431.0
-151;399.0;846.0;796.0;242.0;460.0;948.0;41.0;1075.0;-972.0;-336.0;423.0
-151;412.0;863.0;766.0;227.0;451.0;911.0;29.0;1050.0;-995.0;-386.0;420.0
-151;368.0;939.0;866.0;254.0;460.0;1012.0;92.0;1005.0;-946.0;-343.0;453.0
-151;420.0;945.0;830.0;252.0;457.0;1024.0;76.0;1031.0;-941.0;-334.0;450.0
-151;413.0;941.0;872.0;252.0;456.0;991.0;86.0;1014.0;-951.0;-346.0;473.0
-151;389.0;923.0;855.0;253.0;455.0;995.0;53.0;1015.0;-943.0;-374.0;433.0
-151;424.0;888.0;799.0;257.0;446.0;997.0;41.0;1018.0;-935.0;-321.0;448.0
-151;415.0;926.0;835.0;247.0;443.0;991.0;38.0;1024.0;-911.0;-370.0;508.0
-151;421.0;917.0;853.0;252.0;444.0;995.0;77.0;998.0;-922.0;-385.0;466.0
-151;387.0;950.0;886.0;269.0;447.0;956.0;63.0;1033.0;-931.0;-382.0;415.0
-151;397.0;909.0;820.0;269.0;447.0;1004.0;30.0;1019.0;-913.0;-374.0;408.0
-151;385.0;903.0;884.0;266.0;448.0;1041.0;50.0;1031.0;-921.0;-380.0;422.0
-153;360.0;953.0;879.0;309.0;465.0;1018.0;160.0;948.0;-960.0;-308.0;358.0
-154;361.0;933.0;837.0;306.0;464.0;967.0;133.0;961.0;-963.0;-295.0;358.0
-154;352.0;946.0;847.0;305.0;466.0;960.0;128.0;959.0;-958.0;-294.0;351.0
-154;349.0;933.0;853.0;305.0;465.0;983.0;87.0;950.0;-952.0;-296.0;364.0
-154;346.0;939.0;856.0;304.0;466.0;992.0;85.0;973.0;-947.0;-297.0;371.0
-154;359.0;942.0;867.0;305.0;465.0;977.0;122.0;958.0;-948.0;-295.0;370.0
-154;344.0;956.0;883.0;309.0;467.0;971.0;122.0;986.0;-954.0;-305.0;402.0
-154;369.0;952.0;890.0;315.0;467.0;999.0;105.0;954.0;-961.0;-299.0;373.0
-154;330.0;963.0;877.0;310.0;468.0;1004.0;76.0;952.0;-953.0;-298.0;336.0
-154;336.0;965.0;880.0;307.0;467.0;1001.0;66.0;972.0;-964.0;-303.0;381.0
-154;345.0;979.0;905.0;305.0;467.0;997.0;81.0;956.0;-953.0;-304.0;370.0
-154;364.0;956.0;903.0;302.0;469.0;997.0;103.0;956.0;-962.0;-305.0;367.0
-154;371.0;970.0;890.0;303.0;466.0;1006.0;134.0;974.0;-955.0;-300.0;369.0
-154;340.0;963.0;881.0;307.0;469.0;1021.0;82.0;996.0;-960.0;-296.0;359.0
-154;339.0;961.0;870.0;311.0;469.0;1013.0;71.0;974.0;-965.0;-305.0;374.0
-154;357.0;946.0;865.0;314.0;470.0;1009.0;93.0;966.0;-962.0;-304.0;365.0
-154;369.0;942.0;883.0;316.0;471.0;994.0;90.0;951.0;-962.0;-307.0;395.0
-154;379.0;960.0;872.0;319.0;472.0;1019.0;45.0;962.0;-958.0;-310.0;383.0
-154;377.0;917.0;866.0;321.0;474.0;992.0;59.0;925.0;-955.0;-294.0;386.0
-154;356.0;965.0;896.0;321.0;472.0;998.0;82.0;952.0;-953.0;-292.0;365.0
-154;349.0;963.0;885.0;321.0;473.0;1008.0;72.0;961.0;-948.0;-305.0;402.0
-154;346.0;979.0;877.0;321.0;472.0;1004.0;79.0;1041.0;-955.0;-302.0;356.0
-117;461.0;882.0;818.0;230.0;419.0;971.0;-20.0;1020.0;-921.0;-355.0;460.0
-127;457.0;908.0;830.0;106.0;390.0;983.0;-56.0;1016.0;-933.0;-374.0;481.0
-117;372.0;922.0;877.0;226.0;445.0;1001.0;55.0;946.0;-930.0;-323.0;404.0
-169;248.0;868.0;851.0;222.0;411.0;1098.0;10.0;1424.0;-888.0;-431.0;417.0
-151;388.0;923.0;821.0;212.0;436.0;984.0;39.0;1003.0;-942.0;-372.0;439.0
-151;357.0;912.0;835.0;224.0;441.0;975.0;73.0;1042.0;-949.0;-364.0;398.0
97;372.0;871.0;795.0;404.0;621.0;960.0;93.0;968.0;-927.0;-264.0;350.0
107;450.0;923.0;816.0;259.0;552.0;942.0;38.0;989.0;-930.0;-248.0;346.0
-19;379.0;952.0;883.0;295.0;496.0;1005.0;57.0;1011.0;-940.0;-291.0;453.0
-19;371.0;932.0;867.0;308.0;493.0;1014.0;62.0;1029.0;-976.0;-294.0;394.0
-19;389.0;920.0;842.0;375.0;506.0;998.0;30.0;1022.0;-986.0;-334.0;370.0
104;344.0;914.0;854.0;484.0;580.0;1005.0;93.0;926.0;-973.0;-451.0;501.0
103;315.0;885.0;847.0;500.0;585.0;1000.0;108.0;920.0;-961.0;-397.0;454.0
103;415.0;841.0;793.0;512.0;596.0;901.0;133.0;940.0;-957.0;-413.0;231.0
-19;394.0;953.0;880.0;385.0;510.0;997.0;21.0;1025.0;-987.0;-330.0;364.0
-19;341.0;981.0;912.0;395.0;519.0;1050.0;15.0;1022.0;-959.0;-352.0;408.0
-107;424.0;1100.0;1193.0;479.0;619.0;1205.0;145.0;1166.0;-857.0;-472.0;452.0
-19;327.0;1016.0;943.0;362.0;523.0;1055.0;79.0;1031.0;-963.0;-359.0;446.0
-19;353.0;963.0;927.0;350.0;519.0;1080.0;51.0;1028.0;-946.0;-326.0;457.0
-19;403.0;945.0;840.0;326.0;520.0;1029.0;71.0;1051.0;-943.0;-338.0;474.0
-19;358.0;934.0;858.0;309.0;522.0;977.0;106.0;994.0;-954.0;-338.0;383.0
-19;402.0;951.0;893.0;285.0;523.0;983.0;112.0;1028.0;-951.0;-325.0;433.0
-19;351.0;952.0;869.0;278.0;525.0;1022.0;92.0;1032.0;-931.0;-315.0;437.0
-19;334.0;939.0;900.0;274.0;524.0;1035.0;91.0;1029.0;-913.0;-285.0;441.0
-19;398.0;914.0;874.0;304.0;530.0;1028.0;-8.0;974.0;-948.0;-294.0;428.0
93;-92.0;1015.0;982.0;736.0;-5.0;1001.0;226.0;870.0;-974.0;90.0;29.0
112;357.0;947.0;920.0;573.0;369.0;1046.0;45.0;1038.0;-994.0;-318.0;411.0
109;432.0;906.0;816.0;514.0;336.0;985.0;13.0;906.0;-895.0;-447.0;478.0
100;407.0;917.0;863.0;241.0;494.0;1010.0;97.0;898.0;-936.0;-415.0;402.0
67;379.0;1066.0;956.0;457.0;311.0;1047.0;19.0;1218.0;-1011.0;-451.0;491.0
109;419.0;962.0;868.0;536.0;332.0;958.0;73.0;1060.0;-874.0;-313.0;522.0
77;335.0;820.0;751.0;619.0;370.0;912.0;61.0;990.0;-1002.0;-102.0;405.0
61;221.0;1425.0;1386.0;1054.0;844.0;1437.0;321.0;2186.0;-1110.0;-431.0;490.0
102;359.0;936.0;831.0;450.0;557.0;993.0;27.0;938.0;-996.0;-392.0;452.0
103;366.0;935.0;830.0;457.0;559.0;996.0;13.0;1018.0;-929.0;-411.0;453.0
104;370.0;948.0;848.0;456.0;566.0;955.0;52.0;987.0;-908.0;-405.0;424.0
104;378.0;977.0;828.0;450.0;567.0;983.0;72.0;1000.0;-918.0;-376.0;420.0
120;294.0;994.0;887.0;524.0;642.0;1065.0;-144.0;1016.0;-843.0;-437.0;346.0
103;380.0;958.0;915.0;413.0;562.0;995.0;161.0;1009.0;-960.0;-323.0;367.0
104;376.0;926.0;876.0;404.0;556.0;986.0;73.0;1088.0;-1004.0;-300.0;375.0
136;390.0;895.0;794.0;359.0;598.0;1117.0;52.0;1181.0;-1025.0;-164.0;450.0
104;412.0;932.0;853.0;397.0;550.0;1012.0;20.0;1038.0;-975.0;-297.0;412.0
104;410.0;936.0;849.0;389.0;548.0;1007.0;25.0;1031.0;-961.0;-310.0;406.0
104;391.0;948.0;831.0;386.0;547.0;1022.0;29.0;995.0;-961.0;-310.0;394.0
112;396.0;871.0;787.0;608.0;410.0;868.0;80.0;1013.0;-1005.0;-269.0;330.0
114;351.0;1002.0;819.0;566.0;388.0;962.0;142.0;996.0;-945.0;-433.0;389.0
69;329.0;943.0;896.0;807.0;501.0;1046.0;-53.0;875.0;-931.0;-268.0;428.0
