InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-8;32.0;-3;173.0;15;9;-9;-8
-6;26.0;-2;38.0;11;-9;9;-6
-5;203.0;-2;880.0;8;4;-4;-5
-199;90.0;-9;58.0;26;-297;297;-199
2641;822.0;-9;520.0;34;4360;-4360;2641
-2873;534.0;-112;789.0;61;-2830;2830;-2873
933;696.0;-55;775.0;-50;5823;-5823;933
-303;457.0;-26;756.0;21;-1452;1452;-303
28;0.0;-1;29.0;21;-4;4;28
12;2.0;-1;42.0;-10;11;-11;12
21;-8.0;0;5.0;19;28;-28;21
19;-275.0;983;-169.0;-555;-41;41;19
-5;-14.0;3;196.0;23;-26;26;-5
26;591.0;375;176.0;-151;-27;27;26
-3;26.0;1;58.0;17;28;-28;-3
147;87.0;-440;106.0;442;-76;76;147
71;131.0;-323;-91.0;-17;-34;34;71
24;456.0;-484;252.0;337;-116;116;24
-13;0.0;-3;8.0;20;-5;5;-13
4;-30.0;0;31.0;15;27;-27;4
2;-146.0;0;-220.0;23;-8;8;2
-18;77.0;-1;12.0;20;-7;7;-18
436;94.0;-2;105.0;16;247;-247;436
-1790;-1.0;19;-19.0;79;240;-240;-1790
263;-54.0;5;6.0;-16;-2722;2722;263
2597;79.0;18;218.0;52;383;-383;2597
-13;135.0;-247;-83.0;119;25;-25;-13
-104;-1101.0;1150;-1979.0;-105;-670;670;-104
-29;-5.0;1;40.0;20;7;-7;-29
-23;30.0;1;57.0;21;-28;28;-23
-19;120.0;3;-185.0;24;-17;17;-19
-13;-101.0;1;-67.0;9;5;-5;-13
16;84.0;-1;95.0;12;2;-2;16
17;17.0;1;-106.0;26;1;-1;17
-5;137.0;-5;171.0;16;0;0;-5
41;62.0;-1;-400.0;22;-21;21;41
-5;-744.0;-6;77.0;33;5;-5;-5
-130;-823.0;-1080;-1777.0;-433;-959;959;-130
18;16.0;3;-21.0;28;-9;9;18
32;-402.0;2;-600.0;15;7;-7;32
0;-3.0;-3;25.0;24;-9;9;0
74;-30.0;-4;172.0;36;26;-26;74
4;13.0;-4;82.0;17;-33;33;4
-7;48.0;-1;52.0;11;-2;2;-7
89;-134.0;-1068;-17.0;715;-170;170;89
-4;17.0;0;50.0;20;10;-10;-4
3;-2.0;-4;53.0;18;-4;4;3
9;5.0;0;36.0;23;-15;15;9
-24;212.0;5;-103.0;36;942;-942;-24
90;-7.0;592;30.0;335;7;-7;90
-7;-30.0;-5;7.0;17;-30;30;-7
-11;18.0;2;44.0;30;3;-3;-11
122;221.0;1003;355.0;737;-94;94;122
7;16.0;-1;42.0;9;-4;4;7
-13;13.0;-2;48.0;9;-6;6;-13
-47;15.0;-3;2.0;9;-2;2;-47
-48;5.0;-1;81.0;5;-10;10;-48
-2;-55.0;-6;73.0;15;52;-52;-2
12;5.0;-2;47.0;19;-35;35;12
11;6.0;9;46.0;32;10;-10;11
-7;18.0;0;66.0;17;-22;22;-7
76;857.0;-1;1206.0;-38;-78;78;76
-11;-315.0;-3;320.0;-4;-12;12;-11
9;38.0;0;40.0;16;-40;40;9
-46;-1325.0;-169;-1749.0;28;-267;267;-46
2;26.0;3;23.0;21;-9;9;2
-13;13.0;-8;26.0;-7;-12;12;-13
-27;-982.0;4;-733.0;4;-36;36;-27
-25;-158.0;-123;89.0;-285;-35;35;-25
-20;53.0;1;85.0;23;-2;2;-20
-34;49.0;-3;42.0;22;34;-34;-34
0;-146.0;2;74.0;9;-10;10;0
23;16.0;-3;58.0;19;4;-4;23
14;41.0;-4;19.0;21;28;-28;14
-8;-15.0;2;93.0;20;15;-15;-8
-99;-413.0;-794;-657.0;-430;-84;84;-99
-7;10.0;4;68.0;22;1;-1;-7
261;963.0;-17;976.0;-1;3470;-3470;261
4;-19.0;3;-24.0;15;-8;8;4
27;42.0;1;52.0;15;-12;12;27
-7;362.0;6;417.0;1;-10;10;-7
-49;90.0;-3;-265.0;19;-986;986;-49
-15;1084.0;83;-18.0;-24;-18;18;-15
-13;9.0;6;21.0;23;-32;32;-13
20;139.0;5;15.0;24;4;-4;20
340;21.0;2;-33.0;-17;-280;280;340
370;988.0;45;2377.0;120;549;-549;370
4;62.0;-2;407.0;24;-13;13;4
-21;191.0;-680;412.0;-621;14;-14;-21
-23;-495.0;-1;946.0;12;-35;35;-23
997;131.0;4;59.0;34;-343;343;997
-17;28.0;13;342.0;144;20;-20;-17
-152;-223.0;145;-180.0;-232;-6298;6298;-152
-2;-341.0;8;1.0;27;-8;8;-2
-1080;-375.0;-34;50.0;-6;2168;-2168;-1080
12;71.0;7;-943.0;22;23;-23;12
-628;98.0;4;42.0;10;275;-275;-628
900;269.0;-29;-117.0;5;1100;-1100;900
24;360.0;10;11.0;5;15;-15;24
2091;535.0;38;642.0;-48;-1504;1504;2091
