InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-109.0;-315.0;77.0;-272.0;65.0;47.0;-223.0
-144.0;-355.0;50.0;-318.0;113.0;94.0;-226.0
44.0;-196.0;277.0;-375.0;-27.0;-456.0;-232.0
2.0;-230.0;63.0;-226.0;52.0;46.0;-173.0
5.0;-236.0;56.0;-255.0;79.0;50.0;-191.0
46.0;-216.0;82.0;-315.0;124.0;26.0;-130.0
-66.0;-249.0;118.0;-237.0;-40.0;-210.0;-248.0
-60.0;-225.0;94.0;-241.0;69.0;-13.0;-169.0
-69.0;-228.0;86.0;-243.0;74.0;-5.0;-176.0
-75.0;-231.0;81.0;-244.0;76.0;1.0;-179.0
-81.0;-236.0;76.0;-247.0;79.0;7.0;-181.0
-86.0;-239.0;71.0;-250.0;83.0;13.0;-183.0
-89.0;-242.0;67.0;-252.0;87.0;18.0;-183.0
5.0;-239.0;62.0;-239.0;76.0;-6.0;-107.0
39.0;-219.0;29.0;-296.0;128.0;76.0;-73.0
-1.0;-230.0;62.0;-237.0;74.0;-5.0;-105.0
148.0;-86.0;326.0;151.0;-326.0;-213.0;52.0
4.0;-234.0;63.0;-236.0;75.0;-9.0;-114.0
2.0;-237.0;62.0;-236.0;75.0;-9.0;-109.0
-2.0;-238.0;61.0;-236.0;75.0;-7.0;-106.0
-6.0;-238.0;61.0;-236.0;76.0;-6.0;-104.0
-14.0;-170.0;158.0;-192.0;-15.0;-46.0;23.0
-10.0;-227.0;62.0;-239.0;77.0;-7.0;-110.0
-4.0;-220.0;85.0;-244.0;77.0;-26.0;-115.0
38.0;-250.0;5.0;-301.0;129.0;118.0;-164.0
30.0;-264.0;-18.0;-361.0;205.0;112.0;-243.0
-10.0;-237.0;60.0;-242.0;79.0;-6.0;-119.0
