Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
218.0;-431.0;138.0;318.0;402.0;-308.0
169.0;?;99.0;303.0;391.0;-332.0
160.0;-439.0;66.0;287.0;369.0;-221.0
152.0;-437.0;50.0;273.0;351.0;?
169.0;-437.0;53.0;272.0;354.0;-226.0
131.0;-440.0;66.0;283.0;371.0;-326.0
104.0;-441.0;87.0;283.0;392.0;-344.0
?;?;?;280.0;?;-326.0
193.0;?;154.0;274.0;426.0;-466.0
73.0;-406.0;587.0;-521.0;-163.0;-191.0
?;-410.0;602.0;-515.0;-154.0;-183.0
30.0;-408.0;603.0;-517.0;-152.0;?
95.0;-411.0;595.0;?;-147.0;-211.0
113.0;-409.0;595.0;-524.0;-138.0;-264.0
91.0;-411.0;596.0;-520.0;-119.0;-270.0
53.0;-411.0;609.0;-497.0;-91.0;-325.0
43.0;-409.0;619.0;-467.0;-50.0;-393.0
3.0;-406.0;628.0;-428.0;3.0;-389.0
-50.0;-403.0;633.0;-371.0;74.0;-441.0
39.0;-407.0;633.0;-305.0;150.0;-407.0
116.0;-409.0;624.0;-220.0;226.0;?
144.0;-411.0;601.0;-145.0;281.0;-366.0
248.0;-415.0;564.0;-80.0;322.0;-463.0
193.0;-419.0;512.0;-9.0;352.0;-513.0
68.0;-426.0;453.0;53.0;370.0;-453.0
173.0;-430.0;386.0;120.0;376.0;-482.0
190.0;-433.0;323.0;173.0;377.0;-470.0
244.0;-433.0;268.0;224.0;383.0;-433.0
218.0;-432.0;211.0;272.0;384.0;-429.0
256.0;-431.0;153.0;305.0;376.0;-480.0
202.0;-432.0;95.0;317.0;367.0;-332.0
196.0;-432.0;48.0;307.0;?;-184.0
242.0;-429.0;13.0;300.0;370.0;?
?;-430.0;-4.0;292.0;366.0;-209.0
166.0;-435.0;-2.0;293.0;370.0;-276.0
185.0;-436.0;18.0;286.0;379.0;-381.0
126.0;-438.0;40.0;279.0;388.0;-388.0
119.0;-440.0;55.0;277.0;402.0;-434.0
206.0;-432.0;70.0;270.0;416.0;-403.0
226.0;-429.0;89.0;265.0;422.0;-342.0
222.0;-424.0;119.0;255.0;435.0;-350.0
69.0;-401.0;578.0;-523.0;-185.0;-245.0
115.0;-402.0;597.0;-508.0;?;-234.0
?;-406.0;600.0;-510.0;-166.0;-245.0
118.0;-407.0;589.0;-526.0;-168.0;-247.0
155.0;-410.0;589.0;-526.0;-159.0;-262.0
153.0;-407.0;593.0;-528.0;-144.0;-303.0
119.0;-406.0;606.0;-513.0;-116.0;?
91.0;-403.0;615.0;-498.0;-90.0;-356.0
119.0;-404.0;617.0;-479.0;-63.0;-407.0
82.0;-402.0;627.0;-438.0;-14.0;-424.0
26.0;-397.0;631.0;-390.0;45.0;-451.0
100.0;-394.0;632.0;-322.0;116.0;-451.0
114.0;-395.0;613.0;-256.0;178.0;-501.0
144.0;-390.0;582.0;-194.0;232.0;-514.0
163.0;-398.0;536.0;-117.0;281.0;-567.0
186.0;-403.0;482.0;-36.0;324.0;-554.0
232.0;-409.0;417.0;49.0;354.0;-533.0
270.0;-413.0;355.0;121.0;378.0;-545.0
265.0;-419.0;295.0;178.0;392.0;-509.0
267.0;-415.0;235.0;228.0;399.0;-473.0
289.0;-414.0;181.0;269.0;403.0;-421.0
271.0;-411.0;125.0;290.0;403.0;-331.0
232.0;-410.0;79.0;297.0;402.0;-161.0
249.0;-412.0;38.0;292.0;409.0;-294.0
215.0;-415.0;16.0;284.0;403.0;-204.0
?;-418.0;7.0;274.0;393.0;-227.0
134.0;-419.0;13.0;264.0;391.0;-301.0
163.0;-422.0;?;263.0;397.0;-319.0
66.0;-423.0;38.0;269.0;400.0;-321.0
147.0;-424.0;58.0;266.0;405.0;-321.0
157.0;-425.0;86.0;260.0;414.0;-328.0
140.0;-432.0;597.0;-522.0;-122.0;-317.0
46.0;-431.0;?;-526.0;-110.0;-401.0
135.0;-431.0;597.0;-533.0;-95.0;-481.0
141.0;-433.0;588.0;-540.0;-82.0;-508.0
149.0;-433.0;584.0;-533.0;-59.0;-572.0
184.0;-430.0;581.0;-515.0;-30.0;-708.0
235.0;-432.0;567.0;-496.0;?;-806.0
257.0;-433.0;547.0;-480.0;?;-856.0
354.0;-434.0;514.0;-474.0;159.0;-826.0
520.0;-436.0;488.0;-467.0;257.0;-736.0
618.0;-438.0;477.0;-467.0;344.0;-794.0
798.0;-439.0;470.0;-473.0;425.0;?
725.0;-443.0;471.0;-480.0;492.0;-907.0
524.0;-450.0;475.0;-487.0;544.0;-1039.0
749.0;-451.0;478.0;-487.0;551.0;-1015.0
878.0;-457.0;472.0;-482.0;546.0;-1040.0
905.0;-457.0;459.0;-466.0;537.0;-1052.0
929.0;-458.0;439.0;-455.0;538.0;-998.0
847.0;-464.0;418.0;-445.0;528.0;-975.0
885.0;-465.0;?;-439.0;537.0;-938.0
969.0;-471.0;391.0;-440.0;559.0;-891.0
1013.0;-470.0;390.0;-443.0;573.0;-861.0
999.0;-471.0;398.0;-451.0;?;-848.0
948.0;?;412.0;-456.0;597.0;-928.0
911.0;-473.0;?;-465.0;605.0;-1031.0
908.0;-471.0;444.0;-469.0;?;-1054.0
912.0;-472.0;458.0;-475.0;613.0;-1019.0
1010.0;-471.0;471.0;-476.0;619.0;-988.0
1043.0;-466.0;487.0;-477.0;624.0;-977.0
1021.0;-468.0;494.0;-476.0;633.0;-979.0
954.0;-468.0;504.0;?;643.0;-989.0
933.0;-468.0;514.0;-478.0;653.0;-1005.0
960.0;-467.0;521.0;-481.0;?;-995.0
948.0;?;526.0;-491.0;660.0;-982.0
962.0;-470.0;532.0;-496.0;662.0;-992.0
957.0;-470.0;537.0;-500.0;663.0;-995.0
923.0;-469.0;?;-501.0;661.0;-988.0
937.0;-472.0;541.0;-506.0;660.0;-994.0
931.0;-470.0;?;-509.0;661.0;-994.0
911.0;-471.0;539.0;-512.0;658.0;-960.0
919.0;-467.0;538.0;-511.0;662.0;-971.0
901.0;-463.0;535.0;-508.0;656.0;-977.0
898.0;?;535.0;-505.0;646.0;-971.0
900.0;-460.0;531.0;-500.0;631.0;-972.0
951.0;-457.0;524.0;?;624.0;-987.0
937.0;-456.0;520.0;?;615.0;-975.0
915.0;-455.0;514.0;-496.0;609.0;-966.0
942.0;-457.0;506.0;-494.0;602.0;-971.0
982.0;-455.0;499.0;-491.0;597.0;-972.0
952.0;-459.0;492.0;-487.0;597.0;-963.0
934.0;-456.0;487.0;-486.0;596.0;-945.0
956.0;-460.0;485.0;-489.0;598.0;-936.0
958.0;-466.0;485.0;?;599.0;-905.0
960.0;-464.0;482.0;-497.0;601.0;-880.0
940.0;-470.0;482.0;-507.0;604.0;-841.0
920.0;-473.0;489.0;-513.0;601.0;-781.0
894.0;-479.0;492.0;-520.0;604.0;-597.0
834.0;-483.0;504.0;-522.0;612.0;-1134.0
839.0;-491.0;522.0;-534.0;620.0;-1461.0
633.0;-493.0;537.0;-540.0;625.0;-1123.0
779.0;?;553.0;-538.0;634.0;-865.0
1470.0;-488.0;569.0;-535.0;658.0;-889.0
1159.0;-486.0;575.0;-526.0;669.0;-820.0
869.0;-484.0;578.0;-517.0;669.0;-955.0
686.0;-482.0;583.0;-507.0;660.0;-1071.0
797.0;-485.0;584.0;-504.0;?;-1017.0
811.0;-481.0;589.0;?;657.0;-969.0
1037.0;-482.0;591.0;-502.0;653.0;-970.0
1045.0;-479.0;589.0;-500.0;641.0;-1000.0
935.0;-479.0;?;-496.0;634.0;-1013.0
921.0;-476.0;585.0;-490.0;632.0;-1001.0
931.0;-474.0;583.0;-486.0;629.0;-974.0
959.0;-473.0;577.0;-483.0;626.0;-952.0
946.0;-470.0;569.0;-476.0;632.0;-954.0
925.0;-469.0;563.0;-472.0;?;-976.0
909.0;?;556.0;-468.0;614.0;-973.0
912.0;-463.0;552.0;-466.0;611.0;-968.0
?;-458.0;545.0;-464.0;602.0;-986.0
934.0;-459.0;541.0;-461.0;596.0;-1026.0
913.0;-451.0;538.0;-457.0;595.0;-1026.0
939.0;?;532.0;-455.0;592.0;-961.0
958.0;-450.0;529.0;?;593.0;?
986.0;-444.0;525.0;-456.0;593.0;-927.0
952.0;-442.0;522.0;-456.0;592.0;-919.0
920.0;-441.0;521.0;-458.0;590.0;-929.0
929.0;-441.0;519.0;-462.0;590.0;-919.0
922.0;-442.0;520.0;-470.0;590.0;-928.0
922.0;-444.0;522.0;?;590.0;-925.0
937.0;-448.0;521.0;-489.0;593.0;-932.0
899.0;-453.0;522.0;-494.0;592.0;-979.0
901.0;-456.0;524.0;-502.0;592.0;-1005.0
891.0;-459.0;528.0;-503.0;591.0;-1019.0
926.0;-463.0;528.0;-506.0;589.0;-1010.0
973.0;-462.0;531.0;-507.0;590.0;-991.0
988.0;-465.0;?;-510.0;592.0;-980.0
983.0;-464.0;533.0;?;596.0;-985.0
962.0;-465.0;531.0;-512.0;597.0;-984.0
933.0;-465.0;534.0;-513.0;602.0;-978.0
928.0;-465.0;533.0;-514.0;598.0;-975.0
936.0;-467.0;533.0;-514.0;600.0;-984.0
948.0;-467.0;534.0;-511.0;601.0;-976.0
?;-466.0;532.0;-507.0;597.0;-970.0
958.0;-469.0;533.0;-505.0;595.0;-969.0
958.0;-470.0;530.0;-504.0;593.0;-966.0
921.0;-471.0;527.0;-504.0;590.0;?
941.0;-470.0;526.0;-503.0;591.0;-939.0
938.0;-473.0;524.0;-507.0;?;-892.0
925.0;-473.0;524.0;-507.0;598.0;-723.0
933.0;-477.0;522.0;-507.0;601.0;-750.0
869.0;-480.0;526.0;-512.0;605.0;?
828.0;-478.0;528.0;-516.0;604.0;-1068.0
611.0;-477.0;535.0;-513.0;602.0;-767.0
1166.0;-481.0;543.0;-520.0;608.0;-793.0
1311.0;-477.0;544.0;-525.0;606.0;-846.0
794.0;-478.0;546.0;-527.0;606.0;-1049.0
697.0;-480.0;546.0;-531.0;612.0;-1054.0
720.0;-480.0;548.0;-532.0;619.0;-909.0
909.0;-484.0;550.0;-537.0;626.0;-863.0
1061.0;-487.0;550.0;-543.0;625.0;-911.0
926.0;-488.0;549.0;-548.0;622.0;-962.0
823.0;-490.0;?;-547.0;620.0;-978.0
839.0;-491.0;550.0;-548.0;614.0;-963.0
929.0;-491.0;544.0;-543.0;607.0;-953.0
913.0;?;546.0;-541.0;601.0;-947.0
912.0;-490.0;543.0;-540.0;597.0;-953.0
910.0;-493.0;541.0;-540.0;?;-953.0
904.0;-491.0;537.0;-540.0;593.0;-959.0
885.0;-493.0;533.0;-539.0;592.0;-959.0
?;-494.0;526.0;-540.0;592.0;-961.0
898.0;-494.0;522.0;-542.0;589.0;-976.0
895.0;-497.0;?;-541.0;589.0;-994.0
918.0;-493.0;512.0;-542.0;589.0;-965.0
921.0;-492.0;510.0;-542.0;590.0;-908.0
928.0;-491.0;506.0;-540.0;591.0;-911.0
940.0;-488.0;504.0;-539.0;587.0;-918.0
891.0;-486.0;500.0;-538.0;588.0;-917.0
872.0;?;500.0;-536.0;587.0;-917.0
877.0;-483.0;501.0;-535.0;583.0;-923.0
905.0;-486.0;504.0;-535.0;582.0;-945.0
913.0;-485.0;508.0;-535.0;586.0;-982.0
918.0;-482.0;511.0;-535.0;?;-1011.0
914.0;-481.0;516.0;-535.0;592.0;-1005.0
943.0;-481.0;520.0;-535.0;595.0;-1011.0
979.0;-475.0;?;?;594.0;-1020.0
998.0;-474.0;522.0;-533.0;597.0;-1000.0
966.0;-468.0;524.0;-533.0;594.0;-990.0
984.0;-465.0;525.0;?;594.0;-999.0
?;-462.0;524.0;-527.0;592.0;-990.0
975.0;?;524.0;-524.0;588.0;-993.0
970.0;-457.0;522.0;-520.0;585.0;-1006.0
967.0;-455.0;522.0;-518.0;583.0;-990.0
967.0;-455.0;521.0;-516.0;581.0;-980.0
951.0;-450.0;518.0;-511.0;578.0;-984.0
965.0;-451.0;516.0;-506.0;574.0;-983.0
922.0;-449.0;513.0;-498.0;566.0;-989.0
942.0;-442.0;512.0;-490.0;561.0;-978.0
?;-446.0;512.0;-487.0;559.0;-958.0
970.0;-446.0;510.0;-484.0;558.0;-913.0
968.0;-448.0;507.0;-487.0;560.0;-853.0
