Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
961.0;-27.0;33;12;672;724;-33;-3
982.0;68.0;8;23;661;722;-8;-48
972.0;39.0;8;19;685;700;-8;-12
950.0;65.0;-15;22;714;671;15;-38
1311.0;426.0;-19;25;631;736;19;27
1058.0;108.0;-22;12;674;723;22;-6
998.0;20.0;27;17;688;700;-27;11
963.0;65.0;23;19;666;720;-23;2
954.0;79.0;14;22;653;728;-14;1
996.0;23.0;-20;18;656;732;20;0
955.0;18.0;5;17;663;725;-5;-2
970.0;74.0;13;16;659;730;-13;-2
977.0;69.0;25;19;656;729;-25;-3
987.0;32.0;3;16;685;705;-3;0
989.0;31.0;27;20;656;728;-27;-5
516.0;-263.0;-3349;2688;2778;-2463;3349;1118
999.0;35.0;-12;18;659;728;12;4
988.0;-14.0;5;14;649;742;-5;3
975.0;26.0;7;12;689;707;-7;-3
987.0;-9.0;8;16;682;708;-8;-5
985.0;-3.0;-2;19;658;727;2;-2
968.0;-12.0;15;15;662;730;-15;1
986.0;60.0;17;19;658;728;-17;-3
996.0;31.0;-8;20;656;727;8;-3
984.0;-10.0;16;23;657;723;-16;-1
839.0;-516.0;9;15;749;638;-9;1
971.0;-75.0;-95;19;652;734;95;-11
962.0;65.0;25;22;677;704;-25;-7
979.0;25.0;22;19;660;725;-22;0
978.0;2.0;3;13;662;731;-3;1
965.0;59.0;-2;23;676;704;2;-9
991.0;50.0;11;23;651;729;-11;-4
961.0;67.0;7;15;680;711;-7;-20
1001.0;16.0;-49;20;653;730;49;-6
990.0;-3.0;-9;19;658;727;9;1
964.0;34.0;24;21;681;704;-24;-8
970.0;-28.0;-9;19;658;728;9;0
968.0;26.0;-24;24;671;707;24;-8
999.0;-9.0;-6;16;664;726;6;8
996.0;-9.0;-12;17;654;733;12;0
953.0;5.0;-16;23;674;706;16;-6
983.0;63.0;4;19;655;731;-4;-4
983.0;-42.0;0;20;654;730;0;0
978.0;9.0;22;20;657;726;-22;0
979.0;9.0;26;21;660;723;-26;5
979.0;15.0;21;16;660;730;-21;5
998.0;-3.0;-8;20;659;724;8;-2
997.0;20.0;-8;23;659;720;8;-3
949.0;69.0;233;481;436;288;-233;58
971.0;8.0;16;21;673;710;-16;3
979.0;0.0;-13;15;660;731;13;0
991.0;69.0;21;20;653;730;-21;-1
989.0;-11.0;22;24;648;730;-22;-7
954.0;-54.0;11;20;684;701;-11;-10
987.0;71.0;0;15;660;732;0;14
978.0;5.0;1;13;662;732;-1;4
1002.0;62.0;-28;399;255;688;28;-373
973.0;5.0;7;20;669;715;-7;3
959.0;40.0;-19;21;668;714;19;6
996.0;-311.0;24;877;654;740;-24;821
684.0;-62.0;-254;36;682;680;254;51
896.0;-71.0;-20;17;659;729;20;-1
973.0;-2.0;-16;18;662;725;16;6
994.0;27.0;-15;19;652;733;15;-3
856.0;303.0;-7;16;744;642;7;0
960.0;-11.0;2;25;658;719;-2;-9
978.0;-4.0;9;18;659;727;-9;4
754.0;21.0;2;20;673;713;-2;-5
989.0;21.0;-8;20;660;725;8;1
620.0;-38.0;2;15;665;726;-2;-10
960.0;-126.0;-143;163;608;681;143;434
980.0;34.0;23;18;656;732;-23;-5
452.0;-654.0;8;14;674;719;-8;5
958.0;32.0;15;20;666;721;-15;-18
992.0;9.0;2;21;653;729;-2;-6
953.0;-93.0;-20;19;663;723;20;2
934.0;-23.0;-25;16;669;720;25;-1
990.0;26.0;-30;21;652;732;30;-4
962.0;74.0;9;22;651;729;-9;-5
991.0;-27.0;-4;32;647;719;4;-2
988.0;14.0;-11;18;682;703;11;-1
985.0;-73.0;5;54;666;695;-5;41
965.0;34.0;22;15;682;710;-22;12
960.0;-53.0;-7;14;666;727;7;4
975.0;-9.0;-11;18;656;732;11;-4
983.0;-35.0;5;15;661;730;-5;2
987.0;36.0;21;12;677;719;-21;10
983.0;80.0;-10;21;662;722;10;2
979.0;53.0;-15;16;666;724;15;0
989.0;26.0;5;21;659;723;-5;-3
998.0;54.0;6;25;661;716;-6;4
994.0;-9.0;0;18;654;734;0;2
989.0;-8.0;-5;21;649;733;5;7
998.0;52.0;5;20;653;731;-5;2
979.0;45.0;0;22;670;713;0;0
978.0;60.0;-12;16;656;734;12;10
989.0;37.0;-10;20;650;733;10;6
979.0;78.0;221;-233;860;891;-221;-55
992.0;0.0;-12;21;659;723;12;1
982.0;69.0;4;17;659;730;-4;0
998.0;20.0;0;19;651;733;0;7
989.0;-3.0;18;17;655;733;-18;9
978.0;-1.0;6;19;652;733;-6;8
980.0;-10.0;-19;23;652;727;19;2
977.0;27.0;-10;10;685;715;10;1
989.0;43.0;0;12;661;733;0;2
1007.0;17.0;11;15;659;732;-11;-2
996.0;6.0;-4;61;635;668;4;-130
998.0;-14.0;23;15;658;734;-23;3
989.0;0.0;7;19;653;732;-7;3
999.0;6.0;19;16;655;734;-19;0
991.0;31.0;-15;17;654;733;15;0
992.0;55.0;4;17;656;732;-4;-2
960.0;77.0;9;16;658;731;-9;-4
990.0;586.0;1520;-127;681;975;-1520;-25
970.0;75.0;1;18;661;726;-1;5
969.0;91.0;-25;20;666;719;25;1
957.0;-29.0;-7;16;669;721;7;-4
990.0;51.0;-1;14;666;727;1;-2
921.0;55.0;3;-3;689;729;-3;6
974.0;62.0;-9;18;669;718;9;-2
989.0;70.0;13;15;656;734;-13;4
980.0;21.0;-10;18;669;719;10;-3
997.0;16.0;22;18;656;732;-22;-3
989.0;31.0;18;17;656;733;-18;6
971.0;-4.0;-10;18;670;719;10;-3
961.0;50.0;-23;24;660;718;23;2
969.0;-12.0;-27;13;655;738;27;-3
981.0;44.0;-12;19;655;731;12;4
998.0;66.0;12;14;658;735;-12;2
954.0;33.0;-12;18;653;734;12;6
950.0;61.0;-10;14;661;733;10;2
950.0;32.0;-2;15;667;726;2;3
912.0;56.0;-9;12;669;727;9;2
966.0;87.0;-10;8;682;720;10;-11
955.0;60.0;1;14;673;722;-1;-8
964.0;98.0;-9;22;666;715;9;3
968.0;48.0;-4;24;667;712;4;1
991.0;49.0;-1;18;653;733;1;6
978.0;17.0;21;21;661;721;-21;7
968.0;-33.0;-3;20;669;716;3;-2
960.0;24.0;-18;15;673;720;18;-4
971.0;11.0;9;15;669;723;-9;-3
997.0;519.0;483;17;707;681;-483;-7
978.0;-4.0;0;16;659;731;0;-2
984.0;-5.0;-12;20;649;734;12;4
952.0;29.0;16;25;655;722;-16;8
967.0;24.0;23;17;660;730;-23;0
943.0;5.0;22;10;661;738;-22;-1
988.0;-17.0;7;19;654;730;-7;-4
998.0;35.0;1;19;650;736;-1;6
994.0;8.0;3;25;650;727;-3;-3
995.0;-19.0;-6;23;651;728;6;-5
968.0;-24.0;12;10;669;730;-12;-5
986.0;15.0;18;20;651;732;-18;1
952.0;37.0;-10;20;667;718;10;1
998.0;-20.0;11;18;654;733;-11;-3
989.0;742.0;1257;-1647;2415;1336;-1257;-944
986.0;88.0;2;16;669;721;-2;1
962.0;70.0;24;19;665;721;-24;5
978.0;36.0;-2;25;662;716;2;-3
985.0;39.0;0;24;662;718;0;-1
989.0;-986.0;-890;101;730;573;890;159
990.0;-7.0;-21;18;675;713;21;12
1008.0;-561.0;266;126;821;387;-266;407
966.0;-17.0;-21;18;675;712;21;12
969.0;19.0;-20;18;674;713;20;10
971.0;42.0;-21;18;675;712;21;12
981.0;-11.0;18;18;678;708;-18;-8
993.0;43.0;1;13;660;734;-1;-4
1001.0;1.0;12;19;658;727;-12;-2
970.0;9.0;-19;17;672;717;19;3
985.0;112.0;24;15;701;691;-24;6
990.0;33.0;9;20;680;705;-9;-2
994.0;-56.0;-5;17;700;687;5;-4
952.0;-18.0;11;35;649;714;-11;9
961.0;6.0;-23;17;670;719;23;-3
996.0;43.0;-11;14;666;727;11;-7
999.0;31.0;24;20;659;726;-24;4
963.0;-532.0;4;15;671;720;-4;-2
988.0;-122.0;197;-12;692;735;-197;7
912.0;-288.0;8;17;662;727;-8;-2
968.0;16.0;-17;15;672;719;17;0
1196.0;283.0;190;46;691;678;-190;84
970.0;-11.0;-9;8;676;726;9;-6
962.0;34.0;11;15;657;733;-11;6
927.0;168.0;33;21;661;722;-33;4
963.0;2.0;13;22;645;735;-13;-4
895.0;22.0;35;19;654;731;-35;-2
970.0;-18.0;-10;9;676;726;10;-5
979.0;42.0;9;22;658;723;-9;1
968.0;39.0;0;20;670;716;0;5
936.0;33.0;24;15;659;732;-24;-1
986.0;61.0;-1;19;658;727;1;3
981.0;51.0;1;20;658;728;-1;2
965.0;68.0;13;19;657;730;-13;-7
980.0;45.0;-17;17;656;732;17;-3
986.0;37.0;18;15;656;734;-18;-2
530.0;541.0;11;23;676;704;-11;-3
980.0;31.0;0;14;657;735;0;-2
989.0;56.0;22;20;654;730;-22;-3
950.0;32.0;28;18;672;716;-28;5
1000.0;19.0;9;12;662;733;-9;0
964.0;0.0;21;19;664;724;-21;-8
980.0;-35.0;1;20;664;721;-1;4
996.0;-12.0;23;13;660;733;-23;-8
982.0;7.0;7;15;659;732;-7;0
977.0;-41.0;41;21;655;727;-41;-7
998.0;-36.0;7;17;660;728;-7;2
980.0;-31.0;11;16;656;734;-11;-4
957.0;-34.0;-7;17;672;718;7;5
960.0;-40.0;-15;20;684;700;15;-1
976.0;-10.0;4;13;671;723;-4;-1
988.0;8.0;10;20;657;726;-10;2
973.0;-26.0;2;15;658;734;-2;-5
1000.0;-26.0;30;14;670;723;-30;0
958.0;58.0;10;20;666;719;-10;-2
997.0;-19.0;-8;19;656;729;8;-2
999.0;25.0;3;22;658;724;-3;2
979.0;-21.0;-2;14;658;733;2;-1
989.0;4.0;-17;18;660;728;17;3
962.0;46.0;-11;19;667;719;11;0
953.0;18.0;35;23;661;719;-35;-4
982.0;-15.0;7;20;657;727;-7;0
999.0;1.0;-1;14;660;731;1;0
933.0;7.0;8;14;666;727;-8;-7
977.0;-35.0;22;21;658;725;-22;1
985.0;-23.0;23;21;658;725;-23;1
996.0;41.0;-6;21;656;726;6;-3
982.0;-24.0;0;16;665;726;0;11
981.0;-9.0;6;20;655;728;-6;-2
937.0;24.0;-17;23;661;718;17;34
969.0;-2.0;-9;21;664;719;9;14
968.0;15.0;3;21;662;722;-3;-6
980.0;44.0;-20;18;656;731;20;-1
979.0;31.0;-6;17;653;734;6;-4
982.0;1.0;-5;20;656;728;5;2
955.0;-529.0;-508;185;421;748;508;-151
949.0;-37.0;2;12;671;726;-2;-2
996.0;-398.0;-9;70;659;717;9;252
955.0;-33.0;12;15;669;722;-12;0
971.0;26.0;-13;17;658;731;13;1
984.0;115.0;214;59;185;919;-214;20
991.0;10.0;47;22;657;725;-47;-2
992.0;10.0;-11;22;650;731;11;-10
