InertialMeasurementUnit R-SHOE EuZ;Accelerometer RKN_ accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE EuY
-167;107.0;-297.0;780;-55.0;64;439;-25
-162;-21.0;-11.0;796;222.0;72;385;-23
-162;-21.0;-11.0;795;229.0;71;388;-23
-162;-10.0;16.0;800;203.0;68;390;-23
-162;31.0;98.0;799;220.0;71;383;-23
-162;-20.0;57.0;793;225.0;71;391;-23
-162;-8.0;52.0;797;241.0;69;387;-23
-162;4.0;45.0;799;241.0;70;386;-23
-162;6.0;35.0;793;241.0;73;391;-23
-162;-3.0;49.0;794;252.0;74;386;-23
-162;-23.0;47.0;797;234.0;73;380;-23
-162;11.0;6.0;796;224.0;74;383;-23
-162;-7.0;52.0;797;225.0;73;382;-23
-162;-7.0;36.0;797;236.0;71;388;-23
-162;-10.0;-23.0;796;237.0;71;388;-23
-162;-35.0;-2.0;786;232.0;79;387;-23
-162;-2.0;-4.0;795;230.0;69;394;-23
-153;-75.0;179.0;808;136.0;72;380;-19
-162;-10.0;18.0;800;231.0;69;384;-23
-157;145.0;16.0;806;147.0;69;378;-27
-162;-26.0;34.0;800;243.0;71;385;-23
-162;-5.0;24.0;795;254.0;72;386;-23
-162;-10.0;-6.0;795;223.0;74;386;-23
-162;12.0;42.0;799;213.0;68;389;-23
-162;-21.0;82.0;794;251.0;73;386;-23
-162;-35.0;50.0;792;251.0;73;388;-23
-162;-37.0;5.0;795;250.0;72;384;-23
-162;14.0;-6.0;799;229.0;72;384;-23
-162;2.0;-4.0;800;242.0;68;388;-23
-162;-9.0;-3.0;801;263.0;64;397;-23
-162;-20.0;-18.0;806;262.0;63;393;-25
-162;-19.0;28.0;796;259.0;72;386;-23
-156;-10.0;9.0;800;182.0;71;378;-31
-165;-4.0;11.0;802;151.0;76;384;-25
-162;-7.0;35.0;793;230.0;75;386;-23
-162;-21.0;26.0;798;241.0;68;392;-23
-162;-18.0;8.0;795;240.0;72;387;-23
-158;-36.0;50.0;802;261.0;67;378;-26
-162;3.0;39.0;797;254.0;70;390;-23
-162;-10.0;-2.0;796;246.0;72;387;-23
-162;-11.0;28.0;797;228.0;73;388;-23
-162;5.0;-7.0;797;241.0;71;386;-23
-162;10.0;3.0;794;246.0;73;388;-23
-162;-12.0;51.0;797;240.0;71;386;-23
-162;7.0;87.0;801;241.0;69;384;-23
-162;5.0;47.0;794;234.0;75;381;-23
-158;92.0;22.0;795;241.0;70;383;-26
-159;70.0;57.0;802;242.0;71;385;-26
-159;119.0;18.0;799;200.0;68;366;-24
-162;22.0;25.0;795;230.0;70;390;-23
-159;134.0;75.0;800;206.0;70;364;-24
-166;144.0;432.0;786;289.0;96;395;-34
-165;27.0;28.0;800;276.0;72;386;-38
-163;-6.0;62.0;793;243.0;74;390;-23
-157;-197.0;35.0;801;126.0;69;383;-27
-163;-26.0;15.0;796;232.0;70;394;-23
-163;-32.0;-19.0;793;226.0;76;388;-23
-162;-1.0;-17.0;795;241.0;72;386;-23
-162;-16.0;-15.0;792;241.0;72;387;-23
-162;8.0;-1.0;793;244.0;72;387;-23
-162;-27.0;32.0;797;240.0;72;385;-23
-162;-40.0;45.0;791;250.0;75;389;-23
-158;-1.0;7.0;796;266.0;70;384;-26
-164;214.0;2.0;814;262.0;67;380;-31
-168;240.0;-452.0;1499;224.0;300;-976;-36
-158;-3.0;42.0;802;252.0;66;383;-26
-152;-19.0;-396.0;816;265.0;73;392;-34
-162;4.0;-73.0;796;271.0;68;394;-23
-160;-25.0;-1.0;777;247.0;70;414;-27
-160;-40.0;-75.0;779;254.0;75;404;-28
-155;-3.0;51.0;780;303.0;28;495;-27
-163;33.0;-235.0;745;284.0;76;453;-28
-160;-3.0;36.0;772;260.0;70;424;-28
-168;31.0;12.0;816;300.0;-70;551;-25
-160;-45.0;41.0;772;235.0;78;406;-27
-151;-49.0;76.0;537;251.0;474;338;-23
-160;-318.0;-654.0;795;320.0;85;411;-12
-160;-61.0;-9.0;788;247.0;72;402;-29
-160;-56.0;19.0;771;242.0;75;416;-28
-160;-36.0;13.0;770;249.0;72;421;-28
-150;42.0;294.0;1040;241.0;-236;686;-35
-160;-42.0;43.0;764;231.0;79;418;-28
-146;-40.0;-239.0;949;327.0;-240;771;-26
-160;-30.0;73.0;763;224.0;74;435;-28
-172;-300.0;50.0;582;311.0;112;630;-38
-155;-46.0;-26.0;756;154.0;53;444;-29
-156;99.0;-270.0;627;199.0;101;598;-39
-152;48.0;-137.0;429;267.0;150;699;-41
-163;59.0;40.0;728;265.0;83;469;-29
-160;-13.0;-17.0;759;242.0;75;429;-28
-146;14.0;131.0;621;234.0;71;459;-35
-162;-20.0;32.0;794;235.0;73;383;-23
-162;-11.0;39.0;791;224.0;73;388;-23
-162;-18.0;59.0;799;243.0;68;384;-23
-162;-8.0;54.0;801;233.0;68;384;-23
-162;-7.0;32.0;801;231.0;68;384;-23
-162;-15.0;25.0;800;231.0;68;384;-23
-174;34.0;27.0;801;172.0;71;390;-31
-162;-14.0;13.0;799;239.0;67;384;-23
-162;-10.0;18.0;800;245.0;63;388;-23
-162;0.0;2.0;799;232.0;67;383;-23
-162;-19.0;44.0;796;224.0;71;381;-23
-162;-2.0;41.0;792;236.0;71;393;-23
-162;-6.0;49.0;805;241.0;58;395;-24
-162;-29.0;61.0;803;243.0;60;406;-24
-58;-493.0;-298.0;2299;176.0;377;1118;-69
-134;-362.0;673.0;50;441.0;133;839;-73
-156;-189.0;675.0;794;407.0;81;391;-25
-158;-20.0;15.0;794;246.0;78;390;-27
-158;-10.0;12.0;796;222.0;75;392;-27
-156;-29.0;13.0;807;269.0;124;302;-28
-157;-9.0;46.0;793;223.0;78;384;-27
-157;-10.0;-5.0;798;241.0;75;385;-27
-156;51.0;-2082.0;713;270.0;60;463;-28
-168;263.0;-44.0;688;384.0;98;559;-36
-152;245.0;287.0;646;187.0;92;552;-44
-155;93.0;-601.0;77;155.0;293;920;-31
-120;-75.0;-676.0;740;182.0;590;341;-69
-158;171.0;64.0;644;237.0;100;548;-35
-163;-2.0;88.0;745;233.0;78;444;-27
-169;3.0;77.0;649;367.0;110;589;-37
-165;33.0;156.0;722;336.0;65;542;-35
-160;616.0;427.0;794;404.0;87;410;-12
-163;12.0;-109.0;740;241.0;79;457;-27
-156;216.0;1.0;801;-102.0;72;403;-22
-156;7.0;78.0;786;249.0;71;403;-27
-156;-1.0;-136.0;800;241.0;69;381;-26
-157;-5.0;0.0;795;233.0;69;386;-26
-157;-19.0;10.0;795;255.0;69;386;-26
-156;-12.0;23.0;794;244.0;69;386;-26
-156;-19.0;14.0;791;243.0;71;388;-26
-156;-21.0;25.0;793;242.0;69;388;-26
-156;-19.0;-14.0;792;232.0;71;388;-26
-158;-53.0;-9.0;800;221.0;70;375;-26
-157;-40.0;19.0;797;249.0;66;386;-26
-157;-30.0;7.0;797;261.0;66;386;-26
-156;-5.0;20.0;793;231.0;68;386;-26
-156;6.0;2.0;793;241.0;69;385;-26
-156;-11.0;-15.0;798;231.0;68;383;-26
-157;-13.0;24.0;795;244.0;69;384;-26
-157;-17.0;47.0;787;237.0;75;388;-26
-160;-14.0;19.0;795;231.0;94;354;-29
-157;-10.0;22.0;797;240.0;68;386;-26
-156;-18.0;3.0;796;225.0;68;385;-26
-156;10.0;0.0;795;251.0;69;385;-26
-157;-21.0;-4.0;801;251.0;68;384;-26
-156;-4.0;22.0;799;242.0;69;383;-26
-156;-8.0;-6.0;796;247.0;65;385;-26
-157;-19.0;-10.0;797;243.0;66;386;-26
-158;-40.0;-29.0;799;278.0;72;378;-26
-156;-29.0;59.0;787;245.0;74;386;-26
-157;-25.0;44.0;792;260.0;70;390;-26
-158;16.0;88.0;785;252.0;77;354;-24
-156;10.0;24.0;789;241.0;73;394;-26
-167;27.0;137.0;762;290.0;99;350;-29
-156;-23.0;67.0;789;251.0;73;393;-26
-156;-1.0;226.0;794;239.0;68;392;-26
-163;152.0;154.0;791;270.0;75;392;-23
-156;-15.0;9.0;790;237.0;74;393;-27
-157;-40.0;15.0;792;229.0;75;390;-27
-156;-7.0;-5.0;783;250.0;71;407;-27
-156;-13.0;23.0;789;220.0;72;401;-27
-165;10.0;8.0;786;196.0;73;414;-28
-156;-7.0;60.0;788;219.0;73;399;-27
-157;-24.0;10.0;793;234.0;70;400;-27
-162;-36.0;-97.0;795;261.0;75;379;-23
-156;-17.0;-16.0;790;230.0;71;396;-27
-155;-103.0;80.0;783;192.0;71;397;-27
-156;-41.0;35.0;800;248.0;67;383;-27
-156;-19.0;24.0;793;251.0;70;382;-27
-156;-2.0;45.0;801;232.0;64;389;-27
-162;47.0;619.0;806;196.0;75;382;-27
-158;-41.0;20.0;798;232.0;65;392;-27
-161;258.0;108.0;801;348.0;68;384;-22
-162;123.0;30.0;800;332.0;71;396;-29
-160;167.0;-96.0;790;354.0;70;390;-23
-162;14.0;-11.0;800;271.0;66;395;-25
-162;5.0;6.0;794;258.0;74;391;-25
-162;-2.0;43.0;794;252.0;71;396;-25
-162;69.0;58.0;802;336.0;68;398;-29
-162;9.0;6.0;794;257.0;72;390;-25
