InertialMeasurementUnit L-SHOE EuX;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;Accelerometer LWR accY;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;Accelerometer LH accZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
99;425.0;959.0;831.0;362.0;546.0;1015.0;35.0;999.0;-931.0;-371.0;420.0
99;339.0;962.0;866.0;377.0;543.0;1008.0;63.0;1019.0;-945.0;-328.0;377.0
99;322.0;961.0;871.0;379.0;545.0;994.0;77.0;1021.0;-947.0;-338.0;393.0
99;348.0;953.0;887.0;380.0;544.0;996.0;79.0;1011.0;-950.0;-348.0;397.0
99;327.0;962.0;881.0;381.0;544.0;998.0;53.0;1021.0;-954.0;-344.0;402.0
99;330.0;964.0;865.0;382.0;543.0;982.0;60.0;1023.0;-948.0;-356.0;410.0
99;338.0;966.0;888.0;378.0;541.0;983.0;51.0;1039.0;-943.0;-361.0;401.0
99;360.0;930.0;888.0;376.0;540.0;987.0;69.0;1001.0;-941.0;-369.0;385.0
99;346.0;949.0;880.0;357.0;527.0;990.0;71.0;1028.0;-964.0;-338.0;375.0
99;386.0;967.0;864.0;347.0;524.0;1003.0;70.0;1017.0;-964.0;-339.0;397.0
-45;474.0;644.0;552.0;214.0;349.0;732.0;79.0;898.0;-1006.0;-202.0;98.0
158;265.0;891.0;749.0;35.0;306.0;974.0;73.0;1102.0;-1428.0;-407.0;348.0
134;112.0;1031.0;892.0;302.0;261.0;939.0;178.0;765.0;-878.0;-492.0;192.0
99;356.0;958.0;856.0;326.0;501.0;975.0;48.0;1021.0;-949.0;-342.0;383.0
99;338.0;946.0;888.0;328.0;503.0;977.0;63.0;1031.0;-950.0;-325.0;396.0
99;374.0;933.0;877.0;327.0;502.0;1003.0;77.0;1020.0;-948.0;-339.0;415.0
99;369.0;960.0;847.0;325.0;502.0;999.0;40.0;1022.0;-959.0;-315.0;426.0
99;350.0;945.0;884.0;334.0;503.0;1015.0;75.0;1027.0;-950.0;-324.0;371.0
99;377.0;969.0;865.0;326.0;501.0;976.0;21.0;1010.0;-945.0;-296.0;380.0
99;343.0;958.0;861.0;319.0;499.0;985.0;91.0;1022.0;-950.0;-319.0;389.0
99;340.0;960.0;877.0;372.0;543.0;1011.0;89.0;1011.0;-951.0;-322.0;374.0
99;348.0;959.0;885.0;370.0;540.0;997.0;82.0;1037.0;-952.0;-314.0;351.0
99;338.0;953.0;899.0;366.0;537.0;988.0;90.0;1017.0;-953.0;-309.0;387.0
99;356.0;960.0;874.0;357.0;533.0;1002.0;37.0;1023.0;-959.0;-304.0;413.0
99;371.0;939.0;856.0;338.0;517.0;1012.0;93.0;1026.0;-969.0;-344.0;337.0
154;388.0;878.0;717.0;208.0;434.0;803.0;137.0;1128.0;-1051.0;-339.0;271.0
55;480.0;900.0;1120.0;353.0;547.0;938.0;187.0;959.0;-830.0;-503.0;367.0
99;369.0;964.0;842.0;338.0;522.0;988.0;71.0;1030.0;-954.0;-295.0;418.0
99;390.0;941.0;870.0;338.0;520.0;968.0;70.0;1016.0;-952.0;-298.0;397.0
99;380.0;950.0;896.0;336.0;519.0;994.0;92.0;1011.0;-955.0;-284.0;388.0
113;292.0;1001.0;937.0;285.0;472.0;968.0;139.0;1041.0;-961.0;-309.0;295.0
99;349.0;943.0;876.0;340.0;522.0;1003.0;83.0;1003.0;-947.0;-340.0;382.0
99;330.0;963.0;875.0;339.0;522.0;1004.0;57.0;1015.0;-942.0;-342.0;392.0
99;349.0;968.0;871.0;339.0;520.0;986.0;54.0;1021.0;-941.0;-343.0;422.0
99;383.0;932.0;880.0;342.0;523.0;1006.0;42.0;1020.0;-946.0;-328.0;417.0
99;386.0;950.0;859.0;343.0;523.0;1006.0;48.0;1031.0;-948.0;-317.0;418.0
99;387.0;970.0;857.0;343.0;522.0;991.0;30.0;1026.0;-947.0;-323.0;423.0
99;361.0;955.0;877.0;343.0;521.0;1011.0;33.0;1011.0;-946.0;-329.0;424.0
99;397.0;942.0;872.0;339.0;521.0;1011.0;55.0;1013.0;-936.0;-327.0;384.0
99;374.0;961.0;858.0;338.0;520.0;995.0;66.0;1012.0;-946.0;-340.0;413.0
99;373.0;961.0;873.0;337.0;520.0;1004.0;51.0;1023.0;-943.0;-335.0;409.0
99;382.0;948.0;878.0;336.0;518.0;1007.0;58.0;1028.0;-946.0;-318.0;412.0
99;329.0;940.0;874.0;334.0;519.0;977.0;80.0;1034.0;-957.0;-346.0;422.0
99;368.0;944.0;878.0;333.0;521.0;1005.0;60.0;1011.0;-952.0;-319.0;403.0
99;352.0;961.0;883.0;343.0;525.0;995.0;59.0;1026.0;-951.0;-299.0;380.0
99;359.0;962.0;859.0;347.0;526.0;995.0;59.0;1024.0;-945.0;-321.0;376.0
99;381.0;941.0;858.0;349.0;528.0;985.0;94.0;1027.0;-950.0;-330.0;365.0
99;353.0;935.0;887.0;350.0;527.0;986.0;94.0;1020.0;-946.0;-340.0;355.0
99;348.0;972.0;895.0;350.0;528.0;990.0;74.0;1010.0;-948.0;-339.0;375.0
116;276.0;952.0;926.0;311.0;504.0;1014.0;71.0;957.0;-959.0;-394.0;362.0
99;381.0;971.0;860.0;332.0;517.0;1001.0;51.0;1023.0;-950.0;-293.0;405.0
99;349.0;943.0;870.0;333.0;518.0;979.0;86.0;1018.0;-941.0;-328.0;375.0
99;348.0;951.0;887.0;334.0;517.0;972.0;91.0;1021.0;-938.0;-325.0;371.0
99;341.0;945.0;871.0;333.0;518.0;1000.0;73.0;1019.0;-933.0;-346.0;363.0
99;334.0;956.0;859.0;339.0;521.0;981.0;58.0;1031.0;-933.0;-370.0;419.0
99;362.0;959.0;848.0;339.0;519.0;968.0;61.0;1010.0;-941.0;-382.0;402.0
99;371.0;925.0;862.0;339.0;519.0;998.0;29.0;1010.0;-942.0;-377.0;441.0
99;397.0;954.0;857.0;338.0;520.0;990.0;38.0;999.0;-946.0;-374.0;445.0
99;405.0;941.0;858.0;337.0;519.0;1007.0;28.0;1020.0;-942.0;-367.0;435.0
99;389.0;958.0;855.0;337.0;518.0;998.0;18.0;1037.0;-936.0;-373.0;433.0
99;379.0;962.0;838.0;333.0;518.0;998.0;26.0;1011.0;-940.0;-364.0;435.0
99;409.0;930.0;883.0;335.0;515.0;988.0;52.0;1014.0;-943.0;-353.0;430.0
99;405.0;938.0;867.0;334.0;516.0;993.0;34.0;1028.0;-941.0;-352.0;425.0
99;387.0;956.0;857.0;332.0;514.0;975.0;79.0;1020.0;-931.0;-345.0;430.0
99;385.0;956.0;851.0;332.0;515.0;985.0;37.0;1011.0;-933.0;-357.0;426.0
-19;379.0;952.0;883.0;295.0;496.0;1005.0;57.0;1011.0;-940.0;-291.0;453.0
-32;363.0;888.0;941.0;314.0;201.0;1144.0;44.0;974.0;-1012.0;-48.0;381.0
-160;415.0;786.0;917.0;396.0;605.0;1032.0;-29.0;1051.0;-1099.0;-442.0;424.0
99;397.0;947.0;840.0;331.0;513.0;986.0;48.0;1037.0;-948.0;-344.0;424.0
99;390.0;927.0;848.0;331.0;512.0;952.0;58.0;1019.0;-940.0;-352.0;405.0
99;389.0;930.0;849.0;330.0;513.0;996.0;52.0;1018.0;-937.0;-352.0;414.0
-19;394.0;953.0;880.0;385.0;510.0;997.0;21.0;1025.0;-987.0;-330.0;364.0
99;399.0;933.0;850.0;325.0;512.0;990.0;59.0;1018.0;-938.0;-345.0;422.0
99;387.0;952.0;858.0;322.0;510.0;998.0;30.0;1036.0;-949.0;-352.0;404.0
99;350.0;951.0;855.0;323.0;510.0;997.0;24.0;1011.0;-945.0;-332.0;408.0
99;379.0;952.0;846.0;324.0;509.0;994.0;31.0;1035.0;-940.0;-344.0;429.0
-123;417.0;839.0;752.0;244.0;390.0;879.0;75.0;1859.0;-1026.0;-493.0;354.0
-19;358.0;934.0;858.0;309.0;522.0;977.0;106.0;994.0;-954.0;-338.0;383.0
