InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
217.0;234.0;50.0;527.0;-838.0;-231.0;-521.0
334.0;-99.0;-426.0;577.0;-521.0;106.0;-758.0
90.0;263.0;55.0;424.0;-362.0;329.0;-359.0
88.0;261.0;64.0;422.0;-353.0;327.0;-354.0
105.0;260.0;52.0;500.0;-548.0;411.0;-426.0
89.0;257.0;41.0;428.0;-408.0;331.0;-366.0
92.0;261.0;57.0;424.0;-373.0;331.0;-361.0
91.0;259.0;49.0;426.0;-377.0;332.0;-363.0
91.0;261.0;56.0;426.0;-370.0;334.0;-360.0
91.0;260.0;61.0;425.0;-365.0;333.0;-357.0
93.0;260.0;63.0;426.0;-356.0;333.0;-355.0
304.0;323.0;-508.0;529.0;-300.0;540.0;-660.0
610.0;391.0;190.0;482.0;-425.0;571.0;-477.0
752.0;404.0;215.0;402.0;-163.0;475.0;-422.0
129.0;294.0;3.0;447.0;-403.0;351.0;-415.0
143.0;57.0;-425.0;610.0;-233.0;387.0;-634.0
62.0;95.0;-83.0;518.0;-604.0;261.0;-358.0
258.0;395.0;79.0;419.0;-521.0;478.0;-368.0
333.0;413.0;-216.0;487.0;-576.0;544.0;-550.0
158.0;276.0;-240.0;480.0;-495.0;388.0;-502.0
87.0;261.0;51.0;423.0;-382.0;327.0;-362.0
86.0;252.0;63.0;428.0;-374.0;328.0;-357.0
114.0;276.0;122.0;449.0;-274.0;337.0;-331.0
294.0;443.0;231.0;358.0;-373.0;426.0;-265.0
582.0;226.0;321.0;378.0;-197.0;425.0;-358.0
87.0;253.0;66.0;428.0;-363.0;329.0;-358.0
86.0;252.0;72.0;428.0;-353.0;329.0;-351.0
86.0;252.0;70.0;429.0;-360.0;328.0;-354.0
85.0;253.0;69.0;429.0;-365.0;330.0;-355.0
86.0;252.0;72.0;427.0;-360.0;329.0;-355.0
627.0;551.0;-585.0;553.0;-48.0;-54.0;-900.0
637.0;554.0;-210.0;547.0;-93.0;-41.0;-581.0
-107.0;34.0;113.0;397.0;-366.0;89.0;-162.0
