InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
246.0;466;-64.0;956.0;201.0;135.0;-23.0;466
277.0;49;116.0;925.0;368.0;-5.0;1.0;49
280.0;-12;59.0;910.0;369.0;-187.0;-237.0;-12
208.0;26;-55.0;937.0;240.0;-357.0;-386.0;26
240.0;-34;-2.0;923.0;218.0;-245.0;-139.0;-34
241.0;-48;-25.0;907.0;215.0;-202.0;-19.0;-48
242.0;36;-15.0;899.0;213.0;-164.0;56.0;36
242.0;-31;-27.0;915.0;211.0;-140.0;90.0;-31
282.0;-10;-32.0;932.0;369.0;-19.0;-207.0;-10
284.0;-14;-9.0;918.0;370.0;29.0;161.0;-14
286.0;-4;37.0;928.0;371.0;77.0;67.0;-4
287.0;5;21.0;901.0;372.0;14.0;159.0;5
215.0;-5;80.0;988.0;260.0;-9.0;244.0;-5
319.0;54;82.0;881.0;338.0;156.0;-423.0;54
413.0;27;311.0;869.0;433.0;482.0;-140.0;27
294.0;-18;-57.0;908.0;373.0;12.0;-158.0;-18
232.0;-187;-339.0;1623.0;258.0;22.0;279.0;-187
299.0;-15;54.0;923.0;376.0;96.0;143.0;-15
301.0;-9;-55.0;922.0;378.0;-4.0;193.0;-9
302.0;-10;79.0;931.0;379.0;151.0;-4.0;-10
303.0;-15;80.0;931.0;379.0;192.0;81.0;-15
243.0;-53;219.0;927.0;274.0;131.0;-5.0;-53
468.0;-233;-265.0;760.0;434.0;39.0;673.0;-233
303.0;20;-74.0;931.0;382.0;117.0;-77.0;20
301.0;12;-264.0;937.0;384.0;144.0;41.0;12
219.0;441;-151.0;943.0;232.0;-88.0;335.0;441
243.0;-54;-43.0;921.0;206.0;-65.0;24.0;-54
244.0;27;-61.0;937.0;203.0;-56.0;-19.0;27
278.0;-49;170.0;1024.0;263.0;500.0;378.0;-49
260.0;-12;-24.0;941.0;233.0;392.0;286.0;-12
180.0;-23;31.0;949.0;250.0;15.0;-31.0;-23
151.0;-29;-58.0;980.0;211.0;184.0;-386.0;-29
175.0;-13;30.0;945.0;248.0;0.0;122.0;-13
171.0;-35;106.0;921.0;245.0;-17.0;4.0;-35
116.0;117;-20.0;975.0;276.0;-25.0;-227.0;117
568.0;-6;435.0;956.0;220.0;-160.0;139.0;-6
561.0;-52;188.0;918.0;250.0;-16.0;134.0;-52
625.0;127;-92.0;879.0;243.0;104.0;79.0;127
141.0;0;-43.0;985.0;196.0;94.0;-145.0;0
137.0;-17;-42.0;935.0;189.0;86.0;135.0;-17
784.0;157;-64.0;1024.0;352.0;292.0;145.0;157
649.0;-82;-99.0;923.0;247.0;23.0;-132.0;-82
649.0;-62;-31.0;950.0;259.0;-149.0;-120.0;-62
650.0;-2;-97.0;927.0;259.0;-110.0;-196.0;-2
664.0;44;-451.0;949.0;265.0;-41.0;205.0;44
26.0;-29;-36.0;872.0;221.0;7.0;42.0;-29
20.0;-13;24.0;864.0;217.0;47.0;-5.0;-13
18.0;54;4.0;860.0;217.0;75.0;61.0;54
18.0;47;-26.0;878.0;217.0;11.0;-58.0;47
258.0;41;0.0;937.0;370.0;49.0;136.0;41
251.0;-17;32.0;952.0;368.0;75.0;93.0;-17
751.0;15;-93.0;932.0;504.0;-49.0;-4.0;15
248.0;-1;25.0;952.0;367.0;86.0;147.0;-1
246.0;11;10.0;945.0;367.0;80.0;158.0;11
244.0;8;32.0;946.0;367.0;113.0;158.0;8
242.0;9;-2.0;948.0;368.0;95.0;169.0;9
242.0;17;6.0;934.0;368.0;27.0;167.0;17
240.0;18;7.0;942.0;368.0;57.0;125.0;18
16.0;-10;-17.0;850.0;216.0;-82.0;-115.0;-10
239.0;19;-4.0;946.0;369.0;46.0;30.0;19
239.0;19;-4.0;956.0;369.0;11.0;28.0;19
238.0;24;-12.0;937.0;369.0;30.0;95.0;24
239.0;-4;-4.0;938.0;370.0;16.0;45.0;-4
239.0;-29;-16.0;948.0;370.0;10.0;32.0;-29
239.0;-16;12.0;955.0;370.0;20.0;36.0;-16
55.0;-20;5.0;1024.0;238.0;44.0;-44.0;-20
56.0;4;23.0;1005.0;239.0;35.0;26.0;4
815.0;42;-56.0;973.0;402.0;8.0;-40.0;42
56.0;-32;100.0;986.0;242.0;39.0;-81.0;-32
56.0;-24;92.0;994.0;243.0;20.0;-125.0;-24
56.0;-22;124.0;995.0;243.0;36.0;-144.0;-22
259.0;-8;273.0;877.0;205.0;96.0;56.0;-8
56.0;23;126.0;996.0;244.0;2.0;-127.0;23
238.0;-1;-5.0;942.0;370.0;-13.0;45.0;-1
56.0;-11;120.0;1002.0;244.0;56.0;-70.0;-11
56.0;-32;112.0;974.0;243.0;25.0;73.0;-32
238.0;-3;0.0;946.0;370.0;-9.0;20.0;-3
416.0;-43;-5.0;844.0;455.0;-42.0;-206.0;-43
340.0;-64;131.0;792.0;384.0;-44.0;57.0;-64
55.0;32;89.0;989.0;243.0;-22.0;88.0;32
