InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-529.0;-696.0;808.0;-570.0;-780.0;-47.0;-59.0;359.0;239.0;-127.0;203.0
-561.0;-672.0;694.0;-539.0;-863.0;-86.0;-50.0;409.0;400.0;-3.0;442.0
-558.0;-674.0;692.0;-538.0;-864.0;-85.0;-50.0;409.0;401.0;-1.0;446.0
-562.0;-670.0;695.0;-539.0;-864.0;-88.0;-50.0;409.0;400.0;-3.0;440.0
-562.0;-670.0;695.0;-539.0;-864.0;-88.0;-50.0;409.0;399.0;-3.0;439.0
-562.0;-670.0;695.0;-540.0;-864.0;-88.0;-50.0;409.0;398.0;-4.0;439.0
-563.0;-670.0;696.0;-540.0;-865.0;-88.0;-50.0;409.0;398.0;-4.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;398.0;-3.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;397.0;-5.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-88.0;-49.0;408.0;396.0;-6.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;397.0;-5.0;440.0
-584.0;-675.0;725.0;-573.0;-876.0;-89.0;-24.0;410.0;373.0;63.0;424.0
-475.0;-723.0;515.0;-604.0;-827.0;-123.0;-91.0;445.0;396.0;-84.0;440.0
-181.0;-869.0;400.0;-747.0;-873.0;-214.0;-160.0;292.0;397.0;-280.0;703.0
-442.0;-688.0;436.0;-593.0;-831.0;-71.0;-149.0;420.0;389.0;-106.0;426.0
-427.0;-670.0;407.0;-589.0;-832.0;-49.0;-170.0;408.0;386.0;-113.0;409.0
-410.0;-647.0;378.0;-586.0;-833.0;-24.0;-192.0;393.0;381.0;-120.0;385.0
-589.0;-673.0;733.0;-587.0;-878.0;-87.0;-20.0;410.0;354.0;94.0;418.0
-591.0;-673.0;741.0;-605.0;-874.0;-87.0;-17.0;410.0;326.0;134.0;409.0
