InertialMeasurementUnit L-SHOE EuX;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;Accelerometer LWR accY;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;Accelerometer LH accZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
109;432.0;906.0;816.0;514.0;336.0;985.0;13.0;906.0;-895.0;-447.0;478.0
99;339.0;962.0;866.0;377.0;543.0;1008.0;63.0;1019.0;-945.0;-328.0;377.0
99;322.0;961.0;871.0;379.0;545.0;994.0;77.0;1021.0;-947.0;-338.0;393.0
99;348.0;953.0;887.0;380.0;544.0;996.0;79.0;1011.0;-950.0;-348.0;397.0
97;238.0;1020.0;973.0;427.0;583.0;1043.0;30.0;1041.0;-1054.0;-337.0;453.0
99;330.0;964.0;865.0;382.0;543.0;982.0;60.0;1023.0;-948.0;-356.0;410.0
99;338.0;966.0;888.0;378.0;541.0;983.0;51.0;1039.0;-943.0;-361.0;401.0
99;349.0;934.0;883.0;352.0;529.0;997.0;77.0;995.0;-948.0;-371.0;375.0
99;346.0;949.0;880.0;357.0;527.0;990.0;71.0;1028.0;-964.0;-338.0;375.0
99;386.0;967.0;864.0;347.0;524.0;1003.0;70.0;1017.0;-964.0;-339.0;397.0
104;317.0;943.0;878.0;148.0;403.0;1029.0;13.0;962.0;-1008.0;-204.0;342.0
170;187.0;976.0;939.0;46.0;315.0;1028.0;89.0;935.0;-1057.0;-134.0;293.0
-21;221.0;1119.0;1000.0;343.0;235.0;1115.0;306.0;999.0;-1091.0;-444.0;212.0
99;356.0;958.0;856.0;326.0;501.0;975.0;48.0;1021.0;-949.0;-342.0;383.0
99;338.0;946.0;888.0;328.0;503.0;977.0;63.0;1031.0;-950.0;-325.0;396.0
-98;359.0;941.0;883.0;279.0;507.0;1001.0;50.0;1021.0;-951.0;-325.0;404.0
99;369.0;960.0;847.0;325.0;502.0;999.0;40.0;1022.0;-959.0;-315.0;426.0
40;-5.0;1017.0;956.0;769.0;139.0;1031.0;168.0;952.0;-1016.0;-9.0;125.0
149;248.0;1139.0;972.0;122.0;372.0;1058.0;-144.0;1010.0;-1001.0;-126.0;349.0
99;343.0;958.0;861.0;319.0;499.0;985.0;91.0;1022.0;-950.0;-319.0;389.0
112;323.0;995.0;900.0;444.0;577.0;1054.0;82.0;1011.0;-948.0;-322.0;343.0
99;348.0;959.0;885.0;370.0;540.0;997.0;82.0;1037.0;-952.0;-314.0;351.0
154;370.0;897.0;915.0;361.0;559.0;1096.0;67.0;897.0;-942.0;-236.0;430.0
99;356.0;960.0;874.0;357.0;533.0;1002.0;37.0;1023.0;-959.0;-304.0;413.0
151;260.0;828.0;898.0;234.0;366.0;1103.0;179.0;1134.0;-1341.0;-274.0;144.0
120;300.0;974.0;877.0;367.0;520.0;891.0;173.0;1000.0;-1045.0;-324.0;220.0
118;433.0;1017.0;1217.0;314.0;484.0;1011.0;173.0;973.0;-874.0;-361.0;563.0
99;369.0;964.0;842.0;338.0;522.0;988.0;71.0;1030.0;-954.0;-295.0;418.0
99;390.0;941.0;870.0;338.0;520.0;968.0;70.0;1016.0;-952.0;-298.0;397.0
99;356.0;957.0;903.0;344.0;516.0;992.0;231.0;1030.0;-961.0;-245.0;385.0
113;299.0;1016.0;943.0;306.0;477.0;999.0;137.0;1020.0;-964.0;-318.0;302.0
99;349.0;943.0;876.0;340.0;522.0;1003.0;83.0;1003.0;-947.0;-340.0;382.0
-19;324.0;1019.0;925.0;372.0;521.0;1072.0;86.0;1031.0;-953.0;-349.0;451.0
99;349.0;968.0;871.0;339.0;520.0;986.0;54.0;1021.0;-941.0;-343.0;422.0
