InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-50.0;-307.0;-39.0;-263.0;119.0;139.0;-231.0
-342.0;-366.0;-12.0;-286.0;154.0;89.0;-149.0
-132.0;-340.0;66.0;-314.0;109.0;78.0;-228.0
22.0;-199.0;192.0;-228.0;-123.0;22.0;-170.0
5.0;-236.0;56.0;-255.0;79.0;50.0;-191.0
16.0;-252.0;80.0;-415.0;198.0;-11.0;-173.0
33.0;-220.0;235.0;-322.0;-47.0;-429.0;-247.0
-36.0;-216.0;97.0;-235.0;66.0;-14.0;-148.0
-65.0;-226.0;90.0;-242.0;72.0;-9.0;-173.0
-75.0;-231.0;81.0;-244.0;76.0;1.0;-179.0
-81.0;-236.0;76.0;-247.0;79.0;7.0;-181.0
-86.0;-239.0;71.0;-250.0;83.0;13.0;-183.0
-89.0;-242.0;67.0;-252.0;87.0;18.0;-183.0
-133.0;-341.0;65.0;-315.0;110.0;79.0;-229.0
-134.0;-351.0;52.0;-324.0;118.0;94.0;-238.0
-133.0;-350.0;50.0;-326.0;120.0;95.0;-238.0
-133.0;-349.0;49.0;-326.0;121.0;95.0;-238.0
-134.0;-350.0;47.0;-327.0;121.0;98.0;-240.0
-133.0;-350.0;46.0;-327.0;122.0;99.0;-240.0
-132.0;-350.0;44.0;-326.0;121.0;101.0;-241.0
31.0;-332.0;206.0;-121.0;-89.0;-112.0;211.0
225.0;432.0;53.0;375.0;-219.0;-174.0;191.0
96.0;-152.0;212.0;-295.0;26.0;-184.0;-69.0
28.0;-204.0;110.0;-235.0;61.0;-45.0;-100.0
46.0;-216.0;82.0;-315.0;124.0;26.0;-130.0
-132.0;-350.0;44.0;-326.0;120.0;101.0;-240.0
-4.0;-220.0;85.0;-244.0;77.0;-26.0;-115.0
-288.0;-574.0;84.0;-310.0;86.0;73.0;156.0
-118.0;-301.0;217.0;-59.0;-172.0;-196.0;42.0
-42.0;-284.0;114.0;-157.0;38.0;-91.0;-236.0
-51.0;-306.0;98.0;-245.0;61.0;-7.0;-246.0
-10.0;-285.0;56.0;-256.0;94.0;5.0;-186.0
-131.0;-349.0;45.0;-325.0;119.0;101.0;-239.0
-130.0;-348.0;46.0;-324.0;118.0;100.0;-238.0
-70.0;-240.0;62.0;-257.0;92.0;22.0;-173.0
-58.0;-239.0;60.0;-260.0;95.0;22.0;-170.0
-63.0;-240.0;59.0;-263.0;98.0;23.0;-174.0
-73.0;-243.0;58.0;-266.0;100.0;23.0;-177.0
-84.0;-245.0;56.0;-268.0;102.0;23.0;-180.0
-86.0;-246.0;56.0;-268.0;102.0;23.0;-179.0
28.0;-187.0;148.0;-23.0;-111.0;-86.0;-86.0
-73.0;-244.0;54.0;-268.0;102.0;24.0;-177.0
-85.0;-246.0;54.0;-262.0;97.0;25.0;-182.0
-87.0;-245.0;55.0;-260.0;95.0;25.0;-181.0
-73.0;-241.0;55.0;-258.0;92.0;25.0;-178.0
-69.0;-239.0;56.0;-256.0;91.0;25.0;-178.0
-80.0;-243.0;56.0;-254.0;89.0;26.0;-182.0
-30.0;-247.0;64.0;-211.0;19.0;89.0;-143.0
-112.0;-341.0;7.0;-547.0;234.0;-13.0;-7.0
2.0;-237.0;62.0;-236.0;75.0;-9.0;-109.0
82.0;-176.0;105.0;-172.0;-22.0;-2.0;-53.0
-133.0;-340.0;89.0;-191.0;-3.0;13.0;92.0
-14.0;-246.0;46.0;-246.0;90.0;69.0;-17.0
-22.0;-239.0;56.0;-236.0;75.0;1.0;-120.0
-91.0;-246.0;56.0;-252.0;88.0;25.0;-184.0
-79.0;-244.0;58.0;-251.0;86.0;24.0;-182.0
-81.0;-244.0;58.0;-251.0;85.0;23.0;-184.0
-90.0;-246.0;59.0;-251.0;85.0;22.0;-186.0
-87.0;-245.0;60.0;-251.0;84.0;19.0;-185.0
-86.0;-244.0;61.0;-251.0;85.0;18.0;-185.0
-22.0;-237.0;57.0;-237.0;75.0;1.0;-125.0
-97.0;-247.0;61.0;-252.0;85.0;18.0;-188.0
-170.0;-446.0;99.0;-178.0;6.0;-166.0;-206.0
-107.0;-249.0;61.0;-252.0;85.0;17.0;-189.0
-106.0;-251.0;62.0;-252.0;85.0;17.0;-187.0
-179.0;-271.0;40.0;-241.0;43.0;-1.0;-205.0
-125.0;-254.0;60.0;-253.0;87.0;18.0;-186.0
-109.0;-254.0;60.0;-253.0;87.0;18.0;-183.0
-130.0;-347.0;44.0;-326.0;120.0;101.0;-236.0
-109.0;-258.0;60.0;-253.0;88.0;19.0;-185.0
-263.0;-346.0;4.0;-205.0;0.0;109.0;-235.0
-110.0;-380.0;55.0;-232.0;59.0;48.0;-262.0
-71.0;-308.0;98.0;-167.0;2.0;-11.0;-283.0
-111.0;-258.0;60.0;-254.0;88.0;20.0;-185.0
-116.0;-258.0;60.0;-254.0;88.0;20.0;-186.0
-117.0;-257.0;60.0;-254.0;88.0;20.0;-183.0
-103.0;-253.0;60.0;-254.0;88.0;20.0;-178.0
-97.0;-254.0;60.0;-254.0;88.0;20.0;-180.0
-109.0;-256.0;61.0;-254.0;88.0;20.0;-182.0
-112.0;-257.0;61.0;-254.0;87.0;20.0;-181.0
-96.0;-254.0;62.0;-253.0;86.0;18.0;-175.0
-98.0;-255.0;62.0;-252.0;86.0;17.0;-177.0
-105.0;-257.0;63.0;-252.0;85.0;17.0;-179.0
-110.0;-258.0;63.0;-253.0;85.0;16.0;-182.0
-174.0;-337.0;107.0;-261.0;48.0;9.0;-70.0
-93.0;-252.0;63.0;-253.0;86.0;18.0;-179.0
-17.0;-239.0;56.0;-239.0;76.0;0.0;-133.0
-10.0;-246.0;54.0;-241.0;79.0;4.0;-126.0
80.0;-232.0;62.0;-216.0;51.0;42.0;-132.0
-102.0;-257.0;63.0;-254.0;87.0;18.0;-183.0
-106.0;-257.0;61.0;-256.0;90.0;21.0;-189.0
-114.0;-257.0;60.0;-257.0;91.0;24.0;-194.0
-114.0;-258.0;55.0;-260.0;96.0;29.0;-196.0
-62.0;77.0;-258.0;60.0;181.0;208.0;-27.0
-355.0;-455.0;-127.0;-94.0;273.0;351.0;-76.0
207.0;278.0;-242.0;54.0;260.0;218.0;44.0
-263.0;-219.0;-474.0;-198.0;429.0;432.0;-355.0
-118.0;-264.0;47.0;-264.0;103.0;39.0;-207.0
-127.0;-266.0;42.0;-268.0;107.0;45.0;-215.0
-140.0;-267.0;36.0;-272.0;113.0;51.0;-226.0
-242.0;-277.0;21.0;-285.0;128.0;66.0;-278.0
-310.0;-196.0;-174.0;-536.0;382.0;153.0;-441.0
-129.0;-345.0;43.0;-326.0;122.0;101.0;-233.0
-13.0;-249.0;58.0;-239.0;77.0;-3.0;-111.0
-32.0;-278.0;115.0;-222.0;34.0;4.0;-250.0
-86.0;-293.0;37.0;-292.0;95.0;86.0;-225.0
-96.0;-304.0;33.0;-301.0;103.0;93.0;-232.0
-105.0;-316.0;31.0;-308.0;110.0;100.0;-239.0
-112.0;-326.0;29.0;-314.0;116.0;104.0;-244.0
-118.0;-335.0;28.0;-318.0;120.0;106.0;-248.0
-122.0;-341.0;28.0;-322.0;123.0;108.0;-251.0
-126.0;-346.0;27.0;-326.0;126.0;110.0;-254.0
-131.0;-353.0;25.0;-329.0;130.0;112.0;-256.0
-134.0;-356.0;24.0;-331.0;133.0;114.0;-257.0
-136.0;-357.0;24.0;-332.0;134.0;115.0;-257.0
-137.0;-357.0;25.0;-331.0;133.0;115.0;-257.0
-137.0;-356.0;26.0;-330.0;133.0;114.0;-256.0
-137.0;-355.0;27.0;-330.0;132.0;112.0;-255.0
-136.0;-353.0;28.0;-329.0;130.0;111.0;-254.0
-136.0;-352.0;29.0;-328.0;129.0;110.0;-252.0
-135.0;-350.0;32.0;-324.0;125.0;108.0;-249.0
-135.0;-350.0;33.0;-323.0;123.0;107.0;-247.0
-136.0;-349.0;33.0;-321.0;120.0;106.0;-246.0
-324.0;-395.0;-556.0;-518.0;739.0;618.0;-583.0
-141.0;-351.0;30.0;-318.0;119.0;111.0;-243.0
-144.0;-352.0;28.0;-318.0;118.0;113.0;-243.0
-146.0;-354.0;27.0;-318.0;119.0;116.0;-244.0
-147.0;-356.0;26.0;-320.0;120.0;118.0;-245.0
-297.0;-336.0;-73.0;-276.0;60.0;145.0;-213.0
-150.0;-361.0;22.0;-325.0;126.0;123.0;-250.0
-151.0;-363.0;18.0;-330.0;131.0;127.0;-253.0
-418.0;-386.0;-78.0;-364.0;225.0;166.0;-243.0
-82.0;-348.0;67.0;-316.0;110.0;56.0;-238.0
-36.0;-251.0;52.0;-245.0;87.0;5.0;-131.0
-40.0;-249.0;53.0;-247.0;89.0;3.0;-136.0
-43.0;-247.0;52.0;-252.0;90.0;1.0;-145.0
-43.0;-247.0;53.0;-255.0;92.0;0.0;-152.0
-40.0;-247.0;53.0;-257.0;94.0;-1.0;-157.0
49.0;-227.0;48.0;-301.0;165.0;-69.0;-190.0
-35.0;-255.0;46.0;-263.0;101.0;6.0;-146.0
-234.0;-202.0;193.0;-424.0;149.0;-244.0;157.0
-48.0;-263.0;41.0;-263.0;104.0;13.0;-145.0
-64.0;-265.0;39.0;-264.0;105.0;17.0;-154.0
-79.0;-266.0;38.0;-265.0;106.0;18.0;-166.0
-94.0;-264.0;38.0;-265.0;106.0;18.0;-180.0
-106.0;-262.0;37.0;-266.0;107.0;18.0;-194.0
-131.0;-260.0;37.0;-269.0;109.0;16.0;-225.0
-89.0;-291.0;88.0;-253.0;75.0;-38.0;-273.0
-157.0;-310.0;110.0;-262.0;76.0;-84.0;-279.0
-136.0;-324.0;274.0;-316.0;-36.0;-156.0;-252.0
-150.0;-260.0;39.0;-276.0;111.0;11.0;-252.0
-155.0;-265.0;38.0;-277.0;115.0;15.0;-251.0
-154.0;-265.0;38.0;-276.0;115.0;16.0;-250.0
-160.0;-266.0;36.0;-274.0;113.0;18.0;-252.0
-200.0;-251.0;66.0;-275.0;91.0;18.0;-236.0
-129.0;-345.0;44.0;-325.0;121.0;101.0;-233.0
-130.0;-346.0;45.0;-324.0;119.0;100.0;-232.0
