InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-10;15.0;0;32.0;11;-35;35;-10
20;16.0;3;70.0;27;-17;17;20
7;35.0;-3;15.0;19;-12;12;7
-7;-16.0;0;50.0;22;16;-16;-7
25;40.0;-5;58.0;17;2;-2;25
-5;18.0;-1;51.0;26;-18;18;-5
384;-41.0;-437;111.0;427;45;-45;384
-14;18.0;-6;33.0;23;-6;6;-14
17;-3.0;0;54.0;12;36;-36;17
-19;31.0;3;68.0;24;7;-7;-19
0;45.0;1;27.0;24;-8;8;0
-3;50.0;-2;60.0;20;3;-3;-3
-1;14.0;-6;53.0;17;10;-10;-1
0;28.0;3;36.0;21;22;-22;0
-23;2.0;6;40.0;27;14;-14;-23
6;18.0;0;24.0;29;-19;19;6
149;10.0;2;106.0;23;210;-210;149
-9;10.0;1;58.0;24;-17;17;-9
6;21.0;2;65.0;25;3;-3;6
7;11.0;3;27.0;28;15;-15;7
26;91.0;-6;17.0;30;-14;14;26
27;33.0;1;34.0;24;1;-1;27
7;14.0;1;41.0;29;8;-8;7
12;26.0;7;29.0;29;-23;23;12
5;17.0;-1;46.0;24;-25;25;5
-14;16.0;4;32.0;25;-1;1;-14
1;2.0;1;55.0;-3;-9;9;1
24;7.0;7;64.0;30;10;-10;24
-5;6.0;3;42.0;25;-5;5;-5
-5;-1.0;6;30.0;17;22;-22;-5
18;18.0;4;69.0;26;-14;14;18
1;-1.0;5;27.0;25;-1;1;1
5;21.0;-2;48.0;21;-9;9;5
23;47.0;-1;47.0;22;-12;12;23
-9;34.0;1;44.0;23;-17;17;-9
10;31.0;5;19.0;26;-13;13;10
3;-7.0;3;49.0;26;-7;7;3
-12;22.0;1;41.0;21;-17;17;-12
8;41.0;-1;16.0;21;23;-23;8
0;-3.0;-3;25.0;24;-9;9;0
17;-9.0;2;-29.0;20;-9;9;17
15;1.0;-4;53.0;22;-3;3;15
116;516.0;9;-1114.0;112;-87;87;116
-48;-51.0;-124;-162.0;67;-33;33;-48
