Accelerometer LWR accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE EuY;Accelerometer LH accX
-332.0;-106.0;-41;375.0
-364.0;-145.0;-40;448.0
-371.0;-186.0;-40;405.0
-397.0;-86.0;-29;406.0
-405.0;-82.0;-31;440.0
-344.0;-199.0;-55;406.0
-303.0;-157.0;-40;425.0
-321.0;-101.0;-41;332.0
-336.0;-113.0;-40;342.0
-344.0;-115.0;-40;333.0
-408.0;-70.0;-43;468.0
-355.0;-111.0;-39;456.0
-339.0;-117.0;-52;346.0
-356.0;-199.0;-39;453.0
-341.0;-26.0;-43;386.0
-355.0;-111.0;-24;377.0
-324.0;-55.0;-39;411.0
-363.0;-86.0;-35;407.0
-357.0;-105.0;-42;377.0
-331.0;-100.0;-42;451.0
-345.0;-130.0;-42;426.0
-344.0;-75.0;-37;411.0
-413.0;-42.0;-48;458.0
-376.0;-126.0;-40;454.0
-370.0;-132.0;-54;401.0
-394.0;-143.0;-29;457.0
-347.0;-76.0;-42;375.0
-400.0;-152.0;-40;401.0
-357.0;-149.0;-41;405.0
-368.0;-148.0;-40;392.0
-351.0;-118.0;-36;437.0
-326.0;-107.0;-40;361.0
-695.0;-119.0;-40;420.0
-337.0;-127.0;-40;387.0
-350.0;-135.0;-40;362.0
-332.0;-188.0;-33;426.0
-331.0;-113.0;-40;345.0
-366.0;-98.0;-41;418.0
-342.0;-129.0;-45;339.0
-343.0;-97.0;-40;359.0
-347.0;-108.0;-40;358.0
-371.0;-112.0;-55;387.0
-432.0;-126.0;-38;371.0
-366.0;-109.0;-40;451.0
-344.0;-162.0;-43;365.0
-344.0;-128.0;-40;376.0
-352.0;-199.0;-43;380.0
-362.0;-182.0;-43;426.0
-361.0;-110.0;-40;379.0
-363.0;-114.0;-40;380.0
-437.0;-109.0;-42;408.0
-361.0;-98.0;-36;339.0
-310.0;-182.0;-43;411.0
-356.0;-148.0;-43;399.0
-368.0;-116.0;-40;351.0
-388.0;-108.0;-44;379.0
-384.0;-99.0;-38;444.0
-384.0;-91.0;-33;463.0
-361.0;-99.0;-40;330.0
-370.0;-64.0;-45;389.0
-353.0;-123.0;-40;341.0
-356.0;-166.0;-35;412.0
-340.0;-123.0;-40;350.0
