InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-574.0;1198;242.0;1021.0;-335.0;73.0;-296.0;1198
300.0;159;290.0;877.0;321.0;-118.0;-224.0;159
208.0;26;-55.0;937.0;240.0;-357.0;-386.0;26
54.0;-9;-66.0;975.0;-62.0;-478.0;-610.0;-9
130.0;-33;-166.0;750.0;199.0;-333.0;-102.0;-33
240.0;-34;-2.0;923.0;218.0;-245.0;-139.0;-34
210.0;151;-127.0;922.0;202.0;-266.0;54.0;151
251.0;6;-10.0;918.0;196.0;-167.0;143.0;6
282.0;-10;-32.0;932.0;369.0;-19.0;-207.0;-10
284.0;-14;-9.0;918.0;370.0;29.0;161.0;-14
286.0;-4;37.0;928.0;371.0;77.0;67.0;-4
287.0;5;21.0;901.0;372.0;14.0;159.0;5
215.0;-5;80.0;988.0;260.0;-9.0;244.0;-5
57.0;52;406.0;971.0;-68.0;522.0;-1598.0;52
767.0;-19;496.0;946.0;639.0;763.0;-289.0;-19
413.0;-56;-51.0;892.0;316.0;47.0;-199.0;-56
232.0;-187;-339.0;1623.0;258.0;22.0;279.0;-187
299.0;-15;54.0;923.0;376.0;96.0;143.0;-15
297.0;-10;-41.0;923.0;379.0;4.0;276.0;-10
292.0;-19;124.0;946.0;372.0;222.0;-9.0;-19
629.0;-49;97.0;907.0;403.0;784.0;70.0;-49
259.0;-8;273.0;877.0;205.0;96.0;56.0;-8
755.0;3;-681.0;898.0;651.0;156.0;902.0;3
299.0;74;-58.0;1083.0;308.0;248.0;-171.0;74
769.0;74;-1616.0;921.0;580.0;-306.0;621.0;74
318.0;657;-34.0;993.0;164.0;-7.0;26.0;657
243.0;-54;-43.0;921.0;206.0;-65.0;24.0;-54
244.0;27;-61.0;937.0;203.0;-56.0;-19.0;27
