Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX
973.0;144.0;-126.0;-305.0;61.0;-853.0
689.0;9.0;-40.0;-231.0;81.0;-763.0
952.0;0.0;-160.0;-316.0;-5.0;-788.0
788.0;16.0;-37.0;-227.0;100.0;-779.0
799.0;27.0;-40.0;-218.0;117.0;-819.0
752.0;39.0;-41.0;-214.0;131.0;-833.0
889.0;49.0;-43.0;-209.0;135.0;-836.0
797.0;11.0;-141.0;-311.0;16.0;-783.0
865.0;180.0;83.0;42.0;117.0;-845.0
1079.0;59.0;-42.0;-200.0;132.0;-992.0
858.0;99.0;193.0;36.0;31.0;-802.0
764.0;19.0;-124.0;-299.0;29.0;-815.0
808.0;41.0;-89.0;-257.0;48.0;-774.0
878.0;258.0;-32.0;108.0;38.0;-896.0
891.0;257.0;-35.0;104.0;54.0;-861.0
759.0;48.0;-69.0;-235.0;50.0;-750.0
834.0;125.0;-93.0;-159.0;109.0;-738.0
794.0;100.0;-35.0;-170.0;32.0;-866.0
1055.0;132.0;-110.0;-162.0;93.0;-845.0
872.0;117.0;-155.0;-184.0;40.0;-1016.0
854.0;110.0;-170.0;-197.0;36.0;-924.0
758.0;99.0;-186.0;-210.0;35.0;-827.0
670.0;88.0;-206.0;-231.0;21.0;-764.0
1200.0;103.0;56.0;-145.0;70.0;-1223.0
963.0;73.0;42.0;-155.0;47.0;-886.0
789.0;67.0;52.0;-158.0;65.0;-835.0
839.0;-56.0;253.0;-73.0;94.0;-902.0
769.0;55.0;64.0;-175.0;79.0;-774.0
895.0;348.0;-133.0;84.0;91.0;-864.0
765.0;49.0;65.0;-191.0;74.0;-739.0
677.0;33.0;70.0;-206.0;59.0;-739.0
778.0;-86.0;67.0;-261.0;50.0;-1080.0
787.0;-66.0;53.0;-247.0;42.0;-1077.0
821.0;-9.0;27.0;-193.0;62.0;-915.0
945.0;11.0;22.0;-187.0;68.0;-957.0
899.0;-1.0;-17.0;-263.0;29.0;-797.0
798.0;-13.0;-34.0;-315.0;18.0;-781.0
868.0;-17.0;-38.0;-321.0;20.0;-894.0
902.0;-21.0;-38.0;-326.0;21.0;-951.0
845.0;-35.0;-5.0;-322.0;58.0;-943.0
