InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
47.0;296.0;-1031.0;942.0;964.0;-927.0;587.0;380.0;-12.0;-102.0
130.0;420.0;-1020.0;948.0;755.0;-687.0;378.0;255.0;15.0;22.0
-141.0;228.0;-1076.0;999.0;899.0;-963.0;701.0;149.0;-133.0;97.0
180.0;464.0;-995.0;990.0;798.0;-621.0;453.0;338.0;-9.0;208.0
290.0;131.0;-851.0;1003.0;898.0;-781.0;683.0;439.0;213.0;27.0
320.0;247.0;-894.0;1091.0;1015.0;-751.0;612.0;577.0;128.0;74.0
183.0;278.0;-915.0;1187.0;1005.0;-754.0;784.0;377.0;211.0;227.0
89.0;333.0;-975.0;1071.0;889.0;-582.0;349.0;84.0;28.0;100.0
315.0;376.0;-878.0;1138.0;791.0;-693.0;567.0;516.0;328.0;155.0
255.0;554.0;-840.0;1000.0;1042.0;-665.0;358.0;459.0;350.0;138.0
72.0;482.0;-924.0;1096.0;998.0;-812.0;514.0;315.0;45.0;139.0
-28.0;389.0;-995.0;982.0;910.0;-500.0;556.0;-26.0;-52.0;-35.0
107.0;348.0;-926.0;981.0;862.0;-707.0;722.0;382.0;92.0;305.0
55.0;331.0;-867.0;1014.0;857.0;-677.0;631.0;377.0;60.0;345.0
159.0;185.0;-907.0;1201.0;852.0;-747.0;887.0;434.0;182.0;267.0
304.0;312.0;-953.0;804.0;784.0;-866.0;552.0;528.0;166.0;36.0
-56.0;159.0;-911.0;986.0;650.0;-369.0;413.0;28.0;-359.0;95.0
13.0;312.0;-985.0;1116.0;767.0;-560.0;617.0;78.0;-145.0;217.0
262.0;335.0;-858.0;906.0;891.0;-813.0;555.0;518.0;261.0;-6.0
182.0;242.0;-950.0;1118.0;981.0;-539.0;684.0;459.0;282.0;354.0
439.0;119.0;-847.0;990.0;928.0;-785.0;698.0;561.0;303.0;31.0
291.0;292.0;-875.0;1077.0;908.0;-725.0;683.0;545.0;239.0;247.0
182.0;305.0;-874.0;1075.0;927.0;-762.0;680.0;492.0;114.0;-42.0
120.0;277.0;-955.0;1067.0;925.0;-750.0;744.0;430.0;20.0;390.0
97.0;278.0;-928.0;1064.0;907.0;-741.0;697.0;410.0;85.0;259.0
63.0;316.0;-911.0;1040.0;870.0;-750.0;724.0;343.0;31.0;136.0
160.0;538.0;-923.0;1002.0;897.0;-766.0;608.0;545.0;165.0;326.0
13.0;315.0;-989.0;1070.0;733.0;-551.0;591.0;250.0;-180.0;205.0
-92.0;271.0;-942.0;1001.0;733.0;-503.0;391.0;564.0;-68.0;259.0
373.0;187.0;-938.0;1066.0;859.0;-875.0;746.0;609.0;82.0;17.0
244.0;206.0;-844.0;1229.0;922.0;-758.0;903.0;429.0;178.0;100.0
125.0;314.0;-952.0;1062.0;976.0;-781.0;693.0;328.0;53.0;161.0
116.0;188.0;-938.0;960.0;858.0;-822.0;604.0;337.0;200.0;94.0
101.0;323.0;-966.0;1057.0;925.0;-771.0;695.0;348.0;58.0;237.0
121.0;316.0;-966.0;1058.0;959.0;-775.0;719.0;376.0;61.0;242.0
184.0;360.0;-937.0;1050.0;960.0;-771.0;694.0;478.0;80.0;224.0
60.0;321.0;-954.0;1077.0;918.0;-655.0;635.0;300.0;-44.0;426.0
