Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
1025.0;108.0;114;24;674;710;-114;-122
982.0;272.0;3;18;664;724;-3;5
926.0;-50.0;-1300;-40;722;755;1300;3
772.0;76.0;13;21;659;723;-13;-2
980.0;-66.0;12;21;685;699;-12;-5
965.0;59.0;-2;23;676;704;2;-9
953.0;-10.0;24;21;659;725;-24;6
975.0;26.0;7;12;689;707;-7;-3
984.0;39.0;17;17;664;724;-17;3
964.0;35.0;4;16;669;722;-4;-2
959.0;5.0;3;16;652;736;-3;-2
513.0;-32.0;3;15;660;730;-3;9
971.0;27.0;1;17;671;719;-1;0
934.0;-66.0;-25;13;658;735;25;3
975.0;-20.0;2;17;667;721;-2;-1
977.0;3.0;17;15;676;715;-17;1
954.0;79.0;14;22;653;728;-14;1
979.0;-506.0;-325;-10;684;745;325;32
980.0;101.0;-1;44;548;779;1;-15
974.0;4.0;-8;19;660;726;8;-2
983.0;15.0;23;18;660;728;-23;-1
999.0;20.0;-32;21;656;728;32;1
971.0;19.0;8;25;657;720;-8;1
951.0;447.0;-1;668;671;715;1;799
980.0;23.0;0;17;671;719;0;2
984.0;166.0;5;18;659;727;-5;4
879.0;-3.0;16;15;669;723;-16;1
970.0;3.0;-28;19;652;732;28;0
970.0;371.0;190;10;697;701;-190;17
979.0;-21.0;16;21;656;728;-16;0
966.0;-1414.0;-5;21;658;724;5;-3
996.0;6.0;-4;61;635;668;4;-130
978.0;26.0;4;19;656;730;-4;-3
968.0;15.0;3;21;662;722;-3;-6
848.0;-148.0;-6;16;745;642;6;0
1007.0;-241.0;1793;-67;721;786;-1793;83
972.0;411.0;3;15;673;718;-3;3
979.0;-212.0;2;19;662;725;-2;5
988.0;26.0;9;18;669;717;-9;-1
941.0;2093.0;4;12;680;717;-4;-1
980.0;12.0;-2871;290;572;627;2871;-142
989.0;29.0;-3;20;659;725;3;-2
971.0;17.0;13;15;658;734;-13;0
968.0;151.0;-574;123;797;396;574;-357
976.0;83.0;38;14;668;723;-38;5
989.0;22.0;-1;16;665;724;1;2
986.0;15.0;18;20;651;732;-18;1
982.0;23.0;-8;19;654;731;8;-1
1010.0;37.0;137;17;673;712;-137;9
1014.0;-744.0;608;-34;677;721;-608;-21
817.0;-48.0;6647;-544;1282;919;-6647;288
969.0;17.0;12;22;662;719;-12;1
991.0;6.0;-217;-5;674;742;217;-9
1232.0;-38.0;19;15;660;730;-19;4
1012.0;-10.0;16;20;659;724;-16;2
843.0;8.0;0;14;747;643;0;-3
969.0;2.0;8;21;657;726;-8;2
983.0;80.0;-10;21;662;722;10;2
856.0;168.0;-5;13;749;642;5;1
990.0;-69.0;-2;18;657;729;2;-1
986.0;3.0;-3;19;654;730;3;-2
958.0;20.0;-2;17;659;729;2;6
985.0;16.0;52;42;192;939;-52;-2
972.0;39.0;-26;19;657;728;26;-1
906.0;102.0;-19;16;671;719;19;3
979.0;32.0;-9;21;656;728;9;-1
960.0;27.0;19;18;660;728;-19;4
1021.0;499.0;858;-235;908;741;-858;-98
996.0;-311.0;24;877;654;740;-24;821
971.0;11.0;9;15;669;723;-9;-3
979.0;40.0;-4;18;669;718;4;2
978.0;-106.0;25;19;664;723;-25;-1
970.0;668.0;2;16;671;719;-2;-1
996.0;86.0;67;120;670;732;-67;-311
970.0;240.0;11;138;661;727;-11;405
450.0;299.0;9;13;694;702;-9;18
988.0;48.0;-3;18;676;712;3;6
988.0;18.0;10;19;655;731;-10;-2
931.0;-115.0;352;12;690;709;-352;33
985.0;-14.0;-17;17;659;729;17;2
964.0;38.0;9;21;655;727;-9;1
1010.0;-27.0;41;19;669;716;-41;-6
948.0;457.0;-1627;1956;1793;-1345;1627;384
894.0;-159.0;3271;-237;991;748;-3271;118
450.0;-463.0;19;24;658;720;-19;10
986.0;58.0;4;17;656;732;-4;1
971.0;-5.0;7;16;651;738;-7;-1
1499.0;296.0;23;24;667;712;-23;3
964.0;-37.0;-303;-203;929;770;303;-89
975.0;-317.0;8;71;688;708;-8;310
1074.0;127.0;828;324;82;560;-828;-137
948.0;1137.0;-3;7;689;713;3;34
898.0;-184.0;-4619;-170;1143;651;4619;71
996.0;41.0;-6;21;656;726;6;-3
1421.0;-542.0;5;18;660;727;-5;45
987.0;442.0;-144;22;633;746;144;16
966.0;-696.0;41;19;663;724;-41;-25
957.0;-403.0;0;15;666;725;0;4
980.0;-14.0;42;21;662;722;-42;9
990.0;399.0;-458;156;287;892;458;-307
