InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
35.0;359;19.0;998.0;140.0;188.0;-88.0;359
277.0;49;116.0;925.0;368.0;-5.0;1.0;49
280.0;-12;59.0;910.0;369.0;-187.0;-237.0;-12
208.0;26;-55.0;937.0;240.0;-357.0;-386.0;26
240.0;-34;-2.0;923.0;218.0;-245.0;-139.0;-34
241.0;-48;-25.0;907.0;215.0;-202.0;-19.0;-48
242.0;36;-15.0;899.0;213.0;-164.0;56.0;36
242.0;-31;-27.0;915.0;211.0;-140.0;90.0;-31
282.0;-10;-32.0;932.0;369.0;-19.0;-207.0;-10
284.0;-14;-9.0;918.0;370.0;29.0;161.0;-14
286.0;-4;37.0;928.0;371.0;77.0;67.0;-4
287.0;5;21.0;901.0;372.0;14.0;159.0;5
53.0;33;177.0;1010.0;240.0;79.0;306.0;33
156.0;392;332.0;779.0;246.0;161.0;-877.0;392
433.0;-6;335.0;933.0;438.0;360.0;-11.0;-6
294.0;-18;-57.0;908.0;373.0;12.0;-158.0;-18
232.0;-187;-339.0;1623.0;258.0;22.0;279.0;-187
299.0;-15;54.0;923.0;376.0;96.0;143.0;-15
301.0;-9;-55.0;922.0;378.0;-4.0;193.0;-9
302.0;-10;79.0;931.0;379.0;151.0;-4.0;-10
303.0;-15;80.0;931.0;379.0;192.0;81.0;-15
243.0;-53;219.0;927.0;274.0;131.0;-5.0;-53
341.0;-45;-158.0;827.0;385.0;145.0;454.0;-45
303.0;20;-74.0;931.0;382.0;117.0;-77.0;20
470.0;11;-674.0;932.0;419.0;349.0;-48.0;11
219.0;441;-151.0;943.0;232.0;-88.0;335.0;441
243.0;-54;-43.0;921.0;206.0;-65.0;24.0;-54
244.0;27;-61.0;937.0;203.0;-56.0;-19.0;27
242.0;1;138.0;944.0;269.0;123.0;173.0;1
273.0;-49;82.0;923.0;249.0;462.0;340.0;-49
180.0;-23;31.0;949.0;250.0;15.0;-31.0;-23
161.0;61;207.0;803.0;57.0;472.0;-337.0;61
175.0;-13;30.0;945.0;248.0;0.0;122.0;-13
171.0;-35;106.0;921.0;245.0;-17.0;4.0;-35
125.0;528;288.0;1013.0;320.0;-48.0;-406.0;528
680.0;-30;488.0;892.0;483.0;-366.0;-45.0;-30
