InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
7;16.0;-1;42.0;9;-4;4;7
-1;-6.0;2;73.0;-3;1;-1;-1
-14;197.0;2;-164.0;25;-17;17;-14
2545;38.0;-93;94.0;55;21;-21;2545
26;119.0;11;104.0;13;-2;2;26
-5;18.0;-1;51.0;26;-18;18;-5
-36;-113.0;572;172.0;-206;-16;16;-36
-29;22.0;-1;38.0;23;-6;6;-29
12;5.0;3;37.0;27;-8;8;12
-39;80.0;2;98.0;13;4;-4;-39
10;214.0;7;-57.0;10;1;-1;10
0;47.0;1;79.0;17;16;-16;0
1;15.0;2;73.0;8;23;-23;1
7;31.0;2;52.0;8;-7;7;7
362;-25.0;335;-77.0;301;-192;192;362
14;13.0;5;-50.0;30;-16;16;14
-5;41.0;0;50.0;3;12;-12;-5
-17;8.0;-1;80.0;22;-19;19;-17
1;21.0;-4;78.0;23;2;-2;1
-981;-138.0;-69;-40.0;12;2811;-2811;-981
4;15.0;2;50.0;13;17;-17;4
28;24.0;0;37.0;22;-3;3;28
7;14.0;1;41.0;29;8;-8;7
115;162.0;639;-10.0;346;-10;10;115
12;16.0;3;54.0;23;-27;27;12
-14;16.0;4;32.0;25;-1;1;-14
-52;-236.0;42;98.0;-479;-42;42;-52
-1;0.0;-3;26.0;17;-19;19;-1
-5;6.0;3;42.0;25;-5;5;-5
-8;-87.0;-1;-3.0;11;47;-47;-8
6;-23.0;2;190.0;13;8;-8;6
-4;-14.0;0;34.0;21;0;0;-4
5;21.0;-2;48.0;21;-9;9;5
45;63.0;-1;48.0;22;5;-5;45
-8;40.0;-2;41.0;22;-13;13;-8
37;200.0;467;-165.0;25;-18;18;37
2;-38.0;-3;57.0;15;-25;25;2
-13;26.0;-4;40.0;19;-19;19;-13
14;41.0;-4;19.0;21;28;-28;14
0;-3.0;-3;25.0;24;-9;9;0
1;2.0;-2;32.0;18;-4;4;1
21;-4.0;-1;64.0;15;2;-2;21
-13;-19.0;0;84.0;15;1;-1;-13
29;472.0;14;-66.0;25;-12;12;29
8;9.0;0;37.0;23;23;-23;8
90;143.0;-3;90.0;14;55;-55;90
2;4.0;-3;48.0;22;-6;6;2
9;5.0;0;36.0;23;-15;15;9
-25;-1.0;0;30.0;15;12;-12;-25
-91;-1174.0;1430;-2526.0;-149;-489;489;-91
3;4.0;3;27.0;27;-16;16;3
-26;-67.0;2;-30.0;9;-13;13;-26
-14;-137.0;-3;93.0;7;6;-6;-14
15;23.0;-1;42.0;22;-27;27;15
-1;11.0;5;42.0;14;-7;7;-1
-12;29.0;0;60.0;23;0;0;-12
-16;21.0;-226;-48.0;36;-15;15;-16
3;0.0;7;45.0;21;7;-7;3
-15;18.0;0;54.0;23;24;-24;-15
12;-13.0;7;-7.0;23;-11;11;12
-5;67.0;-3;52.0;20;0;0;-5
5;41.0;-2;52.0;22;-17;17;5
24;-104.0;6;18.0;38;-18;18;24
4;29.0;2;22.0;26;-17;17;4
-17;-81.0;1568;79.0;-54;-66;66;-17
10;31.0;5;19.0;26;-13;13;10
23;422.0;-893;-1093.0;923;38;-38;23
14;-5.0;4;33.0;24;-14;14;14
43;475.0;161;-973.0;186;-64;64;43
7;1.0;0;3.0;30;-9;9;7
-16;55.0;-2;10.0;5;-2;2;-16
-34;-4.0;-8;168.0;5;-45;45;-34
15;14.0;-1;43.0;20;-3;3;15
14;5.0;-3;20.0;17;5;-5;14
-1;6.0;5;46.0;29;3;-3;-1
8;-465.0;-580;-637.0;19;-26;26;8
3;2.0;-1;19.0;19;-20;20;3
-6;23.0;0;64.0;-7;8;-8;-6
18;16.0;0;-3.0;24;-7;7;18
23;9.0;4;36.0;21;-16;16;23
8;35.0;-3;53.0;22;-6;6;8
