InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer RWR accX;Accelerometer RUA_ accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ
-1;-314.0;282.0;35.0;-176;305.0;601.0
82;-534.0;116.0;-286.0;80;194.0;416.0
1;-300.0;303.0;13.0;-177;318.0;592.0
-13;-362.0;328.0;-38.0;-175;70.0;649.0
-2;-305.0;347.0;6.0;-176;322.0;620.0
-8;-444.0;263.0;-35.0;-165;173.0;687.0
-2;-323.0;302.0;28.0;-176;316.0;638.0
-815;-303.0;204.0;27.0;-58;273.0;559.0
-157;-368.0;102.0;-147.0;91;131.0;439.0
4;-286.0;304.0;19.0;-176;317.0;556.0
-59;-323.0;249.0;-19.0;165;281.0;550.0
-11;-281.0;334.0;16.0;175;640.0;528.0
5;-220.0;337.0;18.0;-175;432.0;680.0
-449;-93.0;578.0;19.0;-100;661.0;821.0
-6;-258.0;316.0;47.0;-177;326.0;629.0
11;-132.0;427.0;49.0;-177;694.0;677.0
3;-216.0;311.0;65.0;-172;431.0;669.0
1;-142.0;330.0;23.0;-175;430.0;699.0
42;-262.0;246.0;135.0;-174;384.0;478.0
-235;-326.0;390.0;64.0;-187;276.0;755.0
6;-265.0;319.0;58.0;-176;331.0;611.0
6;-147.0;504.0;64.0;-174;523.0;793.0
2437;-322.0;172.0;96.0;-163;242.0;519.0
-9;-195.0;327.0;55.0;-175;420.0;682.0
-9;-289.0;303.0;61.0;-176;326.0;630.0
1;-288.0;295.0;47.0;-177;319.0;663.0
-2;76.0;669.0;137.0;-176;786.0;842.0
0;-500.0;883.0;-54.0;-179;321.0;760.0
1;-264.0;318.0;36.0;-177;316.0;612.0
5;-364.0;281.0;0.0;-177;240.0;592.0
-2;-299.0;306.0;47.0;-176;328.0;606.0
463;-194.0;281.0;125.0;-175;409.0;620.0
-2;-463.0;564.0;58.0;-179;103.0;386.0
2;-802.0;426.0;-267.0;-176;-29.0;367.0
154;-443.0;279.0;46.0;-154;267.0;806.0
1;-290.0;310.0;49.0;-177;329.0;593.0
52;-185.0;223.0;166.0;-175;330.0;621.0
-93;-234.0;276.0;221.0;-168;268.0;830.0
-3;-375.0;670.0;121.0;-177;561.0;887.0
-9;80.0;565.0;145.0;-178;244.0;786.0
9;-278.0;308.0;30.0;-177;343.0;621.0
-41;-257.0;392.0;178.0;-179;324.0;564.0
27;-226.0;177.0;100.0;-179;387.0;567.0
21;-478.0;240.0;-174.0;-204;445.0;453.0
2;-298.0;315.0;20.0;-177;343.0;626.0
1;-261.0;657.0;-18.0;174;513.0;799.0
-14;-329.0;334.0;-37.0;-178;289.0;637.0
12;-382.0;233.0;-132.0;-177;175.0;535.0
4;-253.0;311.0;36.0;-177;317.0;597.0
2;-308.0;308.0;39.0;-177;332.0;593.0
5;-300.0;307.0;55.0;-177;318.0;630.0
1;-332.0;416.0;57.0;-177;321.0;650.0
-23;60.0;768.0;179.0;166;784.0;905.0
0;-314.0;744.0;0.0;-179;417.0;466.0
-6;-288.0;854.0;70.0;-179;579.0;836.0
-3;-350.0;300.0;24.0;-177;292.0;615.0
1107;-327.0;169.0;28.0;-196;218.0;474.0
-10;-201.0;281.0;19.0;-176;347.0;609.0
111;-319.0;192.0;126.0;-173;253.0;642.0
-4;-78.0;142.0;132.0;-174;356.0;537.0
1;-579.0;539.0;-472.0;-176;350.0;764.0
-24;-366.0;305.0;112.0;-161;221.0;592.0
-194;-430.0;224.0;-32.0;-162;214.0;645.0
1;-254.0;260.0;39.0;-179;297.0;547.0
3;-305.0;310.0;62.0;-177;314.0;618.0
2;-70.0;940.0;194.0;-176;610.0;822.0
-3;-370.0;265.0;-76.0;-177;302.0;625.0
76;-385.0;497.0;-82.0;-168;355.0;886.0
-3;-125.0;379.0;120.0;175;459.0;703.0
0;-272.0;281.0;50.0;-176;303.0;601.0
0;-311.0;242.0;72.0;-176;283.0;592.0
483;-325.0;186.0;-95.0;-176;224.0;489.0
174;-474.0;242.0;-62.0;-166;204.0;698.0
-1;-319.0;307.0;64.0;-176;323.0;620.0
3;-276.0;289.0;27.0;-176;298.0;611.0
-23;-354.0;-63.0;36.0;-177;250.0;462.0
-14;-400.0;401.0;-246.0;-168;579.0;714.0
-34;-237.0;144.0;162.0;-165;293.0;790.0
1;-317.0;239.0;38.0;-178;388.0;571.0
2;-307.0;276.0;28.0;-176;285.0;576.0
-58;-237.0;29.0;48.0;-172;414.0;449.0
7;-336.0;200.0;-13.0;-177;262.0;512.0
-431;-34.0;260.0;241.0;-159;413.0;631.0
-1;-364.0;241.0;-53.0;-179;223.0;542.0
-1;-324.0;305.0;39.0;-176;312.0;595.0
17;-422.0;269.0;102.0;-170;174.0;664.0
139;-206.0;133.0;155.0;-172;211.0;417.0
0;-295.0;296.0;64.0;-176;313.0;624.0
-2000;-350.0;212.0;38.0;-170;334.0;541.0
240;-362.0;212.0;64.0;-180;200.0;584.0
-1;-213.0;310.0;12.0;-175;425.0;680.0
1;77.0;477.0;108.0;178;664.0;749.0
1;25.0;185.0;127.0;179;478.0;481.0
-272;-249.0;122.0;129.0;-171;267.0;461.0
3;-314.0;221.0;36.0;-178;207.0;554.0
148;-232.0;105.0;-12.0;173;181.0;447.0
-75;-293.0;156.0;-25.0;-170;188.0;558.0
1;-366.0;206.0;119.0;-172;195.0;757.0
-5;-134.0;180.0;75.0;-180;475.0;618.0
-39;-135.0;24.0;70.0;-160;192.0;471.0
