InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
238.0;292.0;-579.0;533.0;313.0;529.0;-640.0
229.0;298.0;-604.0;?;286.0;550.0;-660.0
220.0;301.0;?;519.0;268.0;575.0;-675.0
217.0;308.0;?;517.0;259.0;585.0;-682.0
213.0;309.0;-626.0;517.0;257.0;587.0;-681.0
210.0;308.0;-628.0;?;264.0;580.0;-676.0
210.0;311.0;-622.0;?;266.0;567.0;-672.0
211.0;312.0;-617.0;511.0;265.0;552.0;-670.0
211.0;316.0;-601.0;510.0;265.0;524.0;?
431.0;372.0;-151.0;503.0;-547.0;-196.0;-472.0
414.0;371.0;-148.0;504.0;-555.0;-196.0;-480.0
415.0;370.0;-150.0;506.0;-551.0;-192.0;-477.0
425.0;369.0;-146.0;505.0;-541.0;?;-462.0
426.0;368.0;-140.0;504.0;-528.0;-180.0;-455.0
431.0;366.0;-132.0;505.0;-509.0;-173.0;-446.0
427.0;365.0;-136.0;506.0;-486.0;-164.0;?
421.0;371.0;-151.0;506.0;-446.0;-150.0;-458.0
415.0;371.0;-170.0;508.0;-397.0;-127.0;-467.0
402.0;367.0;-205.0;510.0;-338.0;-97.0;-486.0
389.0;362.0;-247.0;511.0;-270.0;-52.0;-509.0
373.0;359.0;-306.0;516.0;-194.0;-2.0;-536.0
366.0;351.0;-355.0;515.0;-125.0;48.0;-551.0
368.0;346.0;-392.0;518.0;?;106.0;-566.0
372.0;339.0;-432.0;518.0;11.0;173.0;-579.0
372.0;329.0;-468.0;522.0;78.0;245.0;-590.0
370.0;319.0;-499.0;522.0;149.0;316.0;-601.0
359.0;314.0;-524.0;524.0;209.0;379.0;-609.0
341.0;311.0;-540.0;523.0;263.0;?;-619.0
314.0;311.0;-555.0;521.0;295.0;471.0;?
284.0;310.0;-573.0;523.0;307.0;510.0;-635.0
241.0;320.0;-587.0;518.0;303.0;539.0;-646.0
?;329.0;-602.0;514.0;290.0;?;?
197.0;331.0;-618.0;512.0;279.0;579.0;-673.0
184.0;331.0;-625.0;?;270.0;592.0;-676.0
177.0;330.0;-625.0;509.0;269.0;595.0;-677.0
179.0;325.0;-618.0;506.0;270.0;581.0;-674.0
181.0;327.0;-615.0;?;?;570.0;-674.0
