Accelerometer LUA^ accZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
349.0;-142.0;137.0;-185.0;-831.0;-619.0;391.0;-119.0;922.0
185.0;-178.0;235.0;-86.0;-924.0;-592.0;364.0;-37.0;733.0
-73.0;-843.0;403.0;-118.0;-813.0;-708.0;161.0;-106.0;471.0
71.0;-109.0;360.0;-124.0;-872.0;-696.0;264.0;-98.0;638.0
84.0;125.0;258.0;-215.0;-784.0;-568.0;84.0;113.0;735.0
192.0;133.0;174.0;-184.0;-968.0;-512.0;392.0;54.0;870.0
254.0;-312.0;185.0;-338.0;-953.0;-612.0;406.0;-85.0;786.0
209.0;7.0;206.0;-204.0;-954.0;-528.0;415.0;-10.0;821.0
250.0;-169.0;237.0;-263.0;-945.0;-620.0;395.0;-68.0;782.0
256.0;57.0;284.0;-235.0;-940.0;-589.0;427.0;-32.0;792.0
245.0;3.0;189.0;-167.0;-972.0;-549.0;381.0;-25.0;835.0
210.0;-27.0;192.0;-174.0;-968.0;-543.0;389.0;-33.0;850.0
250.0;166.0;310.0;-249.0;-1158.0;-557.0;331.0;-114.0;606.0
322.0;34.0;439.0;-227.0;-1310.0;-596.0;233.0;33.0;658.0
225.0;46.0;284.0;-215.0;-944.0;-634.0;403.0;-68.0;767.0
355.0;-65.0;311.0;-112.0;-844.0;-842.0;362.0;-71.0;773.0
270.0;104.0;254.0;-335.0;-979.0;-908.0;172.0;-234.0;765.0
207.0;-8.0;209.0;-201.0;-955.0;-518.0;405.0;-10.0;814.0
206.0;-56.0;312.0;-193.0;-958.0;-670.0;419.0;-209.0;745.0
46.0;-7.0;502.0;-243.0;-1033.0;-400.0;296.0;-150.0;664.0
266.0;-31.0;365.0;-217.0;-995.0;-633.0;340.0;-122.0;828.0
231.0;55.0;416.0;-268.0;-914.0;-604.0;355.0;-203.0;802.0
241.0;-219.0;448.0;-211.0;-858.0;-694.0;309.0;-136.0;601.0
212.0;7.0;209.0;-213.0;-943.0;-537.0;411.0;3.0;830.0
242.0;-15.0;302.0;-243.0;-942.0;-648.0;366.0;-80.0;762.0
245.0;-15.0;309.0;-268.0;-934.0;-640.0;408.0;-103.0;777.0
266.0;81.0;338.0;-356.0;-925.0;-654.0;327.0;-72.0;769.0
188.0;13.0;213.0;-206.0;-950.0;-543.0;394.0;-8.0;821.0
214.0;1.0;215.0;-198.0;-947.0;-538.0;393.0;-2.0;818.0
310.0;115.0;406.0;-314.0;-1225.0;-517.0;426.0;-294.0;723.0
202.0;8.0;219.0;-204.0;-945.0;-520.0;409.0;3.0;819.0
254.0;5.0;295.0;-289.0;-938.0;-600.0;403.0;-88.0;780.0
258.0;25.0;289.0;-289.0;-937.0;-619.0;391.0;-78.0;790.0
271.0;11.0;285.0;-288.0;-936.0;-597.0;402.0;-74.0;795.0
191.0;-23.0;276.0;-156.0;-967.0;-605.0;333.0;-49.0;804.0
271.0;21.0;283.0;-290.0;-939.0;-605.0;414.0;-56.0;772.0
180.0;-17.0;265.0;-172.0;-954.0;-601.0;292.0;-7.0;814.0
382.0;-26.0;347.0;-421.0;-931.0;-690.0;303.0;-104.0;744.0
270.0;4.0;282.0;-305.0;-939.0;-606.0;387.0;-72.0;785.0
452.0;-86.0;201.0;-335.0;-999.0;-571.0;311.0;-1.0;779.0
278.0;3.0;284.0;-297.0;-938.0;-591.0;409.0;-52.0;782.0
247.0;9.0;285.0;-297.0;-937.0;-600.0;405.0;-66.0;800.0
285.0;68.0;280.0;-287.0;-932.0;-611.0;397.0;-69.0;809.0
319.0;-86.0;253.0;-345.0;-934.0;-697.0;342.0;5.0;761.0
190.0;-13.0;221.0;-200.0;-942.0;-521.0;388.0;-15.0;819.0
273.0;85.0;268.0;-300.0;-943.0;-578.0;379.0;-76.0;809.0
203.0;6.0;220.0;-200.0;-944.0;-540.0;400.0;-14.0;810.0
332.0;-30.0;117.0;-237.0;-874.0;-694.0;627.0;18.0;966.0
131.0;-158.0;182.0;-134.0;-956.0;-520.0;395.0;-54.0;819.0
182.0;-36.0;240.0;-201.0;-907.0;-535.0;359.0;-10.0;810.0
136.0;54.0;259.0;-256.0;-906.0;-505.0;344.0;83.0;865.0
136.0;-35.0;160.0;-312.0;-988.0;-448.0;435.0;0.0;876.0
170.0;54.0;238.0;-183.0;-891.0;-588.0;325.0;-46.0;790.0
104.0;82.0;158.0;-61.0;-737.0;-450.0;365.0;-19.0;901.0
198.0;-3.0;222.0;-209.0;-947.0;-547.0;375.0;-9.0;816.0
211.0;37.0;236.0;-235.0;-927.0;-498.0;385.0;9.0;816.0
67.0;17.0;246.0;6.0;-886.0;-400.0;321.0;-80.0;747.0
215.0;-11.0;224.0;-214.0;-944.0;-542.0;384.0;-1.0;808.0
137.0;-81.0;276.0;-173.0;-855.0;-463.0;248.0;-28.0;757.0
207.0;1.0;223.0;-199.0;-948.0;-535.0;374.0;-23.0;812.0
212.0;16.0;219.0;-193.0;-943.0;-542.0;386.0;-7.0;808.0
191.0;-21.0;209.0;-161.0;-940.0;-569.0;369.0;-12.0;810.0
187.0;-22.0;218.0;-180.0;-946.0;-550.0;371.0;-12.0;809.0
223.0;-84.0;168.0;-254.0;-960.0;-510.0;466.0;-103.0;829.0
223.0;-6.0;188.0;-218.0;-954.0;-538.0;421.0;20.0;784.0
-11.0;88.0;306.0;-69.0;-900.0;-518.0;284.0;87.0;774.0
156.0;-5.0;195.0;-132.0;-971.0;-556.0;304.0;19.0;810.0
342.0;-18.0;142.0;-255.0;-970.0;-508.0;443.0;26.0;839.0
253.0;-131.0;242.0;-175.0;-941.0;-558.0;408.0;-104.0;863.0
153.0;36.0;259.0;-200.0;-935.0;-602.0;381.0;-19.0;796.0
137.0;160.0;231.0;-195.0;-918.0;-572.0;346.0;-47.0;776.0
243.0;-2.0;185.0;-239.0;-953.0;-530.0;409.0;-12.0;787.0
151.0;-32.0;170.0;-103.0;-979.0;-587.0;453.0;-64.0;649.0
204.0;-16.0;223.0;-228.0;-955.0;-544.0;422.0;-72.0;843.0
156.0;-4.0;261.0;-201.0;-932.0;-554.0;405.0;-15.0;787.0
268.0;-157.0;110.0;-306.0;-858.0;-664.0;306.0;14.0;1002.0
175.0;-27.0;264.0;-191.0;-933.0;-566.0;403.0;-9.0;792.0
258.0;63.0;186.0;-240.0;-742.0;-558.0;223.0;70.0;1051.0
145.0;-24.0;265.0;-186.0;-930.0;-590.0;408.0;-9.0;791.0
222.0;-1.0;183.0;-230.0;-952.0;-520.0;414.0;-26.0;816.0
102.0;20.0;207.0;-149.0;-953.0;-573.0;315.0;140.0;832.0
95.0;23.0;323.0;-152.0;-892.0;-619.0;356.0;-48.0;715.0
194.0;-54.0;201.0;-235.0;-946.0;-537.0;394.0;11.0;800.0
183.0;-40.0;260.0;-158.0;-937.0;-594.0;406.0;-25.0;783.0
181.0;-126.0;287.0;-72.0;-971.0;-606.0;403.0;-171.0;808.0
253.0;-22.0;127.0;-283.0;-976.0;-493.0;462.0;-6.0;874.0
217.0;-62.0;220.0;-29.0;-924.0;-615.0;404.0;-82.0;759.0
199.0;13.0;149.0;-287.0;-960.0;-600.0;232.0;-75.0;857.0
183.0;-56.0;257.0;-183.0;-936.0;-614.0;364.0;-39.0;784.0
183.0;-43.0;261.0;-214.0;-936.0;-595.0;377.0;-49.0;787.0
108.0;-90.0;278.0;-183.0;-907.0;-555.0;405.0;-86.0;800.0
268.0;-90.0;183.0;-277.0;-850.0;-731.0;228.0;-94.0;893.0
168.0;-32.0;253.0;-202.0;-926.0;-570.0;386.0;-3.0;763.0
162.0;-46.0;262.0;-166.0;-941.0;-590.0;375.0;-22.0;762.0
165.0;-80.0;254.0;-227.0;-897.0;-610.0;278.0;-30.0;705.0
248.0;-6.0;204.0;-217.0;-943.0;-595.0;269.0;-25.0;810.0
156.0;-33.0;186.0;-177.0;-978.0;-540.0;185.0;40.0;837.0
186.0;-24.0;213.0;-220.0;-942.0;-570.0;321.0;0.0;799.0
206.0;-28.0;211.0;-216.0;-942.0;-560.0;334.0;28.0;801.0
191.0;-95.0;190.0;-174.0;-970.0;-559.0;300.0;-21.0;817.0
191.0;-53.0;198.0;-235.0;-938.0;-560.0;304.0;-7.0;801.0
192.0;-34.0;262.0;-192.0;-933.0;-579.0;360.0;-36.0;773.0
162.0;-101.0;205.0;-208.0;-975.0;-505.0;312.0;41.0;738.0
204.0;-6.0;189.0;-224.0;-953.0;-534.0;415.0;-11.0;835.0
122.0;-81.0;137.0;-275.0;-993.0;-538.0;295.0;0.0;816.0
224.0;-80.0;192.0;-217.0;-949.0;-570.0;319.0;-28.0;802.0
225.0;-260.0;154.0;-216.0;-920.0;-502.0;325.0;71.0;739.0
179.0;-23.0;261.0;-172.0;-929.0;-591.0;396.0;-40.0;788.0
138.0;-11.0;265.0;-212.0;-919.0;-586.0;375.0;10.0;774.0
