InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accZ;Accelerometer BACK accX
8.0;38.0;-147.0;-246.0;296.0;14.0;331.0;16;188.0;74;-7;150.0;165.0
20.0;39.0;-130.0;-129.0;301.0;43.0;304.0;16;197.0;75;-7;161.0;201.0
-115.0;11.0;-91.0;-171.0;312.0;6.0;321.0;16;186.0;75;-7;119.0;29.0
-113.0;28.0;-103.0;-178.0;309.0;10.0;331.0;16;181.0;74;-7;111.0;67.0
-82.0;19.0;-101.0;-181.0;304.0;22.0;342.0;16;184.0;74;-7;108.0;112.0
118.0;18.0;-197.0;-443.0;-196.0;37.0;334.0;167;221.0;150;-12;40.0;173.0
105.0;-215.0;-177.0;27.0;161.0;-193.0;410.0;141;318.0;88;-6;45.0;170.0
-65.0;20.0;-115.0;-187.0;301.0;28.0;333.0;16;191.0;74;-7;119.0;99.0
-51.0;17.0;-116.0;-190.0;299.0;31.0;322.0;16;202.0;74;-7;99.0;118.0
35.0;-6.0;-118.0;-191.0;296.0;28.0;352.0;16;190.0;74;-7;89.0;122.0
-14.0;-21.0;-213.0;-199.0;216.0;-93.0;448.0;140;301.0;88;-6;40.0;217.0
12.0;-14.0;-213.0;-200.0;217.0;-92.0;442.0;140;306.0;88;-6;47.0;239.0
-1.0;13.0;-118.0;-192.0;295.0;14.0;344.0;16;190.0;74;-7;98.0;125.0
15.0;-6.0;-209.0;-203.0;216.0;-88.0;438.0;140;306.0;88;-6;43.0;238.0
-24.0;-28.0;-211.0;-204.0;217.0;-83.0;457.0;141;300.0;88;-6;30.0;245.0
18.0;30.0;-126.0;-190.0;296.0;11.0;338.0;16;193.0;74;-7;140.0;135.0
-16.0;-12.0;-210.0;-207.0;218.0;-84.0;474.0;141;311.0;88;-6;40.0;252.0
-16.0;0.0;-203.0;-209.0;221.0;-80.0;450.0;140;304.0;88;-6;58.0;250.0
60.0;34.0;-130.0;-188.0;300.0;8.0;328.0;16;194.0;74;-7;116.0;134.0
-26.0;-11.0;-205.0;-209.0;219.0;-85.0;449.0;140;316.0;88;-6;48.0;269.0
54.0;34.0;-134.0;-187.0;298.0;8.0;324.0;16;186.0;74;-7;109.0;123.0
66.0;28.0;-134.0;-184.0;301.0;10.0;311.0;16;181.0;74;-7;99.0;136.0
1.0;-16.0;-204.0;-212.0;221.0;-74.0;459.0;140;299.0;88;-6;49.0;260.0
-3.0;-9.0;-203.0;-214.0;220.0;-81.0;454.0;141;309.0;88;-6;46.0;259.0
64.0;29.0;-143.0;-184.0;303.0;13.0;314.0;16;185.0;74;-7;78.0;151.0
35.0;98.0;-291.0;-183.0;231.0;82.0;401.0;100;241.0;148;-3;316.0;290.0
-14.0;-14.0;-207.0;-215.0;221.0;-87.0;428.0;140;309.0;88;-6;33.0;241.0
42.0;12.0;-146.0;-186.0;304.0;10.0;321.0;16;178.0;74;-7;109.0;150.0
12.0;10.0;-148.0;-186.0;304.0;16.0;333.0;16;171.0;74;-7;100.0;147.0
14.0;10.0;-145.0;-189.0;302.0;14.0;324.0;16;171.0;74;-7;107.0;152.0
399.0;93.0;-461.0;-507.0;443.0;222.0;538.0;153;445.0;118;-10;71.0;-108.0
13.0;10.0;-135.0;-193.0;302.0;15.0;314.0;16;181.0;74;-7;119.0;151.0
4.0;9.0;-142.0;-193.0;299.0;13.0;304.0;16;187.0;74;-7;109.0;172.0
-9.0;-12.0;-204.0;-212.0;222.0;-69.0;452.0;140;312.0;88;-6;58.0;247.0
25.0;-11.0;-206.0;-215.0;221.0;-68.0;450.0;141;310.0;88;-6;43.0;250.0
-11.0;16.0;-137.0;-197.0;296.0;5.0;302.0;16;171.0;74;-7;93.0;169.0
-103.0;17.0;-153.0;-209.0;294.0;-8.0;342.0;16;173.0;74;-7;115.0;172.0
20.0;-9.0;-205.0;-215.0;223.0;-74.0;474.0;141;319.0;88;-6;39.0;250.0
-116.0;3.0;-148.0;-213.0;293.0;-12.0;345.0;16;170.0;74;-7;134.0;164.0
-319.0;46.0;67.0;-190.0;269.0;-3.0;442.0;82;189.0;163;0;64.0;378.0
-351.0;-373.0;-236.0;-4.0;206.0;-606.0;428.0;-3;239.0;137;-30;72.0;244.0
-54.0;-313.0;-23.0;313.0;550.0;-300.0;375.0;9;173.0;35;-18;40.0;80.0
226.0;-246.0;-32.0;28.0;385.0;-146.0;354.0;106;141.0;114;1;147.0;106.0
-584.0;3.0;-223.0;-510.0;598.0;77.0;336.0;4;230.0;143;-23;-196.0;212.0
55.0;-10.0;-202.0;-221.0;224.0;-78.0;460.0;140;302.0;88;-6;42.0;236.0
118.0;127.0;-58.0;-150.0;172.0;-190.0;301.0;179;198.0;71;-1;125.0;361.0
86.0;106.0;-210.0;-361.0;261.0;47.0;438.0;116;360.0;129;-10;180.0;318.0
-22.0;-19.0;-200.0;-215.0;226.0;-84.0;447.0;141;312.0;88;-6;66.0;242.0
-44.0;-37.0;-200.0;-217.0;228.0;-84.0;459.0;141;307.0;88;-6;60.0;261.0
-12.0;5.0;-194.0;-215.0;229.0;-69.0;442.0;141;307.0;88;-6;45.0;223.0
-141.0;-17.0;-130.0;-233.0;301.0;6.0;312.0;16;194.0;74;-7;85.0;178.0
-17.0;-2.0;-194.0;-216.0;229.0;-77.0;462.0;140;317.0;88;-6;50.0;241.0
-15.0;-7.0;-185.0;-274.0;313.0;38.0;362.0;16;191.0;74;-7;119.0;134.0
-127.0;138.0;-196.0;-418.0;308.0;78.0;512.0;-138;260.0;-70;-124;-64.0;225.0
-227.0;109.0;-319.0;-573.0;371.0;60.0;456.0;168;313.0;41;-10;-46.0;336.0
-283.0;5.0;-50.0;-19.0;291.0;16.0;329.0;17;230.0;74;-8;312.0;42.0
-15.0;25.0;-149.0;-309.0;304.0;26.0;344.0;16;226.0;74;-7;89.0;211.0
-19.0;-9.0;-195.0;-218.0;228.0;-78.0;434.0;141;318.0;88;-6;59.0;234.0
-18.0;-109.0;-18.0;-648.0;536.0;-147.0;280.0;-65;45.0;-106;12;91.0;308.0
-213.0;64.0;-31.0;-26.0;299.0;-29.0;381.0;15;170.0;74;-7;232.0;89.0
-221.0;238.0;203.0;437.0;320.0;-47.0;497.0;-11;402.0;32;-17;479.0;286.0
6.0;-30.0;-183.0;-232.0;236.0;-95.0;457.0;141;309.0;88;-6;55.0;222.0
24.0;9.0;-118.0;-322.0;285.0;2.0;329.0;16;196.0;74;-7;111.0;157.0
-14.0;-388.0;31.0;-664.0;410.0;-465.0;521.0;117;126.0;-142;10;104.0;494.0
54.0;-351.0;-69.0;-432.0;266.0;-174.0;402.0;70;510.0;171;6;23.0;221.0
28.0;-276.0;-191.0;-672.0;132.0;-247.0;397.0;167;209.0;150;-15;11.0;269.0
68.0;-48.0;-213.0;-533.0;227.0;130.0;359.0;23;418.0;-39;-31;-45.0;110.0
21.0;12.0;-155.0;-320.0;289.0;23.0;341.0;16;193.0;74;-7;109.0;155.0
-1.0;-14.0;-153.0;-316.0;291.0;20.0;363.0;16;182.0;74;-7;126.0;163.0
