Accelerometer LUA^ accZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
255.0;-55.0;263.0;-207.0;-898.0;-589.0;354.0;-114.0;821.0
186.0;-151.0;188.0;-154.0;-958.0;-620.0;300.0;11.0;706.0
171.0;-103.0;254.0;-236.0;-909.0;-600.0;311.0;-16.0;724.0
71.0;-109.0;360.0;-124.0;-872.0;-696.0;264.0;-98.0;638.0
102.0;30.0;199.0;-213.0;-742.0;-502.0;257.0;37.0;749.0
211.0;45.0;206.0;-196.0;-948.0;-529.0;414.0;1.0;810.0
250.0;-169.0;237.0;-263.0;-945.0;-620.0;395.0;-68.0;782.0
209.0;7.0;206.0;-204.0;-954.0;-528.0;415.0;-10.0;821.0
263.0;-60.0;260.0;-261.0;-919.0;-636.0;428.0;-40.0;792.0
248.0;21.0;279.0;-245.0;-949.0;-610.0;418.0;-51.0;791.0
245.0;3.0;189.0;-167.0;-972.0;-549.0;381.0;-25.0;835.0
210.0;-27.0;192.0;-174.0;-968.0;-543.0;389.0;-33.0;850.0
243.0;206.0;247.0;-273.0;-1105.0;-538.0;339.0;-25.0;655.0
322.0;34.0;439.0;-227.0;-1310.0;-596.0;233.0;33.0;658.0
225.0;46.0;284.0;-215.0;-944.0;-634.0;403.0;-68.0;767.0
251.0;2.0;297.0;-212.0;-946.0;-640.0;384.0;-71.0;772.0
242.0;-15.0;302.0;-243.0;-942.0;-648.0;366.0;-80.0;762.0
207.0;-8.0;209.0;-201.0;-955.0;-518.0;405.0;-10.0;814.0
181.0;-81.0;367.0;-217.0;-941.0;-750.0;435.0;-246.0;659.0
46.0;-7.0;502.0;-243.0;-1033.0;-400.0;296.0;-150.0;664.0
236.0;-33.0;302.0;-236.0;-938.0;-631.0;402.0;-90.0;773.0
298.0;22.0;390.0;-227.0;-947.0;-663.0;336.0;-105.0;793.0
247.0;-135.0;348.0;-321.0;-945.0;-676.0;288.0;-114.0;752.0
212.0;7.0;209.0;-213.0;-943.0;-537.0;411.0;3.0;830.0
315.0;8.0;305.0;-262.0;-930.0;-622.0;375.0;-96.0;763.0
257.0;6.0;305.0;-273.0;-935.0;-620.0;415.0;-89.0;782.0
353.0;67.0;312.0;-398.0;-912.0;-647.0;304.0;-39.0;745.0
188.0;13.0;213.0;-206.0;-950.0;-543.0;394.0;-8.0;821.0
214.0;1.0;215.0;-198.0;-947.0;-538.0;393.0;-2.0;818.0
314.0;52.0;405.0;-370.0;-1161.0;-563.0;408.0;-282.0;741.0
202.0;8.0;219.0;-204.0;-945.0;-520.0;409.0;3.0;819.0
254.0;5.0;295.0;-289.0;-938.0;-600.0;403.0;-88.0;780.0
258.0;25.0;289.0;-289.0;-937.0;-619.0;391.0;-78.0;790.0
271.0;11.0;285.0;-288.0;-936.0;-597.0;402.0;-74.0;795.0
191.0;-23.0;276.0;-156.0;-967.0;-605.0;333.0;-49.0;804.0
271.0;21.0;283.0;-290.0;-939.0;-605.0;414.0;-56.0;772.0
180.0;-17.0;265.0;-172.0;-954.0;-601.0;292.0;-7.0;814.0
354.0;-54.0;337.0;-407.0;-933.0;-700.0;328.0;-101.0;742.0
270.0;4.0;282.0;-305.0;-939.0;-606.0;387.0;-72.0;785.0
304.0;1.0;280.0;-293.0;-939.0;-590.0;385.0;-69.0;772.0
278.0;3.0;284.0;-297.0;-938.0;-591.0;409.0;-52.0;782.0
247.0;9.0;285.0;-297.0;-937.0;-600.0;405.0;-66.0;800.0
278.0;21.0;282.0;-290.0;-933.0;-607.0;400.0;-60.0;792.0
255.0;-5.0;284.0;-292.0;-935.0;-595.0;377.0;-42.0;774.0
190.0;-13.0;221.0;-200.0;-942.0;-521.0;388.0;-15.0;819.0
265.0;20.0;282.0;-291.0;-935.0;-579.0;398.0;-56.0;780.0
203.0;6.0;220.0;-200.0;-944.0;-540.0;400.0;-14.0;810.0
274.0;12.0;156.0;-292.0;-843.0;-588.0;338.0;-100.0;930.0
196.0;-46.0;167.0;-176.0;-950.0;-551.0;374.0;-37.0;833.0
182.0;-36.0;240.0;-201.0;-907.0;-535.0;359.0;-10.0;810.0
151.0;22.0;248.0;-226.0;-949.0;-552.0;366.0;3.0;820.0
193.0;11.0;212.0;-239.0;-957.0;-519.0;416.0;-2.0;836.0
170.0;54.0;238.0;-183.0;-891.0;-588.0;325.0;-46.0;790.0
33.0;125.0;251.0;-131.0;-797.0;-438.0;256.0;35.0;758.0
198.0;-3.0;222.0;-209.0;-947.0;-547.0;375.0;-9.0;816.0
213.0;11.0;223.0;-214.0;-940.0;-533.0;385.0;0.0;810.0
68.0;83.0;191.0;-76.0;-811.0;-396.0;344.0;-81.0;764.0
215.0;-11.0;224.0;-214.0;-944.0;-542.0;384.0;-1.0;808.0
137.0;-81.0;276.0;-173.0;-855.0;-463.0;248.0;-28.0;757.0
207.0;1.0;223.0;-199.0;-948.0;-535.0;374.0;-23.0;812.0
212.0;16.0;219.0;-193.0;-943.0;-542.0;386.0;-7.0;808.0
191.0;-21.0;209.0;-161.0;-940.0;-569.0;369.0;-12.0;810.0
187.0;-22.0;218.0;-180.0;-946.0;-550.0;371.0;-12.0;809.0
236.0;-31.0;192.0;-232.0;-945.0;-587.0;456.0;-2.0;824.0
223.0;-6.0;188.0;-218.0;-954.0;-538.0;421.0;20.0;784.0
170.0;29.0;292.0;-166.0;-910.0;-568.0;375.0;-19.0;776.0
174.0;-12.0;218.0;-184.0;-941.0;-548.0;352.0;-20.0;810.0
334.0;36.0;110.0;-345.0;-977.0;-473.0;463.0;9.0;877.0
218.0;-60.0;255.0;-159.0;-945.0;-537.0;394.0;-51.0;843.0
153.0;36.0;259.0;-200.0;-935.0;-602.0;381.0;-19.0;796.0
156.0;44.0;258.0;-195.0;-932.0;-593.0;392.0;-20.0;780.0
254.0;-2.0;182.0;-231.0;-955.0;-517.0;414.0;5.0;781.0
158.0;-32.0;253.0;-180.0;-933.0;-607.0;403.0;-20.0;756.0
204.0;-16.0;223.0;-228.0;-955.0;-544.0;422.0;-72.0;843.0
156.0;-4.0;261.0;-201.0;-932.0;-554.0;405.0;-15.0;787.0
231.0;-202.0;143.0;-235.0;-905.0;-673.0;290.0;85.0;888.0
175.0;-27.0;264.0;-191.0;-933.0;-566.0;403.0;-9.0;792.0
269.0;13.0;146.0;-94.0;-794.0;-585.0;341.0;109.0;998.0
145.0;-24.0;265.0;-186.0;-930.0;-590.0;408.0;-9.0;791.0
222.0;-1.0;183.0;-230.0;-952.0;-520.0;414.0;-26.0;816.0
179.0;-1.0;213.0;-197.0;-944.0;-554.0;395.0;10.0;792.0
132.0;-17.0;266.0;-182.0;-924.0;-578.0;398.0;-12.0;771.0
194.0;-54.0;201.0;-235.0;-946.0;-537.0;394.0;11.0;800.0
183.0;-40.0;260.0;-158.0;-937.0;-594.0;406.0;-25.0;783.0
190.0;-38.0;256.0;-161.0;-934.0;-580.0;386.0;-78.0;777.0
224.0;-4.0;186.0;-229.0;-955.0;-531.0;431.0;1.0;819.0
202.0;-57.0;252.0;-160.0;-934.0;-570.0;375.0;-69.0;773.0
212.0;8.0;208.0;-229.0;-950.0;-558.0;301.0;-25.0;828.0
183.0;-56.0;257.0;-183.0;-936.0;-614.0;364.0;-39.0;784.0
183.0;-43.0;261.0;-214.0;-936.0;-595.0;377.0;-49.0;787.0
137.0;-52.0;264.0;-188.0;-925.0;-582.0;380.0;-27.0;762.0
248.0;-6.0;204.0;-217.0;-943.0;-595.0;269.0;-25.0;810.0
168.0;-32.0;253.0;-202.0;-926.0;-570.0;386.0;-3.0;763.0
141.0;-61.0;240.0;-88.0;-954.0;-583.0;400.0;-14.0;733.0
183.0;-15.0;260.0;-172.0;-941.0;-589.0;360.0;-44.0;754.0
234.0;-33.0;205.0;-198.0;-944.0;-548.0;311.0;-35.0;778.0
206.0;-54.0;199.0;-174.0;-974.0;-508.0;271.0;16.0;837.0
186.0;-24.0;213.0;-220.0;-942.0;-570.0;321.0;0.0;799.0
206.0;-28.0;211.0;-216.0;-942.0;-560.0;334.0;28.0;801.0
200.0;-65.0;203.0;-214.0;-945.0;-570.0;314.0;-1.0;801.0
191.0;-53.0;198.0;-235.0;-938.0;-560.0;304.0;-7.0;801.0
192.0;-34.0;262.0;-192.0;-933.0;-579.0;360.0;-36.0;773.0
178.0;-78.0;196.0;-209.0;-993.0;-500.0;303.0;94.0;785.0
204.0;-6.0;189.0;-224.0;-953.0;-534.0;415.0;-11.0;835.0
122.0;-81.0;137.0;-275.0;-993.0;-538.0;295.0;0.0;816.0
224.0;-80.0;192.0;-217.0;-949.0;-570.0;319.0;-28.0;802.0
193.0;-235.0;28.0;-212.0;-999.0;-615.0;327.0;11.0;755.0
179.0;-23.0;261.0;-172.0;-929.0;-591.0;396.0;-40.0;788.0
138.0;-11.0;265.0;-212.0;-919.0;-586.0;375.0;10.0;774.0
181.0;-32.0;190.0;-254.0;-947.0;-539.0;384.0;30.0;806.0
164.0;9.0;267.0;-206.0;-923.0;-572.0;376.0;-10.0;783.0
161.0;-10.0;262.0;-169.0;-929.0;-583.0;393.0;-22.0;775.0
213.0;-43.0;185.0;-240.0;-958.0;-550.0;371.0;14.0;804.0
166.0;5.0;257.0;-164.0;-931.0;-586.0;384.0;-40.0;760.0
180.0;21.0;254.0;-183.0;-934.0;-583.0;368.0;-38.0;781.0
201.0;26.0;253.0;-184.0;-935.0;-570.0;368.0;-40.0;772.0
226.0;-27.0;187.0;-253.0;-959.0;-552.0;365.0;1.0;810.0
195.0;5.0;254.0;-183.0;-933.0;-590.0;379.0;-35.0;791.0
183.0;-10.0;252.0;-158.0;-929.0;-588.0;393.0;-22.0;782.0
172.0;-133.0;252.0;-200.0;-954.0;-585.0;414.0;-47.0;817.0
231.0;-28.0;191.0;-284.0;-946.0;-544.0;377.0;13.0;811.0
143.0;-12.0;258.0;-186.0;-928.0;-572.0;388.0;-20.0;774.0
254.0;11.0;196.0;-238.0;-945.0;-535.0;375.0;-37.0;797.0
214.0;0.0;204.0;-192.0;-942.0;-544.0;414.0;-6.0;825.0
172.0;13.0;255.0;-167.0;-931.0;-582.0;374.0;-39.0;764.0
192.0;6.0;254.0;-185.0;-936.0;-566.0;385.0;-39.0;769.0
212.0;11.0;203.0;-201.0;-945.0;-517.0;412.0;8.0;821.0
185.0;25.0;248.0;-189.0;-924.0;-563.0;364.0;-22.0;781.0
164.0;28.0;253.0;-193.0;-929.0;-558.0;381.0;-11.0;791.0
191.0;30.0;252.0;-189.0;-930.0;-570.0;408.0;-20.0;781.0
265.0;-13.0;194.0;-193.0;-942.0;-542.0;376.0;-11.0;829.0
153.0;15.0;243.0;-177.0;-936.0;-558.0;404.0;-7.0;761.0
250.0;-12.0;194.0;-213.0;-938.0;-520.0;367.0;4.0;819.0
163.0;11.0;239.0;-189.0;-939.0;-548.0;389.0;-23.0;765.0
184.0;88.0;120.0;-307.0;-920.0;-488.0;386.0;11.0;890.0
189.0;-3.0;238.0;-178.0;-943.0;-535.0;367.0;-35.0;773.0
225.0;18.0;230.0;-169.0;-937.0;-534.0;395.0;-43.0;789.0
208.0;24.0;226.0;-174.0;-937.0;-551.0;392.0;-20.0;802.0
189.0;61.0;225.0;-196.0;-938.0;-524.0;407.0;-38.0;800.0
230.0;106.0;287.0;-216.0;-849.0;-459.0;282.0;78.0;799.0
211.0;37.0;236.0;-235.0;-927.0;-498.0;385.0;9.0;816.0
221.0;47.0;217.0;-214.0;-937.0;-515.0;395.0;-39.0;781.0
244.0;86.0;213.0;-207.0;-938.0;-512.0;366.0;-29.0;790.0
308.0;55.0;160.0;-294.0;-988.0;-492.0;364.0;-29.0;864.0
265.0;47.0;188.0;-254.0;-949.0;-512.0;360.0;-13.0;793.0
271.0;40.0;279.0;-212.0;-984.0;-488.0;352.0;-37.0;852.0
252.0;26.0;189.0;-265.0;-947.0;-518.0;387.0;-19.0;775.0
223.0;84.0;134.0;-287.0;-988.0;-474.0;376.0;-58.0;813.0
221.0;-19.0;188.0;-234.0;-934.0;-470.0;405.0;46.0;887.0
281.0;9.0;266.0;-322.0;-899.0;-421.0;314.0;20.0;850.0
228.0;-14.0;183.0;-273.0;-940.0;-525.0;391.0;-12.0;800.0
215.0;34.0;84.0;-302.0;-911.0;-514.0;377.0;6.0;801.0
