InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-573.0;-679.0;854.0;-557.0;-781.0;-78.0;31.0;408.0;259.0;-169.0;146.0
-561.0;-672.0;694.0;-539.0;-863.0;-86.0;-50.0;409.0;400.0;-3.0;442.0
-558.0;-674.0;692.0;-538.0;-864.0;-85.0;-50.0;409.0;401.0;-1.0;446.0
-562.0;-670.0;695.0;-539.0;-864.0;-88.0;-50.0;409.0;400.0;-3.0;440.0
-562.0;-670.0;695.0;-539.0;-864.0;-88.0;-50.0;409.0;399.0;-3.0;439.0
-562.0;-670.0;695.0;-540.0;-864.0;-88.0;-50.0;409.0;398.0;-4.0;439.0
-563.0;-670.0;696.0;-540.0;-865.0;-88.0;-50.0;409.0;398.0;-4.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;398.0;-3.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;397.0;-5.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-88.0;-49.0;408.0;396.0;-6.0;440.0
-563.0;-670.0;696.0;-541.0;-865.0;-89.0;-49.0;409.0;397.0;-5.0;440.0
-584.0;-675.0;725.0;-573.0;-876.0;-89.0;-24.0;410.0;373.0;63.0;424.0
-482.0;-791.0;601.0;-562.0;-808.0;-244.0;22.0;387.0;216.0;-263.0;603.0
-412.0;-751.0;548.0;-455.0;-813.0;-120.0;-139.0;396.0;407.0;-228.0;533.0
-455.0;-704.0;464.0;-595.0;-830.0;-91.0;-129.0;429.0;390.0;-99.0;437.0
-427.0;-670.0;407.0;-589.0;-832.0;-49.0;-170.0;408.0;386.0;-113.0;409.0
-410.0;-647.0;378.0;-586.0;-833.0;-24.0;-192.0;393.0;381.0;-120.0;385.0
-589.0;-673.0;733.0;-587.0;-878.0;-87.0;-20.0;410.0;354.0;94.0;418.0
-591.0;-673.0;741.0;-605.0;-874.0;-87.0;-17.0;410.0;326.0;134.0;409.0
-587.0;-678.0;761.0;-657.0;-851.0;-89.0;-10.0;404.0;263.0;268.0;366.0
-591.0;-685.0;784.0;-703.0;-828.0;-101.0;3.0;412.0;230.0;385.0;311.0
-721.0;-460.0;850.0;-650.0;-799.0;-22.0;-23.0;174.0;-78.0;252.0;-302.0
-651.0;-308.0;630.0;-605.0;-776.0;-20.0;-44.0;258.0;-125.0;427.0;-374.0
-650.0;-306.0;617.0;-603.0;-779.0;-15.0;-43.0;254.0;-130.0;421.0;-379.0
-650.0;-305.0;613.0;-603.0;-779.0;-15.0;-41.0;255.0;-129.0;421.0;-378.0
-650.0;-304.0;608.0;-604.0;-779.0;-16.0;-40.0;255.0;-129.0;421.0;-379.0
-650.0;-304.0;606.0;-604.0;-782.0;-17.0;-38.0;254.0;-131.0;417.0;-383.0
-653.0;-304.0;605.0;-601.0;-784.0;-16.0;-38.0;251.0;-137.0;411.0;-411.0
-393.0;-619.0;348.0;-578.0;-832.0;3.0;-213.0;377.0;373.0;-133.0;353.0
-375.0;-585.0;317.0;-566.0;-828.0;29.0;-234.0;356.0;362.0;-154.0;311.0
-367.0;-513.0;285.0;-516.0;-810.0;80.0;-273.0;287.0;327.0;-226.0;237.0
-382.0;-489.0;294.0;-483.0;-796.0;99.0;-289.0;255.0;306.0;-276.0;217.0
-461.0;-476.0;400.0;-490.0;-879.0;126.0;-275.0;15.0;11.0;-341.0;263.0
-367.0;-391.0;263.0;-281.0;-622.0;244.0;-373.0;127.0;224.0;-589.0;115.0
-558.0;-675.0;690.0;-538.0;-864.0;-85.0;-50.0;409.0;402.0;-1.0;447.0
-582.0;-637.0;705.0;-825.0;-857.0;-202.0;55.0;345.0;165.0;488.0;228.0
-559.0;-667.0;696.0;-739.0;-906.0;-179.0;23.0;332.0;115.0;363.0;271.0
-553.0;-678.0;695.0;-714.0;-905.0;-182.0;23.0;353.0;127.0;341.0;284.0
-549.0;-688.0;697.0;-693.0;-899.0;-187.0;24.0;384.0;155.0;327.0;299.0
-192.0;-234.0;104.0;-71.0;-479.0;228.0;-639.0;-74.0;-23.0;-752.0;-48.0
-557.0;-675.0;690.0;-538.0;-864.0;-85.0;-49.0;410.0;402.0;0.0;447.0
-557.0;-676.0;690.0;-538.0;-864.0;-84.0;-49.0;410.0;403.0;3.0;448.0
-557.0;-675.0;690.0;-538.0;-864.0;-84.0;-49.0;410.0;404.0;4.0;448.0
-557.0;-675.0;690.0;-539.0;-864.0;-83.0;-49.0;410.0;405.0;5.0;448.0
-546.0;-697.0;699.0;-676.0;-887.0;-191.0;25.0;421.0;196.0;320.0;316.0
-576.0;-733.0;745.0;-661.0;-830.0;-191.0;95.0;448.0;340.0;355.0;396.0
-498.0;-803.0;844.0;-659.0;-722.0;-265.0;90.0;537.0;379.0;267.0;429.0
-654.0;-305.0;609.0;-636.0;-765.0;-11.0;-23.0;263.0;-77.0;417.0;-408.0
-649.0;-297.0;600.0;-654.0;-639.0;30.0;-57.0;168.0;-157.0;552.0;-414.0
-607.0;-639.0;811.0;-730.0;-811.0;-83.0;29.0;387.0;270.0;419.0;137.0
-609.0;-637.0;812.0;-724.0;-816.0;-83.0;32.0;380.0;257.0;415.0;128.0
-612.0;-633.0;813.0;-719.0;-820.0;-82.0;34.0;370.0;247.0;413.0;118.0
