Accelerometer LWR accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE EuY;Accelerometer LH accX
-219.0;-86.0;-42;-23.0
-271.0;-108.0;-42;?
-314.0;-103.0;-42;38.0
?;-115.0;-42;49.0
?;-168.0;-42;-71.0
-197.0;-154.0;-42;-147.0
-167.0;-142.0;-42;?
-318.0;-140.0;-42;184.0
-605.0;-110.0;-42;218.0
165.0;-87.0;-42;610.0
277.0;-78.0;-42;747.0
306.0;-94.0;-42;676.0
406.0;-95.0;-42;661.0
398.0;-131.0;-42;622.0
338.0;-134.0;-42;472.0
174.0;-151.0;-42;454.0
-112.0;-141.0;-42;660.0
-232.0;-126.0;-42;783.0
-292.0;-144.0;-42;600.0
-268.0;-136.0;-42;385.0
-195.0;-99.0;-42;346.0
-214.0;-102.0;-42;270.0
-229.0;-95.0;-42;367.0
-331.0;-100.0;-42;451.0
-345.0;-130.0;-42;426.0
-378.0;-131.0;?;164.0
-298.0;-149.0;-42;-233.0
-387.0;-137.0;-42;?
?;-114.0;-42;-226.0
-269.0;?;-42;91.0
-287.0;-87.0;-42;311.0
-269.0;-120.0;-42;184.0
-133.0;-120.0;-42;196.0
-113.0;-127.0;-42;26.0
-138.0;-94.0;-42;-42.0
-132.0;-118.0;-42;-13.0
-159.0;-145.0;-42;-65.0
-253.0;-147.0;-42;41.0
-448.0;-139.0;-42;81.0
-555.0;-119.0;-42;305.0
-715.0;-124.0;-42;144.0
139.0;-137.0;-42;292.0
173.0;-120.0;-42;465.0
199.0;-133.0;-42;496.0
274.0;-154.0;-42;560.0
255.0;-126.0;-42;649.0
347.0;-107.0;-42;676.0
201.0;-104.0;-42;?
164.0;-112.0;-42;500.0
63.0;-95.0;-42;697.0
-62.0;-122.0;-42;742.0
-202.0;-125.0;-42;926.0
-328.0;-148.0;-42;744.0
-364.0;-122.0;-42;685.0
-428.0;-119.0;-42;696.0
-529.0;-116.0;?;507.0
-491.0;?;-42;460.0
-484.0;-126.0;-42;287.0
-444.0;-135.0;-42;86.0
-481.0;-128.0;-42;-419.0
-401.0;-118.0;-42;-45.0
-437.0;-109.0;-42;408.0
-439.0;-119.0;-42;223.0
-285.0;-129.0;?;104.0
-200.0;-147.0;-42;?
-122.0;-141.0;-42;82.0
-106.0;-121.0;-42;-22.0
-128.0;-105.0;-42;?
-207.0;-118.0;-42;-136.0
-303.0;?;-42;68.0
-512.0;-123.0;-42;173.0
-744.0;-110.0;-42;333.0
176.0;-152.0;-42;71.0
146.0;-105.0;-42;17.0
104.0;-90.0;-42;-32.0
68.0;-96.0;?;11.0
2.0;-125.0;-42;159.0
-429.0;-125.0;-42;1122.0
-830.0;-129.0;-42;1630.0
-1230.0;-121.0;-42;2102.0
-1353.0;-118.0;-42;?
-1254.0;-116.0;-42;1696.0
-1299.0;-125.0;-42;1738.0
-1236.0;-121.0;-42;1668.0
-1295.0;-118.0;-42;1580.0
-1065.0;-118.0;-42;1395.0
-746.0;-118.0;-42;1061.0
-646.0;-127.0;-42;770.0
-579.0;-173.0;-42;718.0
-486.0;-149.0;-42;710.0
-491.0;-116.0;-42;669.0
-530.0;-107.0;-42;602.0
-483.0;-110.0;-42;523.0
-474.0;-90.0;-42;459.0
-379.0;-111.0;-39;398.0
-341.0;?;?;346.0
-301.0;-142.0;-32;282.0
-276.0;-133.0;-28;225.0
-299.0;-138.0;-25;200.0
-315.0;-135.0;-22;?
-302.0;-130.0;-19;185.0
-304.0;-146.0;?;128.0
-278.0;-128.0;-17;100.0
-262.0;-127.0;-15;96.0
-272.0;-127.0;-15;145.0
-272.0;-127.0;-14;187.0
-283.0;-129.0;-13;231.0
-292.0;-148.0;-12;268.0
-294.0;-138.0;-11;306.0
-334.0;-130.0;-11;358.0
-362.0;-134.0;-11;420.0
-360.0;-124.0;-11;469.0
-358.0;?;-11;503.0
-404.0;-121.0;?;?
-449.0;-126.0;-11;560.0
-409.0;-136.0;-11;520.0
-396.0;-121.0;-11;508.0
?;-126.0;-11;489.0
-408.0;-110.0;-12;?
-418.0;-126.0;-12;453.0
-409.0;-89.0;-13;514.0
-428.0;-46.0;-13;444.0
-412.0;-89.0;-14;385.0
-345.0;-110.0;-16;264.0
-366.0;-171.0;-17;356.0
-270.0;-227.0;-31;236.0
-399.0;-256.0;-43;395.0
-637.0;-484.0;-40;434.0
-470.0;-372.0;-41;532.0
-297.0;-203.0;-42;669.0
-255.0;-217.0;-41;496.0
-396.0;?;-42;269.0
-243.0;-140.0;-41;92.0
-112.0;-220.0;-41;183.0
-214.0;-270.0;-41;355.0
-290.0;-291.0;-41;349.0
-283.0;-152.0;-41;260.0
-253.0;-107.0;-41;263.0
-266.0;?;-41;317.0
-312.0;-121.0;-41;336.0
-367.0;-138.0;-41;?
-382.0;-203.0;-41;331.0
-389.0;-172.0;-41;333.0
-397.0;-67.0;?;375.0
-435.0;-129.0;-41;426.0
-449.0;-93.0;-40;445.0
-445.0;-27.0;-37;?
-459.0;-48.0;?;463.0
-471.0;-96.0;-29;487.0
-443.0;-92.0;-26;487.0
-437.0;-120.0;-23;443.0
-421.0;-137.0;?;422.0
-371.0;-127.0;-17;433.0
-360.0;-86.0;-16;412.0
-359.0;-101.0;-14;388.0
-348.0;-10.0;-14;358.0
-338.0;-293.0;-14;303.0
-329.0;-171.0;-14;292.0
-333.0;794.0;-14;292.0
-325.0;-412.0;?;294.0
?;-849.0;-14;326.0
-349.0;-223.0;-14;325.0
-344.0;-113.0;-14;309.0
-333.0;-111.0;-13;293.0
-324.0;-117.0;-13;297.0
?;-213.0;-13;274.0
-308.0;-173.0;-13;305.0
-330.0;-144.0;-13;333.0
-340.0;-145.0;-13;360.0
-349.0;?;-13;392.0
-330.0;?;-14;387.0
-360.0;-141.0;-15;398.0
-373.0;-164.0;-14;407.0
-365.0;-174.0;-17;418.0
-363.0;-218.0;-16;417.0
-366.0;-196.0;-18;416.0
-312.0;-141.0;-37;304.0
-398.0;-126.0;-43;248.0
-519.0;-304.0;-39;391.0
-502.0;-256.0;-42;505.0
?;-77.0;-41;611.0
-248.0;-136.0;-41;470.0
-252.0;-167.0;-41;255.0
?;-153.0;-41;201.0
-243.0;-190.0;?;365.0
-212.0;-162.0;?;281.0
-181.0;-116.0;-41;148.0
-182.0;-104.0;-41;156.0
-234.0;-23.0;-41;259.0
-259.0;-6.0;-41;282.0
-277.0;-69.0;-41;321.0
-281.0;-116.0;-41;301.0
?;-145.0;-41;353.0
-307.0;-172.0;-41;378.0
-340.0;-204.0;-41;383.0
-353.0;-180.0;-41;387.0
-361.0;-163.0;-40;396.0
-367.0;-115.0;-39;388.0
-387.0;-151.0;-39;382.0
-408.0;-122.0;-34;395.0
-409.0;-100.0;-29;?
-408.0;-82.0;-26;438.0
?;-104.0;-23;430.0
-400.0;-67.0;-20;427.0
-398.0;-103.0;-18;438.0
-402.0;-39.0;-17;439.0
-411.0;-180.0;-15;477.0
-401.0;-36.0;-14;426.0
