InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
305.0;-345.0;516.0;523.0;-496.0;679.0;208.0
420.0;366.0;125.0;567.0;-616.0;554.0;-554.0
265.0;398.0;67.0;412.0;-527.0;492.0;-373.0
264.0;397.0;75.0;412.0;-523.0;489.0;-369.0
259.0;395.0;79.0;409.0;-518.0;486.0;-364.0
259.0;400.0;83.0;408.0;-512.0;485.0;-363.0
262.0;399.0;85.0;410.0;-505.0;487.0;-364.0
264.0;398.0;87.0;411.0;-503.0;487.0;-364.0
264.0;397.0;85.0;413.0;-502.0;487.0;-360.0
265.0;396.0;88.0;413.0;-501.0;490.0;-362.0
265.0;397.0;87.0;413.0;-502.0;490.0;-362.0
266.0;396.0;88.0;412.0;-501.0;490.0;-362.0
266.0;396.0;88.0;414.0;-501.0;489.0;-362.0
265.0;396.0;87.0;414.0;-500.0;489.0;-361.0
265.0;395.0;88.0;414.0;-502.0;489.0;-359.0
264.0;395.0;88.0;415.0;-501.0;490.0;-362.0
263.0;395.0;88.0;414.0;-502.0;487.0;-363.0
263.0;395.0;86.0;414.0;-506.0;490.0;-361.0
264.0;394.0;88.0;417.0;-505.0;488.0;-362.0
259.0;393.0;87.0;414.0;-506.0;482.0;-363.0
257.0;394.0;86.0;415.0;-506.0;480.0;-360.0
255.0;394.0;88.0;416.0;-508.0;479.0;-362.0
253.0;393.0;87.0;412.0;-509.0;477.0;-363.0
256.0;393.0;89.0;414.0;-508.0;477.0;-363.0
256.0;392.0;89.0;415.0;-508.0;479.0;-362.0
257.0;393.0;88.0;414.0;-509.0;481.0;-361.0
259.0;394.0;88.0;413.0;-509.0;483.0;-363.0
261.0;394.0;88.0;415.0;-510.0;481.0;-361.0
259.0;394.0;87.0;416.0;-512.0;480.0;-364.0
256.0;394.0;86.0;417.0;-512.0;475.0;-363.0
257.0;394.0;87.0;416.0;-513.0;473.0;-363.0
256.0;394.0;85.0;416.0;-512.0;474.0;-365.0
258.0;394.0;84.0;414.0;-514.0;473.0;-365.0
257.0;395.0;87.0;416.0;-514.0;475.0;-365.0
259.0;396.0;86.0;416.0;-516.0;475.0;-365.0
258.0;396.0;85.0;416.0;-514.0;477.0;-364.0
262.0;396.0;84.0;415.0;-516.0;478.0;-365.0
262.0;397.0;85.0;415.0;-517.0;479.0;-365.0
263.0;398.0;83.0;419.0;-519.0;479.0;-366.0
264.0;397.0;81.0;416.0;-518.0;479.0;-366.0
