InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
167.0;252.0;-940.0;1068.0;905.0;-624.0;728.0;610.0;-76.0;131.0
233.0;205.0;-938.0;1071.0;924.0;-773.0;727.0;414.0;132.0;139.0
-12.0;199.0;-986.0;983.0;957.0;-840.0;605.0;335.0;-40.0;216.0
184.0;1.0;-1307.0;1243.0;935.0;-1172.0;726.0;434.0;231.0;184.0
346.0;104.0;-923.0;1040.0;948.0;-834.0;748.0;503.0;241.0;6.0
183.0;278.0;-929.0;1089.0;968.0;-834.0;734.0;658.0;-3.0;297.0
218.0;338.0;-851.0;1142.0;958.0;-732.0;679.0;391.0;154.0;205.0
282.0;259.0;-902.0;1140.0;964.0;-698.0;732.0;660.0;100.0;136.0
315.0;376.0;-878.0;1138.0;791.0;-693.0;567.0;516.0;328.0;155.0
316.0;499.0;-837.0;1012.0;1006.0;-735.0;364.0;438.0;221.0;140.0
309.0;146.0;-959.0;1109.0;1004.0;-825.0;856.0;620.0;33.0;324.0
152.0;341.0;-988.0;1046.0;626.0;-418.0;253.0;667.0;-79.0;152.0
250.0;167.0;-964.0;1140.0;715.0;-574.0;674.0;564.0;40.0;100.0
288.0;257.0;-889.0;1043.0;997.0;-728.0;671.0;512.0;-24.0;307.0
289.0;106.0;-1230.0;956.0;950.0;-1138.0;645.0;623.0;65.0;140.0
278.0;337.0;-877.0;980.0;884.0;-797.0;603.0;460.0;170.0;97.0
213.0;115.0;-951.0;1000.0;1151.0;-792.0;755.0;582.0;32.0;348.0
-4.0;288.0;-1001.0;1102.0;971.0;-745.0;653.0;522.0;30.0;224.0
261.0;319.0;-871.0;983.0;913.0;-798.0;593.0;484.0;169.0;69.0
200.0;306.0;-849.0;839.0;735.0;-722.0;596.0;437.0;122.0;220.0
432.0;186.0;-826.0;994.0;926.0;-748.0;688.0;533.0;272.0;70.0
212.0;251.0;-843.0;1018.0;870.0;-694.0;702.0;528.0;181.0;177.0
