InertialMeasurementUnit L-SHOE EuX;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;Accelerometer LWR accY;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;Accelerometer LH accZ;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
116;751.0;-736.0;-1248.0;-227.0;684.0;-1078.0;60.0;1021.0;1069.0;-628.0;554.0
116;691.0;-743.0;?;-192.0;694.0;-1076.0;415.0;1033.0;1136.0;-732.0;388.0
116;699.0;-695.0;-1011.0;-164.0;701.0;-1038.0;455.0;1053.0;1202.0;-710.0;330.0
116;753.0;-803.0;-956.0;-149.0;697.0;-913.0;185.0;1025.0;1178.0;-744.0;343.0
116;804.0;-1004.0;-889.0;-148.0;698.0;?;114.0;1040.0;1100.0;-641.0;323.0
116;796.0;?;-906.0;-142.0;703.0;-1049.0;335.0;1036.0;944.0;-710.0;257.0
116;926.0;-804.0;-1156.0;-151.0;703.0;-1313.0;442.0;1006.0;853.0;-709.0;370.0
116;927.0;-739.0;-1278.0;-166.0;700.0;-1257.0;354.0;1037.0;822.0;-620.0;419.0
?;861.0;?;-1249.0;-195.0;691.0;-1186.0;770.0;1033.0;753.0;-547.0;466.0
116;952.0;-151.0;-587.0;-678.0;-210.0;-658.0;-819.0;1036.0;668.0;-632.0;841.0
116;943.0;-300.0;-413.0;-677.0;-207.0;-659.0;-1166.0;1035.0;635.0;-664.0;1051.0
116;912.0;-325.0;-330.0;-680.0;-204.0;-628.0;-1225.0;1072.0;560.0;-773.0;1285.0
116;932.0;-461.0;-375.0;?;-202.0;-693.0;-1215.0;991.0;441.0;-828.0;1256.0
116;921.0;-443.0;-413.0;-690.0;-192.0;-686.0;-1079.0;1032.0;243.0;-891.0;1213.0
116;931.0;-438.0;-471.0;?;-174.0;-801.0;-831.0;1057.0;66.0;-999.0;1098.0
116;872.0;?;-593.0;?;-142.0;-810.0;-619.0;1022.0;58.0;-1026.0;1063.0
116;850.0;-532.0;-572.0;-702.0;-94.0;-877.0;-316.0;958.0;106.0;-1001.0;987.0
116;832.0;-489.0;-601.0;-708.0;-38.0;-936.0;-70.0;1076.0;156.0;-999.0;897.0
116;768.0;-512.0;-646.0;-707.0;30.0;-867.0;-41.0;1016.0;267.0;-977.0;706.0
?;758.0;-514.0;-668.0;-696.0;104.0;-829.0;-9.0;1020.0;369.0;-979.0;688.0
116;714.0;-465.0;-657.0;-672.0;185.0;-801.0;-91.0;?;401.0;-1008.0;620.0
116;697.0;-441.0;-652.0;-645.0;258.0;-753.0;-88.0;1050.0;434.0;-1036.0;635.0
