InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1
-632.0;-314.0;590.0;-613.0;-746.0;3.0;-67.0;298.0;-51.0;410.0;-402.0
-509.0;-614.0;635.0;-490.0;-923.0;-5.0;-117.0;311.0;206.0;-87.0;3.0
-534.0;-620.0;798.0;-542.0;-896.0;-9.0;-66.0;341.0;331.0;38.0;316.0
-343.0;-866.0;530.0;-559.0;-863.0;-317.0;0.0;397.0;216.0;-151.0;553.0
-376.0;-723.0;519.0;-575.0;-881.0;-243.0;-46.0;425.0;173.0;13.0;218.0
-384.0;-696.0;519.0;-575.0;-883.0;-229.0;-51.0;429.0;174.0;32.0;156.0
-427.0;-616.0;541.0;-569.0;-880.0;-186.0;-71.0;448.0;181.0;86.0;3.0
-444.0;-593.0;552.0;-566.0;-875.0;-171.0;-78.0;450.0;185.0;100.0;-31.0
-462.0;-572.0;557.0;-562.0;-872.0;-156.0;-86.0;452.0;187.0;113.0;-58.0
-475.0;-554.0;554.0;-557.0;-869.0;-143.0;-93.0;455.0;189.0;123.0;-85.0
-483.0;-538.0;548.0;-554.0;-868.0;-132.0;-100.0;461.0;191.0;134.0;-106.0
-489.0;-496.0;525.0;-553.0;-865.0;-98.0;-121.0;475.0;212.0;171.0;-135.0
-230.0;-377.0;498.0;-543.0;-723.0;-312.0;253.0;511.0;509.0;435.0;619.0
-541.0;-612.0;806.0;-560.0;-883.0;-11.0;-59.0;364.0;346.0;77.0;304.0
-592.0;-754.0;764.0;-702.0;-835.0;362.0;-314.0;580.0;528.0;147.0;275.0
-417.0;-743.0;522.0;-534.0;-845.0;-70.0;-117.0;226.0;328.0;-360.0;543.0
-455.0;-704.0;464.0;-595.0;-830.0;-91.0;-129.0;429.0;390.0;-99.0;437.0
-581.0;-550.0;587.0;-677.0;-945.0;-10.0;-121.0;172.0;-119.0;245.0;308.0
-525.0;-662.0;722.0;-583.0;-855.0;-134.0;112.0;619.0;425.0;207.0;333.0
-606.0;-602.0;867.0;-655.0;-793.0;-86.0;40.0;518.0;420.0;358.0;268.0
-575.0;-535.0;575.0;-676.0;-939.0;8.0;-136.0;173.0;-125.0;258.0;308.0
-574.0;-531.0;567.0;-674.0;-938.0;17.0;-143.0;172.0;-128.0;263.0;313.0
-205.0;-722.0;185.0;-654.0;-861.0;371.0;-283.0;-35.0;-415.0;130.0;459.0
-577.0;-531.0;561.0;-653.0;-921.0;27.0;-151.0;180.0;-131.0;277.0;336.0
-579.0;-534.0;559.0;-649.0;-915.0;26.0;-149.0;189.0;-127.0;283.0;344.0
-580.0;-536.0;556.0;-648.0;-912.0;22.0;-145.0;198.0;-121.0;289.0;351.0
-582.0;-537.0;553.0;-649.0;-909.0;16.0;-138.0;206.0;-114.0;296.0;357.0
-585.0;-546.0;560.0;-652.0;-902.0;6.0;-121.0;211.0;-104.0;309.0;367.0
-393.0;-619.0;348.0;-578.0;-832.0;3.0;-213.0;377.0;373.0;-133.0;353.0
-367.0;-513.0;285.0;-516.0;-810.0;80.0;-273.0;287.0;327.0;-226.0;237.0
-439.0;-340.0;409.0;-374.0;-726.0;151.0;-303.0;192.0;245.0;-447.0;23.0
-457.0;-581.0;484.0;-431.0;-768.0;80.0;-244.0;219.0;330.0;-412.0;272.0
-483.0;-496.0;431.0;-520.0;-901.0;101.0;-258.0;7.0;-51.0;-294.0;277.0
-171.0;-29.0;30.0;103.0;-341.0;480.0;-619.0;-185.0;23.0;-795.0;-206.0
-593.0;-607.0;570.0;-704.0;-885.0;-28.0;-66.0;242.0;-78.0;389.0;453.0
-636.0;-717.0;659.0;-805.0;-833.0;-160.0;81.0;322.0;-19.0;542.0;588.0
-582.0;-637.0;705.0;-825.0;-857.0;-202.0;55.0;345.0;165.0;488.0;228.0
-549.0;-688.0;697.0;-693.0;-899.0;-187.0;24.0;384.0;155.0;327.0;299.0
-575.0;-729.0;742.0;-648.0;-837.0;-181.0;84.0;451.0;357.0;326.0;401.0
-488.0;-497.0;527.0;-554.0;-868.0;-96.0;-122.0;472.0;210.0;172.0;-136.0
-488.0;-498.0;529.0;-554.0;-872.0;-94.0;-122.0;471.0;208.0;174.0;-137.0
-487.0;-500.0;536.0;-560.0;-874.0;-87.0;-122.0;467.0;206.0;176.0;-137.0
-490.0;-504.0;542.0;-560.0;-872.0;-82.0;-121.0;452.0;197.0;171.0;-134.0
-492.0;-507.0;541.0;-558.0;-873.0;-79.0;-120.0;447.0;190.0;163.0;-134.0
-578.0;-804.0;679.0;-725.0;-901.0;-324.0;212.0;427.0;241.0;296.0;666.0
-591.0;-801.0;838.0;-746.0;-737.0;-344.0;341.0;608.0;432.0;504.0;401.0
-494.0;-512.0;544.0;-558.0;-874.0;-75.0;-116.0;443.0;178.0;157.0;-130.0
-495.0;-516.0;548.0;-560.0;-873.0;-75.0;-113.0;441.0;177.0;156.0;-126.0
-505.0;-537.0;575.0;-573.0;-853.0;-79.0;-93.0;453.0;211.0;160.0;-107.0
-508.0;-543.0;582.0;-574.0;-849.0;-79.0;-87.0;458.0;219.0;162.0;-101.0
-603.0;-794.0;688.0;-801.0;-944.0;-337.0;326.0;264.0;-33.0;325.0;691.0
-648.0;-748.0;704.0;-657.0;-867.0;-317.0;291.0;219.0;-66.0;33.0;612.0
-577.0;-679.0;615.0;-594.0;-882.0;-104.0;-14.0;156.0;50.0;-106.0;507.0
-584.0;-636.0;547.0;-631.0;-968.0;-59.0;-98.0;117.0;-120.0;29.0;486.0
-509.0;-550.0;587.0;-577.0;-847.0;-77.0;-82.0;464.0;227.0;165.0;-98.0
-595.0;-797.0;683.0;-736.0;-662.0;-369.0;278.0;600.0;377.0;639.0;684.0
-567.0;-690.0;746.0;-638.0;-418.0;3.0;901.0;576.0;576.0;657.0;509.0
-509.0;-649.0;674.0;-546.0;11.0;-137.0;940.0;594.0;438.0;872.0;549.0
-664.0;-666.0;800.0;-704.0;-868.0;-232.0;233.0;491.0;457.0;108.0;283.0
-606.0;-540.0;751.0;-673.0;-860.0;-97.0;71.0;472.0;318.0;62.0;132.0
-594.0;-655.0;850.0;-688.0;-857.0;-178.0;131.0;380.0;147.0;81.0;150.0
-585.0;-801.0;673.0;-738.0;-596.0;-404.0;303.0;630.0;384.0;705.0;697.0
-729.0;-555.0;867.0;-803.0;-779.0;-90.0;13.0;232.0;-59.0;540.0;-228.0
-599.0;-528.0;735.0;-678.0;-870.0;-94.0;66.0;446.0;290.0;66.0;81.0
-596.0;-519.0;734.0;-678.0;-875.0;-83.0;58.0;429.0;282.0;61.0;54.0
-623.0;-747.0;778.0;-855.0;-525.0;-283.0;183.0;396.0;118.0;833.0;312.0
-507.0;-556.0;591.0;-581.0;-845.0;-74.0;-77.0;466.0;235.0;173.0;-95.0
-142.0;-104.0;56.0;103.0;-287.0;-442.0;745.0;-216.0;28.0;-812.0;-123.0
-505.0;-561.0;593.0;-583.0;-843.0;-72.0;-73.0;467.0;242.0;177.0;-95.0
-613.0;-781.0;656.0;-702.0;-848.0;299.0;-268.0;553.0;515.0;105.0;689.0
-559.0;-688.0;594.0;-636.0;-790.0;-127.0;2.0;455.0;413.0;-53.0;526.0
-72.0;176.0;28.0;23.0;-770.0;559.0;-695.0;-287.0;-206.0;-589.0;-497.0
-518.0;-745.0;623.0;-789.0;-776.0;488.0;-603.0;613.0;508.0;358.0;718.0
-522.0;-719.0;607.0;-650.0;-740.0;-146.0;-13.0;540.0;504.0;133.0;521.0
-602.0;-567.0;549.0;-727.0;-847.0;395.0;-344.0;571.0;498.0;184.0;-285.0
-505.0;-573.0;603.0;-582.0;-844.0;-66.0;-63.0;460.0;242.0;174.0;-95.0
-506.0;-580.0;609.0;-583.0;-847.0;-64.0;-58.0;456.0;240.0;175.0;-92.0
-507.0;-585.0;614.0;-584.0;-852.0;-65.0;-53.0;454.0;237.0;179.0;-89.0
-513.0;-597.0;629.0;-590.0;-858.0;-67.0;-38.0;454.0;236.0;186.0;-85.0
-533.0;-616.0;663.0;-618.0;-867.0;-71.0;9.0;429.0;219.0;210.0;-76.0
-541.0;-633.0;678.0;-628.0;-871.0;-82.0;23.0;427.0;213.0;209.0;-58.0
-543.0;-643.0;685.0;-635.0;-880.0;-89.0;31.0;437.0;207.0;216.0;-46.0
-545.0;-653.0;690.0;-647.0;-889.0;-96.0;39.0;452.0;206.0;230.0;-33.0
-441.0;-722.0;489.0;-661.0;-802.0;-216.0;94.0;524.0;468.0;126.0;307.0
-428.0;-721.0;497.0;-665.0;-806.0;-212.0;95.0;517.0;459.0;146.0;299.0
-429.0;-727.0;510.0;-670.0;-810.0;-207.0;96.0;509.0;445.0;173.0;306.0
-430.0;-745.0;545.0;-708.0;-803.0;-187.0;101.0;420.0;340.0;310.0;265.0
-531.0;-837.0;675.0;-730.0;-799.0;-263.0;248.0;572.0;421.0;326.0;604.0
-111.0;-685.0;162.0;-813.0;-705.0;62.0;110.0;494.0;520.0;479.0;447.0
-571.0;-816.0;664.0;-734.0;-815.0;-360.0;279.0;615.0;522.0;251.0;696.0
-521.0;-812.0;573.0;-794.0;-806.0;-197.0;87.0;443.0;307.0;474.0;589.0
-549.0;-679.0;699.0;-699.0;-896.0;-120.0;66.0;474.0;231.0;282.0;9.0
-431.0;-752.0;515.0;-636.0;-851.0;-89.0;-88.0;475.0;400.0;181.0;325.0
-417.0;-736.0;499.0;-602.0;-847.0;-78.0;-109.0;500.0;414.0;144.0;291.0
-402.0;-721.0;507.0;-555.0;-843.0;-59.0;-134.0;546.0;417.0;114.0;300.0
-477.0;-724.0;599.0;-741.0;-718.0;545.0;-597.0;669.0;548.0;413.0;742.0
-228.0;-677.0;271.0;-501.0;-740.0;87.0;136.0;661.0;651.0;73.0;494.0
-344.0;-712.0;422.0;-416.0;-843.0;-52.0;-142.0;576.0;377.0;110.0;208.0
-328.0;-720.0;399.0;-393.0;-843.0;-54.0;-141.0;574.0;370.0;111.0;175.0
-305.0;-736.0;388.0;-375.0;-846.0;-48.0;-142.0;569.0;365.0;113.0;146.0
-248.0;-768.0;391.0;-335.0;-852.0;-34.0;-138.0;526.0;346.0;93.0;82.0
-236.0;-773.0;395.0;-328.0;-856.0;-32.0;-138.0;512.0;334.0;88.0;62.0
-629.0;-322.0;576.0;-584.0;-752.0;-26.0;-51.0;321.0;-91.0;417.0;-415.0
-628.0;-320.0;576.0;-583.0;-751.0;-25.0;-52.0;317.0;-89.0;417.0;-417.0
-450.0;-734.0;544.0;-767.0;-750.0;-167.0;99.0;308.0;241.0;434.0;200.0
-467.0;-710.0;529.0;-788.0;-713.0;-165.0;97.0;252.0;191.0;501.0;200.0
-469.0;-703.0;520.0;-792.0;-701.0;-164.0;96.0;233.0;174.0;522.0;198.0
-465.0;-685.0;499.0;-804.0;-670.0;-159.0;89.0;186.0;120.0;586.0;189.0
-460.0;-674.0;488.0;-810.0;-632.0;-153.0;78.0;153.0;89.0;634.0;184.0
-459.0;-672.0;486.0;-812.0;-621.0;-152.0;75.0;142.0;81.0;648.0;185.0
-629.0;-318.0;576.0;-585.0;-751.0;-23.0;-51.0;315.0;-81.0;419.0;-417.0
-629.0;-318.0;576.0;-585.0;-751.0;-23.0;-51.0;315.0;-80.0;419.0;-416.0
-629.0;-318.0;576.0;-586.0;-751.0;-22.0;-51.0;314.0;-79.0;419.0;-416.0
-630.0;-317.0;576.0;-587.0;-752.0;-20.0;-52.0;312.0;-77.0;420.0;-417.0
-629.0;-317.0;579.0;-591.0;-753.0;-19.0;-51.0;311.0;-67.0;419.0;-414.0
-222.0;-777.0;400.0;-331.0;-865.0;-23.0;-140.0;474.0;308.0;82.0;18.0
-423.0;-348.0;473.0;-220.0;-620.0;-218.0;373.0;160.0;305.0;-620.0;-49.0
-432.0;-630.0;524.0;-430.0;-625.0;-47.0;-177.0;410.0;155.0;-380.0;274.0
-455.0;-679.0;573.0;-415.0;-583.0;-60.0;-135.0;468.0;218.0;-358.0;361.0
-222.0;-778.0;404.0;-335.0;-867.0;-21.0;-140.0;447.0;290.0;81.0;-4.0
-630.0;-316.0;579.0;-593.0;-753.0;-17.0;-51.0;309.0;-64.0;418.0;-414.0
-630.0;-316.0;579.0;-596.0;-755.0;-14.0;-53.0;307.0;-60.0;419.0;-416.0
-631.0;-316.0;578.0;-596.0;-756.0;-12.0;-53.0;306.0;-59.0;418.0;-417.0
-631.0;-315.0;577.0;-596.0;-757.0;-11.0;-52.0;305.0;-58.0;417.0;-417.0
-631.0;-315.0;578.0;-596.0;-758.0;-10.0;-51.0;304.0;-55.0;416.0;-416.0
-632.0;-315.0;579.0;-597.0;-759.0;-10.0;-51.0;303.0;-54.0;416.0;-416.0
-632.0;-314.0;578.0;-598.0;-759.0;-10.0;-50.0;303.0;-52.0;416.0;-417.0
-632.0;-314.0;578.0;-598.0;-758.0;-9.0;-50.0;303.0;-51.0;417.0;-417.0
-632.0;-314.0;578.0;-599.0;-758.0;-9.0;-50.0;303.0;-51.0;417.0;-417.0
-632.0;-314.0;578.0;-599.0;-758.0;-9.0;-50.0;303.0;-51.0;418.0;-417.0
-226.0;-780.0;412.0;-341.0;-870.0;-21.0;-143.0;421.0;271.0;81.0;-26.0
-632.0;-314.0;578.0;-599.0;-758.0;-9.0;-51.0;303.0;-51.0;417.0;-417.0
-632.0;-314.0;578.0;-598.0;-757.0;-9.0;-51.0;302.0;-53.0;418.0;-417.0
