Accelerometer LWR accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE EuY;Accelerometer LH accX
-462.0;-159.0;-42;366.0
-362.0;-134.0;-11;420.0
-330.0;-105.0;-41;380.0
-783.0;-310.0;-52;1051.0
-244.0;-349.0;-45;66.0
-312.0;-329.0;-52;557.0
-293.0;27.0;-40;383.0
-708.0;-10.0;-45;729.0
-132.0;-490.0;-46;-84.0
-392.0;-156.0;-36;497.0
-505.0;-660.0;-51;533.0
-575.0;10.0;-45;603.0
-296.0;-176.0;-39;441.0
-377.0;-112.0;-41;430.0
-533.0;22.0;-45;447.0
-367.0;-397.0;-44;434.0
-343.0;-174.0;-33;233.0
-610.0;521.0;-30;573.0
-194.0;756.0;-37;182.0
-137.0;-279.0;-40;295.0
-368.0;-116.0;-40;351.0
-325.0;-120.0;-41;327.0
-372.0;-266.0;-45;430.0
-630.0;-25.0;-41;286.0
-533.0;-240.0;-45;428.0
-556.0;-129.0;-51;739.0
-262.0;-495.0;-39;321.0
-280.0;-963.0;-46;333.0
-443.0;-261.0;-39;542.0
-552.0;-363.0;-50;603.0
-693.0;-94.0;-41;431.0
-336.0;-73.0;-43;387.0
-333.0;-65.0;-36;457.0
-310.0;-121.0;-41;372.0
-196.0;-108.0;-45;53.0
-268.0;-150.0;-38;289.0
-375.0;-65.0;-42;570.0
-293.0;-107.0;-41;185.0
-263.0;-293.0;-40;228.0
-273.0;-73.0;-43;272.0
-175.0;-95.0;-43;358.0
-808.0;-392.0;-50;380.0
-340.0;-125.0;-41;411.0
-346.0;-6.0;-44;324.0
-472.0;-121.0;-46;580.0
-315.0;-101.0;-41;350.0
-323.0;-107.0;-40;282.0
-439.0;7.0;-40;514.0
-404.0;-18.0;-42;402.0
-429.0;-38.0;-41;246.0
-593.0;-179.0;-41;254.0
-349.0;-112.0;-41;381.0
-891.0;-51.0;-45;468.0
-358.0;-282.0;-45;334.0
-379.0;-84.0;-41;359.0
-292.0;-89.0;-43;329.0
-350.0;-129.0;-41;377.0
-438.0;20.0;-38;703.0
-396.0;145.0;-38;498.0
-292.0;-30.0;-42;398.0
-347.0;-139.0;-41;400.0
-157.0;29.0;-39;699.0
-101.0;-362.0;-50;565.0
-252.0;-251.0;-43;362.0
-311.0;-145.0;-41;341.0
-350.0;-135.0;-40;362.0
-36.0;-199.0;-38;76.0
-378.0;-210.0;-36;330.0
-327.0;-187.0;-43;356.0
-346.0;11.0;-36;456.0
-335.0;-131.0;-41;375.0
-415.0;-372.0;-50;264.0
-175.0;-105.0;-36;211.0
-485.0;-358.0;-50;850.0
-405.0;-104.0;-42;412.0
-552.0;-352.0;-50;883.0
-336.0;-112.0;-41;352.0
-474.0;-90.0;-42;459.0
-371.0;-154.0;-32;316.0
-367.0;98.0;-38;370.0
-366.0;-155.0;-41;383.0
-367.0;-115.0;-39;388.0
-834.0;-19.0;-44;957.0
-214.0;-27.0;-32;514.0
-457.0;-12.0;-39;951.0
-794.0;-136.0;-33;258.0
-362.0;-182.0;-43;426.0
-257.0;-521.0;-33;128.0
-245.0;275.0;-39;282.0
-220.0;44.0;-45;40.0
98.0;-152.0;-32;423.0
-253.0;-234.0;-41;700.0
-347.0;-356.0;-50;682.0
-328.0;46.0;-40;196.0
-277.0;28.0;-42;306.0
-49.0;54.0;-40;365.0
-854.0;-347.0;-44;659.0
-78.0;3.0;-35;122.0
2.0;-54.0;-41;-87.0
-237.0;15.0;-44;222.0
