Accelerometer RKN_ accY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Nav_Ax
978.0;1338.0;-14;22;638;740;14;3
985.0;1228.0;2;21;645;736;-2;1
996.0;638.0;0;22;643;738;0;-6
959.0;187.0;19;21;639;742;-19;-6
1006.0;-88.0;15;21;645;736;-15;4
968.0;-187.0;15;21;644;737;-15;1
?;-239.0;-4;21;642;739;?;-2
979.0;-305.0;-46;19;644;740;46;4
975.0;-346.0;-23;18;644;742;23;2
965.0;162.0;-37;21;646;737;37;3
972.0;90.0;-21;19;650;734;21;9
966.0;177.0;22;20;645;738;-22;1
977.0;?;23;?;?;738;-23;-4
976.0;663.0;33;19;650;735;-33;-3
?;481.0;-2;21;644;738;2;-6
991.0;222.0;-33;13;647;745;33;-4
994.0;64.0;-17;15;650;739;17;4
999.0;-30.0;-10;?;642;732;10;4
980.0;-195.0;-4;25;641;735;4;-2
979.0;?;27;19;647;738;-27;-1
978.0;-132.0;10;14;650;742;-10;-6
972.0;-133.0;-23;12;648;746;23;-8
988.0;-14.0;5;14;649;742;-5;3
993.0;-41.0;-1;14;649;742;1;-3
988.0;-133.0;-5;20;?;739;5;-6
975.0;-463.0;8;22;645;736;-8;3
1002.0;-701.0;-32;18;?;740;32;-3
992.0;-790.0;-22;25;642;734;22;-1
985.0;-425.0;14;21;643;738;-14;1
995.0;93.0;-4;23;638;739;4;-2
967.0;699.0;-7;29;638;732;?;9
1002.0;964.0;-1;20;644;739;1;12
976.0;667.0;0;22;641;740;0;2
993.0;240.0;20;25;639;736;-20;-2
981.0;-165.0;9;17;643;742;-9;-4
989.0;-228.0;7;19;644;740;-7;-1
997.0;58.0;42;21;644;738;-42;0
989.0;128.0;14;16;645;744;-14;-3
985.0;98.0;-21;?;648;742;21;1
968.0;122.0;12;16;648;741;-12;-1
973.0;?;25;20;642;740;-25;2
1014.0;133.0;11;15;642;747;-11;-5
993.0;165.0;6;19;?;743;-6;-6
?;95.0;0;21;638;742;0;-6
979.0;?;0;18;643;744;0;-8
989.0;305.0;-11;23;645;734;11;3
979.0;479.0;?;23;639;739;3;1
1001.0;357.0;-1;18;640;744;?;-6
989.0;170.0;4;21;645;?;-4;1
972.0;102.0;10;19;644;740;-10;0
990.0;140.0;?;14;650;742;0;0
973.0;109.0;10;15;650;741;-10;4
983.0;53.0;4;?;640;745;-4;-6
964.0;-49.0;6;19;639;744;-6;-7
975.0;-111.0;28;19;643;741;-28;1
992.0;-118.0;18;?;640;741;-18;-3
986.0;-282.0;0;25;638;?;0;-5
996.0;-369.0;6;24;641;736;-6;-2
991.0;-382.0;18;22;?;741;-18;-3
