InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-55.0;18;3;44;-1360.0;263.0;431.0;?;44;18;-943.0;291.0
881.0;-11;-2;?;-1187.0;-591.0;764.0;306;26;-11;-1134.0;236.0
1089.0;20;-3;0;-778.0;79.0;592.0;307;0;20;-565.0;-108.0
?;29;1;-4;?;-52.0;-22.0;309;-4;29;-83.0;-70.0
-528.0;-11;-1;12;41.0;-142.0;-363.0;317;12;-11;198.0;28.0
-1132.0;12;-2;-1;283.0;-127.0;-330.0;311;-1;12;178.0;?
-913.0;8;1;-7;485.0;-49.0;-359.0;308;-7;8;90.0;46.0
-748.0;-19;-1;12;618.0;19.0;-369.0;312;12;-19;160.0;-12.0
-1147.0;9;-2;1;662.0;319.0;-344.0;305;1;9;257.0;-115.0
82.0;-49;-3;17;-11.0;?;-369.0;308;17;-49;-162.0;22.0
-190.0;-11;-6;14;-117.0;-100.0;-138.0;316;14;-11;-213.0;41.0
32.0;-14;-2;47;-218.0;-83.0;10.0;316;47;-14;-243.0;39.0
471.0;-20;-1;-16;-52.0;-89.0;145.0;311;-16;-20;-251.0;33.0
949.0;26;-3;-15;-85.0;-81.0;259.0;313;-15;26;-377.0;-29.0
1287.0;-1;-1;?;-396.0;-64.0;383.0;310;39;-1;?;-42.0
1782.0;-4;-1;-21;-731.0;42.0;-10.0;308;-21;-4;199.0;-42.0
?;12;-7;-17;-1078.0;192.0;-375.0;313;-17;12;?;-78.0
2716.0;0;-5;5;-1468.0;-56.0;-625.0;314;5;0;758.0;-51.0
3129.0;-13;0;-16;-1905.0;-200.0;-678.0;311;-16;-13;928.0;-66.0
2854.0;8;1;-9;-2137.0;-189.0;-774.0;?;-9;8;1092.0;-73.0
2260.0;20;4;-10;-2366.0;-61.0;-670.0;313;-10;20;973.0;-34.0
2523.0;-17;3;15;-2433.0;-282.0;-428.0;315;15;-17;872.0;64.0
3151.0;3;-1;23;-2297.0;-305.0;-63.0;310;23;3;734.0;124.0
3350.0;24;2;19;-2103.0;-318.0;24.0;308;19;24;644.0;70.0
3096.0;-15;3;?;-1928.0;-284.0;-13.0;308;-6;-15;644.0;79.0
2889.0;-2;0;-43;-1874.0;-179.0;57.0;304;-43;-2;684.0;79.0
2194.0;30;1;-21;-1869.0;-114.0;-166.0;307;-21;30;915.0;58.0
?;22;-2;-15;-1948.0;67.0;?;309;-15;22;1020.0;86.0
1345.0;19;3;-31;-1874.0;-29.0;?;?;-31;19;992.0;143.0
1243.0;-14;5;7;-1578.0;474.0;-512.0;307;7;-14;453.0;148.0
895.0;-25;2;11;-1095.0;475.0;-415.0;310;11;-25;-239.0;213.0
-245.0;14;2;-22;-697.0;283.0;468.0;310;-22;14;-827.0;183.0
-217.0;11;-1;-11;-458.0;-23.0;952.0;311;-11;11;-632.0;47.0
44.0;7;0;-10;-263.0;-204.0;727.0;313;-10;7;-107.0;39.0
-325.0;12;0;-4;-88.0;-137.0;148.0;?;-4;12;159.0;20.0
-530.0;-21;?;-3;57.0;?;-326.0;310;-3;-21;161.0;80.0
-613.0;-26;?;-10;206.0;-45.0;-304.0;316;?;-26;-167.0;44.0
-771.0;-21;1;1;271.0;?;-182.0;314;1;-21;-257.0;-24.0
-752.0;-12;1;?;363.0;293.0;-186.0;309;9;?;-138.0;-89.0
-479.0;15;5;29;368.0;207.0;-246.0;307;29;15;-47.0;-100.0
-751.0;-23;5;15;314.0;131.0;-339.0;304;15;-23;21.0;-119.0
8.0;-5;-2;10;21.0;-75.0;-377.0;312;10;-5;?;63.0
-28.0;-1;-1;-23;9.0;-89.0;-147.0;311;-23;-1;-163.0;47.0
-56.0;-27;-7;18;-95.0;-103.0;-74.0;308;18;-27;-142.0;28.0
299.0;31;-3;10;-117.0;-97.0;-56.0;?;10;31;-203.0;23.0
628.0;37;3;-18;-109.0;-19.0;25.0;313;?;37;-276.0;-26.0
1158.0;17;0;-21;-144.0;6.0;?;314;-21;17;-278.0;-18.0
1385.0;?;-2;-24;-313.0;?;164.0;310;-24;24;-133.0;-43.0
1326.0;-2;-3;-32;-554.0;62.0;-125.0;?;-32;-2;245.0;-37.0
1810.0;-7;-1;?;-845.0;94.0;-315.0;309;-1;-7;544.0;-56.0
2365.0;10;3;40;-1200.0;138.0;-396.0;303;40;10;691.0;-97.0
3085.0;10;-4;18;-1557.0;117.0;-356.0;308;18;10;721.0;-103.0
3163.0;14;-6;-1;-1962.0;81.0;-206.0;314;-1;14;713.0;-86.0
3145.0;-2;2;-2;-2228.0;-17.0;-67.0;312;-2;-2;825.0;-58.0
3122.0;-5;1;-12;-2355.0;-147.0;-40.0;306;-12;-5;900.0;-41.0
