InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
158.0;405.0;-983.0;941.0;691.0;-639.0;595.0;414.0;-15.0;192.0
287.0;214.0;-831.0;1048.0;1063.0;-688.0;729.0;549.0;174.0;261.0
187.0;288.0;-900.0;1000.0;895.0;-776.0;654.0;424.0;126.0;211.0
197.0;259.0;-901.0;1042.0;955.0;-766.0;710.0;445.0;101.0;176.0
210.0;199.0;-919.0;1049.0;916.0;-792.0;714.0;414.0;71.0;196.0
107.0;297.0;-962.0;1133.0;759.0;-593.0;619.0;475.0;54.0;290.0
192.0;346.0;-906.0;1000.0;881.0;-754.0;633.0;407.0;129.0;247.0
91.0;248.0;-983.0;1118.0;858.0;-610.0;643.0;347.0;60.0;173.0
52.0;240.0;-992.0;1101.0;935.0;-615.0;653.0;415.0;52.0;167.0
234.0;233.0;-1015.0;1141.0;961.0;-584.0;543.0;529.0;76.0;226.0
59.0;278.0;-1015.0;1137.0;904.0;-545.0;754.0;589.0;71.0;190.0
113.0;241.0;-1013.0;1066.0;826.0;-659.0;518.0;405.0;43.0;205.0
113.0;302.0;-1008.0;1086.0;873.0;-637.0;533.0;390.0;9.0;220.0
107.0;283.0;-954.0;1075.0;912.0;-778.0;679.0;384.0;93.0;210.0
77.0;350.0;-1042.0;1034.0;894.0;-710.0;605.0;420.0;98.0;159.0
97.0;287.0;-1015.0;1081.0;907.0;-665.0;538.0;386.0;82.0;204.0
216.0;300.0;-944.0;1021.0;940.0;-844.0;676.0;474.0;110.0;112.0
208.0;326.0;-902.0;970.0;881.0;-755.0;597.0;448.0;100.0;236.0
138.0;421.0;-872.0;878.0;793.0;-824.0;329.0;592.0;178.0;311.0
76.0;473.0;-948.0;848.0;980.0;-803.0;318.0;417.0;68.0;271.0
287.0;827.0;-662.0;766.0;75.0;342.0;-429.0;922.0;382.0;769.0
46.0;384.0;-857.0;1103.0;1192.0;-713.0;480.0;397.0;160.0;182.0
163.0;241.0;-864.0;1043.0;910.0;-714.0;702.0;511.0;119.0;198.0
367.0;79.0;-818.0;1117.0;1070.0;-734.0;602.0;464.0;112.0;-7.0
97.0;278.0;-928.0;1064.0;907.0;-741.0;697.0;410.0;85.0;259.0
193.0;258.0;-888.0;1037.0;877.0;-746.0;723.0;526.0;139.0;126.0
235.0;78.0;-690.0;1221.0;1231.0;-410.0;814.0;242.0;-13.0;298.0
472.0;673.0;-766.0;867.0;282.0;96.0;-258.0;825.0;278.0;467.0
133.0;278.0;-726.0;901.0;745.0;-610.0;631.0;413.0;79.0;183.0
141.0;278.0;-781.0;893.0;782.0;-658.0;594.0;395.0;54.0;237.0
229.0;292.0;-728.0;832.0;720.0;-622.0;620.0;445.0;138.0;184.0
241.0;351.0;-926.0;1039.0;934.0;-781.0;625.0;492.0;117.0;199.0
272.0;374.0;-952.0;1123.0;921.0;-697.0;625.0;256.0;-60.0;227.0
100.0;339.0;-840.0;977.0;832.0;-717.0;638.0;357.0;25.0;262.0
206.0;251.0;-930.0;1005.0;965.0;-796.0;618.0;516.0;162.0;169.0
188.0;268.0;-937.0;1038.0;948.0;-800.0;716.0;486.0;65.0;204.0
171.0;238.0;-837.0;993.0;901.0;-727.0;609.0;412.0;56.0;143.0
211.0;238.0;-933.0;1068.0;967.0;-813.0;629.0;515.0;59.0;169.0
136.0;262.0;-1019.0;1090.0;869.0;-718.0;620.0;382.0;30.0;217.0
267.0;238.0;-908.0;1020.0;859.0;-723.0;679.0;490.0;128.0;174.0
330.0;98.0;-1028.0;1206.0;931.0;-816.0;733.0;678.0;611.0;273.0
342.0;234.0;-851.0;1061.0;943.0;-725.0;635.0;365.0;193.0;217.0
269.0;283.0;-909.0;1001.0;868.0;-708.0;664.0;460.0;108.0;232.0
257.0;274.0;-1009.0;1113.0;886.0;-741.0;601.0;512.0;-51.0;231.0
106.0;306.0;-986.0;1074.0;852.0;-605.0;572.0;290.0;-9.0;242.0
172.0;300.0;-1017.0;1057.0;883.0;-707.0;579.0;372.0;52.0;247.0
172.0;238.0;-1018.0;1069.0;800.0;-698.0;287.0;562.0;-138.0;-171.0
96.0;216.0;-986.0;953.0;916.0;-963.0;630.0;372.0;-32.0;-79.0
76.0;245.0;-982.0;1101.0;876.0;-594.0;585.0;339.0;37.0;156.0
158.0;299.0;-972.0;1059.0;647.0;-391.0;274.0;645.0;-142.0;145.0
27.0;264.0;-976.0;1080.0;952.0;-795.0;739.0;312.0;10.0;231.0
213.0;306.0;-1036.0;1128.0;868.0;-756.0;603.0;452.0;19.0;214.0
112.0;129.0;-986.0;1102.0;912.0;-633.0;633.0;159.0;-237.0;12.0
148.0;316.0;-977.0;1060.0;980.0;-833.0;723.0;476.0;60.0;205.0
182.0;317.0;-959.0;1043.0;988.0;-811.0;716.0;549.0;129.0;247.0
90.0;289.0;-952.0;1071.0;955.0;-814.0;735.0;459.0;76.0;209.0
109.0;155.0;-1063.0;937.0;890.0;-1016.0;698.0;445.0;22.0;-33.0
344.0;196.0;-919.0;827.0;1201.0;-889.0;475.0;529.0;177.0;-82.0
161.0;388.0;-932.0;1056.0;943.0;-755.0;669.0;431.0;134.0;256.0
330.0;729.0;-905.0;797.0;294.0;-234.0;-217.0;526.0;121.0;297.0
132.0;325.0;-712.0;987.0;773.0;-578.0;817.0;392.0;108.0;258.0
58.0;306.0;-937.0;1088.0;939.0;-790.0;725.0;464.0;67.0;236.0
320.0;247.0;-894.0;1091.0;1015.0;-751.0;612.0;577.0;128.0;74.0
424.0;215.0;-1036.0;966.0;1117.0;-965.0;523.0;532.0;193.0;186.0
382.0;252.0;-879.0;966.0;845.0;-702.0;508.0;549.0;122.0;7.0
191.0;171.0;-1086.0;1049.0;905.0;-714.0;672.0;668.0;-113.0;245.0
285.0;256.0;-872.0;1126.0;929.0;-427.0;603.0;660.0;116.0;392.0
315.0;545.0;-785.0;898.0;782.0;-304.0;366.0;760.0;160.0;572.0
95.0;326.0;-965.0;1063.0;961.0;-783.0;713.0;386.0;51.0;209.0
-173.0;-90.0;-1015.0;1088.0;819.0;-739.0;678.0;163.0;-236.0;3.0
209.0;363.0;-924.0;1058.0;930.0;-733.0;679.0;446.0;97.0;270.0
89.0;333.0;-975.0;1071.0;889.0;-582.0;349.0;84.0;28.0;100.0
259.0;720.0;-757.0;788.0;-145.0;507.0;-566.0;566.0;361.0;600.0
645.0;795.0;-466.0;739.0;169.0;235.0;-369.0;931.0;636.0;578.0
245.0;316.0;-810.0;1133.0;734.0;-295.0;510.0;196.0;-133.0;377.0
385.0;471.0;-895.0;957.0;832.0;-815.0;292.0;518.0;174.0;67.0
217.0;278.0;-948.0;1053.0;953.0;-797.0;745.0;520.0;100.0;214.0
160.0;281.0;-1041.0;1119.0;884.0;-613.0;538.0;397.0;9.0;232.0
194.0;357.0;-899.0;990.0;925.0;-747.0;586.0;427.0;118.0;259.0
326.0;919.0;-484.0;573.0;477.0;-253.0;-193.0;952.0;453.0;630.0
208.0;234.0;-799.0;1023.0;875.0;-604.0;559.0;281.0;41.0;-2.0
381.0;165.0;-853.0;916.0;1043.0;-698.0;607.0;498.0;156.0;152.0
171.0;303.0;-967.0;1037.0;745.0;-356.0;258.0;658.0;40.0;189.0
44.0;156.0;-962.0;863.0;862.0;-913.0;696.0;436.0;6.0;76.0
189.0;316.0;-813.0;1079.0;1119.0;-734.0;791.0;358.0;216.0;309.0
-79.0;118.0;-785.0;1268.0;850.0;-736.0;1019.0;264.0;-88.0;147.0
187.0;108.0;-917.0;1256.0;984.0;-800.0;902.0;447.0;128.0;201.0
221.0;248.0;-915.0;987.0;916.0;-706.0;735.0;428.0;-35.0;176.0
248.0;273.0;-925.0;1001.0;909.0;-756.0;702.0;407.0;56.0;236.0
45.0;28.0;-1020.0;1150.0;1054.0;-848.0;859.0;447.0;131.0;1.0
63.0;190.0;-978.0;1089.0;981.0;-847.0;781.0;407.0;24.0;124.0
320.0;404.0;-682.0;1082.0;867.0;-195.0;608.0;503.0;230.0;483.0
122.0;238.0;-964.0;1061.0;961.0;-814.0;743.0;444.0;47.0;170.0
134.0;225.0;-962.0;1084.0;1025.0;-901.0;766.0;361.0;81.0;248.0
135.0;253.0;-954.0;1056.0;966.0;-834.0;724.0;437.0;84.0;181.0
112.0;276.0;-976.0;1070.0;972.0;-800.0;718.0;341.0;44.0;151.0
77.0;278.0;-957.0;1050.0;975.0;-817.0;721.0;460.0;78.0;251.0
193.0;354.0;-930.0;1048.0;950.0;-753.0;693.0;438.0;145.0;272.0
117.0;333.0;-910.0;1051.0;888.0;-687.0;733.0;425.0;102.0;344.0
234.0;367.0;-938.0;1020.0;942.0;-754.0;677.0;403.0;141.0;147.0
115.0;354.0;-944.0;1028.0;854.0;-707.0;678.0;413.0;75.0;292.0
60.0;321.0;-954.0;1077.0;918.0;-655.0;635.0;300.0;-44.0;426.0
135.0;425.0;-936.0;1018.0;827.0;-668.0;565.0;375.0;68.0;299.0
135.0;370.0;-974.0;1024.0;904.0;-732.0;654.0;374.0;25.0;248.0
184.0;360.0;-937.0;1050.0;960.0;-771.0;694.0;478.0;80.0;224.0
230.0;251.0;-945.0;1072.0;915.0;-759.0;797.0;490.0;107.0;189.0
121.0;316.0;-966.0;1058.0;959.0;-775.0;719.0;376.0;61.0;242.0
200.0;100.0;-1071.0;1141.0;1059.0;-956.0;849.0;576.0;-29.0;171.0
31.0;257.0;-996.0;1050.0;781.0;-373.0;463.0;507.0;-86.0;155.0
341.0;285.0;-968.0;1094.0;890.0;-664.0;504.0;420.0;-127.0;-12.0
173.0;92.0;-753.0;1136.0;1092.0;-254.0;830.0;578.0;-117.0;379.0
207.0;432.0;-854.0;1413.0;1017.0;-546.0;653.0;452.0;132.0;239.0
120.0;346.0;-942.0;993.0;906.0;-735.0;651.0;361.0;46.0;294.0
163.0;313.0;-922.0;993.0;924.0;-732.0;668.0;375.0;49.0;297.0
130.0;306.0;-988.0;1101.0;979.0;-840.0;726.0;485.0;49.0;241.0
11.0;338.0;-976.0;1059.0;948.0;-766.0;750.0;322.0;25.0;320.0
112.0;294.0;-952.0;952.0;973.0;-881.0;604.0;421.0;68.0;204.0
179.0;367.0;-821.0;1229.0;855.0;-644.0;936.0;485.0;144.0;318.0
98.0;439.0;-857.0;1097.0;716.0;-228.0;713.0;569.0;-47.0;511.0
250.0;298.0;-1134.0;827.0;898.0;-1089.0;530.0;572.0;188.0;-66.0
-56.0;159.0;-911.0;986.0;650.0;-369.0;413.0;28.0;-359.0;95.0
163.0;292.0;-1037.0;1224.0;844.0;-706.0;572.0;459.0;81.0;139.0
292.0;248.0;-947.0;1099.0;1055.0;-766.0;716.0;534.0;3.0;168.0
139.0;198.0;-949.0;1100.0;769.0;-885.0;942.0;424.0;44.0;262.0
152.0;259.0;-949.0;1077.0;970.0;-828.0;718.0;470.0;44.0;153.0
142.0;235.0;-971.0;1085.0;1009.0;-863.0;768.0;485.0;70.0;141.0
139.0;154.0;-960.0;1017.0;905.0;-910.0;644.0;334.0;309.0;133.0
13.0;221.0;-974.0;1050.0;970.0;-801.0;711.0;346.0;31.0;215.0
175.0;228.0;-983.0;1071.0;988.0;-850.0;742.0;497.0;49.0;163.0
221.0;268.0;-1042.0;1102.0;930.0;-621.0;559.0;518.0;94.0;212.0
362.0;74.0;-932.0;1144.0;981.0;-807.0;759.0;589.0;218.0;30.0
332.0;211.0;-966.0;1066.0;974.0;-830.0;697.0;463.0;-6.0;179.0
231.0;277.0;-966.0;1080.0;966.0;-788.0;681.0;470.0;-28.0;172.0
198.0;456.0;-813.0;1018.0;886.0;-772.0;563.0;663.0;150.0;299.0
55.0;-110.0;-965.0;1065.0;977.0;-865.0;848.0;208.0;-59.0;-215.0
186.0;338.0;-957.0;1049.0;952.0;-776.0;693.0;459.0;126.0;273.0
232.0;72.0;-857.0;1118.0;1249.0;-689.0;714.0;496.0;149.0;266.0
230.0;145.0;-772.0;902.0;836.0;-696.0;670.0;463.0;190.0;23.0
244.0;206.0;-844.0;1229.0;922.0;-758.0;903.0;429.0;178.0;100.0
239.0;266.0;-963.0;1080.0;964.0;-787.0;678.0;458.0;-16.0;181.0
306.0;218.0;-893.0;1067.0;962.0;-739.0;714.0;535.0;-49.0;260.0
162.0;324.0;-839.0;945.0;832.0;-751.0;640.0;432.0;73.0;124.0
309.0;-27.0;-848.0;1189.0;986.0;-547.0;926.0;361.0;116.0;102.0
13.0;315.0;-989.0;1070.0;733.0;-551.0;591.0;250.0;-180.0;205.0
92.0;331.0;-694.0;1280.0;781.0;-558.0;1029.0;393.0;158.0;293.0
65.0;108.0;-869.0;987.0;922.0;-667.0;625.0;310.0;211.0;270.0
233.0;252.0;-961.0;1071.0;961.0;-782.0;707.0;431.0;-26.0;189.0
200.0;329.0;-888.0;959.0;897.0;-727.0;632.0;457.0;174.0;263.0
143.0;253.0;-961.0;1052.0;955.0;-820.0;738.0;428.0;32.0;154.0
15.0;152.0;-889.0;1292.0;959.0;-781.0;1097.0;287.0;-25.0;163.0
314.0;124.0;-963.0;1124.0;928.0;-848.0;841.0;420.0;208.0;115.0
137.0;352.0;-877.0;928.0;862.0;-719.0;613.0;461.0;79.0;268.0
169.0;338.0;-827.0;990.0;836.0;-667.0;752.0;467.0;98.0;283.0
338.0;341.0;-934.0;1065.0;874.0;-657.0;609.0;677.0;152.0;258.0
257.0;538.0;-880.0;935.0;430.0;-82.0;-31.0;687.0;24.0;380.0
259.0;110.0;-783.0;1069.0;829.0;-755.0;791.0;332.0;-37.0;-26.0
432.0;186.0;-826.0;994.0;926.0;-748.0;688.0;533.0;272.0;70.0
220.0;241.0;-964.0;1087.0;962.0;-783.0;715.0;453.0;-33.0;187.0
196.0;240.0;-938.0;1053.0;946.0;-811.0;744.0;484.0;80.0;175.0
92.0;332.0;-934.0;1070.0;927.0;-760.0;713.0;356.0;82.0;195.0
238.0;246.0;-923.0;1053.0;944.0;-783.0;725.0;501.0;84.0;211.0
95.0;-27.0;-999.0;1102.0;1056.0;-968.0;821.0;390.0;38.0;-101.0
53.0;263.0;-982.0;1004.0;934.0;-794.0;694.0;398.0;70.0;192.0
218.0;245.0;-950.0;1065.0;961.0;-774.0;693.0;456.0;-20.0;174.0
182.0;340.0;-968.0;1011.0;993.0;-837.0;665.0;532.0;144.0;183.0
314.0;346.0;-752.0;1020.0;789.0;-632.0;695.0;610.0;293.0;180.0
